,address1,address2,city,zip,country,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,exDividendDate,payoutRatio,beta,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,forwardEps,pegRatio,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,Waterside (HAA2),PO Box 365,Harmondsworth,UB7 0GB,United Kingdom,https://www.iairgroup.com,Airlines,Industrials,"International Consolidated Airlines Group S.A., together with its subsidiaries, engages in the provision of passenger and cargo transportation services in the United Kingdom, Spain, Ireland, the United States, and rest of the world. It also provides aircraft leasing, aircraft maintenance, tour operation, call centre, ground handling, trustee, storage and custody, and airport infrastructure development services. The company operates under the British Airways, Iberia, Vueling, Aer Lingus, and LEVEL brands. It operates a fleet of 558 aircraft. The company was incorporated in 2009 and is headquartered in Harmondsworth, United Kingdom.",68477,"{'maxAge': 1, 'name': 'Mr. Luis  Gallego Martin', 'age': 54, 'title': 'CEO & Exec. Director', 'yearBorn': 1968, 'fiscalYear': 2022, 'totalPay': 3217545, 'exercisedValue': 0, 'unexercisedValue': 531650}",3,2,10,1,8,1693526400,1672444800,86400,2,153.05,155.05,153.1451,155.85,153.05,155.05,153.1451,155.85,1593648000,0.0,2.289789,480.3125,480.3125,16637026,16637026,15663254,14514820,14514820,95.0,167.0,0,0,7832690176,90.47,182.0,0.28693274,160.115,153.6308,0.0,0.0,GBp,15406467072,0.07348,3774413334,4915400192,0.25514,0.15815,0.409,375.79462,1672444800,1703980800,1688083200,6.579,2006000000,0.32,0.32,0.14,0.564,4.027,LSE,EQUITY,IAG.L,IAG.L,INTERNATIONAL CONSOLIDATED AIRL,International Consolidated Airlines Group S.A.,1041494400,Europe/London,BST,3600000,153.7,5.32,1.46,2.49,2.06,2.1,buy,17,12010000384,2.37,3825999872,19623000064,0.665,0.765,27298000896,944.776,5.513,0.04658,1.03616,5363000000,4010249984,5804000256,5.676,0.301,0.26357,0.14016,0.11243,EUR,
1,Waterside (HAA2),PO Box 365,Harmondsworth,UB7 0GB,United Kingdom,https://www.iairgroup.com,Airlines,Industrials,"International Consolidated Airlines Group S.A., together with its subsidiaries, engages in the provision of passenger and cargo transportation services in the United Kingdom, Spain, Ireland, the United States, and rest of the world. It also provides aircraft leasing, aircraft maintenance, tour operation, call centre, ground handling, trustee, storage and custody, and airport infrastructure development services. The company operates under the British Airways, Iberia, Vueling, Aer Lingus, and LEVEL brands. It operates a fleet of 558 aircraft. The company was incorporated in 2009 and is headquartered in Harmondsworth, United Kingdom.",68477,"{'maxAge': 1, 'name': 'Mr. Nicholas Theodore Cadbury FCA', 'age': 56, 'title': 'CFO & Interim Non-Exec. Chairman of Cargo', 'yearBorn': 1966, 'exercisedValue': 0, 'unexercisedValue': 0}",3,2,10,1,8,1693526400,1672444800,86400,2,153.05,155.05,153.1451,155.85,153.05,155.05,153.1451,155.85,1593648000,0.0,2.289789,480.3125,480.3125,16637026,16637026,15663254,14514820,14514820,95.0,167.0,0,0,7832690176,90.47,182.0,0.28693274,160.115,153.6308,0.0,0.0,GBp,15406467072,0.07348,3774413334,4915400192,0.25514,0.15815,0.409,375.79462,1672444800,1703980800,1688083200,6.579,2006000000,0.32,0.32,0.14,0.564,4.027,LSE,EQUITY,IAG.L,IAG.L,INTERNATIONAL CONSOLIDATED AIRL,International Consolidated Airlines Group S.A.,1041494400,Europe/London,BST,3600000,153.7,5.32,1.46,2.49,2.06,2.1,buy,17,12010000384,2.37,3825999872,19623000064,0.665,0.765,27298000896,944.776,5.513,0.04658,1.03616,5363000000,4010249984,5804000256,5.676,0.301,0.26357,0.14016,0.11243,EUR,
2,Waterside (HAA2),PO Box 365,Harmondsworth,UB7 0GB,United Kingdom,https://www.iairgroup.com,Airlines,Industrials,"International Consolidated Airlines Group S.A., together with its subsidiaries, engages in the provision of passenger and cargo transportation services in the United Kingdom, Spain, Ireland, the United States, and rest of the world. It also provides aircraft leasing, aircraft maintenance, tour operation, call centre, ground handling, trustee, storage and custody, and airport infrastructure development services. The company operates under the British Airways, Iberia, Vueling, Aer Lingus, and LEVEL brands. It operates a fleet of 558 aircraft. The company was incorporated in 2009 and is headquartered in Harmondsworth, United Kingdom.",68477,"{'maxAge': 1, 'name': 'Mr. Jorge  Saco', 'title': 'Chief Information, Procurement, Services & Innovation Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",3,2,10,1,8,1693526400,1672444800,86400,2,153.05,155.05,153.1451,155.85,153.05,155.05,153.1451,155.85,1593648000,0.0,2.289789,480.3125,480.3125,16637026,16637026,15663254,14514820,14514820,95.0,167.0,0,0,7832690176,90.47,182.0,0.28693274,160.115,153.6308,0.0,0.0,GBp,15406467072,0.07348,3774413334,4915400192,0.25514,0.15815,0.409,375.79462,1672444800,1703980800,1688083200,6.579,2006000000,0.32,0.32,0.14,0.564,4.027,LSE,EQUITY,IAG.L,IAG.L,INTERNATIONAL CONSOLIDATED AIRL,International Consolidated Airlines Group S.A.,1041494400,Europe/London,BST,3600000,153.7,5.32,1.46,2.49,2.06,2.1,buy,17,12010000384,2.37,3825999872,19623000064,0.665,0.765,27298000896,944.776,5.513,0.04658,1.03616,5363000000,4010249984,5804000256,5.676,0.301,0.26357,0.14016,0.11243,EUR,
3,Waterside (HAA2),PO Box 365,Harmondsworth,UB7 0GB,United Kingdom,https://www.iairgroup.com,Airlines,Industrials,"International Consolidated Airlines Group S.A., together with its subsidiaries, engages in the provision of passenger and cargo transportation services in the United Kingdom, Spain, Ireland, the United States, and rest of the world. It also provides aircraft leasing, aircraft maintenance, tour operation, call centre, ground handling, trustee, storage and custody, and airport infrastructure development services. The company operates under the British Airways, Iberia, Vueling, Aer Lingus, and LEVEL brands. It operates a fleet of 558 aircraft. The company was incorporated in 2009 and is headquartered in Harmondsworth, United Kingdom.",68477,"{'maxAge': 1, 'name': 'Mr. Andrew James Light', 'title': 'Head of Investor Relations', 'exercisedValue': 0, 'unexercisedValue': 0}",3,2,10,1,8,1693526400,1672444800,86400,2,153.05,155.05,153.1451,155.85,153.05,155.05,153.1451,155.85,1593648000,0.0,2.289789,480.3125,480.3125,16637026,16637026,15663254,14514820,14514820,95.0,167.0,0,0,7832690176,90.47,182.0,0.28693274,160.115,153.6308,0.0,0.0,GBp,15406467072,0.07348,3774413334,4915400192,0.25514,0.15815,0.409,375.79462,1672444800,1703980800,1688083200,6.579,2006000000,0.32,0.32,0.14,0.564,4.027,LSE,EQUITY,IAG.L,IAG.L,INTERNATIONAL CONSOLIDATED AIRL,International Consolidated Airlines Group S.A.,1041494400,Europe/London,BST,3600000,153.7,5.32,1.46,2.49,2.06,2.1,buy,17,12010000384,2.37,3825999872,19623000064,0.665,0.765,27298000896,944.776,5.513,0.04658,1.03616,5363000000,4010249984,5804000256,5.676,0.301,0.26357,0.14016,0.11243,EUR,
4,Waterside (HAA2),PO Box 365,Harmondsworth,UB7 0GB,United Kingdom,https://www.iairgroup.com,Airlines,Industrials,"International Consolidated Airlines Group S.A., together with its subsidiaries, engages in the provision of passenger and cargo transportation services in the United Kingdom, Spain, Ireland, the United States, and rest of the world. It also provides aircraft leasing, aircraft maintenance, tour operation, call centre, ground handling, trustee, storage and custody, and airport infrastructure development services. The company operates under the British Airways, Iberia, Vueling, Aer Lingus, and LEVEL brands. It operates a fleet of 558 aircraft. The company was incorporated in 2009 and is headquartered in Harmondsworth, United Kingdom.",68477,"{'maxAge': 1, 'name': 'Ms. Sarah  Clements', 'title': 'Gen. Counsel', 'exercisedValue': 0, 'unexercisedValue': 0}",3,2,10,1,8,1693526400,1672444800,86400,2,153.05,155.05,153.1451,155.85,153.05,155.05,153.1451,155.85,1593648000,0.0,2.289789,480.3125,480.3125,16637026,16637026,15663254,14514820,14514820,95.0,167.0,0,0,7832690176,90.47,182.0,0.28693274,160.115,153.6308,0.0,0.0,GBp,15406467072,0.07348,3774413334,4915400192,0.25514,0.15815,0.409,375.79462,1672444800,1703980800,1688083200,6.579,2006000000,0.32,0.32,0.14,0.564,4.027,LSE,EQUITY,IAG.L,IAG.L,INTERNATIONAL CONSOLIDATED AIRL,International Consolidated Airlines Group S.A.,1041494400,Europe/London,BST,3600000,153.7,5.32,1.46,2.49,2.06,2.1,buy,17,12010000384,2.37,3825999872,19623000064,0.665,0.765,27298000896,944.776,5.513,0.04658,1.03616,5363000000,4010249984,5804000256,5.676,0.301,0.26357,0.14016,0.11243,EUR,
5,Waterside (HAA2),PO Box 365,Harmondsworth,UB7 0GB,United Kingdom,https://www.iairgroup.com,Airlines,Industrials,"International Consolidated Airlines Group S.A., together with its subsidiaries, engages in the provision of passenger and cargo transportation services in the United Kingdom, Spain, Ireland, the United States, and rest of the world. It also provides aircraft leasing, aircraft maintenance, tour operation, call centre, ground handling, trustee, storage and custody, and airport infrastructure development services. The company operates under the British Airways, Iberia, Vueling, Aer Lingus, and LEVEL brands. It operates a fleet of 558 aircraft. The company was incorporated in 2009 and is headquartered in Harmondsworth, United Kingdom.",68477,"{'maxAge': 1, 'name': 'Mr. Jonathan  Sullivan', 'title': 'Chief Transformation & Corp. Devel. Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",3,2,10,1,8,1693526400,1672444800,86400,2,153.05,155.05,153.1451,155.85,153.05,155.05,153.1451,155.85,1593648000,0.0,2.289789,480.3125,480.3125,16637026,16637026,15663254,14514820,14514820,95.0,167.0,0,0,7832690176,90.47,182.0,0.28693274,160.115,153.6308,0.0,0.0,GBp,15406467072,0.07348,3774413334,4915400192,0.25514,0.15815,0.409,375.79462,1672444800,1703980800,1688083200,6.579,2006000000,0.32,0.32,0.14,0.564,4.027,LSE,EQUITY,IAG.L,IAG.L,INTERNATIONAL CONSOLIDATED AIRL,International Consolidated Airlines Group S.A.,1041494400,Europe/London,BST,3600000,153.7,5.32,1.46,2.49,2.06,2.1,buy,17,12010000384,2.37,3825999872,19623000064,0.665,0.765,27298000896,944.776,5.513,0.04658,1.03616,5363000000,4010249984,5804000256,5.676,0.301,0.26357,0.14016,0.11243,EUR,
6,Waterside (HAA2),PO Box 365,Harmondsworth,UB7 0GB,United Kingdom,https://www.iairgroup.com,Airlines,Industrials,"International Consolidated Airlines Group S.A., together with its subsidiaries, engages in the provision of passenger and cargo transportation services in the United Kingdom, Spain, Ireland, the United States, and rest of the world. It also provides aircraft leasing, aircraft maintenance, tour operation, call centre, ground handling, trustee, storage and custody, and airport infrastructure development services. The company operates under the British Airways, Iberia, Vueling, Aer Lingus, and LEVEL brands. It operates a fleet of 558 aircraft. The company was incorporated in 2009 and is headquartered in Harmondsworth, United Kingdom.",68477,"{'maxAge': 1, 'name': 'Ms. Carolina Sandra Martinoli', 'age': 52, 'title': 'Chief People, Corp. Affairs & Sustainability Officer', 'yearBorn': 1970, 'exercisedValue': 0, 'unexercisedValue': 0}",3,2,10,1,8,1693526400,1672444800,86400,2,153.05,155.05,153.1451,155.85,153.05,155.05,153.1451,155.85,1593648000,0.0,2.289789,480.3125,480.3125,16637026,16637026,15663254,14514820,14514820,95.0,167.0,0,0,7832690176,90.47,182.0,0.28693274,160.115,153.6308,0.0,0.0,GBp,15406467072,0.07348,3774413334,4915400192,0.25514,0.15815,0.409,375.79462,1672444800,1703980800,1688083200,6.579,2006000000,0.32,0.32,0.14,0.564,4.027,LSE,EQUITY,IAG.L,IAG.L,INTERNATIONAL CONSOLIDATED AIRL,International Consolidated Airlines Group S.A.,1041494400,Europe/London,BST,3600000,153.7,5.32,1.46,2.49,2.06,2.1,buy,17,12010000384,2.37,3825999872,19623000064,0.665,0.765,27298000896,944.776,5.513,0.04658,1.03616,5363000000,4010249984,5804000256,5.676,0.301,0.26357,0.14016,0.11243,EUR,
7,Waterside (HAA2),PO Box 365,Harmondsworth,UB7 0GB,United Kingdom,https://www.iairgroup.com,Airlines,Industrials,"International Consolidated Airlines Group S.A., together with its subsidiaries, engages in the provision of passenger and cargo transportation services in the United Kingdom, Spain, Ireland, the United States, and rest of the world. It also provides aircraft leasing, aircraft maintenance, tour operation, call centre, ground handling, trustee, storage and custody, and airport infrastructure development services. The company operates under the British Airways, Iberia, Vueling, Aer Lingus, and LEVEL brands. It operates a fleet of 558 aircraft. The company was incorporated in 2009 and is headquartered in Harmondsworth, United Kingdom.",68477,"{'maxAge': 1, 'name': 'Mr. Glenn  Morgan', 'title': 'Head of Digital Bus. Transformation', 'exercisedValue': 0, 'unexercisedValue': 0}",3,2,10,1,8,1693526400,1672444800,86400,2,153.05,155.05,153.1451,155.85,153.05,155.05,153.1451,155.85,1593648000,0.0,2.289789,480.3125,480.3125,16637026,16637026,15663254,14514820,14514820,95.0,167.0,0,0,7832690176,90.47,182.0,0.28693274,160.115,153.6308,0.0,0.0,GBp,15406467072,0.07348,3774413334,4915400192,0.25514,0.15815,0.409,375.79462,1672444800,1703980800,1688083200,6.579,2006000000,0.32,0.32,0.14,0.564,4.027,LSE,EQUITY,IAG.L,IAG.L,INTERNATIONAL CONSOLIDATED AIRL,International Consolidated Airlines Group S.A.,1041494400,Europe/London,BST,3600000,153.7,5.32,1.46,2.49,2.06,2.1,buy,17,12010000384,2.37,3825999872,19623000064,0.665,0.765,27298000896,944.776,5.513,0.04658,1.03616,5363000000,4010249984,5804000256,5.676,0.301,0.26357,0.14016,0.11243,EUR,
8,Waterside (HAA2),PO Box 365,Harmondsworth,UB7 0GB,United Kingdom,https://www.iairgroup.com,Airlines,Industrials,"International Consolidated Airlines Group S.A., together with its subsidiaries, engages in the provision of passenger and cargo transportation services in the United Kingdom, Spain, Ireland, the United States, and rest of the world. It also provides aircraft leasing, aircraft maintenance, tour operation, call centre, ground handling, trustee, storage and custody, and airport infrastructure development services. The company operates under the British Airways, Iberia, Vueling, Aer Lingus, and LEVEL brands. It operates a fleet of 558 aircraft. The company was incorporated in 2009 and is headquartered in Harmondsworth, United Kingdom.",68477,"{'maxAge': 1, 'name': 'Mr. Julio  Rodriguez', 'age': 47, 'title': 'Chief Commercial Strategy Officer', 'yearBorn': 1975, 'exercisedValue': 0, 'unexercisedValue': 0}",3,2,10,1,8,1693526400,1672444800,86400,2,153.05,155.05,153.1451,155.85,153.05,155.05,153.1451,155.85,1593648000,0.0,2.289789,480.3125,480.3125,16637026,16637026,15663254,14514820,14514820,95.0,167.0,0,0,7832690176,90.47,182.0,0.28693274,160.115,153.6308,0.0,0.0,GBp,15406467072,0.07348,3774413334,4915400192,0.25514,0.15815,0.409,375.79462,1672444800,1703980800,1688083200,6.579,2006000000,0.32,0.32,0.14,0.564,4.027,LSE,EQUITY,IAG.L,IAG.L,INTERNATIONAL CONSOLIDATED AIRL,International Consolidated Airlines Group S.A.,1041494400,Europe/London,BST,3600000,153.7,5.32,1.46,2.49,2.06,2.1,buy,17,12010000384,2.37,3825999872,19623000064,0.665,0.765,27298000896,944.776,5.513,0.04658,1.03616,5363000000,4010249984,5804000256,5.676,0.301,0.26357,0.14016,0.11243,EUR,
9,Waterside (HAA2),PO Box 365,Harmondsworth,UB7 0GB,United Kingdom,https://www.iairgroup.com,Airlines,Industrials,"International Consolidated Airlines Group S.A., together with its subsidiaries, engages in the provision of passenger and cargo transportation services in the United Kingdom, Spain, Ireland, the United States, and rest of the world. It also provides aircraft leasing, aircraft maintenance, tour operation, call centre, ground handling, trustee, storage and custody, and airport infrastructure development services. The company operates under the British Airways, Iberia, Vueling, Aer Lingus, and LEVEL brands. It operates a fleet of 558 aircraft. The company was incorporated in 2009 and is headquartered in Harmondsworth, United Kingdom.",68477,"{'maxAge': 1, 'name': 'Alvaro  Lopez-Jorrin Hernandez', 'title': 'Sec. of the Board of Directors', 'exercisedValue': 0, 'unexercisedValue': 0}",3,2,10,1,8,1693526400,1672444800,86400,2,153.05,155.05,153.1451,155.85,153.05,155.05,153.1451,155.85,1593648000,0.0,2.289789,480.3125,480.3125,16637026,16637026,15663254,14514820,14514820,95.0,167.0,0,0,7832690176,90.47,182.0,0.28693274,160.115,153.6308,0.0,0.0,GBp,15406467072,0.07348,3774413334,4915400192,0.25514,0.15815,0.409,375.79462,1672444800,1703980800,1688083200,6.579,2006000000,0.32,0.32,0.14,0.564,4.027,LSE,EQUITY,IAG.L,IAG.L,INTERNATIONAL CONSOLIDATED AIRL,International Consolidated Airlines Group S.A.,1041494400,Europe/London,BST,3600000,153.7,5.32,1.46,2.49,2.06,2.1,buy,17,12010000384,2.37,3825999872,19623000064,0.665,0.765,27298000896,944.776,5.513,0.04658,1.03616,5363000000,4010249984,5804000256,5.676,0.301,0.26357,0.14016,0.11243,EUR,
