,address1,address2,city,country,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,exDividendDate,payoutRatio,beta,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,forwardEps,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationKey,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,returnOnAssets,returnOnEquity,freeCashflow,operatingCashflow,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,Kingston Chambers,PO Box 173,Road Town,British Virgin Islands,https://www.amurminerals.com,Other Industrial Metals & Mining,Basic Materials,"Amur Minerals Corporation, together with its subsidiaries, engages in locating, evaluating, acquiring, exploring, and developing mineral properties and projects in the Far East of Russia. The company was incorporated in 2004 and is based in Road Town, British Virgin Islands.",16,"{'maxAge': 1, 'name': 'Mr. Robin Jay Young', 'age': 67, 'title': 'CEO, Sec. & Exec. Director', 'yearBorn': 1955, 'fiscalYear': 2022, 'totalPay': 316000, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,1685577600,0.0,0.177552,0,0,4408271,1249817,1249817,0.0,0.0,0,0,1392876,0.0,1.99,0.1415,0.90746,0.0,0.0,GBp,-2229415,0.0,1371826014,1392870016,0.01511,0.0,0.02,4.5000005,1672444800,1703980800,1672444800,-2605000,-0.0,0.0,1.145,LSE,EQUITY,AMC.L,AMC.L,AMUR MINERALS CORPORATION ORD N,Amur Minerals Corporation,1066374000,Europe/London,BST,3600000,0.09,none,3483000,0.003,-1947000,0,3.782,31.206,-0.046350002,-0.08993,-2625000,-3358000,0.0,0.0,0.0,USD,
1,Kingston Chambers,PO Box 173,Road Town,British Virgin Islands,https://www.amurminerals.com,Other Industrial Metals & Mining,Basic Materials,"Amur Minerals Corporation, together with its subsidiaries, engages in locating, evaluating, acquiring, exploring, and developing mineral properties and projects in the Far East of Russia. The company was incorporated in 2004 and is based in Road Town, British Virgin Islands.",16,"{'maxAge': 1, 'name': 'Mr. Ae Jack Swanson', 'age': 84, 'title': 'Chief Operating Officer', 'yearBorn': 1938, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,1685577600,0.0,0.177552,0,0,4408271,1249817,1249817,0.0,0.0,0,0,1392876,0.0,1.99,0.1415,0.90746,0.0,0.0,GBp,-2229415,0.0,1371826014,1392870016,0.01511,0.0,0.02,4.5000005,1672444800,1703980800,1672444800,-2605000,-0.0,0.0,1.145,LSE,EQUITY,AMC.L,AMC.L,AMUR MINERALS CORPORATION ORD N,Amur Minerals Corporation,1066374000,Europe/London,BST,3600000,0.09,none,3483000,0.003,-1947000,0,3.782,31.206,-0.046350002,-0.08993,-2625000,-3358000,0.0,0.0,0.0,USD,
