,address1,address2,city,country,phone,fax,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,fiveYearAvgDividendYield,beta,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,forwardEps,pegRatio,lastSplitFactor,lastSplitDate,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,Hsinchu Science Park,No. 3 Li-Hsin 2nd Road,Hsinchu City,Taiwan,886 3 578 2258,886 3 577 9392,https://www.umc.com,Semiconductors,Technology,"United Microelectronics Corporation operates as a semiconductor wafer foundry in Taiwan, Singapore, China, Hong Kong, Japan, the United States, Europe, and internationally. The company provides circuit design, mask tooling, wafer fabrication, and assembly and testing services. It serves fabless design companies and integrated device manufacturers. The company was incorporated in 1980 and is headquartered in Hsinchu City, Taiwan.",20000,"{'maxAge': 1, 'name': 'Mr. Jia Cong  Hung', 'age': 62, 'title': 'Chairman & Chief Strategy Officer', 'yearBorn': 1960, 'fiscalYear': 2004, 'exercisedValue': 0, 'unexercisedValue': 0}",1135987200,86400,2,47.35,47.45,46.85,47.6,47.35,47.45,46.85,47.6,3.6,0.0756,1687824000,0.5608,4.46,1.255984,7.41433,10.214592,41221780,41221780,44126215,33072484,33072484,47.5,47.6,0,0,595142770688,35.0,54.6,2.345546,46.001,48.1175,3.6,0.07602957,TWD,480485146624,0.31596002,11265828582,12503000064,0.09004,0.29042,26.117,1.8225676,1672444800,1703980800,1688083200,-0.267,80168370176,6.42,4.66,-0.8,104:100,1218153600,1.894,3.913,TAI,EQUITY,2303.TW,2303.TW,UNITED MICRO ELECTRONICS,United Microelectronics Corporation,946947600,Asia/Taipei,CST,28800000,47.6,77.65,32.0,53.41,55.0,2.3,buy,20,168229617664,13.455,122782121984,53222494208,1.411,1.672,253733158912,16.282,20.921,0.09932,0.26559,125764377000,-3564969472,121375653888,-0.265,-0.219,0.41092,0.48389998,0.32974,TWD,
1,Hsinchu Science Park,No. 3 Li-Hsin 2nd Road,Hsinchu City,Taiwan,886 3 578 2258,886 3 577 9392,https://www.umc.com,Semiconductors,Technology,"United Microelectronics Corporation operates as a semiconductor wafer foundry in Taiwan, Singapore, China, Hong Kong, Japan, the United States, Europe, and internationally. The company provides circuit design, mask tooling, wafer fabrication, and assembly and testing services. It serves fabless design companies and integrated device manufacturers. The company was incorporated in 1980 and is headquartered in Hsinchu City, Taiwan.",20000,"{'maxAge': 1, 'name': 'Mr. Jason S.  Wang', 'age': 59, 'title': 'Co-Pres & Representative Director', 'yearBorn': 1963, 'exercisedValue': 0, 'unexercisedValue': 0}",1135987200,86400,2,47.35,47.45,46.85,47.6,47.35,47.45,46.85,47.6,3.6,0.0756,1687824000,0.5608,4.46,1.255984,7.41433,10.214592,41221780,41221780,44126215,33072484,33072484,47.5,47.6,0,0,595142770688,35.0,54.6,2.345546,46.001,48.1175,3.6,0.07602957,TWD,480485146624,0.31596002,11265828582,12503000064,0.09004,0.29042,26.117,1.8225676,1672444800,1703980800,1688083200,-0.267,80168370176,6.42,4.66,-0.8,104:100,1218153600,1.894,3.913,TAI,EQUITY,2303.TW,2303.TW,UNITED MICRO ELECTRONICS,United Microelectronics Corporation,946947600,Asia/Taipei,CST,28800000,47.6,77.65,32.0,53.41,55.0,2.3,buy,20,168229617664,13.455,122782121984,53222494208,1.411,1.672,253733158912,16.282,20.921,0.09932,0.26559,125764377000,-3564969472,121375653888,-0.265,-0.219,0.41092,0.48389998,0.32974,TWD,
2,Hsinchu Science Park,No. 3 Li-Hsin 2nd Road,Hsinchu City,Taiwan,886 3 578 2258,886 3 577 9392,https://www.umc.com,Semiconductors,Technology,"United Microelectronics Corporation operates as a semiconductor wafer foundry in Taiwan, Singapore, China, Hong Kong, Japan, the United States, Europe, and internationally. The company provides circuit design, mask tooling, wafer fabrication, and assembly and testing services. It serves fabless design companies and integrated device manufacturers. The company was incorporated in 1980 and is headquartered in Hsinchu City, Taiwan.",20000,"{'maxAge': 1, 'name': 'Mr. Shan-Chieh  Chien', 'age': 64, 'title': 'Co-Pres & Representative Director', 'yearBorn': 1958, 'exercisedValue': 0, 'unexercisedValue': 0}",1135987200,86400,2,47.35,47.45,46.85,47.6,47.35,47.45,46.85,47.6,3.6,0.0756,1687824000,0.5608,4.46,1.255984,7.41433,10.214592,41221780,41221780,44126215,33072484,33072484,47.5,47.6,0,0,595142770688,35.0,54.6,2.345546,46.001,48.1175,3.6,0.07602957,TWD,480485146624,0.31596002,11265828582,12503000064,0.09004,0.29042,26.117,1.8225676,1672444800,1703980800,1688083200,-0.267,80168370176,6.42,4.66,-0.8,104:100,1218153600,1.894,3.913,TAI,EQUITY,2303.TW,2303.TW,UNITED MICRO ELECTRONICS,United Microelectronics Corporation,946947600,Asia/Taipei,CST,28800000,47.6,77.65,32.0,53.41,55.0,2.3,buy,20,168229617664,13.455,122782121984,53222494208,1.411,1.672,253733158912,16.282,20.921,0.09932,0.26559,125764377000,-3564969472,121375653888,-0.265,-0.219,0.41092,0.48389998,0.32974,TWD,
3,Hsinchu Science Park,No. 3 Li-Hsin 2nd Road,Hsinchu City,Taiwan,886 3 578 2258,886 3 577 9392,https://www.umc.com,Semiconductors,Technology,"United Microelectronics Corporation operates as a semiconductor wafer foundry in Taiwan, Singapore, China, Hong Kong, Japan, the United States, Europe, and internationally. The company provides circuit design, mask tooling, wafer fabrication, and assembly and testing services. It serves fabless design companies and integrated device manufacturers. The company was incorporated in 1980 and is headquartered in Hsinchu City, Taiwan.",20000,"{'maxAge': 1, 'name': 'Mr. Chi-Tung  Liu', 'age': 56, 'title': 'CFO, Sr. VP, Head of Corp. Governance & Company Sec.', 'yearBorn': 1966, 'exercisedValue': 0, 'unexercisedValue': 0}",1135987200,86400,2,47.35,47.45,46.85,47.6,47.35,47.45,46.85,47.6,3.6,0.0756,1687824000,0.5608,4.46,1.255984,7.41433,10.214592,41221780,41221780,44126215,33072484,33072484,47.5,47.6,0,0,595142770688,35.0,54.6,2.345546,46.001,48.1175,3.6,0.07602957,TWD,480485146624,0.31596002,11265828582,12503000064,0.09004,0.29042,26.117,1.8225676,1672444800,1703980800,1688083200,-0.267,80168370176,6.42,4.66,-0.8,104:100,1218153600,1.894,3.913,TAI,EQUITY,2303.TW,2303.TW,UNITED MICRO ELECTRONICS,United Microelectronics Corporation,946947600,Asia/Taipei,CST,28800000,47.6,77.65,32.0,53.41,55.0,2.3,buy,20,168229617664,13.455,122782121984,53222494208,1.411,1.672,253733158912,16.282,20.921,0.09932,0.26559,125764377000,-3564969472,121375653888,-0.265,-0.219,0.41092,0.48389998,0.32974,TWD,
4,Hsinchu Science Park,No. 3 Li-Hsin 2nd Road,Hsinchu City,Taiwan,886 3 578 2258,886 3 577 9392,https://www.umc.com,Semiconductors,Technology,"United Microelectronics Corporation operates as a semiconductor wafer foundry in Taiwan, Singapore, China, Hong Kong, Japan, the United States, Europe, and internationally. The company provides circuit design, mask tooling, wafer fabrication, and assembly and testing services. It serves fabless design companies and integrated device manufacturers. The company was incorporated in 1980 and is headquartered in Hsinchu City, Taiwan.",20000,"{'maxAge': 1, 'name': 'Dr. Lucas S.  Chang Ph.D.', 'age': 67, 'title': 'Sr. VP & Gen. Counsel', 'yearBorn': 1955, 'exercisedValue': 0, 'unexercisedValue': 0}",1135987200,86400,2,47.35,47.45,46.85,47.6,47.35,47.45,46.85,47.6,3.6,0.0756,1687824000,0.5608,4.46,1.255984,7.41433,10.214592,41221780,41221780,44126215,33072484,33072484,47.5,47.6,0,0,595142770688,35.0,54.6,2.345546,46.001,48.1175,3.6,0.07602957,TWD,480485146624,0.31596002,11265828582,12503000064,0.09004,0.29042,26.117,1.8225676,1672444800,1703980800,1688083200,-0.267,80168370176,6.42,4.66,-0.8,104:100,1218153600,1.894,3.913,TAI,EQUITY,2303.TW,2303.TW,UNITED MICRO ELECTRONICS,United Microelectronics Corporation,946947600,Asia/Taipei,CST,28800000,47.6,77.65,32.0,53.41,55.0,2.3,buy,20,168229617664,13.455,122782121984,53222494208,1.411,1.672,253733158912,16.282,20.921,0.09932,0.26559,125764377000,-3564969472,121375653888,-0.265,-0.219,0.41092,0.48389998,0.32974,TWD,
5,Hsinchu Science Park,No. 3 Li-Hsin 2nd Road,Hsinchu City,Taiwan,886 3 578 2258,886 3 577 9392,https://www.umc.com,Semiconductors,Technology,"United Microelectronics Corporation operates as a semiconductor wafer foundry in Taiwan, Singapore, China, Hong Kong, Japan, the United States, Europe, and internationally. The company provides circuit design, mask tooling, wafer fabrication, and assembly and testing services. It serves fabless design companies and integrated device manufacturers. The company was incorporated in 1980 and is headquartered in Hsinchu City, Taiwan.",20000,"{'maxAge': 1, 'name': 'Mr. Eric  Chen', 'title': 'VP & Chief HR Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",1135987200,86400,2,47.35,47.45,46.85,47.6,47.35,47.45,46.85,47.6,3.6,0.0756,1687824000,0.5608,4.46,1.255984,7.41433,10.214592,41221780,41221780,44126215,33072484,33072484,47.5,47.6,0,0,595142770688,35.0,54.6,2.345546,46.001,48.1175,3.6,0.07602957,TWD,480485146624,0.31596002,11265828582,12503000064,0.09004,0.29042,26.117,1.8225676,1672444800,1703980800,1688083200,-0.267,80168370176,6.42,4.66,-0.8,104:100,1218153600,1.894,3.913,TAI,EQUITY,2303.TW,2303.TW,UNITED MICRO ELECTRONICS,United Microelectronics Corporation,946947600,Asia/Taipei,CST,28800000,47.6,77.65,32.0,53.41,55.0,2.3,buy,20,168229617664,13.455,122782121984,53222494208,1.411,1.672,253733158912,16.282,20.921,0.09932,0.26559,125764377000,-3564969472,121375653888,-0.265,-0.219,0.41092,0.48389998,0.32974,TWD,
6,Hsinchu Science Park,No. 3 Li-Hsin 2nd Road,Hsinchu City,Taiwan,886 3 578 2258,886 3 577 9392,https://www.umc.com,Semiconductors,Technology,"United Microelectronics Corporation operates as a semiconductor wafer foundry in Taiwan, Singapore, China, Hong Kong, Japan, the United States, Europe, and internationally. The company provides circuit design, mask tooling, wafer fabrication, and assembly and testing services. It serves fabless design companies and integrated device manufacturers. The company was incorporated in 1980 and is headquartered in Hsinchu City, Taiwan.",20000,"{'maxAge': 1, 'name': 'Mr. Ming  Hsu', 'title': 'Exec. VP', 'exercisedValue': 0, 'unexercisedValue': 0}",1135987200,86400,2,47.35,47.45,46.85,47.6,47.35,47.45,46.85,47.6,3.6,0.0756,1687824000,0.5608,4.46,1.255984,7.41433,10.214592,41221780,41221780,44126215,33072484,33072484,47.5,47.6,0,0,595142770688,35.0,54.6,2.345546,46.001,48.1175,3.6,0.07602957,TWD,480485146624,0.31596002,11265828582,12503000064,0.09004,0.29042,26.117,1.8225676,1672444800,1703980800,1688083200,-0.267,80168370176,6.42,4.66,-0.8,104:100,1218153600,1.894,3.913,TAI,EQUITY,2303.TW,2303.TW,UNITED MICRO ELECTRONICS,United Microelectronics Corporation,946947600,Asia/Taipei,CST,28800000,47.6,77.65,32.0,53.41,55.0,2.3,buy,20,168229617664,13.455,122782121984,53222494208,1.411,1.672,253733158912,16.282,20.921,0.09932,0.26559,125764377000,-3564969472,121375653888,-0.265,-0.219,0.41092,0.48389998,0.32974,TWD,
7,Hsinchu Science Park,No. 3 Li-Hsin 2nd Road,Hsinchu City,Taiwan,886 3 578 2258,886 3 577 9392,https://www.umc.com,Semiconductors,Technology,"United Microelectronics Corporation operates as a semiconductor wafer foundry in Taiwan, Singapore, China, Hong Kong, Japan, the United States, Europe, and internationally. The company provides circuit design, mask tooling, wafer fabrication, and assembly and testing services. It serves fabless design companies and integrated device manufacturers. The company was incorporated in 1980 and is headquartered in Hsinchu City, Taiwan.",20000,"{'maxAge': 1, 'name': 'Mr. Oliver  Chang', 'title': 'Sr. VP', 'exercisedValue': 0, 'unexercisedValue': 0}",1135987200,86400,2,47.35,47.45,46.85,47.6,47.35,47.45,46.85,47.6,3.6,0.0756,1687824000,0.5608,4.46,1.255984,7.41433,10.214592,41221780,41221780,44126215,33072484,33072484,47.5,47.6,0,0,595142770688,35.0,54.6,2.345546,46.001,48.1175,3.6,0.07602957,TWD,480485146624,0.31596002,11265828582,12503000064,0.09004,0.29042,26.117,1.8225676,1672444800,1703980800,1688083200,-0.267,80168370176,6.42,4.66,-0.8,104:100,1218153600,1.894,3.913,TAI,EQUITY,2303.TW,2303.TW,UNITED MICRO ELECTRONICS,United Microelectronics Corporation,946947600,Asia/Taipei,CST,28800000,47.6,77.65,32.0,53.41,55.0,2.3,buy,20,168229617664,13.455,122782121984,53222494208,1.411,1.672,253733158912,16.282,20.921,0.09932,0.26559,125764377000,-3564969472,121375653888,-0.265,-0.219,0.41092,0.48389998,0.32974,TWD,
8,Hsinchu Science Park,No. 3 Li-Hsin 2nd Road,Hsinchu City,Taiwan,886 3 578 2258,886 3 577 9392,https://www.umc.com,Semiconductors,Technology,"United Microelectronics Corporation operates as a semiconductor wafer foundry in Taiwan, Singapore, China, Hong Kong, Japan, the United States, Europe, and internationally. The company provides circuit design, mask tooling, wafer fabrication, and assembly and testing services. It serves fabless design companies and integrated device manufacturers. The company was incorporated in 1980 and is headquartered in Hsinchu City, Taiwan.",20000,"{'maxAge': 1, 'name': 'TS  Wu', 'title': 'VP & Chief Information Security Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",1135987200,86400,2,47.35,47.45,46.85,47.6,47.35,47.45,46.85,47.6,3.6,0.0756,1687824000,0.5608,4.46,1.255984,7.41433,10.214592,41221780,41221780,44126215,33072484,33072484,47.5,47.6,0,0,595142770688,35.0,54.6,2.345546,46.001,48.1175,3.6,0.07602957,TWD,480485146624,0.31596002,11265828582,12503000064,0.09004,0.29042,26.117,1.8225676,1672444800,1703980800,1688083200,-0.267,80168370176,6.42,4.66,-0.8,104:100,1218153600,1.894,3.913,TAI,EQUITY,2303.TW,2303.TW,UNITED MICRO ELECTRONICS,United Microelectronics Corporation,946947600,Asia/Taipei,CST,28800000,47.6,77.65,32.0,53.41,55.0,2.3,buy,20,168229617664,13.455,122782121984,53222494208,1.411,1.672,253733158912,16.282,20.921,0.09932,0.26559,125764377000,-3564969472,121375653888,-0.265,-0.219,0.41092,0.48389998,0.32974,TWD,
9,Hsinchu Science Park,No. 3 Li-Hsin 2nd Road,Hsinchu City,Taiwan,886 3 578 2258,886 3 577 9392,https://www.umc.com,Semiconductors,Technology,"United Microelectronics Corporation operates as a semiconductor wafer foundry in Taiwan, Singapore, China, Hong Kong, Japan, the United States, Europe, and internationally. The company provides circuit design, mask tooling, wafer fabrication, and assembly and testing services. It serves fabless design companies and integrated device manufacturers. The company was incorporated in 1980 and is headquartered in Hsinchu City, Taiwan.",20000,"{'maxAge': 1, 'name': 'Vic  Yen', 'title': 'Chief Internal Auditor & Division Director', 'exercisedValue': 0, 'unexercisedValue': 0}",1135987200,86400,2,47.35,47.45,46.85,47.6,47.35,47.45,46.85,47.6,3.6,0.0756,1687824000,0.5608,4.46,1.255984,7.41433,10.214592,41221780,41221780,44126215,33072484,33072484,47.5,47.6,0,0,595142770688,35.0,54.6,2.345546,46.001,48.1175,3.6,0.07602957,TWD,480485146624,0.31596002,11265828582,12503000064,0.09004,0.29042,26.117,1.8225676,1672444800,1703980800,1688083200,-0.267,80168370176,6.42,4.66,-0.8,104:100,1218153600,1.894,3.913,TAI,EQUITY,2303.TW,2303.TW,UNITED MICRO ELECTRONICS,United Microelectronics Corporation,946947600,Asia/Taipei,CST,28800000,47.6,77.65,32.0,53.41,55.0,2.3,buy,20,168229617664,13.455,122782121984,53222494208,1.411,1.672,253733158912,16.282,20.921,0.09932,0.26559,125764377000,-3564969472,121375653888,-0.265,-0.219,0.41092,0.48389998,0.32974,TWD,
