,address1,city,state,zip,country,phone,website,industry,sector,longBusinessSummary,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,payoutRatio,beta,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,forwardEps,pegRatio,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,2/1-7 Unwins Bridge Road,St Peters,NSW,2044,Australia,61 2 9698 4548,https://www.templeandwebstergroup.com.au,Internet Retail,Consumer Cyclical,"Temple & Webster Group Ltd engages in the online retail of furniture, homewares, and home improvement products in Australia. The company operates the Temple & Webster online platform, which offers approximately 200,000 products. Temple & Webster Group Ltd was founded in 2011 and is headquartered in St Peters, Australia.","{'maxAge': 1, 'name': 'Mr. Mark  Coulter', 'title': 'Co-Founder, CEO, MD & Director', 'fiscalYear': 2023, 'totalPay': 497404, 'exercisedValue': 0, 'unexercisedValue': 0}",7,5,4,5,4,1693526400,1703980800,86400,2,6.6,6.57,6.56,6.74,6.6,6.57,6.56,6.74,0.0,1.622372,109.666664,82.25,529934,529934,459081,240837,240837,6.57,6.65,0,0,793673024,3.145,7.38,2.0066926,6.602,4.99015,0.0,0.0,AUD,711160704,0.021,82173991,120253000,0.30344,0.4716,0.896,7.3437495,1688083200,1719705600,1688083200,-0.056,8305000,0.06,0.08,3.29,1.798,63.349,ASX,EQUITY,TPW.AX,TPW.AX,TEMPLE WEB FPO,Temple & Webster Group Ltd,1449702000,Australia/Sydney,AEST,36000000,6.58,8.0,4.14,6.45,6.5,2.6,hold,11,105140000,0.874,11226000,25033000,1.773,2.173,395512992,23.236,3.248,0.03541,0.07885,128960000,14504375,22005000,-0.043,-0.013,0.32606,0.028380001,0.02586,AUD,
1,2/1-7 Unwins Bridge Road,St Peters,NSW,2044,Australia,61 2 9698 4548,https://www.templeandwebstergroup.com.au,Internet Retail,Consumer Cyclical,"Temple & Webster Group Ltd engages in the online retail of furniture, homewares, and home improvement products in Australia. The company operates the Temple & Webster online platform, which offers approximately 200,000 products. Temple & Webster Group Ltd was founded in 2011 and is headquartered in St Peters, Australia.","{'maxAge': 1, 'name': 'Mr. Conrad  Yiu', 'age': 47, 'title': 'Co-Founder & Deputy Chair', 'yearBorn': 1975, 'fiscalYear': 2023, 'totalPay': 57917, 'exercisedValue': 0, 'unexercisedValue': 0}",7,5,4,5,4,1693526400,1703980800,86400,2,6.6,6.57,6.56,6.74,6.6,6.57,6.56,6.74,0.0,1.622372,109.666664,82.25,529934,529934,459081,240837,240837,6.57,6.65,0,0,793673024,3.145,7.38,2.0066926,6.602,4.99015,0.0,0.0,AUD,711160704,0.021,82173991,120253000,0.30344,0.4716,0.896,7.3437495,1688083200,1719705600,1688083200,-0.056,8305000,0.06,0.08,3.29,1.798,63.349,ASX,EQUITY,TPW.AX,TPW.AX,TEMPLE WEB FPO,Temple & Webster Group Ltd,1449702000,Australia/Sydney,AEST,36000000,6.58,8.0,4.14,6.45,6.5,2.6,hold,11,105140000,0.874,11226000,25033000,1.773,2.173,395512992,23.236,3.248,0.03541,0.07885,128960000,14504375,22005000,-0.043,-0.013,0.32606,0.028380001,0.02586,AUD,
2,2/1-7 Unwins Bridge Road,St Peters,NSW,2044,Australia,61 2 9698 4548,https://www.templeandwebstergroup.com.au,Internet Retail,Consumer Cyclical,"Temple & Webster Group Ltd engages in the online retail of furniture, homewares, and home improvement products in Australia. The company operates the Temple & Webster online platform, which offers approximately 200,000 products. Temple & Webster Group Ltd was founded in 2011 and is headquartered in St Peters, Australia.","{'maxAge': 1, 'name': 'Mr. Adam Richard McWhinney', 'title': 'Co-Founder & Chief Experience Officer', 'fiscalYear': 2023, 'totalPay': 388142, 'exercisedValue': 0, 'unexercisedValue': 0}",7,5,4,5,4,1693526400,1703980800,86400,2,6.6,6.57,6.56,6.74,6.6,6.57,6.56,6.74,0.0,1.622372,109.666664,82.25,529934,529934,459081,240837,240837,6.57,6.65,0,0,793673024,3.145,7.38,2.0066926,6.602,4.99015,0.0,0.0,AUD,711160704,0.021,82173991,120253000,0.30344,0.4716,0.896,7.3437495,1688083200,1719705600,1688083200,-0.056,8305000,0.06,0.08,3.29,1.798,63.349,ASX,EQUITY,TPW.AX,TPW.AX,TEMPLE WEB FPO,Temple & Webster Group Ltd,1449702000,Australia/Sydney,AEST,36000000,6.58,8.0,4.14,6.45,6.5,2.6,hold,11,105140000,0.874,11226000,25033000,1.773,2.173,395512992,23.236,3.248,0.03541,0.07885,128960000,14504375,22005000,-0.043,-0.013,0.32606,0.028380001,0.02586,AUD,
3,2/1-7 Unwins Bridge Road,St Peters,NSW,2044,Australia,61 2 9698 4548,https://www.templeandwebstergroup.com.au,Internet Retail,Consumer Cyclical,"Temple & Webster Group Ltd engages in the online retail of furniture, homewares, and home improvement products in Australia. The company operates the Temple & Webster online platform, which offers approximately 200,000 products. Temple & Webster Group Ltd was founded in 2011 and is headquartered in St Peters, Australia.","{'maxAge': 1, 'name': 'Mr. Mark  Tayler', 'title': 'Chief Financial Officer', 'fiscalYear': 2023, 'totalPay': 540374, 'exercisedValue': 0, 'unexercisedValue': 0}",7,5,4,5,4,1693526400,1703980800,86400,2,6.6,6.57,6.56,6.74,6.6,6.57,6.56,6.74,0.0,1.622372,109.666664,82.25,529934,529934,459081,240837,240837,6.57,6.65,0,0,793673024,3.145,7.38,2.0066926,6.602,4.99015,0.0,0.0,AUD,711160704,0.021,82173991,120253000,0.30344,0.4716,0.896,7.3437495,1688083200,1719705600,1688083200,-0.056,8305000,0.06,0.08,3.29,1.798,63.349,ASX,EQUITY,TPW.AX,TPW.AX,TEMPLE WEB FPO,Temple & Webster Group Ltd,1449702000,Australia/Sydney,AEST,36000000,6.58,8.0,4.14,6.45,6.5,2.6,hold,11,105140000,0.874,11226000,25033000,1.773,2.173,395512992,23.236,3.248,0.03541,0.07885,128960000,14504375,22005000,-0.043,-0.013,0.32606,0.028380001,0.02586,AUD,
4,2/1-7 Unwins Bridge Road,St Peters,NSW,2044,Australia,61 2 9698 4548,https://www.templeandwebstergroup.com.au,Internet Retail,Consumer Cyclical,"Temple & Webster Group Ltd engages in the online retail of furniture, homewares, and home improvement products in Australia. The company operates the Temple & Webster online platform, which offers approximately 200,000 products. Temple & Webster Group Ltd was founded in 2011 and is headquartered in St Peters, Australia.","{'maxAge': 1, 'name': 'Mr. Tim  Charlton', 'title': 'Chief Operating Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",7,5,4,5,4,1693526400,1703980800,86400,2,6.6,6.57,6.56,6.74,6.6,6.57,6.56,6.74,0.0,1.622372,109.666664,82.25,529934,529934,459081,240837,240837,6.57,6.65,0,0,793673024,3.145,7.38,2.0066926,6.602,4.99015,0.0,0.0,AUD,711160704,0.021,82173991,120253000,0.30344,0.4716,0.896,7.3437495,1688083200,1719705600,1688083200,-0.056,8305000,0.06,0.08,3.29,1.798,63.349,ASX,EQUITY,TPW.AX,TPW.AX,TEMPLE WEB FPO,Temple & Webster Group Ltd,1449702000,Australia/Sydney,AEST,36000000,6.58,8.0,4.14,6.45,6.5,2.6,hold,11,105140000,0.874,11226000,25033000,1.773,2.173,395512992,23.236,3.248,0.03541,0.07885,128960000,14504375,22005000,-0.043,-0.013,0.32606,0.028380001,0.02586,AUD,
5,2/1-7 Unwins Bridge Road,St Peters,NSW,2044,Australia,61 2 9698 4548,https://www.templeandwebstergroup.com.au,Internet Retail,Consumer Cyclical,"Temple & Webster Group Ltd engages in the online retail of furniture, homewares, and home improvement products in Australia. The company operates the Temple & Webster online platform, which offers approximately 200,000 products. Temple & Webster Group Ltd was founded in 2011 and is headquartered in St Peters, Australia.","{'maxAge': 1, 'name': 'Mr. Michael  Henriques', 'title': 'Chief Information Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",7,5,4,5,4,1693526400,1703980800,86400,2,6.6,6.57,6.56,6.74,6.6,6.57,6.56,6.74,0.0,1.622372,109.666664,82.25,529934,529934,459081,240837,240837,6.57,6.65,0,0,793673024,3.145,7.38,2.0066926,6.602,4.99015,0.0,0.0,AUD,711160704,0.021,82173991,120253000,0.30344,0.4716,0.896,7.3437495,1688083200,1719705600,1688083200,-0.056,8305000,0.06,0.08,3.29,1.798,63.349,ASX,EQUITY,TPW.AX,TPW.AX,TEMPLE WEB FPO,Temple & Webster Group Ltd,1449702000,Australia/Sydney,AEST,36000000,6.58,8.0,4.14,6.45,6.5,2.6,hold,11,105140000,0.874,11226000,25033000,1.773,2.173,395512992,23.236,3.248,0.03541,0.07885,128960000,14504375,22005000,-0.043,-0.013,0.32606,0.028380001,0.02586,AUD,
6,2/1-7 Unwins Bridge Road,St Peters,NSW,2044,Australia,61 2 9698 4548,https://www.templeandwebstergroup.com.au,Internet Retail,Consumer Cyclical,"Temple & Webster Group Ltd engages in the online retail of furniture, homewares, and home improvement products in Australia. The company operates the Temple & Webster online platform, which offers approximately 200,000 products. Temple & Webster Group Ltd was founded in 2011 and is headquartered in St Peters, Australia.","{'maxAge': 1, 'name': 'Ms. Joana  Barros', 'title': 'Chief Marketing Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",7,5,4,5,4,1693526400,1703980800,86400,2,6.6,6.57,6.56,6.74,6.6,6.57,6.56,6.74,0.0,1.622372,109.666664,82.25,529934,529934,459081,240837,240837,6.57,6.65,0,0,793673024,3.145,7.38,2.0066926,6.602,4.99015,0.0,0.0,AUD,711160704,0.021,82173991,120253000,0.30344,0.4716,0.896,7.3437495,1688083200,1719705600,1688083200,-0.056,8305000,0.06,0.08,3.29,1.798,63.349,ASX,EQUITY,TPW.AX,TPW.AX,TEMPLE WEB FPO,Temple & Webster Group Ltd,1449702000,Australia/Sydney,AEST,36000000,6.58,8.0,4.14,6.45,6.5,2.6,hold,11,105140000,0.874,11226000,25033000,1.773,2.173,395512992,23.236,3.248,0.03541,0.07885,128960000,14504375,22005000,-0.043,-0.013,0.32606,0.028380001,0.02586,AUD,
7,2/1-7 Unwins Bridge Road,St Peters,NSW,2044,Australia,61 2 9698 4548,https://www.templeandwebstergroup.com.au,Internet Retail,Consumer Cyclical,"Temple & Webster Group Ltd engages in the online retail of furniture, homewares, and home improvement products in Australia. The company operates the Temple & Webster online platform, which offers approximately 200,000 products. Temple & Webster Group Ltd was founded in 2011 and is headquartered in St Peters, Australia.","{'maxAge': 1, 'name': 'Ms. Christie  McGuiness', 'title': 'People & Culture Director', 'exercisedValue': 0, 'unexercisedValue': 0}",7,5,4,5,4,1693526400,1703980800,86400,2,6.6,6.57,6.56,6.74,6.6,6.57,6.56,6.74,0.0,1.622372,109.666664,82.25,529934,529934,459081,240837,240837,6.57,6.65,0,0,793673024,3.145,7.38,2.0066926,6.602,4.99015,0.0,0.0,AUD,711160704,0.021,82173991,120253000,0.30344,0.4716,0.896,7.3437495,1688083200,1719705600,1688083200,-0.056,8305000,0.06,0.08,3.29,1.798,63.349,ASX,EQUITY,TPW.AX,TPW.AX,TEMPLE WEB FPO,Temple & Webster Group Ltd,1449702000,Australia/Sydney,AEST,36000000,6.58,8.0,4.14,6.45,6.5,2.6,hold,11,105140000,0.874,11226000,25033000,1.773,2.173,395512992,23.236,3.248,0.03541,0.07885,128960000,14504375,22005000,-0.043,-0.013,0.32606,0.028380001,0.02586,AUD,
8,2/1-7 Unwins Bridge Road,St Peters,NSW,2044,Australia,61 2 9698 4548,https://www.templeandwebstergroup.com.au,Internet Retail,Consumer Cyclical,"Temple & Webster Group Ltd engages in the online retail of furniture, homewares, and home improvement products in Australia. The company operates the Temple & Webster online platform, which offers approximately 200,000 products. Temple & Webster Group Ltd was founded in 2011 and is headquartered in St Peters, Australia.","{'maxAge': 1, 'name': 'Ms. Lucy  Sutherland', 'title': 'Head of Trade & Commercial', 'exercisedValue': 0, 'unexercisedValue': 0}",7,5,4,5,4,1693526400,1703980800,86400,2,6.6,6.57,6.56,6.74,6.6,6.57,6.56,6.74,0.0,1.622372,109.666664,82.25,529934,529934,459081,240837,240837,6.57,6.65,0,0,793673024,3.145,7.38,2.0066926,6.602,4.99015,0.0,0.0,AUD,711160704,0.021,82173991,120253000,0.30344,0.4716,0.896,7.3437495,1688083200,1719705600,1688083200,-0.056,8305000,0.06,0.08,3.29,1.798,63.349,ASX,EQUITY,TPW.AX,TPW.AX,TEMPLE WEB FPO,Temple & Webster Group Ltd,1449702000,Australia/Sydney,AEST,36000000,6.58,8.0,4.14,6.45,6.5,2.6,hold,11,105140000,0.874,11226000,25033000,1.773,2.173,395512992,23.236,3.248,0.03541,0.07885,128960000,14504375,22005000,-0.043,-0.013,0.32606,0.028380001,0.02586,AUD,
9,2/1-7 Unwins Bridge Road,St Peters,NSW,2044,Australia,61 2 9698 4548,https://www.templeandwebstergroup.com.au,Internet Retail,Consumer Cyclical,"Temple & Webster Group Ltd engages in the online retail of furniture, homewares, and home improvement products in Australia. The company operates the Temple & Webster online platform, which offers approximately 200,000 products. Temple & Webster Group Ltd was founded in 2011 and is headquartered in St Peters, Australia.","{'maxAge': 1, 'name': 'Ms. Kate  Perkins', 'title': 'Chief Merchandise Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",7,5,4,5,4,1693526400,1703980800,86400,2,6.6,6.57,6.56,6.74,6.6,6.57,6.56,6.74,0.0,1.622372,109.666664,82.25,529934,529934,459081,240837,240837,6.57,6.65,0,0,793673024,3.145,7.38,2.0066926,6.602,4.99015,0.0,0.0,AUD,711160704,0.021,82173991,120253000,0.30344,0.4716,0.896,7.3437495,1688083200,1719705600,1688083200,-0.056,8305000,0.06,0.08,3.29,1.798,63.349,ASX,EQUITY,TPW.AX,TPW.AX,TEMPLE WEB FPO,Temple & Webster Group Ltd,1449702000,Australia/Sydney,AEST,36000000,6.58,8.0,4.14,6.45,6.5,2.6,hold,11,105140000,0.874,11226000,25033000,1.773,2.173,395512992,23.236,3.248,0.03541,0.07885,128960000,14504375,22005000,-0.043,-0.013,0.32606,0.028380001,0.02586,AUD,
