,address1,address2,city,state,zip,country,website,industry,sector,longBusinessSummary,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,exDividendDate,payoutRatio,beta,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,shortRatio,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,forwardEps,pegRatio,lastSplitFactor,lastSplitDate,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,1255 Greene Avenue,Suite 300,Westmount,QC,H3Z 2A4,Canada,https://www.dorel.com,"Furnishings, Fixtures & Appliances",Consumer Cyclical,"Dorel Industries Inc. engages in the design, manufacture, sourcing, marketing, and distribution of home and juvenile products worldwide. It operates through Dorel Home and Dorel Juvenile segments. The company's Dorel Home segment offers ready-to assemble furniture and home furnishings products, including metal folding furniture, futons, children's furniture, step stools, hand trucks, ladders, outdoor furniture, and other imported furniture items. This segment markets its products under the DHP, Signature Sleep, Little Seeds, Ameriwood Home, Cosco Home & Office, Queer Eye, Cosmo Living, Novogratz, Real Rooms, Mr. Kate, Baby Relax, Alphason, Bertini, Ntense, and Notio brands. Its Dorel Juvenile segment provides children's accessories comprising infant car seats, strollers, high-chairs, play yards, and infant health and safety aids under the Maxi-Cosi, Tiny Love, Infanti, Safety 1st, Bébé Confort, Quinny, and Cosco brands. The company was formerly known as Dorel Co. Ltd. and changed its name to Dorel Industries Inc. in May 1987. Dorel Industries Inc. was incorporated in 1962 and is headquartered in Westmount, Canada.","{'maxAge': 1, 'name': 'Mr. Martin  Schwartz', 'age': 73, 'title': 'Pres, CEO & Director', 'yearBorn': 1949, 'fiscalYear': 2022, 'totalPay': 2010874, 'exercisedValue': 0, 'unexercisedValue': 0}",3,6,5,10,7,1693526400,1672444800,86400,2,5.39,5.37,5.26,5.44,5.39,5.37,5.26,5.44,1643760000,0.0,2.913686,6.4761906,78661,78661,15511,15810,15810,5.38,5.45,0,0,179570048,3.2,6.75,0.12892626,5.5818,4.8781,0.0,0.0,CAD,553757888,-0.09042,26349660,28390600,682196,795344,1690761600,1693440000,0.021,0.0113699995,0.59812,95.28,7.307,0.7444916,1672358400,1703894400,1688083200,-126332000,-5.3,0.84,-0.19,2:1,904521600,0.398,-6.353,TOR,EQUITY,DII-B.TO,DII-B.TO,"DOREL INDUSTRIES INC., CL.B, SV",Dorel Industries Inc.,839943000,America/Toronto,EDT,-14400000,5.44,11.97,6.99,9.47,9.47,2.5,buy,2,24101000,0.741,-87166000,402470016,0.568,1.564,1392812032,169.291,42.807,-0.06219,-0.42150003,205013000,86163872,64740000,-0.193,0.12525,-0.06258,-0.08015,USD,
1,1255 Greene Avenue,Suite 300,Westmount,QC,H3Z 2A4,Canada,https://www.dorel.com,"Furnishings, Fixtures & Appliances",Consumer Cyclical,"Dorel Industries Inc. engages in the design, manufacture, sourcing, marketing, and distribution of home and juvenile products worldwide. It operates through Dorel Home and Dorel Juvenile segments. The company's Dorel Home segment offers ready-to assemble furniture and home furnishings products, including metal folding furniture, futons, children's furniture, step stools, hand trucks, ladders, outdoor furniture, and other imported furniture items. This segment markets its products under the DHP, Signature Sleep, Little Seeds, Ameriwood Home, Cosco Home & Office, Queer Eye, Cosmo Living, Novogratz, Real Rooms, Mr. Kate, Baby Relax, Alphason, Bertini, Ntense, and Notio brands. Its Dorel Juvenile segment provides children's accessories comprising infant car seats, strollers, high-chairs, play yards, and infant health and safety aids under the Maxi-Cosi, Tiny Love, Infanti, Safety 1st, Bébé Confort, Quinny, and Cosco brands. The company was formerly known as Dorel Co. Ltd. and changed its name to Dorel Industries Inc. in May 1987. Dorel Industries Inc. was incorporated in 1962 and is headquartered in Westmount, Canada.","{'maxAge': 1, 'name': 'Mr. Jeffrey  Schwartz', 'age': 59, 'title': 'Exec. VP, CFO, Sec. & Director', 'yearBorn': 1963, 'fiscalYear': 2022, 'totalPay': 2010874, 'exercisedValue': 0, 'unexercisedValue': 0}",3,6,5,10,7,1693526400,1672444800,86400,2,5.39,5.37,5.26,5.44,5.39,5.37,5.26,5.44,1643760000,0.0,2.913686,6.4761906,78661,78661,15511,15810,15810,5.38,5.45,0,0,179570048,3.2,6.75,0.12892626,5.5818,4.8781,0.0,0.0,CAD,553757888,-0.09042,26349660,28390600,682196,795344,1690761600,1693440000,0.021,0.0113699995,0.59812,95.28,7.307,0.7444916,1672358400,1703894400,1688083200,-126332000,-5.3,0.84,-0.19,2:1,904521600,0.398,-6.353,TOR,EQUITY,DII-B.TO,DII-B.TO,"DOREL INDUSTRIES INC., CL.B, SV",Dorel Industries Inc.,839943000,America/Toronto,EDT,-14400000,5.44,11.97,6.99,9.47,9.47,2.5,buy,2,24101000,0.741,-87166000,402470016,0.568,1.564,1392812032,169.291,42.807,-0.06219,-0.42150003,205013000,86163872,64740000,-0.193,0.12525,-0.06258,-0.08015,USD,
2,1255 Greene Avenue,Suite 300,Westmount,QC,H3Z 2A4,Canada,https://www.dorel.com,"Furnishings, Fixtures & Appliances",Consumer Cyclical,"Dorel Industries Inc. engages in the design, manufacture, sourcing, marketing, and distribution of home and juvenile products worldwide. It operates through Dorel Home and Dorel Juvenile segments. The company's Dorel Home segment offers ready-to assemble furniture and home furnishings products, including metal folding furniture, futons, children's furniture, step stools, hand trucks, ladders, outdoor furniture, and other imported furniture items. This segment markets its products under the DHP, Signature Sleep, Little Seeds, Ameriwood Home, Cosco Home & Office, Queer Eye, Cosmo Living, Novogratz, Real Rooms, Mr. Kate, Baby Relax, Alphason, Bertini, Ntense, and Notio brands. Its Dorel Juvenile segment provides children's accessories comprising infant car seats, strollers, high-chairs, play yards, and infant health and safety aids under the Maxi-Cosi, Tiny Love, Infanti, Safety 1st, Bébé Confort, Quinny, and Cosco brands. The company was formerly known as Dorel Co. Ltd. and changed its name to Dorel Industries Inc. in May 1987. Dorel Industries Inc. was incorporated in 1962 and is headquartered in Westmount, Canada.","{'maxAge': 1, 'name': 'Mr. Alan  Schwartz', 'age': 70, 'title': 'Exec. VP of Operations & Director', 'yearBorn': 1952, 'fiscalYear': 2022, 'totalPay': 2010874, 'exercisedValue': 0, 'unexercisedValue': 0}",3,6,5,10,7,1693526400,1672444800,86400,2,5.39,5.37,5.26,5.44,5.39,5.37,5.26,5.44,1643760000,0.0,2.913686,6.4761906,78661,78661,15511,15810,15810,5.38,5.45,0,0,179570048,3.2,6.75,0.12892626,5.5818,4.8781,0.0,0.0,CAD,553757888,-0.09042,26349660,28390600,682196,795344,1690761600,1693440000,0.021,0.0113699995,0.59812,95.28,7.307,0.7444916,1672358400,1703894400,1688083200,-126332000,-5.3,0.84,-0.19,2:1,904521600,0.398,-6.353,TOR,EQUITY,DII-B.TO,DII-B.TO,"DOREL INDUSTRIES INC., CL.B, SV",Dorel Industries Inc.,839943000,America/Toronto,EDT,-14400000,5.44,11.97,6.99,9.47,9.47,2.5,buy,2,24101000,0.741,-87166000,402470016,0.568,1.564,1392812032,169.291,42.807,-0.06219,-0.42150003,205013000,86163872,64740000,-0.193,0.12525,-0.06258,-0.08015,USD,
3,1255 Greene Avenue,Suite 300,Westmount,QC,H3Z 2A4,Canada,https://www.dorel.com,"Furnishings, Fixtures & Appliances",Consumer Cyclical,"Dorel Industries Inc. engages in the design, manufacture, sourcing, marketing, and distribution of home and juvenile products worldwide. It operates through Dorel Home and Dorel Juvenile segments. The company's Dorel Home segment offers ready-to assemble furniture and home furnishings products, including metal folding furniture, futons, children's furniture, step stools, hand trucks, ladders, outdoor furniture, and other imported furniture items. This segment markets its products under the DHP, Signature Sleep, Little Seeds, Ameriwood Home, Cosco Home & Office, Queer Eye, Cosmo Living, Novogratz, Real Rooms, Mr. Kate, Baby Relax, Alphason, Bertini, Ntense, and Notio brands. Its Dorel Juvenile segment provides children's accessories comprising infant car seats, strollers, high-chairs, play yards, and infant health and safety aids under the Maxi-Cosi, Tiny Love, Infanti, Safety 1st, Bébé Confort, Quinny, and Cosco brands. The company was formerly known as Dorel Co. Ltd. and changed its name to Dorel Industries Inc. in May 1987. Dorel Industries Inc. was incorporated in 1962 and is headquartered in Westmount, Canada.","{'maxAge': 1, 'name': 'Mr. Jeff  Segel', 'age': 71, 'title': 'Exec. VP of Sales & Marketing and Director', 'yearBorn': 1951, 'fiscalYear': 2022, 'totalPay': 2010874, 'exercisedValue': 0, 'unexercisedValue': 0}",3,6,5,10,7,1693526400,1672444800,86400,2,5.39,5.37,5.26,5.44,5.39,5.37,5.26,5.44,1643760000,0.0,2.913686,6.4761906,78661,78661,15511,15810,15810,5.38,5.45,0,0,179570048,3.2,6.75,0.12892626,5.5818,4.8781,0.0,0.0,CAD,553757888,-0.09042,26349660,28390600,682196,795344,1690761600,1693440000,0.021,0.0113699995,0.59812,95.28,7.307,0.7444916,1672358400,1703894400,1688083200,-126332000,-5.3,0.84,-0.19,2:1,904521600,0.398,-6.353,TOR,EQUITY,DII-B.TO,DII-B.TO,"DOREL INDUSTRIES INC., CL.B, SV",Dorel Industries Inc.,839943000,America/Toronto,EDT,-14400000,5.44,11.97,6.99,9.47,9.47,2.5,buy,2,24101000,0.741,-87166000,402470016,0.568,1.564,1392812032,169.291,42.807,-0.06219,-0.42150003,205013000,86163872,64740000,-0.193,0.12525,-0.06258,-0.08015,USD,
4,1255 Greene Avenue,Suite 300,Westmount,QC,H3Z 2A4,Canada,https://www.dorel.com,"Furnishings, Fixtures & Appliances",Consumer Cyclical,"Dorel Industries Inc. engages in the design, manufacture, sourcing, marketing, and distribution of home and juvenile products worldwide. It operates through Dorel Home and Dorel Juvenile segments. The company's Dorel Home segment offers ready-to assemble furniture and home furnishings products, including metal folding furniture, futons, children's furniture, step stools, hand trucks, ladders, outdoor furniture, and other imported furniture items. This segment markets its products under the DHP, Signature Sleep, Little Seeds, Ameriwood Home, Cosco Home & Office, Queer Eye, Cosmo Living, Novogratz, Real Rooms, Mr. Kate, Baby Relax, Alphason, Bertini, Ntense, and Notio brands. Its Dorel Juvenile segment provides children's accessories comprising infant car seats, strollers, high-chairs, play yards, and infant health and safety aids under the Maxi-Cosi, Tiny Love, Infanti, Safety 1st, Bébé Confort, Quinny, and Cosco brands. The company was formerly known as Dorel Co. Ltd. and changed its name to Dorel Industries Inc. in May 1987. Dorel Industries Inc. was incorporated in 1962 and is headquartered in Westmount, Canada.","{'maxAge': 1, 'name': 'Mr. Frank  Rana', 'title': 'Sr. VP of Fin. & Assistant Sec.', 'fiscalYear': 2022, 'totalPay': 9972879, 'exercisedValue': 0, 'unexercisedValue': 0}",3,6,5,10,7,1693526400,1672444800,86400,2,5.39,5.37,5.26,5.44,5.39,5.37,5.26,5.44,1643760000,0.0,2.913686,6.4761906,78661,78661,15511,15810,15810,5.38,5.45,0,0,179570048,3.2,6.75,0.12892626,5.5818,4.8781,0.0,0.0,CAD,553757888,-0.09042,26349660,28390600,682196,795344,1690761600,1693440000,0.021,0.0113699995,0.59812,95.28,7.307,0.7444916,1672358400,1703894400,1688083200,-126332000,-5.3,0.84,-0.19,2:1,904521600,0.398,-6.353,TOR,EQUITY,DII-B.TO,DII-B.TO,"DOREL INDUSTRIES INC., CL.B, SV",Dorel Industries Inc.,839943000,America/Toronto,EDT,-14400000,5.44,11.97,6.99,9.47,9.47,2.5,buy,2,24101000,0.741,-87166000,402470016,0.568,1.564,1392812032,169.291,42.807,-0.06219,-0.42150003,205013000,86163872,64740000,-0.193,0.12525,-0.06258,-0.08015,USD,
5,1255 Greene Avenue,Suite 300,Westmount,QC,H3Z 2A4,Canada,https://www.dorel.com,"Furnishings, Fixtures & Appliances",Consumer Cyclical,"Dorel Industries Inc. engages in the design, manufacture, sourcing, marketing, and distribution of home and juvenile products worldwide. It operates through Dorel Home and Dorel Juvenile segments. The company's Dorel Home segment offers ready-to assemble furniture and home furnishings products, including metal folding furniture, futons, children's furniture, step stools, hand trucks, ladders, outdoor furniture, and other imported furniture items. This segment markets its products under the DHP, Signature Sleep, Little Seeds, Ameriwood Home, Cosco Home & Office, Queer Eye, Cosmo Living, Novogratz, Real Rooms, Mr. Kate, Baby Relax, Alphason, Bertini, Ntense, and Notio brands. Its Dorel Juvenile segment provides children's accessories comprising infant car seats, strollers, high-chairs, play yards, and infant health and safety aids under the Maxi-Cosi, Tiny Love, Infanti, Safety 1st, Bébé Confort, Quinny, and Cosco brands. The company was formerly known as Dorel Co. Ltd. and changed its name to Dorel Industries Inc. in May 1987. Dorel Industries Inc. was incorporated in 1962 and is headquartered in Westmount, Canada.","{'maxAge': 1, 'name': 'Mr. Leo  Schwartz', 'title': 'Founder', 'exercisedValue': 0, 'unexercisedValue': 0}",3,6,5,10,7,1693526400,1672444800,86400,2,5.39,5.37,5.26,5.44,5.39,5.37,5.26,5.44,1643760000,0.0,2.913686,6.4761906,78661,78661,15511,15810,15810,5.38,5.45,0,0,179570048,3.2,6.75,0.12892626,5.5818,4.8781,0.0,0.0,CAD,553757888,-0.09042,26349660,28390600,682196,795344,1690761600,1693440000,0.021,0.0113699995,0.59812,95.28,7.307,0.7444916,1672358400,1703894400,1688083200,-126332000,-5.3,0.84,-0.19,2:1,904521600,0.398,-6.353,TOR,EQUITY,DII-B.TO,DII-B.TO,"DOREL INDUSTRIES INC., CL.B, SV",Dorel Industries Inc.,839943000,America/Toronto,EDT,-14400000,5.44,11.97,6.99,9.47,9.47,2.5,buy,2,24101000,0.741,-87166000,402470016,0.568,1.564,1392812032,169.291,42.807,-0.06219,-0.42150003,205013000,86163872,64740000,-0.193,0.12525,-0.06258,-0.08015,USD,
6,1255 Greene Avenue,Suite 300,Westmount,QC,H3Z 2A4,Canada,https://www.dorel.com,"Furnishings, Fixtures & Appliances",Consumer Cyclical,"Dorel Industries Inc. engages in the design, manufacture, sourcing, marketing, and distribution of home and juvenile products worldwide. It operates through Dorel Home and Dorel Juvenile segments. The company's Dorel Home segment offers ready-to assemble furniture and home furnishings products, including metal folding furniture, futons, children's furniture, step stools, hand trucks, ladders, outdoor furniture, and other imported furniture items. This segment markets its products under the DHP, Signature Sleep, Little Seeds, Ameriwood Home, Cosco Home & Office, Queer Eye, Cosmo Living, Novogratz, Real Rooms, Mr. Kate, Baby Relax, Alphason, Bertini, Ntense, and Notio brands. Its Dorel Juvenile segment provides children's accessories comprising infant car seats, strollers, high-chairs, play yards, and infant health and safety aids under the Maxi-Cosi, Tiny Love, Infanti, Safety 1st, Bébé Confort, Quinny, and Cosco brands. The company was formerly known as Dorel Co. Ltd. and changed its name to Dorel Industries Inc. in May 1987. Dorel Industries Inc. was incorporated in 1962 and is headquartered in Westmount, Canada.","{'maxAge': 1, 'name': 'Mr. Edward  Wyse', 'title': 'Sr. Vice-Pres of Global Procurement', 'exercisedValue': 0, 'unexercisedValue': 0}",3,6,5,10,7,1693526400,1672444800,86400,2,5.39,5.37,5.26,5.44,5.39,5.37,5.26,5.44,1643760000,0.0,2.913686,6.4761906,78661,78661,15511,15810,15810,5.38,5.45,0,0,179570048,3.2,6.75,0.12892626,5.5818,4.8781,0.0,0.0,CAD,553757888,-0.09042,26349660,28390600,682196,795344,1690761600,1693440000,0.021,0.0113699995,0.59812,95.28,7.307,0.7444916,1672358400,1703894400,1688083200,-126332000,-5.3,0.84,-0.19,2:1,904521600,0.398,-6.353,TOR,EQUITY,DII-B.TO,DII-B.TO,"DOREL INDUSTRIES INC., CL.B, SV",Dorel Industries Inc.,839943000,America/Toronto,EDT,-14400000,5.44,11.97,6.99,9.47,9.47,2.5,buy,2,24101000,0.741,-87166000,402470016,0.568,1.564,1392812032,169.291,42.807,-0.06219,-0.42150003,205013000,86163872,64740000,-0.193,0.12525,-0.06258,-0.08015,USD,
7,1255 Greene Avenue,Suite 300,Westmount,QC,H3Z 2A4,Canada,https://www.dorel.com,"Furnishings, Fixtures & Appliances",Consumer Cyclical,"Dorel Industries Inc. engages in the design, manufacture, sourcing, marketing, and distribution of home and juvenile products worldwide. It operates through Dorel Home and Dorel Juvenile segments. The company's Dorel Home segment offers ready-to assemble furniture and home furnishings products, including metal folding furniture, futons, children's furniture, step stools, hand trucks, ladders, outdoor furniture, and other imported furniture items. This segment markets its products under the DHP, Signature Sleep, Little Seeds, Ameriwood Home, Cosco Home & Office, Queer Eye, Cosmo Living, Novogratz, Real Rooms, Mr. Kate, Baby Relax, Alphason, Bertini, Ntense, and Notio brands. Its Dorel Juvenile segment provides children's accessories comprising infant car seats, strollers, high-chairs, play yards, and infant health and safety aids under the Maxi-Cosi, Tiny Love, Infanti, Safety 1st, Bébé Confort, Quinny, and Cosco brands. The company was formerly known as Dorel Co. Ltd. and changed its name to Dorel Industries Inc. in May 1987. Dorel Industries Inc. was incorporated in 1962 and is headquartered in Westmount, Canada.","{'maxAge': 1, 'name': 'Mr. Ian  Farthing', 'title': 'Chief Financial Officer of Juvenile Segment', 'exercisedValue': 0, 'unexercisedValue': 0}",3,6,5,10,7,1693526400,1672444800,86400,2,5.39,5.37,5.26,5.44,5.39,5.37,5.26,5.44,1643760000,0.0,2.913686,6.4761906,78661,78661,15511,15810,15810,5.38,5.45,0,0,179570048,3.2,6.75,0.12892626,5.5818,4.8781,0.0,0.0,CAD,553757888,-0.09042,26349660,28390600,682196,795344,1690761600,1693440000,0.021,0.0113699995,0.59812,95.28,7.307,0.7444916,1672358400,1703894400,1688083200,-126332000,-5.3,0.84,-0.19,2:1,904521600,0.398,-6.353,TOR,EQUITY,DII-B.TO,DII-B.TO,"DOREL INDUSTRIES INC., CL.B, SV",Dorel Industries Inc.,839943000,America/Toronto,EDT,-14400000,5.44,11.97,6.99,9.47,9.47,2.5,buy,2,24101000,0.741,-87166000,402470016,0.568,1.564,1392812032,169.291,42.807,-0.06219,-0.42150003,205013000,86163872,64740000,-0.193,0.12525,-0.06258,-0.08015,USD,
8,1255 Greene Avenue,Suite 300,Westmount,QC,H3Z 2A4,Canada,https://www.dorel.com,"Furnishings, Fixtures & Appliances",Consumer Cyclical,"Dorel Industries Inc. engages in the design, manufacture, sourcing, marketing, and distribution of home and juvenile products worldwide. It operates through Dorel Home and Dorel Juvenile segments. The company's Dorel Home segment offers ready-to assemble furniture and home furnishings products, including metal folding furniture, futons, children's furniture, step stools, hand trucks, ladders, outdoor furniture, and other imported furniture items. This segment markets its products under the DHP, Signature Sleep, Little Seeds, Ameriwood Home, Cosco Home & Office, Queer Eye, Cosmo Living, Novogratz, Real Rooms, Mr. Kate, Baby Relax, Alphason, Bertini, Ntense, and Notio brands. Its Dorel Juvenile segment provides children's accessories comprising infant car seats, strollers, high-chairs, play yards, and infant health and safety aids under the Maxi-Cosi, Tiny Love, Infanti, Safety 1st, Bébé Confort, Quinny, and Cosco brands. The company was formerly known as Dorel Co. Ltd. and changed its name to Dorel Industries Inc. in May 1987. Dorel Industries Inc. was incorporated in 1962 and is headquartered in Westmount, Canada.","{'maxAge': 1, 'name': 'Mr. Norman  Braunstein', 'title': 'Group Chief Exec. Officer of Dorel Home', 'exercisedValue': 0, 'unexercisedValue': 0}",3,6,5,10,7,1693526400,1672444800,86400,2,5.39,5.37,5.26,5.44,5.39,5.37,5.26,5.44,1643760000,0.0,2.913686,6.4761906,78661,78661,15511,15810,15810,5.38,5.45,0,0,179570048,3.2,6.75,0.12892626,5.5818,4.8781,0.0,0.0,CAD,553757888,-0.09042,26349660,28390600,682196,795344,1690761600,1693440000,0.021,0.0113699995,0.59812,95.28,7.307,0.7444916,1672358400,1703894400,1688083200,-126332000,-5.3,0.84,-0.19,2:1,904521600,0.398,-6.353,TOR,EQUITY,DII-B.TO,DII-B.TO,"DOREL INDUSTRIES INC., CL.B, SV",Dorel Industries Inc.,839943000,America/Toronto,EDT,-14400000,5.44,11.97,6.99,9.47,9.47,2.5,buy,2,24101000,0.741,-87166000,402470016,0.568,1.564,1392812032,169.291,42.807,-0.06219,-0.42150003,205013000,86163872,64740000,-0.193,0.12525,-0.06258,-0.08015,USD,
9,1255 Greene Avenue,Suite 300,Westmount,QC,H3Z 2A4,Canada,https://www.dorel.com,"Furnishings, Fixtures & Appliances",Consumer Cyclical,"Dorel Industries Inc. engages in the design, manufacture, sourcing, marketing, and distribution of home and juvenile products worldwide. It operates through Dorel Home and Dorel Juvenile segments. The company's Dorel Home segment offers ready-to assemble furniture and home furnishings products, including metal folding furniture, futons, children's furniture, step stools, hand trucks, ladders, outdoor furniture, and other imported furniture items. This segment markets its products under the DHP, Signature Sleep, Little Seeds, Ameriwood Home, Cosco Home & Office, Queer Eye, Cosmo Living, Novogratz, Real Rooms, Mr. Kate, Baby Relax, Alphason, Bertini, Ntense, and Notio brands. Its Dorel Juvenile segment provides children's accessories comprising infant car seats, strollers, high-chairs, play yards, and infant health and safety aids under the Maxi-Cosi, Tiny Love, Infanti, Safety 1st, Bébé Confort, Quinny, and Cosco brands. The company was formerly known as Dorel Co. Ltd. and changed its name to Dorel Industries Inc. in May 1987. Dorel Industries Inc. was incorporated in 1962 and is headquartered in Westmount, Canada.","{'maxAge': 1, 'name': 'Mr. Ira  Goldstein', 'title': 'Pres of Dorel Home Products', 'exercisedValue': 0, 'unexercisedValue': 0}",3,6,5,10,7,1693526400,1672444800,86400,2,5.39,5.37,5.26,5.44,5.39,5.37,5.26,5.44,1643760000,0.0,2.913686,6.4761906,78661,78661,15511,15810,15810,5.38,5.45,0,0,179570048,3.2,6.75,0.12892626,5.5818,4.8781,0.0,0.0,CAD,553757888,-0.09042,26349660,28390600,682196,795344,1690761600,1693440000,0.021,0.0113699995,0.59812,95.28,7.307,0.7444916,1672358400,1703894400,1688083200,-126332000,-5.3,0.84,-0.19,2:1,904521600,0.398,-6.353,TOR,EQUITY,DII-B.TO,DII-B.TO,"DOREL INDUSTRIES INC., CL.B, SV",Dorel Industries Inc.,839943000,America/Toronto,EDT,-14400000,5.44,11.97,6.99,9.47,9.47,2.5,buy,2,24101000,0.741,-87166000,402470016,0.568,1.564,1392812032,169.291,42.807,-0.06219,-0.42150003,205013000,86163872,64740000,-0.193,0.12525,-0.06258,-0.08015,USD,
