,address1,city,state,zip,country,phone,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,beta,trailingPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationKey,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,2025 Hamilton Avenue,San Jose,CA,95125,United States,408 376 7108,https://www.ebayinc.com,Internet Retail,Consumer Cyclical,"eBay Inc. operates marketplace platforms that connect buyers and sellers in the United States and internationally. The company's marketplace platform includes its online marketplace at ebay.com and the eBay suite of mobile apps. Its platforms enable users to list, buy, and sell various products. The company was founded in 1995 and is headquartered in San Jose, California.",11600,"{'maxAge': 1, 'name': 'Mr. Jamie J. Iannone', 'age': 49, 'title': 'CEO, Pres & Director', 'yearBorn': 1973, 'fiscalYear': 2022, 'totalPay': 3099563, 'exercisedValue': 0, 'unexercisedValue': 0}",3,1,9,3,3,1693526400,1672444800,86400,2,107.4,0.0,0.0,0.0,107.4,0.0,0.0,0.0,2.43,0.0226,1693440000,0.3971,1.348893,18.421955,0,0,30,101,101,108.46,114.92,115510853632,0.0,131.18,11.6208105,108.8372,112.5759,0.98,0.009124767,BRL,115394404352,0.13491,1060664180,1064310016,0.0,1.0000001e-05,4.942,21.732094,1672444800,1703980800,1688083200,1342000000,5.83,11.609,41.916,SAO,EQUITY,EBAY34.SA,EBAY34.SA,EBAY        DRN ED,eBay Inc.,1331038800,America/Sao_Paulo,BRT,-10800000,107.4,none,7132000256,6.701,2752999936,8218999808,2.286,2.452,9939999744,156.017,9.195,0.07366,0.25535,7115000000,2764875008,2855000064,0.049,0.72374,0.27696,0.23481001,USD,3.6837
1,2025 Hamilton Avenue,San Jose,CA,95125,United States,408 376 7108,https://www.ebayinc.com,Internet Retail,Consumer Cyclical,"eBay Inc. operates marketplace platforms that connect buyers and sellers in the United States and internationally. The company's marketplace platform includes its online marketplace at ebay.com and the eBay suite of mobile apps. Its platforms enable users to list, buy, and sell various products. The company was founded in 1995 and is headquartered in San Jose, California.",11600,"{'maxAge': 1, 'name': 'Mr. Stephen J. Priest', 'age': 52, 'title': 'Sr. VP & CFO', 'yearBorn': 1970, 'fiscalYear': 2022, 'totalPay': 3634728, 'exercisedValue': 0, 'unexercisedValue': 0}",3,1,9,3,3,1693526400,1672444800,86400,2,107.4,0.0,0.0,0.0,107.4,0.0,0.0,0.0,2.43,0.0226,1693440000,0.3971,1.348893,18.421955,0,0,30,101,101,108.46,114.92,115510853632,0.0,131.18,11.6208105,108.8372,112.5759,0.98,0.009124767,BRL,115394404352,0.13491,1060664180,1064310016,0.0,1.0000001e-05,4.942,21.732094,1672444800,1703980800,1688083200,1342000000,5.83,11.609,41.916,SAO,EQUITY,EBAY34.SA,EBAY34.SA,EBAY        DRN ED,eBay Inc.,1331038800,America/Sao_Paulo,BRT,-10800000,107.4,none,7132000256,6.701,2752999936,8218999808,2.286,2.452,9939999744,156.017,9.195,0.07366,0.25535,7115000000,2764875008,2855000064,0.049,0.72374,0.27696,0.23481001,USD,3.6837
2,2025 Hamilton Avenue,San Jose,CA,95125,United States,408 376 7108,https://www.ebayinc.com,Internet Retail,Consumer Cyclical,"eBay Inc. operates marketplace platforms that connect buyers and sellers in the United States and internationally. The company's marketplace platform includes its online marketplace at ebay.com and the eBay suite of mobile apps. Its platforms enable users to list, buy, and sell various products. The company was founded in 1995 and is headquartered in San Jose, California.",11600,"{'maxAge': 1, 'name': 'Mr. Cornelius  Boone', 'age': 42, 'title': 'Sr. VP & Chief People Officer', 'yearBorn': 1980, 'fiscalYear': 2022, 'totalPay': 2110226, 'exercisedValue': 0, 'unexercisedValue': 0}",3,1,9,3,3,1693526400,1672444800,86400,2,107.4,0.0,0.0,0.0,107.4,0.0,0.0,0.0,2.43,0.0226,1693440000,0.3971,1.348893,18.421955,0,0,30,101,101,108.46,114.92,115510853632,0.0,131.18,11.6208105,108.8372,112.5759,0.98,0.009124767,BRL,115394404352,0.13491,1060664180,1064310016,0.0,1.0000001e-05,4.942,21.732094,1672444800,1703980800,1688083200,1342000000,5.83,11.609,41.916,SAO,EQUITY,EBAY34.SA,EBAY34.SA,EBAY        DRN ED,eBay Inc.,1331038800,America/Sao_Paulo,BRT,-10800000,107.4,none,7132000256,6.701,2752999936,8218999808,2.286,2.452,9939999744,156.017,9.195,0.07366,0.25535,7115000000,2764875008,2855000064,0.049,0.72374,0.27696,0.23481001,USD,3.6837
3,2025 Hamilton Avenue,San Jose,CA,95125,United States,408 376 7108,https://www.ebayinc.com,Internet Retail,Consumer Cyclical,"eBay Inc. operates marketplace platforms that connect buyers and sellers in the United States and internationally. The company's marketplace platform includes its online marketplace at ebay.com and the eBay suite of mobile apps. Its platforms enable users to list, buy, and sell various products. The company was founded in 1995 and is headquartered in San Jose, California.",11600,"{'maxAge': 1, 'name': 'Ms. Julie A. Loeger', 'age': 58, 'title': 'Sr. VP & Chief Growth Officer', 'yearBorn': 1964, 'fiscalYear': 2022, 'totalPay': 2143840, 'exercisedValue': 0, 'unexercisedValue': 0}",3,1,9,3,3,1693526400,1672444800,86400,2,107.4,0.0,0.0,0.0,107.4,0.0,0.0,0.0,2.43,0.0226,1693440000,0.3971,1.348893,18.421955,0,0,30,101,101,108.46,114.92,115510853632,0.0,131.18,11.6208105,108.8372,112.5759,0.98,0.009124767,BRL,115394404352,0.13491,1060664180,1064310016,0.0,1.0000001e-05,4.942,21.732094,1672444800,1703980800,1688083200,1342000000,5.83,11.609,41.916,SAO,EQUITY,EBAY34.SA,EBAY34.SA,EBAY        DRN ED,eBay Inc.,1331038800,America/Sao_Paulo,BRT,-10800000,107.4,none,7132000256,6.701,2752999936,8218999808,2.286,2.452,9939999744,156.017,9.195,0.07366,0.25535,7115000000,2764875008,2855000064,0.049,0.72374,0.27696,0.23481001,USD,3.6837
4,2025 Hamilton Avenue,San Jose,CA,95125,United States,408 376 7108,https://www.ebayinc.com,Internet Retail,Consumer Cyclical,"eBay Inc. operates marketplace platforms that connect buyers and sellers in the United States and internationally. The company's marketplace platform includes its online marketplace at ebay.com and the eBay suite of mobile apps. Its platforms enable users to list, buy, and sell various products. The company was founded in 1995 and is headquartered in San Jose, California.",11600,"{'maxAge': 1, 'name': 'Mr. Eddie  Garcia', 'title': 'Sr. VP & Chief Product Officer', 'fiscalYear': 2022, 'totalPay': 3430696, 'exercisedValue': 0, 'unexercisedValue': 0}",3,1,9,3,3,1693526400,1672444800,86400,2,107.4,0.0,0.0,0.0,107.4,0.0,0.0,0.0,2.43,0.0226,1693440000,0.3971,1.348893,18.421955,0,0,30,101,101,108.46,114.92,115510853632,0.0,131.18,11.6208105,108.8372,112.5759,0.98,0.009124767,BRL,115394404352,0.13491,1060664180,1064310016,0.0,1.0000001e-05,4.942,21.732094,1672444800,1703980800,1688083200,1342000000,5.83,11.609,41.916,SAO,EQUITY,EBAY34.SA,EBAY34.SA,EBAY        DRN ED,eBay Inc.,1331038800,America/Sao_Paulo,BRT,-10800000,107.4,none,7132000256,6.701,2752999936,8218999808,2.286,2.452,9939999744,156.017,9.195,0.07366,0.25535,7115000000,2764875008,2855000064,0.049,0.72374,0.27696,0.23481001,USD,3.6837
5,2025 Hamilton Avenue,San Jose,CA,95125,United States,408 376 7108,https://www.ebayinc.com,Internet Retail,Consumer Cyclical,"eBay Inc. operates marketplace platforms that connect buyers and sellers in the United States and internationally. The company's marketplace platform includes its online marketplace at ebay.com and the eBay suite of mobile apps. Its platforms enable users to list, buy, and sell various products. The company was founded in 1995 and is headquartered in San Jose, California.",11600,"{'maxAge': 1, 'name': 'Ms. Rebecca  Spencer', 'age': 44, 'title': 'VP, Chief Accounting Officer & Principal Accounting Officer', 'yearBorn': 1978, 'exercisedValue': 0, 'unexercisedValue': 0}",3,1,9,3,3,1693526400,1672444800,86400,2,107.4,0.0,0.0,0.0,107.4,0.0,0.0,0.0,2.43,0.0226,1693440000,0.3971,1.348893,18.421955,0,0,30,101,101,108.46,114.92,115510853632,0.0,131.18,11.6208105,108.8372,112.5759,0.98,0.009124767,BRL,115394404352,0.13491,1060664180,1064310016,0.0,1.0000001e-05,4.942,21.732094,1672444800,1703980800,1688083200,1342000000,5.83,11.609,41.916,SAO,EQUITY,EBAY34.SA,EBAY34.SA,EBAY        DRN ED,eBay Inc.,1331038800,America/Sao_Paulo,BRT,-10800000,107.4,none,7132000256,6.701,2752999936,8218999808,2.286,2.452,9939999744,156.017,9.195,0.07366,0.25535,7115000000,2764875008,2855000064,0.049,0.72374,0.27696,0.23481001,USD,3.6837
6,2025 Hamilton Avenue,San Jose,CA,95125,United States,408 376 7108,https://www.ebayinc.com,Internet Retail,Consumer Cyclical,"eBay Inc. operates marketplace platforms that connect buyers and sellers in the United States and internationally. The company's marketplace platform includes its online marketplace at ebay.com and the eBay suite of mobile apps. Its platforms enable users to list, buy, and sell various products. The company was founded in 1995 and is headquartered in San Jose, California.",11600,"{'maxAge': 1, 'name': 'Mr. Mazen  Al-Rawashdeh', 'age': 56, 'title': 'Sr. VP & CTO', 'yearBorn': 1966, 'exercisedValue': 0, 'unexercisedValue': 0}",3,1,9,3,3,1693526400,1672444800,86400,2,107.4,0.0,0.0,0.0,107.4,0.0,0.0,0.0,2.43,0.0226,1693440000,0.3971,1.348893,18.421955,0,0,30,101,101,108.46,114.92,115510853632,0.0,131.18,11.6208105,108.8372,112.5759,0.98,0.009124767,BRL,115394404352,0.13491,1060664180,1064310016,0.0,1.0000001e-05,4.942,21.732094,1672444800,1703980800,1688083200,1342000000,5.83,11.609,41.916,SAO,EQUITY,EBAY34.SA,EBAY34.SA,EBAY        DRN ED,eBay Inc.,1331038800,America/Sao_Paulo,BRT,-10800000,107.4,none,7132000256,6.701,2752999936,8218999808,2.286,2.452,9939999744,156.017,9.195,0.07366,0.25535,7115000000,2764875008,2855000064,0.049,0.72374,0.27696,0.23481001,USD,3.6837
7,2025 Hamilton Avenue,San Jose,CA,95125,United States,408 376 7108,https://www.ebayinc.com,Internet Retail,Consumer Cyclical,"eBay Inc. operates marketplace platforms that connect buyers and sellers in the United States and internationally. The company's marketplace platform includes its online marketplace at ebay.com and the eBay suite of mobile apps. Its platforms enable users to list, buy, and sell various products. The company was founded in 1995 and is headquartered in San Jose, California.",11600,"{'maxAge': 1, 'name': 'Mr. Joe  Billante', 'title': 'VP of Investor Relations', 'exercisedValue': 0, 'unexercisedValue': 0}",3,1,9,3,3,1693526400,1672444800,86400,2,107.4,0.0,0.0,0.0,107.4,0.0,0.0,0.0,2.43,0.0226,1693440000,0.3971,1.348893,18.421955,0,0,30,101,101,108.46,114.92,115510853632,0.0,131.18,11.6208105,108.8372,112.5759,0.98,0.009124767,BRL,115394404352,0.13491,1060664180,1064310016,0.0,1.0000001e-05,4.942,21.732094,1672444800,1703980800,1688083200,1342000000,5.83,11.609,41.916,SAO,EQUITY,EBAY34.SA,EBAY34.SA,EBAY        DRN ED,eBay Inc.,1331038800,America/Sao_Paulo,BRT,-10800000,107.4,none,7132000256,6.701,2752999936,8218999808,2.286,2.452,9939999744,156.017,9.195,0.07366,0.25535,7115000000,2764875008,2855000064,0.049,0.72374,0.27696,0.23481001,USD,3.6837
8,2025 Hamilton Avenue,San Jose,CA,95125,United States,408 376 7108,https://www.ebayinc.com,Internet Retail,Consumer Cyclical,"eBay Inc. operates marketplace platforms that connect buyers and sellers in the United States and internationally. The company's marketplace platform includes its online marketplace at ebay.com and the eBay suite of mobile apps. Its platforms enable users to list, buy, and sell various products. The company was founded in 1995 and is headquartered in San Jose, California.",11600,"{'maxAge': 1, 'name': 'Ms. Marie Oh Huber', 'age': 61, 'title': 'Sr. VP, Chief Legal Officer, Gen. Counsel & Sec.', 'yearBorn': 1961, 'fiscalYear': 2015, 'exercisedValue': 0, 'unexercisedValue': 0}",3,1,9,3,3,1693526400,1672444800,86400,2,107.4,0.0,0.0,0.0,107.4,0.0,0.0,0.0,2.43,0.0226,1693440000,0.3971,1.348893,18.421955,0,0,30,101,101,108.46,114.92,115510853632,0.0,131.18,11.6208105,108.8372,112.5759,0.98,0.009124767,BRL,115394404352,0.13491,1060664180,1064310016,0.0,1.0000001e-05,4.942,21.732094,1672444800,1703980800,1688083200,1342000000,5.83,11.609,41.916,SAO,EQUITY,EBAY34.SA,EBAY34.SA,EBAY        DRN ED,eBay Inc.,1331038800,America/Sao_Paulo,BRT,-10800000,107.4,none,7132000256,6.701,2752999936,8218999808,2.286,2.452,9939999744,156.017,9.195,0.07366,0.25535,7115000000,2764875008,2855000064,0.049,0.72374,0.27696,0.23481001,USD,3.6837
9,2025 Hamilton Avenue,San Jose,CA,95125,United States,408 376 7108,https://www.ebayinc.com,Internet Retail,Consumer Cyclical,"eBay Inc. operates marketplace platforms that connect buyers and sellers in the United States and internationally. The company's marketplace platform includes its online marketplace at ebay.com and the eBay suite of mobile apps. Its platforms enable users to list, buy, and sell various products. The company was founded in 1995 and is headquartered in San Jose, California.",11600,"{'maxAge': 1, 'name': 'Mr. Jordan  Sweetnam', 'title': 'Sr. VP of Global Markets', 'exercisedValue': 0, 'unexercisedValue': 0}",3,1,9,3,3,1693526400,1672444800,86400,2,107.4,0.0,0.0,0.0,107.4,0.0,0.0,0.0,2.43,0.0226,1693440000,0.3971,1.348893,18.421955,0,0,30,101,101,108.46,114.92,115510853632,0.0,131.18,11.6208105,108.8372,112.5759,0.98,0.009124767,BRL,115394404352,0.13491,1060664180,1064310016,0.0,1.0000001e-05,4.942,21.732094,1672444800,1703980800,1688083200,1342000000,5.83,11.609,41.916,SAO,EQUITY,EBAY34.SA,EBAY34.SA,EBAY        DRN ED,eBay Inc.,1331038800,America/Sao_Paulo,BRT,-10800000,107.4,none,7132000256,6.701,2752999936,8218999808,2.286,2.452,9939999744,156.017,9.195,0.07366,0.25535,7115000000,2764875008,2855000064,0.049,0.72374,0.27696,0.23481001,USD,3.6837
