,address1,city,state,zip,country,phone,fax,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,fiveYearAvgDividendYield,beta,trailingPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,heldPercentInsiders,heldPercentInstitutions,shortRatio,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationKey,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,888 Seventh Avenue,New York,NY,10019-4499,United States,212 894 7000,201 587 0600,https://www.vno.com,REIT—Office,Real Estate,"Vornado is a fully integrated real estate investment trust (REIT) with a portfolio of premier New York City office and retail assets and the developer of the new PENN DISTRICT. While concentrated in New York, Vornado also owns the premier assets in both Chicago and San Francisco. Vornado is a real estate industry leader in sustainability, with over 27 million square feet of LEED-certified buildings and over 23 million square feet at LEED Gold or Platinum.",3146,"{'maxAge': 1, 'name': 'Mr. Steven  Roth', 'age': 80, 'title': 'Chairman & CEO', 'yearBorn': 1942, 'fiscalYear': 2022, 'totalPay': 2643328, 'exercisedValue': 0, 'unexercisedValue': 0}",2,3,9,7,6,1693526400,1672444800,86400,2,14.36,14.4,14.3,14.53,14.36,14.4,14.3,14.53,1.35,0.094,1694649600,6.21,1.444329,22.56211,21793,21793,24135,21579,21579,14.37,14.44,2200,1000,8028260352,11.2706,20.1867,5.9213934,14.951434,15.10282,1.435,0.09993036,USD,12324072448,-0.27426,174519127,0,24440,61627,1690761600,1693440000,0.0,0.28687,1.39,23.892,0.60815334,1672444800,1703980800,1688083200,-0.061,-433975008,0.644,9.09,38.259,NYQ,EQUITY,VNO-PL,VNO-PL,Vornado Realty Trust Pfd Ser L ,Vornado Realty Trust,1358519400,America/New_York,EDT,-14400000,14.53,none,1439171968,7.553,322118016,9072214016,4.402,5.024,1355805952,140.115,7.071,-0.00575,-0.06323,1030760000,115810128,743059968,-0.079,0.063,0.34609002,0.23758,-0.11396,USD,
1,888 Seventh Avenue,New York,NY,10019-4499,United States,212 894 7000,201 587 0600,https://www.vno.com,REIT—Office,Real Estate,"Vornado is a fully integrated real estate investment trust (REIT) with a portfolio of premier New York City office and retail assets and the developer of the new PENN DISTRICT. While concentrated in New York, Vornado also owns the premier assets in both Chicago and San Francisco. Vornado is a real estate industry leader in sustainability, with over 27 million square feet of LEED-certified buildings and over 23 million square feet at LEED Gold or Platinum.",3146,"{'maxAge': 1, 'name': 'Mr. Michael J. Franco', 'age': 53, 'title': 'Pres & CFO', 'yearBorn': 1969, 'fiscalYear': 2022, 'totalPay': 2571790, 'exercisedValue': 0, 'unexercisedValue': 0}",2,3,9,7,6,1693526400,1672444800,86400,2,14.36,14.4,14.3,14.53,14.36,14.4,14.3,14.53,1.35,0.094,1694649600,6.21,1.444329,22.56211,21793,21793,24135,21579,21579,14.37,14.44,2200,1000,8028260352,11.2706,20.1867,5.9213934,14.951434,15.10282,1.435,0.09993036,USD,12324072448,-0.27426,174519127,0,24440,61627,1690761600,1693440000,0.0,0.28687,1.39,23.892,0.60815334,1672444800,1703980800,1688083200,-0.061,-433975008,0.644,9.09,38.259,NYQ,EQUITY,VNO-PL,VNO-PL,Vornado Realty Trust Pfd Ser L ,Vornado Realty Trust,1358519400,America/New_York,EDT,-14400000,14.53,none,1439171968,7.553,322118016,9072214016,4.402,5.024,1355805952,140.115,7.071,-0.00575,-0.06323,1030760000,115810128,743059968,-0.079,0.063,0.34609002,0.23758,-0.11396,USD,
2,888 Seventh Avenue,New York,NY,10019-4499,United States,212 894 7000,201 587 0600,https://www.vno.com,REIT—Office,Real Estate,"Vornado is a fully integrated real estate investment trust (REIT) with a portfolio of premier New York City office and retail assets and the developer of the new PENN DISTRICT. While concentrated in New York, Vornado also owns the premier assets in both Chicago and San Francisco. Vornado is a real estate industry leader in sustainability, with over 27 million square feet of LEED-certified buildings and over 23 million square feet at LEED Gold or Platinum.",3146,"{'maxAge': 1, 'name': 'Mr. Glen J. Weiss', 'age': 51, 'title': 'Exec. VP of Office Leasing & Co-Head of Real Estate', 'yearBorn': 1971, 'fiscalYear': 2022, 'totalPay': 2838531, 'exercisedValue': 0, 'unexercisedValue': 0}",2,3,9,7,6,1693526400,1672444800,86400,2,14.36,14.4,14.3,14.53,14.36,14.4,14.3,14.53,1.35,0.094,1694649600,6.21,1.444329,22.56211,21793,21793,24135,21579,21579,14.37,14.44,2200,1000,8028260352,11.2706,20.1867,5.9213934,14.951434,15.10282,1.435,0.09993036,USD,12324072448,-0.27426,174519127,0,24440,61627,1690761600,1693440000,0.0,0.28687,1.39,23.892,0.60815334,1672444800,1703980800,1688083200,-0.061,-433975008,0.644,9.09,38.259,NYQ,EQUITY,VNO-PL,VNO-PL,Vornado Realty Trust Pfd Ser L ,Vornado Realty Trust,1358519400,America/New_York,EDT,-14400000,14.53,none,1439171968,7.553,322118016,9072214016,4.402,5.024,1355805952,140.115,7.071,-0.00575,-0.06323,1030760000,115810128,743059968,-0.079,0.063,0.34609002,0.23758,-0.11396,USD,
3,888 Seventh Avenue,New York,NY,10019-4499,United States,212 894 7000,201 587 0600,https://www.vno.com,REIT—Office,Real Estate,"Vornado is a fully integrated real estate investment trust (REIT) with a portfolio of premier New York City office and retail assets and the developer of the new PENN DISTRICT. While concentrated in New York, Vornado also owns the premier assets in both Chicago and San Francisco. Vornado is a real estate industry leader in sustainability, with over 27 million square feet of LEED-certified buildings and over 23 million square feet at LEED Gold or Platinum.",3146,"{'maxAge': 1, 'name': 'Mr. Barry S. Langer', 'age': 43, 'title': 'Exec. VP of Devel. & Co-Head of Real Estate', 'yearBorn': 1979, 'fiscalYear': 2022, 'totalPay': 2521254, 'exercisedValue': 0, 'unexercisedValue': 0}",2,3,9,7,6,1693526400,1672444800,86400,2,14.36,14.4,14.3,14.53,14.36,14.4,14.3,14.53,1.35,0.094,1694649600,6.21,1.444329,22.56211,21793,21793,24135,21579,21579,14.37,14.44,2200,1000,8028260352,11.2706,20.1867,5.9213934,14.951434,15.10282,1.435,0.09993036,USD,12324072448,-0.27426,174519127,0,24440,61627,1690761600,1693440000,0.0,0.28687,1.39,23.892,0.60815334,1672444800,1703980800,1688083200,-0.061,-433975008,0.644,9.09,38.259,NYQ,EQUITY,VNO-PL,VNO-PL,Vornado Realty Trust Pfd Ser L ,Vornado Realty Trust,1358519400,America/New_York,EDT,-14400000,14.53,none,1439171968,7.553,322118016,9072214016,4.402,5.024,1355805952,140.115,7.071,-0.00575,-0.06323,1030760000,115810128,743059968,-0.079,0.063,0.34609002,0.23758,-0.11396,USD,
4,888 Seventh Avenue,New York,NY,10019-4499,United States,212 894 7000,201 587 0600,https://www.vno.com,REIT—Office,Real Estate,"Vornado is a fully integrated real estate investment trust (REIT) with a portfolio of premier New York City office and retail assets and the developer of the new PENN DISTRICT. While concentrated in New York, Vornado also owns the premier assets in both Chicago and San Francisco. Vornado is a real estate industry leader in sustainability, with over 27 million square feet of LEED-certified buildings and over 23 million square feet at LEED Gold or Platinum.",3146,"{'maxAge': 1, 'name': 'Mr. Haim H. Chera', 'age': 52, 'title': 'Exec. VP & Head of Retail', 'yearBorn': 1970, 'fiscalYear': 2022, 'totalPay': 2815780, 'exercisedValue': 0, 'unexercisedValue': 0}",2,3,9,7,6,1693526400,1672444800,86400,2,14.36,14.4,14.3,14.53,14.36,14.4,14.3,14.53,1.35,0.094,1694649600,6.21,1.444329,22.56211,21793,21793,24135,21579,21579,14.37,14.44,2200,1000,8028260352,11.2706,20.1867,5.9213934,14.951434,15.10282,1.435,0.09993036,USD,12324072448,-0.27426,174519127,0,24440,61627,1690761600,1693440000,0.0,0.28687,1.39,23.892,0.60815334,1672444800,1703980800,1688083200,-0.061,-433975008,0.644,9.09,38.259,NYQ,EQUITY,VNO-PL,VNO-PL,Vornado Realty Trust Pfd Ser L ,Vornado Realty Trust,1358519400,America/New_York,EDT,-14400000,14.53,none,1439171968,7.553,322118016,9072214016,4.402,5.024,1355805952,140.115,7.071,-0.00575,-0.06323,1030760000,115810128,743059968,-0.079,0.063,0.34609002,0.23758,-0.11396,USD,
5,888 Seventh Avenue,New York,NY,10019-4499,United States,212 894 7000,201 587 0600,https://www.vno.com,REIT—Office,Real Estate,"Vornado is a fully integrated real estate investment trust (REIT) with a portfolio of premier New York City office and retail assets and the developer of the new PENN DISTRICT. While concentrated in New York, Vornado also owns the premier assets in both Chicago and San Francisco. Vornado is a real estate industry leader in sustainability, with over 27 million square feet of LEED-certified buildings and over 23 million square feet at LEED Gold or Platinum.",3146,"{'maxAge': 1, 'name': 'Robert  Larson', 'title': 'Sr. VP of Operations', 'exercisedValue': 0, 'unexercisedValue': 0}",2,3,9,7,6,1693526400,1672444800,86400,2,14.36,14.4,14.3,14.53,14.36,14.4,14.3,14.53,1.35,0.094,1694649600,6.21,1.444329,22.56211,21793,21793,24135,21579,21579,14.37,14.44,2200,1000,8028260352,11.2706,20.1867,5.9213934,14.951434,15.10282,1.435,0.09993036,USD,12324072448,-0.27426,174519127,0,24440,61627,1690761600,1693440000,0.0,0.28687,1.39,23.892,0.60815334,1672444800,1703980800,1688083200,-0.061,-433975008,0.644,9.09,38.259,NYQ,EQUITY,VNO-PL,VNO-PL,Vornado Realty Trust Pfd Ser L ,Vornado Realty Trust,1358519400,America/New_York,EDT,-14400000,14.53,none,1439171968,7.553,322118016,9072214016,4.402,5.024,1355805952,140.115,7.071,-0.00575,-0.06323,1030760000,115810128,743059968,-0.079,0.063,0.34609002,0.23758,-0.11396,USD,
6,888 Seventh Avenue,New York,NY,10019-4499,United States,212 894 7000,201 587 0600,https://www.vno.com,REIT—Office,Real Estate,"Vornado is a fully integrated real estate investment trust (REIT) with a portfolio of premier New York City office and retail assets and the developer of the new PENN DISTRICT. While concentrated in New York, Vornado also owns the premier assets in both Chicago and San Francisco. Vornado is a real estate industry leader in sustainability, with over 27 million square feet of LEED-certified buildings and over 23 million square feet at LEED Gold or Platinum.",3146,"{'maxAge': 1, 'name': 'Ms. Deirdre K. Maddock', 'title': 'Sr. VP & Chief Accounting Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",2,3,9,7,6,1693526400,1672444800,86400,2,14.36,14.4,14.3,14.53,14.36,14.4,14.3,14.53,1.35,0.094,1694649600,6.21,1.444329,22.56211,21793,21793,24135,21579,21579,14.37,14.44,2200,1000,8028260352,11.2706,20.1867,5.9213934,14.951434,15.10282,1.435,0.09993036,USD,12324072448,-0.27426,174519127,0,24440,61627,1690761600,1693440000,0.0,0.28687,1.39,23.892,0.60815334,1672444800,1703980800,1688083200,-0.061,-433975008,0.644,9.09,38.259,NYQ,EQUITY,VNO-PL,VNO-PL,Vornado Realty Trust Pfd Ser L ,Vornado Realty Trust,1358519400,America/New_York,EDT,-14400000,14.53,none,1439171968,7.553,322118016,9072214016,4.402,5.024,1355805952,140.115,7.071,-0.00575,-0.06323,1030760000,115810128,743059968,-0.079,0.063,0.34609002,0.23758,-0.11396,USD,
7,888 Seventh Avenue,New York,NY,10019-4499,United States,212 894 7000,201 587 0600,https://www.vno.com,REIT—Office,Real Estate,"Vornado is a fully integrated real estate investment trust (REIT) with a portfolio of premier New York City office and retail assets and the developer of the new PENN DISTRICT. While concentrated in New York, Vornado also owns the premier assets in both Chicago and San Francisco. Vornado is a real estate industry leader in sustainability, with over 27 million square feet of LEED-certified buildings and over 23 million square feet at LEED Gold or Platinum.",3146,"{'maxAge': 1, 'name': 'Mr. Robert  Entin', 'title': 'Chief Information Officer & Exec. VP', 'exercisedValue': 0, 'unexercisedValue': 0}",2,3,9,7,6,1693526400,1672444800,86400,2,14.36,14.4,14.3,14.53,14.36,14.4,14.3,14.53,1.35,0.094,1694649600,6.21,1.444329,22.56211,21793,21793,24135,21579,21579,14.37,14.44,2200,1000,8028260352,11.2706,20.1867,5.9213934,14.951434,15.10282,1.435,0.09993036,USD,12324072448,-0.27426,174519127,0,24440,61627,1690761600,1693440000,0.0,0.28687,1.39,23.892,0.60815334,1672444800,1703980800,1688083200,-0.061,-433975008,0.644,9.09,38.259,NYQ,EQUITY,VNO-PL,VNO-PL,Vornado Realty Trust Pfd Ser L ,Vornado Realty Trust,1358519400,America/New_York,EDT,-14400000,14.53,none,1439171968,7.553,322118016,9072214016,4.402,5.024,1355805952,140.115,7.071,-0.00575,-0.06323,1030760000,115810128,743059968,-0.079,0.063,0.34609002,0.23758,-0.11396,USD,
8,888 Seventh Avenue,New York,NY,10019-4499,United States,212 894 7000,201 587 0600,https://www.vno.com,REIT—Office,Real Estate,"Vornado is a fully integrated real estate investment trust (REIT) with a portfolio of premier New York City office and retail assets and the developer of the new PENN DISTRICT. While concentrated in New York, Vornado also owns the premier assets in both Chicago and San Francisco. Vornado is a real estate industry leader in sustainability, with over 27 million square feet of LEED-certified buildings and over 23 million square feet at LEED Gold or Platinum.",3146,"{'maxAge': 1, 'name': 'Mr. Thomas  Sanelli', 'age': 49, 'title': 'Exec. VP of Fin. & Chief Admin. Officer', 'yearBorn': 1973, 'exercisedValue': 0, 'unexercisedValue': 0}",2,3,9,7,6,1693526400,1672444800,86400,2,14.36,14.4,14.3,14.53,14.36,14.4,14.3,14.53,1.35,0.094,1694649600,6.21,1.444329,22.56211,21793,21793,24135,21579,21579,14.37,14.44,2200,1000,8028260352,11.2706,20.1867,5.9213934,14.951434,15.10282,1.435,0.09993036,USD,12324072448,-0.27426,174519127,0,24440,61627,1690761600,1693440000,0.0,0.28687,1.39,23.892,0.60815334,1672444800,1703980800,1688083200,-0.061,-433975008,0.644,9.09,38.259,NYQ,EQUITY,VNO-PL,VNO-PL,Vornado Realty Trust Pfd Ser L ,Vornado Realty Trust,1358519400,America/New_York,EDT,-14400000,14.53,none,1439171968,7.553,322118016,9072214016,4.402,5.024,1355805952,140.115,7.071,-0.00575,-0.06323,1030760000,115810128,743059968,-0.079,0.063,0.34609002,0.23758,-0.11396,USD,
9,888 Seventh Avenue,New York,NY,10019-4499,United States,212 894 7000,201 587 0600,https://www.vno.com,REIT—Office,Real Estate,"Vornado is a fully integrated real estate investment trust (REIT) with a portfolio of premier New York City office and retail assets and the developer of the new PENN DISTRICT. While concentrated in New York, Vornado also owns the premier assets in both Chicago and San Francisco. Vornado is a real estate industry leader in sustainability, with over 27 million square feet of LEED-certified buildings and over 23 million square feet at LEED Gold or Platinum.",3146,"{'maxAge': 1, 'name': 'Ms. Catherine C. Creswell', 'title': 'Director of Investor Relations', 'exercisedValue': 0, 'unexercisedValue': 0}",2,3,9,7,6,1693526400,1672444800,86400,2,14.36,14.4,14.3,14.53,14.36,14.4,14.3,14.53,1.35,0.094,1694649600,6.21,1.444329,22.56211,21793,21793,24135,21579,21579,14.37,14.44,2200,1000,8028260352,11.2706,20.1867,5.9213934,14.951434,15.10282,1.435,0.09993036,USD,12324072448,-0.27426,174519127,0,24440,61627,1690761600,1693440000,0.0,0.28687,1.39,23.892,0.60815334,1672444800,1703980800,1688083200,-0.061,-433975008,0.644,9.09,38.259,NYQ,EQUITY,VNO-PL,VNO-PL,Vornado Realty Trust Pfd Ser L ,Vornado Realty Trust,1358519400,America/New_York,EDT,-14400000,14.53,none,1439171968,7.553,322118016,9072214016,4.402,5.024,1355805952,140.115,7.071,-0.00575,-0.06323,1030760000,115810128,743059968,-0.079,0.063,0.34609002,0.23758,-0.11396,USD,
