,address1,address2,city,country,phone,fax,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,fiveYearAvgDividendYield,beta,trailingPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,lastSplitFactor,lastSplitDate,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationKey,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,Buyukdere Cad.Is Kuleleri Kule 1,Kat:5 Levent,Istanbul,Turkey,90 212 284 17 10,90 212 284 16 70,https://www.isyatort.com.tr,Asset Management,Financial Services,"Is Yatirim Ortakligi A.S. engages in portfolio management business in Turkey. It invests in capital market instruments, such as equities, fixed income securities, gold, and other precious metals. The company was formerly known as Is B Tipi Yatirim Ortakligi Anonim Sirketi and changed its name to Is Yatirim Ortakligi A.S. in April 2014. The company was incorporated in 1995 and is headquartered in Istanbul, Turkey",5,"{'maxAge': 1, 'name': 'Mr. Rifat Cenk Aksoy', 'title': 'Gen. Mang.', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,7.01,7.02,7.01,7.25,7.01,7.02,7.01,7.25,0.35,0.0499,1680048000,0.5524,10.6,0.574468,11.269841,1514432,1514432,5143100,3592337,3592337,7.14,7.14,0,0,1140252928,3.68,8.0,2.3044045,6.801,5.1951,0.35,0.049928673,TRY,834517632,0.20563,160599008,0.0582,0.29837,1.924,3.6902287,1672444800,1703980800,1688083200,1.971,101749744,0.63,1:1000,1104710400,1.687,8.197,IST,EQUITY,ISYAT.IS,ISYAT.IS,IS YAT. ORT.,Is Yatirim Ortakligi A.S.,957940200,Europe/Istanbul,TRT,10800000,7.1,none,298389728,1.858,101803904,682409,75.942,75.946,494814560,0.221,3.081,0.21934,0.35532,87047044,79505280,130338832,1.971,3.144,0.22799,0.20573999,0.20592,TRY,
1,Buyukdere Cad.Is Kuleleri Kule 1,Kat:5 Levent,Istanbul,Turkey,90 212 284 17 10,90 212 284 16 70,https://www.isyatort.com.tr,Asset Management,Financial Services,"Is Yatirim Ortakligi A.S. engages in portfolio management business in Turkey. It invests in capital market instruments, such as equities, fixed income securities, gold, and other precious metals. The company was formerly known as Is B Tipi Yatirim Ortakligi Anonim Sirketi and changed its name to Is Yatirim Ortakligi A.S. in April 2014. The company was incorporated in 1995 and is headquartered in Istanbul, Turkey",5,"{'maxAge': 1, 'name': 'F. Nilüfer Basarir Kutlutürk', 'title': 'Director of Investors Relations', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,7.01,7.02,7.01,7.25,7.01,7.02,7.01,7.25,0.35,0.0499,1680048000,0.5524,10.6,0.574468,11.269841,1514432,1514432,5143100,3592337,3592337,7.14,7.14,0,0,1140252928,3.68,8.0,2.3044045,6.801,5.1951,0.35,0.049928673,TRY,834517632,0.20563,160599008,0.0582,0.29837,1.924,3.6902287,1672444800,1703980800,1688083200,1.971,101749744,0.63,1:1000,1104710400,1.687,8.197,IST,EQUITY,ISYAT.IS,ISYAT.IS,IS YAT. ORT.,Is Yatirim Ortakligi A.S.,957940200,Europe/Istanbul,TRT,10800000,7.1,none,298389728,1.858,101803904,682409,75.942,75.946,494814560,0.221,3.081,0.21934,0.35532,87047044,79505280,130338832,1.971,3.144,0.22799,0.20573999,0.20592,TRY,
