,address1,address2,city,state,zip,country,phone,website,industry,sector,longBusinessSummary,companyOfficers,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,payoutRatio,beta,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,shortRatio,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,lastSplitFactor,lastSplitDate,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationKey,totalCash,totalCashPerShare,totalDebt,quickRatio,currentRatio,debtToEquity,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,1040 West Georgia Street,Suite 1400,Vancouver,BC,V6E 4H1,Canada,604-757-9792,https://www.vaticventures.com,Other Industrial Metals & Mining,Basic Materials,"Vatic Ventures Corp., a resource exploration company, engages in the acquisition and exploration for mineral properties in Canada. The company holds an option to earn a 100% interest in the Hansen Gold Property, which consists of 20 contiguous mining claims covering a total area of 1,113.98 hectares located in the Chibougamau area of northern Quebec. It also has an option to acquire a 100% interest in the Sisters Mountain critical metals project, a rare earth elements and polymetallic claims package that consists of 8 claim blocks comprising 975 claim units covering 243 square kilometres situated in Southwestern New Brunswick. The company was incorporated in 2007 and is headquartered in Vancouver, Canada.","{'maxAge': 1, 'name': 'Mr. Loren D. Currie', 'title': 'CEO & Chairman', 'fiscalYear': 2022, 'totalPay': 11000, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,0.085,0.1,0.1,0.1,0.085,0.1,0.1,0.1,0.0,0.413924,35000,35000,27332,48600,48600,0.1,0.15,2971150,0.08,0.24,0.112,0.156875,0.0,0.0,CAD,3112962,0.0,28799664,29711500,537,20600,1684108800,1686787200,0.0,0.02785,0.0,0.13,0.062,1.6129032,1677542400,1709078400,1685491200,-989390,-0.02,1:10,1620086400,VAN,EQUITY,VCV.V,VCV.V,VATIC VENTURES CORP,Vatic Ventures Corp.,1210858200,America/Toronto,EDT,-14400000,0.1,none,1189,0.0,143000,0.041,0.567,7.739,-0.34178,-0.79704005,-114135,-603027,-928081,0.0,0.0,0.0,CAD,
1,1040 West Georgia Street,Suite 1400,Vancouver,BC,V6E 4H1,Canada,604-757-9792,https://www.vaticventures.com,Other Industrial Metals & Mining,Basic Materials,"Vatic Ventures Corp., a resource exploration company, engages in the acquisition and exploration for mineral properties in Canada. The company holds an option to earn a 100% interest in the Hansen Gold Property, which consists of 20 contiguous mining claims covering a total area of 1,113.98 hectares located in the Chibougamau area of northern Quebec. It also has an option to acquire a 100% interest in the Sisters Mountain critical metals project, a rare earth elements and polymetallic claims package that consists of 8 claim blocks comprising 975 claim units covering 243 square kilometres situated in Southwestern New Brunswick. The company was incorporated in 2007 and is headquartered in Vancouver, Canada.","{'maxAge': 1, 'name': 'Mr. Pieter  Bakker', 'title': 'Interim CFO', 'fiscalYear': 2022, 'totalPay': 576000, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,0.085,0.1,0.1,0.1,0.085,0.1,0.1,0.1,0.0,0.413924,35000,35000,27332,48600,48600,0.1,0.15,2971150,0.08,0.24,0.112,0.156875,0.0,0.0,CAD,3112962,0.0,28799664,29711500,537,20600,1684108800,1686787200,0.0,0.02785,0.0,0.13,0.062,1.6129032,1677542400,1709078400,1685491200,-989390,-0.02,1:10,1620086400,VAN,EQUITY,VCV.V,VCV.V,VATIC VENTURES CORP,Vatic Ventures Corp.,1210858200,America/Toronto,EDT,-14400000,0.1,none,1189,0.0,143000,0.041,0.567,7.739,-0.34178,-0.79704005,-114135,-603027,-928081,0.0,0.0,0.0,CAD,
