,address1,city,zip,country,phone,fax,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,beta,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,forwardEps,pegRatio,lastSplitFactor,lastSplitDate,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,Harderstrasse 14,Interlaken,3800,Switzerland,41 33 828 71 11,41 33 828 72 64,https://www.jungfrau.ch,Railroads,Industrials,"Jungfraubahn Holding AG, together with its subsidiaries, operates cogwheel railway and winter sports related facilities in Jungfrau region, Switzerland. It operates through Jungfraujoch  Top of Europe, Winter Sports, Experience Mountains, and Other segments. The company's destinations include Jungfraujoch, Grindelwald  First, Schynige Platte, Harder Kulm, Winteregg Mürren, and Kleine Scheidegg. In addition, it offers skiing, sledging, hiking, shopping, glider, flyer, mountain cart, trottibike scooter, mountainbike, trail running, food and drink related activities, as well as operates a hydroelectric power station. Jungfraubahn Holding AG is headquartered in Interlaken, Switzerland.",625,"{'maxAge': 1, 'name': 'Mr. Urs  Kessler', 'age': 60, 'title': 'Chairman of Exec. Board & CEO', 'yearBorn': 1962, 'fiscalYear': 2022, 'totalPay': 584252, 'exercisedValue': 0, 'unexercisedValue': 0}",9,8,10,10,10,1693526400,1672444800,86400,2,164.8,165.0,164.4,167.6,164.8,165.0,164.4,167.6,3.6,0.0218,1684281600,0.33060002,0.909534,15.209473,13.338657,3543,3543,2048,1664,1664,166.8,0.0,0,0,973725248,107.4,167.6,3.920557,154.876,141.275,3.6,0.021844659,CHF,1026758208,0.25527,4958240,5830690,0.14951,0.23756,111.326,1.5000988,1672444800,1703980800,1688083200,1.324,63400000,10.98,12.52,2.08,20:2,1082073600,4.134,8.824,EBS,EQUITY,JFN.SW,JFN.SW,JUNGFRAUBAHN HLD N,Jungfraubahn Holding AG,842338800,Europe/Zurich,CEST,7200000,167.0,192.0,192.0,192.0,192.0,2.0,buy,1,38891000,6.67,116364000,106499000,1.172,1.217,248364000,16.275,42.673,0.06039,0.10148,69270624,113472000,1.324,0.35,0.67963,0.46852002,0.32489,CHF,
1,Harderstrasse 14,Interlaken,3800,Switzerland,41 33 828 71 11,41 33 828 72 64,https://www.jungfrau.ch,Railroads,Industrials,"Jungfraubahn Holding AG, together with its subsidiaries, operates cogwheel railway and winter sports related facilities in Jungfrau region, Switzerland. It operates through Jungfraujoch  Top of Europe, Winter Sports, Experience Mountains, and Other segments. The company's destinations include Jungfraujoch, Grindelwald  First, Schynige Platte, Harder Kulm, Winteregg Mürren, and Kleine Scheidegg. In addition, it offers skiing, sledging, hiking, shopping, glider, flyer, mountain cart, trottibike scooter, mountainbike, trail running, food and drink related activities, as well as operates a hydroelectric power station. Jungfraubahn Holding AG is headquartered in Interlaken, Switzerland.",625,"{'maxAge': 1, 'name': 'Mr. Christoph  Seiler', 'age': 53, 'title': 'CFO, Head of Fin. & IT and Member of Exec. Board', 'yearBorn': 1969, 'exercisedValue': 0, 'unexercisedValue': 0}",9,8,10,10,10,1693526400,1672444800,86400,2,164.8,165.0,164.4,167.6,164.8,165.0,164.4,167.6,3.6,0.0218,1684281600,0.33060002,0.909534,15.209473,13.338657,3543,3543,2048,1664,1664,166.8,0.0,0,0,973725248,107.4,167.6,3.920557,154.876,141.275,3.6,0.021844659,CHF,1026758208,0.25527,4958240,5830690,0.14951,0.23756,111.326,1.5000988,1672444800,1703980800,1688083200,1.324,63400000,10.98,12.52,2.08,20:2,1082073600,4.134,8.824,EBS,EQUITY,JFN.SW,JFN.SW,JUNGFRAUBAHN HLD N,Jungfraubahn Holding AG,842338800,Europe/Zurich,CEST,7200000,167.0,192.0,192.0,192.0,192.0,2.0,buy,1,38891000,6.67,116364000,106499000,1.172,1.217,248364000,16.275,42.673,0.06039,0.10148,69270624,113472000,1.324,0.35,0.67963,0.46852002,0.32489,CHF,
2,Harderstrasse 14,Interlaken,3800,Switzerland,41 33 828 71 11,41 33 828 72 64,https://www.jungfrau.ch,Railroads,Industrials,"Jungfraubahn Holding AG, together with its subsidiaries, operates cogwheel railway and winter sports related facilities in Jungfrau region, Switzerland. It operates through Jungfraujoch  Top of Europe, Winter Sports, Experience Mountains, and Other segments. The company's destinations include Jungfraujoch, Grindelwald  First, Schynige Platte, Harder Kulm, Winteregg Mürren, and Kleine Scheidegg. In addition, it offers skiing, sledging, hiking, shopping, glider, flyer, mountain cart, trottibike scooter, mountainbike, trail running, food and drink related activities, as well as operates a hydroelectric power station. Jungfraubahn Holding AG is headquartered in Interlaken, Switzerland.",625,"{'maxAge': 1, 'name': 'Mr. Stefan  Wurgler', 'age': 52, 'title': 'Head of Railway Operations & Member of Exec. Board', 'yearBorn': 1970, 'exercisedValue': 0, 'unexercisedValue': 0}",9,8,10,10,10,1693526400,1672444800,86400,2,164.8,165.0,164.4,167.6,164.8,165.0,164.4,167.6,3.6,0.0218,1684281600,0.33060002,0.909534,15.209473,13.338657,3543,3543,2048,1664,1664,166.8,0.0,0,0,973725248,107.4,167.6,3.920557,154.876,141.275,3.6,0.021844659,CHF,1026758208,0.25527,4958240,5830690,0.14951,0.23756,111.326,1.5000988,1672444800,1703980800,1688083200,1.324,63400000,10.98,12.52,2.08,20:2,1082073600,4.134,8.824,EBS,EQUITY,JFN.SW,JFN.SW,JUNGFRAUBAHN HLD N,Jungfraubahn Holding AG,842338800,Europe/Zurich,CEST,7200000,167.0,192.0,192.0,192.0,192.0,2.0,buy,1,38891000,6.67,116364000,106499000,1.172,1.217,248364000,16.275,42.673,0.06039,0.10148,69270624,113472000,1.324,0.35,0.67963,0.46852002,0.32489,CHF,
3,Harderstrasse 14,Interlaken,3800,Switzerland,41 33 828 71 11,41 33 828 72 64,https://www.jungfrau.ch,Railroads,Industrials,"Jungfraubahn Holding AG, together with its subsidiaries, operates cogwheel railway and winter sports related facilities in Jungfrau region, Switzerland. It operates through Jungfraujoch  Top of Europe, Winter Sports, Experience Mountains, and Other segments. The company's destinations include Jungfraujoch, Grindelwald  First, Schynige Platte, Harder Kulm, Winteregg Mürren, and Kleine Scheidegg. In addition, it offers skiing, sledging, hiking, shopping, glider, flyer, mountain cart, trottibike scooter, mountainbike, trail running, food and drink related activities, as well as operates a hydroelectric power station. Jungfraubahn Holding AG is headquartered in Interlaken, Switzerland.",625,"{'maxAge': 1, 'name': 'Mr. Marco  Luggen', 'age': 47, 'title': 'Head of Cableway and Winter Sports Operations & Member of Exec. Board', 'yearBorn': 1975, 'exercisedValue': 0, 'unexercisedValue': 0}",9,8,10,10,10,1693526400,1672444800,86400,2,164.8,165.0,164.4,167.6,164.8,165.0,164.4,167.6,3.6,0.0218,1684281600,0.33060002,0.909534,15.209473,13.338657,3543,3543,2048,1664,1664,166.8,0.0,0,0,973725248,107.4,167.6,3.920557,154.876,141.275,3.6,0.021844659,CHF,1026758208,0.25527,4958240,5830690,0.14951,0.23756,111.326,1.5000988,1672444800,1703980800,1688083200,1.324,63400000,10.98,12.52,2.08,20:2,1082073600,4.134,8.824,EBS,EQUITY,JFN.SW,JFN.SW,JUNGFRAUBAHN HLD N,Jungfraubahn Holding AG,842338800,Europe/Zurich,CEST,7200000,167.0,192.0,192.0,192.0,192.0,2.0,buy,1,38891000,6.67,116364000,106499000,1.172,1.217,248364000,16.275,42.673,0.06039,0.10148,69270624,113472000,1.324,0.35,0.67963,0.46852002,0.32489,CHF,
4,Harderstrasse 14,Interlaken,3800,Switzerland,41 33 828 71 11,41 33 828 72 64,https://www.jungfrau.ch,Railroads,Industrials,"Jungfraubahn Holding AG, together with its subsidiaries, operates cogwheel railway and winter sports related facilities in Jungfrau region, Switzerland. It operates through Jungfraujoch  Top of Europe, Winter Sports, Experience Mountains, and Other segments. The company's destinations include Jungfraujoch, Grindelwald  First, Schynige Platte, Harder Kulm, Winteregg Mürren, and Kleine Scheidegg. In addition, it offers skiing, sledging, hiking, shopping, glider, flyer, mountain cart, trottibike scooter, mountainbike, trail running, food and drink related activities, as well as operates a hydroelectric power station. Jungfraubahn Holding AG is headquartered in Interlaken, Switzerland.",625,"{'maxAge': 1, 'name': 'Mr. Dominik  Liener', 'age': 55, 'title': 'Head of Infrastructure and Technology & Member of Exec. Board', 'yearBorn': 1967, 'exercisedValue': 0, 'unexercisedValue': 0}",9,8,10,10,10,1693526400,1672444800,86400,2,164.8,165.0,164.4,167.6,164.8,165.0,164.4,167.6,3.6,0.0218,1684281600,0.33060002,0.909534,15.209473,13.338657,3543,3543,2048,1664,1664,166.8,0.0,0,0,973725248,107.4,167.6,3.920557,154.876,141.275,3.6,0.021844659,CHF,1026758208,0.25527,4958240,5830690,0.14951,0.23756,111.326,1.5000988,1672444800,1703980800,1688083200,1.324,63400000,10.98,12.52,2.08,20:2,1082073600,4.134,8.824,EBS,EQUITY,JFN.SW,JFN.SW,JUNGFRAUBAHN HLD N,Jungfraubahn Holding AG,842338800,Europe/Zurich,CEST,7200000,167.0,192.0,192.0,192.0,192.0,2.0,buy,1,38891000,6.67,116364000,106499000,1.172,1.217,248364000,16.275,42.673,0.06039,0.10148,69270624,113472000,1.324,0.35,0.67963,0.46852002,0.32489,CHF,
5,Harderstrasse 14,Interlaken,3800,Switzerland,41 33 828 71 11,41 33 828 72 64,https://www.jungfrau.ch,Railroads,Industrials,"Jungfraubahn Holding AG, together with its subsidiaries, operates cogwheel railway and winter sports related facilities in Jungfrau region, Switzerland. It operates through Jungfraujoch  Top of Europe, Winter Sports, Experience Mountains, and Other segments. The company's destinations include Jungfraujoch, Grindelwald  First, Schynige Platte, Harder Kulm, Winteregg Mürren, and Kleine Scheidegg. In addition, it offers skiing, sledging, hiking, shopping, glider, flyer, mountain cart, trottibike scooter, mountainbike, trail running, food and drink related activities, as well as operates a hydroelectric power station. Jungfraubahn Holding AG is headquartered in Interlaken, Switzerland.",625,"{'maxAge': 1, 'name': 'Ms. Kathrin  Naegeli', 'title': 'Head of Corp. Communications', 'exercisedValue': 0, 'unexercisedValue': 0}",9,8,10,10,10,1693526400,1672444800,86400,2,164.8,165.0,164.4,167.6,164.8,165.0,164.4,167.6,3.6,0.0218,1684281600,0.33060002,0.909534,15.209473,13.338657,3543,3543,2048,1664,1664,166.8,0.0,0,0,973725248,107.4,167.6,3.920557,154.876,141.275,3.6,0.021844659,CHF,1026758208,0.25527,4958240,5830690,0.14951,0.23756,111.326,1.5000988,1672444800,1703980800,1688083200,1.324,63400000,10.98,12.52,2.08,20:2,1082073600,4.134,8.824,EBS,EQUITY,JFN.SW,JFN.SW,JUNGFRAUBAHN HLD N,Jungfraubahn Holding AG,842338800,Europe/Zurich,CEST,7200000,167.0,192.0,192.0,192.0,192.0,2.0,buy,1,38891000,6.67,116364000,106499000,1.172,1.217,248364000,16.275,42.673,0.06039,0.10148,69270624,113472000,1.324,0.35,0.67963,0.46852002,0.32489,CHF,
6,Harderstrasse 14,Interlaken,3800,Switzerland,41 33 828 71 11,41 33 828 72 64,https://www.jungfrau.ch,Railroads,Industrials,"Jungfraubahn Holding AG, together with its subsidiaries, operates cogwheel railway and winter sports related facilities in Jungfrau region, Switzerland. It operates through Jungfraujoch  Top of Europe, Winter Sports, Experience Mountains, and Other segments. The company's destinations include Jungfraujoch, Grindelwald  First, Schynige Platte, Harder Kulm, Winteregg Mürren, and Kleine Scheidegg. In addition, it offers skiing, sledging, hiking, shopping, glider, flyer, mountain cart, trottibike scooter, mountainbike, trail running, food and drink related activities, as well as operates a hydroelectric power station. Jungfraubahn Holding AG is headquartered in Interlaken, Switzerland.",625,"{'maxAge': 1, 'name': 'Mr. Werner  Amacher', 'title': 'Head of Harderbahn Operating Unit', 'exercisedValue': 0, 'unexercisedValue': 0}",9,8,10,10,10,1693526400,1672444800,86400,2,164.8,165.0,164.4,167.6,164.8,165.0,164.4,167.6,3.6,0.0218,1684281600,0.33060002,0.909534,15.209473,13.338657,3543,3543,2048,1664,1664,166.8,0.0,0,0,973725248,107.4,167.6,3.920557,154.876,141.275,3.6,0.021844659,CHF,1026758208,0.25527,4958240,5830690,0.14951,0.23756,111.326,1.5000988,1672444800,1703980800,1688083200,1.324,63400000,10.98,12.52,2.08,20:2,1082073600,4.134,8.824,EBS,EQUITY,JFN.SW,JFN.SW,JUNGFRAUBAHN HLD N,Jungfraubahn Holding AG,842338800,Europe/Zurich,CEST,7200000,167.0,192.0,192.0,192.0,192.0,2.0,buy,1,38891000,6.67,116364000,106499000,1.172,1.217,248364000,16.275,42.673,0.06039,0.10148,69270624,113472000,1.324,0.35,0.67963,0.46852002,0.32489,CHF,
7,Harderstrasse 14,Interlaken,3800,Switzerland,41 33 828 71 11,41 33 828 72 64,https://www.jungfrau.ch,Railroads,Industrials,"Jungfraubahn Holding AG, together with its subsidiaries, operates cogwheel railway and winter sports related facilities in Jungfrau region, Switzerland. It operates through Jungfraujoch  Top of Europe, Winter Sports, Experience Mountains, and Other segments. The company's destinations include Jungfraujoch, Grindelwald  First, Schynige Platte, Harder Kulm, Winteregg Mürren, and Kleine Scheidegg. In addition, it offers skiing, sledging, hiking, shopping, glider, flyer, mountain cart, trottibike scooter, mountainbike, trail running, food and drink related activities, as well as operates a hydroelectric power station. Jungfraubahn Holding AG is headquartered in Interlaken, Switzerland.",625,"{'maxAge': 1, 'name': 'Mr. Martin  Loosli', 'title': 'Head of the Top of Europe Shops Operating Unit', 'exercisedValue': 0, 'unexercisedValue': 0}",9,8,10,10,10,1693526400,1672444800,86400,2,164.8,165.0,164.4,167.6,164.8,165.0,164.4,167.6,3.6,0.0218,1684281600,0.33060002,0.909534,15.209473,13.338657,3543,3543,2048,1664,1664,166.8,0.0,0,0,973725248,107.4,167.6,3.920557,154.876,141.275,3.6,0.021844659,CHF,1026758208,0.25527,4958240,5830690,0.14951,0.23756,111.326,1.5000988,1672444800,1703980800,1688083200,1.324,63400000,10.98,12.52,2.08,20:2,1082073600,4.134,8.824,EBS,EQUITY,JFN.SW,JFN.SW,JUNGFRAUBAHN HLD N,Jungfraubahn Holding AG,842338800,Europe/Zurich,CEST,7200000,167.0,192.0,192.0,192.0,192.0,2.0,buy,1,38891000,6.67,116364000,106499000,1.172,1.217,248364000,16.275,42.673,0.06039,0.10148,69270624,113472000,1.324,0.35,0.67963,0.46852002,0.32489,CHF,
8,Harderstrasse 14,Interlaken,3800,Switzerland,41 33 828 71 11,41 33 828 72 64,https://www.jungfrau.ch,Railroads,Industrials,"Jungfraubahn Holding AG, together with its subsidiaries, operates cogwheel railway and winter sports related facilities in Jungfrau region, Switzerland. It operates through Jungfraujoch  Top of Europe, Winter Sports, Experience Mountains, and Other segments. The company's destinations include Jungfraujoch, Grindelwald  First, Schynige Platte, Harder Kulm, Winteregg Mürren, and Kleine Scheidegg. In addition, it offers skiing, sledging, hiking, shopping, glider, flyer, mountain cart, trottibike scooter, mountainbike, trail running, food and drink related activities, as well as operates a hydroelectric power station. Jungfraubahn Holding AG is headquartered in Interlaken, Switzerland.",625,"{'maxAge': 1, 'name': 'Mr. Stefan  Wittwer', 'title': 'Head of the Mürrenbahn Operating Unit and Head of Lauterbrunnen Car Park Operating Unit', 'exercisedValue': 0, 'unexercisedValue': 0}",9,8,10,10,10,1693526400,1672444800,86400,2,164.8,165.0,164.4,167.6,164.8,165.0,164.4,167.6,3.6,0.0218,1684281600,0.33060002,0.909534,15.209473,13.338657,3543,3543,2048,1664,1664,166.8,0.0,0,0,973725248,107.4,167.6,3.920557,154.876,141.275,3.6,0.021844659,CHF,1026758208,0.25527,4958240,5830690,0.14951,0.23756,111.326,1.5000988,1672444800,1703980800,1688083200,1.324,63400000,10.98,12.52,2.08,20:2,1082073600,4.134,8.824,EBS,EQUITY,JFN.SW,JFN.SW,JUNGFRAUBAHN HLD N,Jungfraubahn Holding AG,842338800,Europe/Zurich,CEST,7200000,167.0,192.0,192.0,192.0,192.0,2.0,buy,1,38891000,6.67,116364000,106499000,1.172,1.217,248364000,16.275,42.673,0.06039,0.10148,69270624,113472000,1.324,0.35,0.67963,0.46852002,0.32489,CHF,
9,Harderstrasse 14,Interlaken,3800,Switzerland,41 33 828 71 11,41 33 828 72 64,https://www.jungfrau.ch,Railroads,Industrials,"Jungfraubahn Holding AG, together with its subsidiaries, operates cogwheel railway and winter sports related facilities in Jungfrau region, Switzerland. It operates through Jungfraujoch  Top of Europe, Winter Sports, Experience Mountains, and Other segments. The company's destinations include Jungfraujoch, Grindelwald  First, Schynige Platte, Harder Kulm, Winteregg Mürren, and Kleine Scheidegg. In addition, it offers skiing, sledging, hiking, shopping, glider, flyer, mountain cart, trottibike scooter, mountainbike, trail running, food and drink related activities, as well as operates a hydroelectric power station. Jungfraubahn Holding AG is headquartered in Interlaken, Switzerland.",625,"{'maxAge': 1, 'name': 'Mr. Nils  von Allmen', 'title': 'Head of Lütschental Power Plant Operating Unit', 'exercisedValue': 0, 'unexercisedValue': 0}",9,8,10,10,10,1693526400,1672444800,86400,2,164.8,165.0,164.4,167.6,164.8,165.0,164.4,167.6,3.6,0.0218,1684281600,0.33060002,0.909534,15.209473,13.338657,3543,3543,2048,1664,1664,166.8,0.0,0,0,973725248,107.4,167.6,3.920557,154.876,141.275,3.6,0.021844659,CHF,1026758208,0.25527,4958240,5830690,0.14951,0.23756,111.326,1.5000988,1672444800,1703980800,1688083200,1.324,63400000,10.98,12.52,2.08,20:2,1082073600,4.134,8.824,EBS,EQUITY,JFN.SW,JFN.SW,JUNGFRAUBAHN HLD N,Jungfraubahn Holding AG,842338800,Europe/Zurich,CEST,7200000,167.0,192.0,192.0,192.0,192.0,2.0,buy,1,38891000,6.67,116364000,106499000,1.172,1.217,248364000,16.275,42.673,0.06039,0.10148,69270624,113472000,1.324,0.35,0.67963,0.46852002,0.32489,CHF,
