,address1,city,zip,country,phone,fax,website,longBusinessSummary,fullTimeEmployees,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,beta,trailingPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,fiftyTwoWeekLow,fiftyTwoWeekHigh,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,heldPercentInsiders,heldPercentInstitutions,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,enterpriseToRevenue,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationKey,totalCash,totalCashPerShare,totalDebt,totalRevenue,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,Jonsvollsgaten 2,Bergen,5011,Norway,47 91 50 55 55,47 55 21 73 50,https://www.spv.no,"Sparebanken Vest, a financial services company, provides banking and financing services in the counties of Vestland and Rogaland, Norway. The company operates through Corporate Market, Retail Market, Bulder Bank, Treasury, and Estate Agency Activities segments. It is also involved in home mortgage activities. The company was founded in 1823 and is headquartered in Bergen, Norway.",765,"{'maxAge': 1, 'name': 'Mr. Jan Erik Kjerpeseth', 'age': 51, 'title': 'Exec. VP, MD & CEO', 'yearBorn': 1971, 'fiscalYear': 2020, 'totalPay': 6977000, 'exercisedValue': 0, 'unexercisedValue': 0}",10,10,6,1,10,1693526400,1609372800,86400,2,105.6,106.4,105.7963,106.4,105.6,106.4,105.7963,106.4,0.791666,10.70596,15396,15396,10178,4703,4703,0.0,0.0,78.0,111.0,105.878105,97.65493,5.5,0.052083336,NOK,143225061376,0.55591,57907360,0.32326,0.28295,188.481,0.5613102,1672444800,1703980800,1688083200,0.388,1240999936,9.882,25.26,LSE,EQUITY,0G67.L,0G67.L,SPAREBANKEN VEST SPAREBANKEN VE,Sparebanken Vest,1401865200,Europe/London,BST,3600000,105.7963,none,7799000064,71.126,139444994048,5670000128,52.214,0.01163,0.15008001,5193000000,3544000000,0.374,0.295,0.0,0.0,0.69065005,NOK,
1,Jonsvollsgaten 2,Bergen,5011,Norway,47 91 50 55 55,47 55 21 73 50,https://www.spv.no,"Sparebanken Vest, a financial services company, provides banking and financing services in the counties of Vestland and Rogaland, Norway. The company operates through Corporate Market, Retail Market, Bulder Bank, Treasury, and Estate Agency Activities segments. It is also involved in home mortgage activities. The company was founded in 1823 and is headquartered in Bergen, Norway.",765,"{'maxAge': 1, 'name': 'Mr. Frank  Johannesen', 'age': 63, 'title': 'Exec. VP & CFO', 'yearBorn': 1959, 'fiscalYear': 2020, 'totalPay': 3740000, 'exercisedValue': 0, 'unexercisedValue': 0}",10,10,6,1,10,1693526400,1609372800,86400,2,105.6,106.4,105.7963,106.4,105.6,106.4,105.7963,106.4,0.791666,10.70596,15396,15396,10178,4703,4703,0.0,0.0,78.0,111.0,105.878105,97.65493,5.5,0.052083336,NOK,143225061376,0.55591,57907360,0.32326,0.28295,188.481,0.5613102,1672444800,1703980800,1688083200,0.388,1240999936,9.882,25.26,LSE,EQUITY,0G67.L,0G67.L,SPAREBANKEN VEST SPAREBANKEN VE,Sparebanken Vest,1401865200,Europe/London,BST,3600000,105.7963,none,7799000064,71.126,139444994048,5670000128,52.214,0.01163,0.15008001,5193000000,3544000000,0.374,0.295,0.0,0.0,0.69065005,NOK,
2,Jonsvollsgaten 2,Bergen,5011,Norway,47 91 50 55 55,47 55 21 73 50,https://www.spv.no,"Sparebanken Vest, a financial services company, provides banking and financing services in the counties of Vestland and Rogaland, Norway. The company operates through Corporate Market, Retail Market, Bulder Bank, Treasury, and Estate Agency Activities segments. It is also involved in home mortgage activities. The company was founded in 1823 and is headquartered in Bergen, Norway.",765,"{'maxAge': 1, 'name': 'Terje  Mjelde', 'title': 'Head of Management Accounting', 'exercisedValue': 0, 'unexercisedValue': 0}",10,10,6,1,10,1693526400,1609372800,86400,2,105.6,106.4,105.7963,106.4,105.6,106.4,105.7963,106.4,0.791666,10.70596,15396,15396,10178,4703,4703,0.0,0.0,78.0,111.0,105.878105,97.65493,5.5,0.052083336,NOK,143225061376,0.55591,57907360,0.32326,0.28295,188.481,0.5613102,1672444800,1703980800,1688083200,0.388,1240999936,9.882,25.26,LSE,EQUITY,0G67.L,0G67.L,SPAREBANKEN VEST SPAREBANKEN VE,Sparebanken Vest,1401865200,Europe/London,BST,3600000,105.7963,none,7799000064,71.126,139444994048,5670000128,52.214,0.01163,0.15008001,5193000000,3544000000,0.374,0.295,0.0,0.0,0.69065005,NOK,
3,Jonsvollsgaten 2,Bergen,5011,Norway,47 91 50 55 55,47 55 21 73 50,https://www.spv.no,"Sparebanken Vest, a financial services company, provides banking and financing services in the counties of Vestland and Rogaland, Norway. The company operates through Corporate Market, Retail Market, Bulder Bank, Treasury, and Estate Agency Activities segments. It is also involved in home mortgage activities. The company was founded in 1823 and is headquartered in Bergen, Norway.",765,"{'maxAge': 1, 'name': 'Mr. Lars Ove Breivik', 'title': 'Chief Information Officer & Head of Communication', 'exercisedValue': 0, 'unexercisedValue': 0}",10,10,6,1,10,1693526400,1609372800,86400,2,105.6,106.4,105.7963,106.4,105.6,106.4,105.7963,106.4,0.791666,10.70596,15396,15396,10178,4703,4703,0.0,0.0,78.0,111.0,105.878105,97.65493,5.5,0.052083336,NOK,143225061376,0.55591,57907360,0.32326,0.28295,188.481,0.5613102,1672444800,1703980800,1688083200,0.388,1240999936,9.882,25.26,LSE,EQUITY,0G67.L,0G67.L,SPAREBANKEN VEST SPAREBANKEN VE,Sparebanken Vest,1401865200,Europe/London,BST,3600000,105.7963,none,7799000064,71.126,139444994048,5670000128,52.214,0.01163,0.15008001,5193000000,3544000000,0.374,0.295,0.0,0.0,0.69065005,NOK,
4,Jonsvollsgaten 2,Bergen,5011,Norway,47 91 50 55 55,47 55 21 73 50,https://www.spv.no,"Sparebanken Vest, a financial services company, provides banking and financing services in the counties of Vestland and Rogaland, Norway. The company operates through Corporate Market, Retail Market, Bulder Bank, Treasury, and Estate Agency Activities segments. It is also involved in home mortgage activities. The company was founded in 1823 and is headquartered in Bergen, Norway.",765,"{'maxAge': 1, 'name': 'Brede Borgen Kristiansen', 'title': 'Director of Fin. & Investor Relations', 'exercisedValue': 0, 'unexercisedValue': 0}",10,10,6,1,10,1693526400,1609372800,86400,2,105.6,106.4,105.7963,106.4,105.6,106.4,105.7963,106.4,0.791666,10.70596,15396,15396,10178,4703,4703,0.0,0.0,78.0,111.0,105.878105,97.65493,5.5,0.052083336,NOK,143225061376,0.55591,57907360,0.32326,0.28295,188.481,0.5613102,1672444800,1703980800,1688083200,0.388,1240999936,9.882,25.26,LSE,EQUITY,0G67.L,0G67.L,SPAREBANKEN VEST SPAREBANKEN VE,Sparebanken Vest,1401865200,Europe/London,BST,3600000,105.7963,none,7799000064,71.126,139444994048,5670000128,52.214,0.01163,0.15008001,5193000000,3544000000,0.374,0.295,0.0,0.0,0.69065005,NOK,
5,Jonsvollsgaten 2,Bergen,5011,Norway,47 91 50 55 55,47 55 21 73 50,https://www.spv.no,"Sparebanken Vest, a financial services company, provides banking and financing services in the counties of Vestland and Rogaland, Norway. The company operates through Corporate Market, Retail Market, Bulder Bank, Treasury, and Estate Agency Activities segments. It is also involved in home mortgage activities. The company was founded in 1823 and is headquartered in Bergen, Norway.",765,"{'maxAge': 1, 'name': 'Monica Galtung Døsvig', 'title': 'Head of Legal', 'exercisedValue': 0, 'unexercisedValue': 0}",10,10,6,1,10,1693526400,1609372800,86400,2,105.6,106.4,105.7963,106.4,105.6,106.4,105.7963,106.4,0.791666,10.70596,15396,15396,10178,4703,4703,0.0,0.0,78.0,111.0,105.878105,97.65493,5.5,0.052083336,NOK,143225061376,0.55591,57907360,0.32326,0.28295,188.481,0.5613102,1672444800,1703980800,1688083200,0.388,1240999936,9.882,25.26,LSE,EQUITY,0G67.L,0G67.L,SPAREBANKEN VEST SPAREBANKEN VE,Sparebanken Vest,1401865200,Europe/London,BST,3600000,105.7963,none,7799000064,71.126,139444994048,5670000128,52.214,0.01163,0.15008001,5193000000,3544000000,0.374,0.295,0.0,0.0,0.69065005,NOK,
6,Jonsvollsgaten 2,Bergen,5011,Norway,47 91 50 55 55,47 55 21 73 50,https://www.spv.no,"Sparebanken Vest, a financial services company, provides banking and financing services in the counties of Vestland and Rogaland, Norway. The company operates through Corporate Market, Retail Market, Bulder Bank, Treasury, and Estate Agency Activities segments. It is also involved in home mortgage activities. The company was founded in 1823 and is headquartered in Bergen, Norway.",765,"{'maxAge': 1, 'name': 'Henrik  Tønnessen', 'title': 'Compliance Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",10,10,6,1,10,1693526400,1609372800,86400,2,105.6,106.4,105.7963,106.4,105.6,106.4,105.7963,106.4,0.791666,10.70596,15396,15396,10178,4703,4703,0.0,0.0,78.0,111.0,105.878105,97.65493,5.5,0.052083336,NOK,143225061376,0.55591,57907360,0.32326,0.28295,188.481,0.5613102,1672444800,1703980800,1688083200,0.388,1240999936,9.882,25.26,LSE,EQUITY,0G67.L,0G67.L,SPAREBANKEN VEST SPAREBANKEN VE,Sparebanken Vest,1401865200,Europe/London,BST,3600000,105.7963,none,7799000064,71.126,139444994048,5670000128,52.214,0.01163,0.15008001,5193000000,3544000000,0.374,0.295,0.0,0.0,0.69065005,NOK,
7,Jonsvollsgaten 2,Bergen,5011,Norway,47 91 50 55 55,47 55 21 73 50,https://www.spv.no,"Sparebanken Vest, a financial services company, provides banking and financing services in the counties of Vestland and Rogaland, Norway. The company operates through Corporate Market, Retail Market, Bulder Bank, Treasury, and Estate Agency Activities segments. It is also involved in home mortgage activities. The company was founded in 1823 and is headquartered in Bergen, Norway.",765,"{'maxAge': 1, 'name': 'Ms. Therese Linn Arentsen', 'age': 46, 'title': 'Exec. VP and Head of HR & Organization', 'yearBorn': 1976, 'exercisedValue': 0, 'unexercisedValue': 0}",10,10,6,1,10,1693526400,1609372800,86400,2,105.6,106.4,105.7963,106.4,105.6,106.4,105.7963,106.4,0.791666,10.70596,15396,15396,10178,4703,4703,0.0,0.0,78.0,111.0,105.878105,97.65493,5.5,0.052083336,NOK,143225061376,0.55591,57907360,0.32326,0.28295,188.481,0.5613102,1672444800,1703980800,1688083200,0.388,1240999936,9.882,25.26,LSE,EQUITY,0G67.L,0G67.L,SPAREBANKEN VEST SPAREBANKEN VE,Sparebanken Vest,1401865200,Europe/London,BST,3600000,105.7963,none,7799000064,71.126,139444994048,5670000128,52.214,0.01163,0.15008001,5193000000,3544000000,0.374,0.295,0.0,0.0,0.69065005,NOK,
8,Jonsvollsgaten 2,Bergen,5011,Norway,47 91 50 55 55,47 55 21 73 50,https://www.spv.no,"Sparebanken Vest, a financial services company, provides banking and financing services in the counties of Vestland and Rogaland, Norway. The company operates through Corporate Market, Retail Market, Bulder Bank, Treasury, and Estate Agency Activities segments. It is also involved in home mortgage activities. The company was founded in 1823 and is headquartered in Bergen, Norway.",765,"{'maxAge': 1, 'name': 'Ms. Siren  Sundland', 'age': 51, 'title': 'Exec. VP and Head of Strategy & Digital Distribution', 'yearBorn': 1971, 'fiscalYear': 2020, 'totalPay': 3254000, 'exercisedValue': 0, 'unexercisedValue': 0}",10,10,6,1,10,1693526400,1609372800,86400,2,105.6,106.4,105.7963,106.4,105.6,106.4,105.7963,106.4,0.791666,10.70596,15396,15396,10178,4703,4703,0.0,0.0,78.0,111.0,105.878105,97.65493,5.5,0.052083336,NOK,143225061376,0.55591,57907360,0.32326,0.28295,188.481,0.5613102,1672444800,1703980800,1688083200,0.388,1240999936,9.882,25.26,LSE,EQUITY,0G67.L,0G67.L,SPAREBANKEN VEST SPAREBANKEN VE,Sparebanken Vest,1401865200,Europe/London,BST,3600000,105.7963,none,7799000064,71.126,139444994048,5670000128,52.214,0.01163,0.15008001,5193000000,3544000000,0.374,0.295,0.0,0.0,0.69065005,NOK,
9,Jonsvollsgaten 2,Bergen,5011,Norway,47 91 50 55 55,47 55 21 73 50,https://www.spv.no,"Sparebanken Vest, a financial services company, provides banking and financing services in the counties of Vestland and Rogaland, Norway. The company operates through Corporate Market, Retail Market, Bulder Bank, Treasury, and Estate Agency Activities segments. It is also involved in home mortgage activities. The company was founded in 1823 and is headquartered in Bergen, Norway.",765,"{'maxAge': 1, 'name': 'Mr. Jan-Stale  Hatlebakk', 'age': 48, 'title': 'Exec. VP, Head of Risk Management & CRO', 'yearBorn': 1974, 'fiscalYear': 2020, 'totalPay': 2563000, 'exercisedValue': 0, 'unexercisedValue': 0}",10,10,6,1,10,1693526400,1609372800,86400,2,105.6,106.4,105.7963,106.4,105.6,106.4,105.7963,106.4,0.791666,10.70596,15396,15396,10178,4703,4703,0.0,0.0,78.0,111.0,105.878105,97.65493,5.5,0.052083336,NOK,143225061376,0.55591,57907360,0.32326,0.28295,188.481,0.5613102,1672444800,1703980800,1688083200,0.388,1240999936,9.882,25.26,LSE,EQUITY,0G67.L,0G67.L,SPAREBANKEN VEST SPAREBANKEN VE,Sparebanken Vest,1401865200,Europe/London,BST,3600000,105.7963,none,7799000064,71.126,139444994048,5670000128,52.214,0.01163,0.15008001,5193000000,3544000000,0.374,0.295,0.0,0.0,0.69065005,NOK,
