,address1,address2,city,state,zip,country,phone,fax,website,industry,industryDisp,sector,sectorDisp,longBusinessSummary,fullTimeEmployees,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,exDividendDate,payoutRatio,beta,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,impliedSharesOutstanding,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,forwardEps,pegRatio,enterpriseToRevenue,enterpriseToEbitda,52WeekChange,SandP52WeekChange,lastDividendValue,lastDividendDate,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,uuid,messageBoardId,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,60 Margaret Street,Level 19,Sydney,NSW,2000,Australia,61 2 8667 8000,61 2 8667 8080,https://www.ofx.com,Capital Markets,Capital Markets,Financial Services,Financial Services,"OFX Group Limited provides international payments and foreign exchange services worldwide. It offers range of products and services to consumers, corporates, online sellers, and enterprise clients. The company was formerly known as OzForex Group Limited and changed its name to OFX Group Limited in September 2016. OFX Group Limited was founded in 1998 and is headquartered in Sydney, Australia.",715,"{'maxAge': 1, 'name': 'Mr. John Alexander Malcolm', 'age': 53, 'title': 'CEO, MD & Exec. Director', 'yearBorn': 1969, 'fiscalYear': 2023, 'totalPay': 1223260, 'exercisedValue': 0, 'unexercisedValue': 0}",3,4,4,1,2,1693526400,1703980800,86400,4,1.88,1.88,1.87,1.97,1.88,1.88,1.87,1.97,1606262400,0.0,0.025525,15.000001,13.0,788314,788314,434641,357047,357047,1.95,1.955,0,0,484801216,1.375,2.91,2.118294,1.9312,1.91275,0.0,0.0,AUD,460356960,0.13725,220267513,248616000,0.09132,0.6732,248616000,0.592,3.2939188,1680220800,1711843200,1680220800,0.186,31411000,0.13,0.15,2.37,2.011,10.223,-0.229249,0.14113986,0.0081,1606176000,ASX,EQUITY,OFX.AX,OFX.AX,OZFOREX FPO,OFX Group Limited,1381446000,Australia/Sydney,AEST,153b7092-a233-30b1-bb34-1e181b06ba06,finmb_35017479,36000000,1.95,2.74,1.82,2.38,2.35,2.0,buy,5,93804000,0.385,45031000,79142000,0.235,1.218,228864000,54.918,0.941,0.05054,0.25331,14438002,47016000,0.178,0.381,0.93546,0.19676,0.1884,AUD,
1,60 Margaret Street,Level 19,Sydney,NSW,2000,Australia,61 2 8667 8000,61 2 8667 8080,https://www.ofx.com,Capital Markets,Capital Markets,Financial Services,Financial Services,"OFX Group Limited provides international payments and foreign exchange services worldwide. It offers range of products and services to consumers, corporates, online sellers, and enterprise clients. The company was formerly known as OzForex Group Limited and changed its name to OFX Group Limited in September 2016. OFX Group Limited was founded in 1998 and is headquartered in Sydney, Australia.",715,"{'maxAge': 1, 'name': 'Ms. Selena  Verth CPA', 'title': 'Chief Financial Officer', 'fiscalYear': 2023, 'totalPay': 656102, 'exercisedValue': 0, 'unexercisedValue': 0}",3,4,4,1,2,1693526400,1703980800,86400,4,1.88,1.88,1.87,1.97,1.88,1.88,1.87,1.97,1606262400,0.0,0.025525,15.000001,13.0,788314,788314,434641,357047,357047,1.95,1.955,0,0,484801216,1.375,2.91,2.118294,1.9312,1.91275,0.0,0.0,AUD,460356960,0.13725,220267513,248616000,0.09132,0.6732,248616000,0.592,3.2939188,1680220800,1711843200,1680220800,0.186,31411000,0.13,0.15,2.37,2.011,10.223,-0.229249,0.14113986,0.0081,1606176000,ASX,EQUITY,OFX.AX,OFX.AX,OZFOREX FPO,OFX Group Limited,1381446000,Australia/Sydney,AEST,153b7092-a233-30b1-bb34-1e181b06ba06,finmb_35017479,36000000,1.95,2.74,1.82,2.38,2.35,2.0,buy,5,93804000,0.385,45031000,79142000,0.235,1.218,228864000,54.918,0.941,0.05054,0.25331,14438002,47016000,0.178,0.381,0.93546,0.19676,0.1884,AUD,
2,60 Margaret Street,Level 19,Sydney,NSW,2000,Australia,61 2 8667 8000,61 2 8667 8080,https://www.ofx.com,Capital Markets,Capital Markets,Financial Services,Financial Services,"OFX Group Limited provides international payments and foreign exchange services worldwide. It offers range of products and services to consumers, corporates, online sellers, and enterprise clients. The company was formerly known as OzForex Group Limited and changed its name to OFX Group Limited in September 2016. OFX Group Limited was founded in 1998 and is headquartered in Sydney, Australia.",715,"{'maxAge': 1, 'name': 'Mr. Mark  Shaw', 'title': 'COO & Chief Risk Officer', 'fiscalYear': 2023, 'totalPay': 594346, 'exercisedValue': 0, 'unexercisedValue': 0}",3,4,4,1,2,1693526400,1703980800,86400,4,1.88,1.88,1.87,1.97,1.88,1.88,1.87,1.97,1606262400,0.0,0.025525,15.000001,13.0,788314,788314,434641,357047,357047,1.95,1.955,0,0,484801216,1.375,2.91,2.118294,1.9312,1.91275,0.0,0.0,AUD,460356960,0.13725,220267513,248616000,0.09132,0.6732,248616000,0.592,3.2939188,1680220800,1711843200,1680220800,0.186,31411000,0.13,0.15,2.37,2.011,10.223,-0.229249,0.14113986,0.0081,1606176000,ASX,EQUITY,OFX.AX,OFX.AX,OZFOREX FPO,OFX Group Limited,1381446000,Australia/Sydney,AEST,153b7092-a233-30b1-bb34-1e181b06ba06,finmb_35017479,36000000,1.95,2.74,1.82,2.38,2.35,2.0,buy,5,93804000,0.385,45031000,79142000,0.235,1.218,228864000,54.918,0.941,0.05054,0.25331,14438002,47016000,0.178,0.381,0.93546,0.19676,0.1884,AUD,
3,60 Margaret Street,Level 19,Sydney,NSW,2000,Australia,61 2 8667 8000,61 2 8667 8080,https://www.ofx.com,Capital Markets,Capital Markets,Financial Services,Financial Services,"OFX Group Limited provides international payments and foreign exchange services worldwide. It offers range of products and services to consumers, corporates, online sellers, and enterprise clients. The company was formerly known as OzForex Group Limited and changed its name to OFX Group Limited in September 2016. OFX Group Limited was founded in 1998 and is headquartered in Sydney, Australia.",715,"{'maxAge': 1, 'name': 'Mr. Adam  Thomas', 'title': 'Chief Technology Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",3,4,4,1,2,1693526400,1703980800,86400,4,1.88,1.88,1.87,1.97,1.88,1.88,1.87,1.97,1606262400,0.0,0.025525,15.000001,13.0,788314,788314,434641,357047,357047,1.95,1.955,0,0,484801216,1.375,2.91,2.118294,1.9312,1.91275,0.0,0.0,AUD,460356960,0.13725,220267513,248616000,0.09132,0.6732,248616000,0.592,3.2939188,1680220800,1711843200,1680220800,0.186,31411000,0.13,0.15,2.37,2.011,10.223,-0.229249,0.14113986,0.0081,1606176000,ASX,EQUITY,OFX.AX,OFX.AX,OZFOREX FPO,OFX Group Limited,1381446000,Australia/Sydney,AEST,153b7092-a233-30b1-bb34-1e181b06ba06,finmb_35017479,36000000,1.95,2.74,1.82,2.38,2.35,2.0,buy,5,93804000,0.385,45031000,79142000,0.235,1.218,228864000,54.918,0.941,0.05054,0.25331,14438002,47016000,0.178,0.381,0.93546,0.19676,0.1884,AUD,
4,60 Margaret Street,Level 19,Sydney,NSW,2000,Australia,61 2 8667 8000,61 2 8667 8080,https://www.ofx.com,Capital Markets,Capital Markets,Financial Services,Financial Services,"OFX Group Limited provides international payments and foreign exchange services worldwide. It offers range of products and services to consumers, corporates, online sellers, and enterprise clients. The company was formerly known as OzForex Group Limited and changed its name to OFX Group Limited in September 2016. OFX Group Limited was founded in 1998 and is headquartered in Sydney, Australia.",715,"{'maxAge': 1, 'name': 'Mr. Matthew  Gregorowski', 'title': 'Investor Relations', 'exercisedValue': 0, 'unexercisedValue': 0}",3,4,4,1,2,1693526400,1703980800,86400,4,1.88,1.88,1.87,1.97,1.88,1.88,1.87,1.97,1606262400,0.0,0.025525,15.000001,13.0,788314,788314,434641,357047,357047,1.95,1.955,0,0,484801216,1.375,2.91,2.118294,1.9312,1.91275,0.0,0.0,AUD,460356960,0.13725,220267513,248616000,0.09132,0.6732,248616000,0.592,3.2939188,1680220800,1711843200,1680220800,0.186,31411000,0.13,0.15,2.37,2.011,10.223,-0.229249,0.14113986,0.0081,1606176000,ASX,EQUITY,OFX.AX,OFX.AX,OZFOREX FPO,OFX Group Limited,1381446000,Australia/Sydney,AEST,153b7092-a233-30b1-bb34-1e181b06ba06,finmb_35017479,36000000,1.95,2.74,1.82,2.38,2.35,2.0,buy,5,93804000,0.385,45031000,79142000,0.235,1.218,228864000,54.918,0.941,0.05054,0.25331,14438002,47016000,0.178,0.381,0.93546,0.19676,0.1884,AUD,
5,60 Margaret Street,Level 19,Sydney,NSW,2000,Australia,61 2 8667 8000,61 2 8667 8080,https://www.ofx.com,Capital Markets,Capital Markets,Financial Services,Financial Services,"OFX Group Limited provides international payments and foreign exchange services worldwide. It offers range of products and services to consumers, corporates, online sellers, and enterprise clients. The company was formerly known as OzForex Group Limited and changed its name to OFX Group Limited in September 2016. OFX Group Limited was founded in 1998 and is headquartered in Sydney, Australia.",715,"{'maxAge': 1, 'name': 'Mr. Adrian  Wong', 'title': 'Chief Legal Officer & Company Sec.', 'exercisedValue': 0, 'unexercisedValue': 0}",3,4,4,1,2,1693526400,1703980800,86400,4,1.88,1.88,1.87,1.97,1.88,1.88,1.87,1.97,1606262400,0.0,0.025525,15.000001,13.0,788314,788314,434641,357047,357047,1.95,1.955,0,0,484801216,1.375,2.91,2.118294,1.9312,1.91275,0.0,0.0,AUD,460356960,0.13725,220267513,248616000,0.09132,0.6732,248616000,0.592,3.2939188,1680220800,1711843200,1680220800,0.186,31411000,0.13,0.15,2.37,2.011,10.223,-0.229249,0.14113986,0.0081,1606176000,ASX,EQUITY,OFX.AX,OFX.AX,OZFOREX FPO,OFX Group Limited,1381446000,Australia/Sydney,AEST,153b7092-a233-30b1-bb34-1e181b06ba06,finmb_35017479,36000000,1.95,2.74,1.82,2.38,2.35,2.0,buy,5,93804000,0.385,45031000,79142000,0.235,1.218,228864000,54.918,0.941,0.05054,0.25331,14438002,47016000,0.178,0.381,0.93546,0.19676,0.1884,AUD,
6,60 Margaret Street,Level 19,Sydney,NSW,2000,Australia,61 2 8667 8000,61 2 8667 8080,https://www.ofx.com,Capital Markets,Capital Markets,Financial Services,Financial Services,"OFX Group Limited provides international payments and foreign exchange services worldwide. It offers range of products and services to consumers, corporates, online sellers, and enterprise clients. The company was formerly known as OzForex Group Limited and changed its name to OFX Group Limited in September 2016. OFX Group Limited was founded in 1998 and is headquartered in Sydney, Australia.",715,"{'maxAge': 1, 'name': 'Ms. Elaine  Herlihy', 'title': 'Chief Marketing & Product Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",3,4,4,1,2,1693526400,1703980800,86400,4,1.88,1.88,1.87,1.97,1.88,1.88,1.87,1.97,1606262400,0.0,0.025525,15.000001,13.0,788314,788314,434641,357047,357047,1.95,1.955,0,0,484801216,1.375,2.91,2.118294,1.9312,1.91275,0.0,0.0,AUD,460356960,0.13725,220267513,248616000,0.09132,0.6732,248616000,0.592,3.2939188,1680220800,1711843200,1680220800,0.186,31411000,0.13,0.15,2.37,2.011,10.223,-0.229249,0.14113986,0.0081,1606176000,ASX,EQUITY,OFX.AX,OFX.AX,OZFOREX FPO,OFX Group Limited,1381446000,Australia/Sydney,AEST,153b7092-a233-30b1-bb34-1e181b06ba06,finmb_35017479,36000000,1.95,2.74,1.82,2.38,2.35,2.0,buy,5,93804000,0.385,45031000,79142000,0.235,1.218,228864000,54.918,0.941,0.05054,0.25331,14438002,47016000,0.178,0.381,0.93546,0.19676,0.1884,AUD,
7,60 Margaret Street,Level 19,Sydney,NSW,2000,Australia,61 2 8667 8000,61 2 8667 8080,https://www.ofx.com,Capital Markets,Capital Markets,Financial Services,Financial Services,"OFX Group Limited provides international payments and foreign exchange services worldwide. It offers range of products and services to consumers, corporates, online sellers, and enterprise clients. The company was formerly known as OzForex Group Limited and changed its name to OFX Group Limited in September 2016. OFX Group Limited was founded in 1998 and is headquartered in Sydney, Australia.",715,"{'maxAge': 1, 'name': 'Mr. Axel  Freytag', 'title': 'Chief Strategy & Corp. Devel. Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",3,4,4,1,2,1693526400,1703980800,86400,4,1.88,1.88,1.87,1.97,1.88,1.88,1.87,1.97,1606262400,0.0,0.025525,15.000001,13.0,788314,788314,434641,357047,357047,1.95,1.955,0,0,484801216,1.375,2.91,2.118294,1.9312,1.91275,0.0,0.0,AUD,460356960,0.13725,220267513,248616000,0.09132,0.6732,248616000,0.592,3.2939188,1680220800,1711843200,1680220800,0.186,31411000,0.13,0.15,2.37,2.011,10.223,-0.229249,0.14113986,0.0081,1606176000,ASX,EQUITY,OFX.AX,OFX.AX,OZFOREX FPO,OFX Group Limited,1381446000,Australia/Sydney,AEST,153b7092-a233-30b1-bb34-1e181b06ba06,finmb_35017479,36000000,1.95,2.74,1.82,2.38,2.35,2.0,buy,5,93804000,0.385,45031000,79142000,0.235,1.218,228864000,54.918,0.941,0.05054,0.25331,14438002,47016000,0.178,0.381,0.93546,0.19676,0.1884,AUD,
8,60 Margaret Street,Level 19,Sydney,NSW,2000,Australia,61 2 8667 8000,61 2 8667 8080,https://www.ofx.com,Capital Markets,Capital Markets,Financial Services,Financial Services,"OFX Group Limited provides international payments and foreign exchange services worldwide. It offers range of products and services to consumers, corporates, online sellers, and enterprise clients. The company was formerly known as OzForex Group Limited and changed its name to OFX Group Limited in September 2016. OFX Group Limited was founded in 1998 and is headquartered in Sydney, Australia.",715,"{'maxAge': 1, 'name': 'Ms. Kate  Svoboda', 'title': 'Chief People & Culture Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",3,4,4,1,2,1693526400,1703980800,86400,4,1.88,1.88,1.87,1.97,1.88,1.88,1.87,1.97,1606262400,0.0,0.025525,15.000001,13.0,788314,788314,434641,357047,357047,1.95,1.955,0,0,484801216,1.375,2.91,2.118294,1.9312,1.91275,0.0,0.0,AUD,460356960,0.13725,220267513,248616000,0.09132,0.6732,248616000,0.592,3.2939188,1680220800,1711843200,1680220800,0.186,31411000,0.13,0.15,2.37,2.011,10.223,-0.229249,0.14113986,0.0081,1606176000,ASX,EQUITY,OFX.AX,OFX.AX,OZFOREX FPO,OFX Group Limited,1381446000,Australia/Sydney,AEST,153b7092-a233-30b1-bb34-1e181b06ba06,finmb_35017479,36000000,1.95,2.74,1.82,2.38,2.35,2.0,buy,5,93804000,0.385,45031000,79142000,0.235,1.218,228864000,54.918,0.941,0.05054,0.25331,14438002,47016000,0.178,0.381,0.93546,0.19676,0.1884,AUD,
9,60 Margaret Street,Level 19,Sydney,NSW,2000,Australia,61 2 8667 8000,61 2 8667 8080,https://www.ofx.com,Capital Markets,Capital Markets,Financial Services,Financial Services,"OFX Group Limited provides international payments and foreign exchange services worldwide. It offers range of products and services to consumers, corporates, online sellers, and enterprise clients. The company was formerly known as OzForex Group Limited and changed its name to OFX Group Limited in September 2016. OFX Group Limited was founded in 1998 and is headquartered in Sydney, Australia.",715,"{'maxAge': 1, 'name': 'Mr. Yung  Ngo', 'title': 'Pres of Asia Pacific', 'exercisedValue': 0, 'unexercisedValue': 0}",3,4,4,1,2,1693526400,1703980800,86400,4,1.88,1.88,1.87,1.97,1.88,1.88,1.87,1.97,1606262400,0.0,0.025525,15.000001,13.0,788314,788314,434641,357047,357047,1.95,1.955,0,0,484801216,1.375,2.91,2.118294,1.9312,1.91275,0.0,0.0,AUD,460356960,0.13725,220267513,248616000,0.09132,0.6732,248616000,0.592,3.2939188,1680220800,1711843200,1680220800,0.186,31411000,0.13,0.15,2.37,2.011,10.223,-0.229249,0.14113986,0.0081,1606176000,ASX,EQUITY,OFX.AX,OFX.AX,OZFOREX FPO,OFX Group Limited,1381446000,Australia/Sydney,AEST,153b7092-a233-30b1-bb34-1e181b06ba06,finmb_35017479,36000000,1.95,2.74,1.82,2.38,2.35,2.0,buy,5,93804000,0.385,45031000,79142000,0.235,1.218,228864000,54.918,0.941,0.05054,0.25331,14438002,47016000,0.178,0.381,0.93546,0.19676,0.1884,AUD,
