,address1,address2,city,zip,country,phone,fax,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,payoutRatio,beta,trailingPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,lastSplitFactor,lastSplitDate,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationKey,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,Yapi Kredi Plaza C,"C Block, Floor 9 Buyukdere Street",Istanbul,34330,Turkey,90 212 281 52 61,90 212 270 23 53,https://www.ozdericigyo.com.tr,REIT—Diversified,Real Estate,"Ozderici Gayrimenkul Yatirim Ortakligi A.S. operates as a real estate investment trust in Turkey. It designs projects in the real estate property sector in the areas of land improvement, project design, and urban transformation, as well as focuses on the housing sector. The company was founded in 1992 and is headquartered in Istanbul, Turkey.",17,"{'maxAge': 1, 'name': 'Orhan  Aksüt', 'title': 'Gen. Mang.', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,5.87,5.88,5.71,5.93,5.87,5.88,5.71,5.93,0.0,0.786901,1.1267056,3850292,3850292,7714935,7211771,7211771,5.8,5.82,1445000064,3.12,7.0,21.284763,5.2734,4.5471,0.0,0.0,TRY,1444741120,19.1821,113150000,250000000,0.59928,0.00039,9.347,0.61838025,1672444800,1703980800,1688083200,1.817,1302252416,5.13,2:1,1266796800,21.281,65.421,IST,EQUITY,OZGYO.IS,OZGYO.IS,OZDERICI GMYO,Ozderici Gayrimenkul Yatirim Ortakligi A.S.,957940200,Europe/Istanbul,TRT,10800000,5.78,none,1401081,0.006,22083632,1142196,0.075,0.228,67888944,0.049,0.272,0.00787,0.76906997,67178061,18902920,170586160,1.818,-0.834,0.61497,0.32529,0.32172,TRY,
1,Yapi Kredi Plaza C,"C Block, Floor 9 Buyukdere Street",Istanbul,34330,Turkey,90 212 281 52 61,90 212 270 23 53,https://www.ozdericigyo.com.tr,REIT—Diversified,Real Estate,"Ozderici Gayrimenkul Yatirim Ortakligi A.S. operates as a real estate investment trust in Turkey. It designs projects in the real estate property sector in the areas of land improvement, project design, and urban transformation, as well as focuses on the housing sector. The company was founded in 1992 and is headquartered in Istanbul, Turkey.",17,"{'maxAge': 1, 'name': 'Mr. Sebahattin  Durmus', 'title': 'Investor Relations Mang.', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,5.87,5.88,5.71,5.93,5.87,5.88,5.71,5.93,0.0,0.786901,1.1267056,3850292,3850292,7714935,7211771,7211771,5.8,5.82,1445000064,3.12,7.0,21.284763,5.2734,4.5471,0.0,0.0,TRY,1444741120,19.1821,113150000,250000000,0.59928,0.00039,9.347,0.61838025,1672444800,1703980800,1688083200,1.817,1302252416,5.13,2:1,1266796800,21.281,65.421,IST,EQUITY,OZGYO.IS,OZGYO.IS,OZDERICI GMYO,Ozderici Gayrimenkul Yatirim Ortakligi A.S.,957940200,Europe/Istanbul,TRT,10800000,5.78,none,1401081,0.006,22083632,1142196,0.075,0.228,67888944,0.049,0.272,0.00787,0.76906997,67178061,18902920,170586160,1.818,-0.834,0.61497,0.32529,0.32172,TRY,
