,address1,city,state,zip,country,phone,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,beta,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationKey,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,3003 Oak Road,Walnut Creek,CA,94597,United States,800-288-1970,https://www.pmigrp.net,Insurance—Specialty,Financial Services,"The PMI Group, Inc., through its subsidiary, PMI Mortgage Insurance Co., provides mortgage insurance to lenders and other financial entities in the United States and internationally. The company was founded in 1972 and is based in Walnut Creek, California.",712,"{'maxAge': 1, 'name': 'Mr. John Raymond Brecker', 'age': 57, 'title': 'Chairman, VP, Treasurer, Assistant Sec. & Director', 'yearBorn': 1965, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,4,2.95,2.95,2.95,2.95,2.95,2.95,2.95,2.95,-0.079875,1,1,311,0,0,6119598,1.5,2.95,0.008110928,2.95,2.23165,0.0,0.0,USD,734061696,-0.96366,2074440,0.0,0.0,1.179,2.5021205,1293753600,1325289600,1309392000,-877590976,-4.501,0.973,-1.225,PNK,EQUITY,PMIR,PMIR,PMI GROUP INC,"The PMI Group, Inc.",1383226200,America/New_York,EDT,-14400000,2.95,none,266115008,1.642,-599182976,522128000,2.714,6.059,754488000,274.073,4.671,-0.09102,-1.5331799,-747425000,-11941750,-511518016,0.792,-0.85919,-0.79416,-0.86357003,USD,
1,3003 Oak Road,Walnut Creek,CA,94597,United States,800-288-1970,https://www.pmigrp.net,Insurance—Specialty,Financial Services,"The PMI Group, Inc., through its subsidiary, PMI Mortgage Insurance Co., provides mortgage insurance to lenders and other financial entities in the United States and internationally. The company was founded in 1972 and is based in Walnut Creek, California.",712,"{'maxAge': 1, 'name': 'Mr. Michael Edward Kelly', 'title': 'CEO, CFO & Director', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,4,2.95,2.95,2.95,2.95,2.95,2.95,2.95,2.95,-0.079875,1,1,311,0,0,6119598,1.5,2.95,0.008110928,2.95,2.23165,0.0,0.0,USD,734061696,-0.96366,2074440,0.0,0.0,1.179,2.5021205,1293753600,1325289600,1309392000,-877590976,-4.501,0.973,-1.225,PNK,EQUITY,PMIR,PMIR,PMI GROUP INC,"The PMI Group, Inc.",1383226200,America/New_York,EDT,-14400000,2.95,none,266115008,1.642,-599182976,522128000,2.714,6.059,754488000,274.073,4.671,-0.09102,-1.5331799,-747425000,-11941750,-511518016,0.792,-0.85919,-0.79416,-0.86357003,USD,
