,address1,address2,city,state,zip,country,phone,website,industry,sector,longBusinessSummary,companyOfficers,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,payoutRatio,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,lastSplitFactor,lastSplitDate,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationKey,totalCash,totalCashPerShare,totalDebt,quickRatio,currentRatio,debtToEquity,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,1875 North Lakeview Drive,Suite 200,Coeur d'Alene,ID,83814,United States,208 664 5066,https://www.stargoldcorp.com,Other Precious Metals & Mining,Basic Materials,"Star Gold Corp., a pre-development stage company, acquires, evaluates, and explores for precious and base metal properties in the United States. The company primarily explores for gold, silver, and other base metal-bearing properties. It holds interest in the Longstreet Property, which includes 142 mineral claims covering an area of approximately 2,500 acres located in Nye County, Nevada. The company was formerly known as Elan Development, Inc. and changed its name to Star Gold Corp. in April 2008. Star Gold Corp. was incorporated in 2006 and is headquartered in Coeur d'Alene, Idaho.","{'maxAge': 1, 'name': 'Mr. David  Segelov', 'age': 55, 'title': 'Pres & Director', 'yearBorn': 1967, 'fiscalYear': 2022, 'totalPay': 0, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.0,9641,9641,6232,7110,7110,0.0,0.0,0,0,1945816,0.01,0.04,0.02,0.01985,0.0,0.0,USD,2389811,0.0,66220017,97290800,0.31936002,0.0,0.002,9.999999,1682812800,1714435200,1682812800,-424840,-0.0,1:6,1328140800,PNK,EQUITY,SRGZ,SRGZ,STAR GOLD CORPORATION,Star Gold Corp.,1207661400,America/New_York,EDT,-14400000,0.02,none,33505,0.0,477500,0.615,0.821,264.775,-0.32137,-1.08167,-102455,-135496,-282810,0.0,0.0,0.0,USD,
1,1875 North Lakeview Drive,Suite 200,Coeur d'Alene,ID,83814,United States,208 664 5066,https://www.stargoldcorp.com,Other Precious Metals & Mining,Basic Materials,"Star Gold Corp., a pre-development stage company, acquires, evaluates, and explores for precious and base metal properties in the United States. The company primarily explores for gold, silver, and other base metal-bearing properties. It holds interest in the Longstreet Property, which includes 142 mineral claims covering an area of approximately 2,500 acres located in Nye County, Nevada. The company was formerly known as Elan Development, Inc. and changed its name to Star Gold Corp. in April 2008. Star Gold Corp. was incorporated in 2006 and is headquartered in Coeur d'Alene, Idaho.","{'maxAge': 1, 'name': 'Mr. Kelly J. Stopher', 'age': 59, 'title': 'CFO, Corp. Sec. & Treasurer', 'yearBorn': 1963, 'fiscalYear': 2022, 'totalPay': 30000, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.0,9641,9641,6232,7110,7110,0.0,0.0,0,0,1945816,0.01,0.04,0.02,0.01985,0.0,0.0,USD,2389811,0.0,66220017,97290800,0.31936002,0.0,0.002,9.999999,1682812800,1714435200,1682812800,-424840,-0.0,1:6,1328140800,PNK,EQUITY,SRGZ,SRGZ,STAR GOLD CORPORATION,Star Gold Corp.,1207661400,America/New_York,EDT,-14400000,0.02,none,33505,0.0,477500,0.615,0.821,264.775,-0.32137,-1.08167,-102455,-135496,-282810,0.0,0.0,0.0,USD,
