,address1,address2,city,state,zip,country,phone,website,industry,sector,longBusinessSummary,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,fiveYearAvgDividendYield,beta,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,shortRatio,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,forwardEps,pegRatio,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,30 St. Clair Avenue West,12th Floor,Toronto,ON,M4V 3A1,Canada,416 962 6262,https://www.northlandpower.com,Utilities—Renewable,Utilities,"Northland Power Inc., an independent power producer, develops, builds, owns, and operates clean and green power projects in North America, Europe, Latin America, and Asia. The company produces electricity from renewable resources, such as wind, solar, or hydropower, as well as clean-burning natural gas and biomass for sale under power purchase agreements and other revenue arrangements. It owned or had an economic interest in 3.2 gigawatts of operating generating capacity. The company was founded in 1987 and is headquartered in Toronto, Canada.","{'maxAge': 1, 'name': 'Mr. Mike  Crawley', 'title': 'Pres and Chief Exec. Officer', 'fiscalYear': 2022, 'totalPay': 1444260, 'exercisedValue': 0, 'unexercisedValue': 0}",1,7,4,3,3,1693526400,1672444800,86400,2,24.51,24.65,24.04,24.95,24.51,24.65,24.04,24.95,1.2,0.049000002,1693353600,0.6936,3.72,0.384358,13.947976,18.007462,3187333,3187333,933222,1106130,1106130,24.1,24.12,0,0,6107423232,21.03,45.31,2.666721,25.3028,31.4297,1.2,0.04895961,CAD,13009957888,0.18985,252717731,253104992,2932069,1938347,1690761600,1693440000,0.0116,0.00101,0.42533,2.62,16.968,1.4220885,1672444800,1703980800,1688083200,-0.982,426025984,1.73,1.34,-0.68,5.681,8.969,TOR,EQUITY,NPI.TO,NPI.TO,NORTHLAND POWER INC.,Northland Power Inc.,1065706200,America/Toronto,EDT,-14400000,24.13,45.0,30.0,35.93,34.0,1.9,buy,15,1142919936,4.516,1450534016,7473254912,0.906,1.128,2290236928,156.824,9.275,0.0383,0.12322,1826394000,701413248,1575367040,-0.99,-0.153,0.72427005,0.63335997,0.36512002,CAD,
1,30 St. Clair Avenue West,12th Floor,Toronto,ON,M4V 3A1,Canada,416 962 6262,https://www.northlandpower.com,Utilities—Renewable,Utilities,"Northland Power Inc., an independent power producer, develops, builds, owns, and operates clean and green power projects in North America, Europe, Latin America, and Asia. The company produces electricity from renewable resources, such as wind, solar, or hydropower, as well as clean-burning natural gas and biomass for sale under power purchase agreements and other revenue arrangements. It owned or had an economic interest in 3.2 gigawatts of operating generating capacity. The company was founded in 1987 and is headquartered in Toronto, Canada.","{'maxAge': 1, 'name': 'Ms. Pauline  Alimchandani C.F.A.', 'age': 39, 'title': 'Chief Financial Officer', 'yearBorn': 1983, 'fiscalYear': 2022, 'totalPay': 785326, 'exercisedValue': 0, 'unexercisedValue': 0}",1,7,4,3,3,1693526400,1672444800,86400,2,24.51,24.65,24.04,24.95,24.51,24.65,24.04,24.95,1.2,0.049000002,1693353600,0.6936,3.72,0.384358,13.947976,18.007462,3187333,3187333,933222,1106130,1106130,24.1,24.12,0,0,6107423232,21.03,45.31,2.666721,25.3028,31.4297,1.2,0.04895961,CAD,13009957888,0.18985,252717731,253104992,2932069,1938347,1690761600,1693440000,0.0116,0.00101,0.42533,2.62,16.968,1.4220885,1672444800,1703980800,1688083200,-0.982,426025984,1.73,1.34,-0.68,5.681,8.969,TOR,EQUITY,NPI.TO,NPI.TO,NORTHLAND POWER INC.,Northland Power Inc.,1065706200,America/Toronto,EDT,-14400000,24.13,45.0,30.0,35.93,34.0,1.9,buy,15,1142919936,4.516,1450534016,7473254912,0.906,1.128,2290236928,156.824,9.275,0.0383,0.12322,1826394000,701413248,1575367040,-0.99,-0.153,0.72427005,0.63335997,0.36512002,CAD,
2,30 St. Clair Avenue West,12th Floor,Toronto,ON,M4V 3A1,Canada,416 962 6262,https://www.northlandpower.com,Utilities—Renewable,Utilities,"Northland Power Inc., an independent power producer, develops, builds, owns, and operates clean and green power projects in North America, Europe, Latin America, and Asia. The company produces electricity from renewable resources, such as wind, solar, or hydropower, as well as clean-burning natural gas and biomass for sale under power purchase agreements and other revenue arrangements. It owned or had an economic interest in 3.2 gigawatts of operating generating capacity. The company was founded in 1987 and is headquartered in Toronto, Canada.","{'maxAge': 1, 'name': 'Ms. Rachel  Stephenson', 'title': 'Chief People Officer', 'fiscalYear': 2022, 'totalPay': 528584, 'exercisedValue': 0, 'unexercisedValue': 0}",1,7,4,3,3,1693526400,1672444800,86400,2,24.51,24.65,24.04,24.95,24.51,24.65,24.04,24.95,1.2,0.049000002,1693353600,0.6936,3.72,0.384358,13.947976,18.007462,3187333,3187333,933222,1106130,1106130,24.1,24.12,0,0,6107423232,21.03,45.31,2.666721,25.3028,31.4297,1.2,0.04895961,CAD,13009957888,0.18985,252717731,253104992,2932069,1938347,1690761600,1693440000,0.0116,0.00101,0.42533,2.62,16.968,1.4220885,1672444800,1703980800,1688083200,-0.982,426025984,1.73,1.34,-0.68,5.681,8.969,TOR,EQUITY,NPI.TO,NPI.TO,NORTHLAND POWER INC.,Northland Power Inc.,1065706200,America/Toronto,EDT,-14400000,24.13,45.0,30.0,35.93,34.0,1.9,buy,15,1142919936,4.516,1450534016,7473254912,0.906,1.128,2290236928,156.824,9.275,0.0383,0.12322,1826394000,701413248,1575367040,-0.99,-0.153,0.72427005,0.63335997,0.36512002,CAD,
3,30 St. Clair Avenue West,12th Floor,Toronto,ON,M4V 3A1,Canada,416 962 6262,https://www.northlandpower.com,Utilities—Renewable,Utilities,"Northland Power Inc., an independent power producer, develops, builds, owns, and operates clean and green power projects in North America, Europe, Latin America, and Asia. The company produces electricity from renewable resources, such as wind, solar, or hydropower, as well as clean-burning natural gas and biomass for sale under power purchase agreements and other revenue arrangements. It owned or had an economic interest in 3.2 gigawatts of operating generating capacity. The company was founded in 1987 and is headquartered in Toronto, Canada.","{'maxAge': 1, 'name': 'Mr. David Edward Povall', 'title': 'Exec. VP of Offshore Wind', 'fiscalYear': 2022, 'totalPay': 602119, 'exercisedValue': 0, 'unexercisedValue': 0}",1,7,4,3,3,1693526400,1672444800,86400,2,24.51,24.65,24.04,24.95,24.51,24.65,24.04,24.95,1.2,0.049000002,1693353600,0.6936,3.72,0.384358,13.947976,18.007462,3187333,3187333,933222,1106130,1106130,24.1,24.12,0,0,6107423232,21.03,45.31,2.666721,25.3028,31.4297,1.2,0.04895961,CAD,13009957888,0.18985,252717731,253104992,2932069,1938347,1690761600,1693440000,0.0116,0.00101,0.42533,2.62,16.968,1.4220885,1672444800,1703980800,1688083200,-0.982,426025984,1.73,1.34,-0.68,5.681,8.969,TOR,EQUITY,NPI.TO,NPI.TO,NORTHLAND POWER INC.,Northland Power Inc.,1065706200,America/Toronto,EDT,-14400000,24.13,45.0,30.0,35.93,34.0,1.9,buy,15,1142919936,4.516,1450534016,7473254912,0.906,1.128,2290236928,156.824,9.275,0.0383,0.12322,1826394000,701413248,1575367040,-0.99,-0.153,0.72427005,0.63335997,0.36512002,CAD,
4,30 St. Clair Avenue West,12th Floor,Toronto,ON,M4V 3A1,Canada,416 962 6262,https://www.northlandpower.com,Utilities—Renewable,Utilities,"Northland Power Inc., an independent power producer, develops, builds, owns, and operates clean and green power projects in North America, Europe, Latin America, and Asia. The company produces electricity from renewable resources, such as wind, solar, or hydropower, as well as clean-burning natural gas and biomass for sale under power purchase agreements and other revenue arrangements. It owned or had an economic interest in 3.2 gigawatts of operating generating capacity. The company was founded in 1987 and is headquartered in Toronto, Canada.","{'maxAge': 1, 'name': 'Mr. Adam  Beaumont', 'title': 'Sr. Director of Corp. Fin.', 'exercisedValue': 0, 'unexercisedValue': 0}",1,7,4,3,3,1693526400,1672444800,86400,2,24.51,24.65,24.04,24.95,24.51,24.65,24.04,24.95,1.2,0.049000002,1693353600,0.6936,3.72,0.384358,13.947976,18.007462,3187333,3187333,933222,1106130,1106130,24.1,24.12,0,0,6107423232,21.03,45.31,2.666721,25.3028,31.4297,1.2,0.04895961,CAD,13009957888,0.18985,252717731,253104992,2932069,1938347,1690761600,1693440000,0.0116,0.00101,0.42533,2.62,16.968,1.4220885,1672444800,1703980800,1688083200,-0.982,426025984,1.73,1.34,-0.68,5.681,8.969,TOR,EQUITY,NPI.TO,NPI.TO,NORTHLAND POWER INC.,Northland Power Inc.,1065706200,America/Toronto,EDT,-14400000,24.13,45.0,30.0,35.93,34.0,1.9,buy,15,1142919936,4.516,1450534016,7473254912,0.906,1.128,2290236928,156.824,9.275,0.0383,0.12322,1826394000,701413248,1575367040,-0.99,-0.153,0.72427005,0.63335997,0.36512002,CAD,
5,30 St. Clair Avenue West,12th Floor,Toronto,ON,M4V 3A1,Canada,416 962 6262,https://www.northlandpower.com,Utilities—Renewable,Utilities,"Northland Power Inc., an independent power producer, develops, builds, owns, and operates clean and green power projects in North America, Europe, Latin America, and Asia. The company produces electricity from renewable resources, such as wind, solar, or hydropower, as well as clean-burning natural gas and biomass for sale under power purchase agreements and other revenue arrangements. It owned or had an economic interest in 3.2 gigawatts of operating generating capacity. The company was founded in 1987 and is headquartered in Toronto, Canada.","{'maxAge': 1, 'name': 'Mr. Wassem  Khalil', 'title': 'Sr. Director of Investor Relations & Strategy', 'exercisedValue': 0, 'unexercisedValue': 0}",1,7,4,3,3,1693526400,1672444800,86400,2,24.51,24.65,24.04,24.95,24.51,24.65,24.04,24.95,1.2,0.049000002,1693353600,0.6936,3.72,0.384358,13.947976,18.007462,3187333,3187333,933222,1106130,1106130,24.1,24.12,0,0,6107423232,21.03,45.31,2.666721,25.3028,31.4297,1.2,0.04895961,CAD,13009957888,0.18985,252717731,253104992,2932069,1938347,1690761600,1693440000,0.0116,0.00101,0.42533,2.62,16.968,1.4220885,1672444800,1703980800,1688083200,-0.982,426025984,1.73,1.34,-0.68,5.681,8.969,TOR,EQUITY,NPI.TO,NPI.TO,NORTHLAND POWER INC.,Northland Power Inc.,1065706200,America/Toronto,EDT,-14400000,24.13,45.0,30.0,35.93,34.0,1.9,buy,15,1142919936,4.516,1450534016,7473254912,0.906,1.128,2290236928,156.824,9.275,0.0383,0.12322,1826394000,701413248,1575367040,-0.99,-0.153,0.72427005,0.63335997,0.36512002,CAD,
6,30 St. Clair Avenue West,12th Floor,Toronto,ON,M4V 3A1,Canada,416 962 6262,https://www.northlandpower.com,Utilities—Renewable,Utilities,"Northland Power Inc., an independent power producer, develops, builds, owns, and operates clean and green power projects in North America, Europe, Latin America, and Asia. The company produces electricity from renewable resources, such as wind, solar, or hydropower, as well as clean-burning natural gas and biomass for sale under power purchase agreements and other revenue arrangements. It owned or had an economic interest in 3.2 gigawatts of operating generating capacity. The company was founded in 1987 and is headquartered in Toronto, Canada.","{'maxAge': 1, 'name': 'Mr. Yonni  Fushman', 'title': 'Chief Legal Officer & Exec. VP of Sustainability', 'exercisedValue': 0, 'unexercisedValue': 0}",1,7,4,3,3,1693526400,1672444800,86400,2,24.51,24.65,24.04,24.95,24.51,24.65,24.04,24.95,1.2,0.049000002,1693353600,0.6936,3.72,0.384358,13.947976,18.007462,3187333,3187333,933222,1106130,1106130,24.1,24.12,0,0,6107423232,21.03,45.31,2.666721,25.3028,31.4297,1.2,0.04895961,CAD,13009957888,0.18985,252717731,253104992,2932069,1938347,1690761600,1693440000,0.0116,0.00101,0.42533,2.62,16.968,1.4220885,1672444800,1703980800,1688083200,-0.982,426025984,1.73,1.34,-0.68,5.681,8.969,TOR,EQUITY,NPI.TO,NPI.TO,NORTHLAND POWER INC.,Northland Power Inc.,1065706200,America/Toronto,EDT,-14400000,24.13,45.0,30.0,35.93,34.0,1.9,buy,15,1142919936,4.516,1450534016,7473254912,0.906,1.128,2290236928,156.824,9.275,0.0383,0.12322,1826394000,701413248,1575367040,-0.99,-0.153,0.72427005,0.63335997,0.36512002,CAD,
7,30 St. Clair Avenue West,12th Floor,Toronto,ON,M4V 3A1,Canada,416 962 6262,https://www.northlandpower.com,Utilities—Renewable,Utilities,"Northland Power Inc., an independent power producer, develops, builds, owns, and operates clean and green power projects in North America, Europe, Latin America, and Asia. The company produces electricity from renewable resources, such as wind, solar, or hydropower, as well as clean-burning natural gas and biomass for sale under power purchase agreements and other revenue arrangements. It owned or had an economic interest in 3.2 gigawatts of operating generating capacity. The company was founded in 1987 and is headquartered in Toronto, Canada.","{'maxAge': 1, 'name': 'Susan  Sperling', 'title': 'Director of Communications', 'exercisedValue': 0, 'unexercisedValue': 0}",1,7,4,3,3,1693526400,1672444800,86400,2,24.51,24.65,24.04,24.95,24.51,24.65,24.04,24.95,1.2,0.049000002,1693353600,0.6936,3.72,0.384358,13.947976,18.007462,3187333,3187333,933222,1106130,1106130,24.1,24.12,0,0,6107423232,21.03,45.31,2.666721,25.3028,31.4297,1.2,0.04895961,CAD,13009957888,0.18985,252717731,253104992,2932069,1938347,1690761600,1693440000,0.0116,0.00101,0.42533,2.62,16.968,1.4220885,1672444800,1703980800,1688083200,-0.982,426025984,1.73,1.34,-0.68,5.681,8.969,TOR,EQUITY,NPI.TO,NPI.TO,NORTHLAND POWER INC.,Northland Power Inc.,1065706200,America/Toronto,EDT,-14400000,24.13,45.0,30.0,35.93,34.0,1.9,buy,15,1142919936,4.516,1450534016,7473254912,0.906,1.128,2290236928,156.824,9.275,0.0383,0.12322,1826394000,701413248,1575367040,-0.99,-0.153,0.72427005,0.63335997,0.36512002,CAD,
8,30 St. Clair Avenue West,12th Floor,Toronto,ON,M4V 3A1,Canada,416 962 6262,https://www.northlandpower.com,Utilities—Renewable,Utilities,"Northland Power Inc., an independent power producer, develops, builds, owns, and operates clean and green power projects in North America, Europe, Latin America, and Asia. The company produces electricity from renewable resources, such as wind, solar, or hydropower, as well as clean-burning natural gas and biomass for sale under power purchase agreements and other revenue arrangements. It owned or had an economic interest in 3.2 gigawatts of operating generating capacity. The company was founded in 1987 and is headquartered in Toronto, Canada.","{'maxAge': 1, 'name': 'Ms. Barbara  Bokla', 'title': 'Mang. of Investor Relations', 'exercisedValue': 0, 'unexercisedValue': 0}",1,7,4,3,3,1693526400,1672444800,86400,2,24.51,24.65,24.04,24.95,24.51,24.65,24.04,24.95,1.2,0.049000002,1693353600,0.6936,3.72,0.384358,13.947976,18.007462,3187333,3187333,933222,1106130,1106130,24.1,24.12,0,0,6107423232,21.03,45.31,2.666721,25.3028,31.4297,1.2,0.04895961,CAD,13009957888,0.18985,252717731,253104992,2932069,1938347,1690761600,1693440000,0.0116,0.00101,0.42533,2.62,16.968,1.4220885,1672444800,1703980800,1688083200,-0.982,426025984,1.73,1.34,-0.68,5.681,8.969,TOR,EQUITY,NPI.TO,NPI.TO,NORTHLAND POWER INC.,Northland Power Inc.,1065706200,America/Toronto,EDT,-14400000,24.13,45.0,30.0,35.93,34.0,1.9,buy,15,1142919936,4.516,1450534016,7473254912,0.906,1.128,2290236928,156.824,9.275,0.0383,0.12322,1826394000,701413248,1575367040,-0.99,-0.153,0.72427005,0.63335997,0.36512002,CAD,
9,30 St. Clair Avenue West,12th Floor,Toronto,ON,M4V 3A1,Canada,416 962 6262,https://www.northlandpower.com,Utilities—Renewable,Utilities,"Northland Power Inc., an independent power producer, develops, builds, owns, and operates clean and green power projects in North America, Europe, Latin America, and Asia. The company produces electricity from renewable resources, such as wind, solar, or hydropower, as well as clean-burning natural gas and biomass for sale under power purchase agreements and other revenue arrangements. It owned or had an economic interest in 3.2 gigawatts of operating generating capacity. The company was founded in 1987 and is headquartered in Toronto, Canada.","{'maxAge': 1, 'name': 'Mr. Nigel  Slater', 'title': 'Managing Director of Devel. for Europe', 'exercisedValue': 0, 'unexercisedValue': 0}",1,7,4,3,3,1693526400,1672444800,86400,2,24.51,24.65,24.04,24.95,24.51,24.65,24.04,24.95,1.2,0.049000002,1693353600,0.6936,3.72,0.384358,13.947976,18.007462,3187333,3187333,933222,1106130,1106130,24.1,24.12,0,0,6107423232,21.03,45.31,2.666721,25.3028,31.4297,1.2,0.04895961,CAD,13009957888,0.18985,252717731,253104992,2932069,1938347,1690761600,1693440000,0.0116,0.00101,0.42533,2.62,16.968,1.4220885,1672444800,1703980800,1688083200,-0.982,426025984,1.73,1.34,-0.68,5.681,8.969,TOR,EQUITY,NPI.TO,NPI.TO,NORTHLAND POWER INC.,Northland Power Inc.,1065706200,America/Toronto,EDT,-14400000,24.13,45.0,30.0,35.93,34.0,1.9,buy,15,1142919936,4.516,1450534016,7473254912,0.906,1.128,2290236928,156.824,9.275,0.0383,0.12322,1826394000,701413248,1575367040,-0.99,-0.153,0.72427005,0.63335997,0.36512002,CAD,
