,address1,address2,city,state,zip,country,phone,fax,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,payoutRatio,beta,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,lastSplitFactor,lastSplitDate,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationMean,recommendationKey,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,revenuePerShare,returnOnAssets,freeCashflow,operatingCashflow,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,8965 Research Drive,Suite 100,Irvine,CA,92618,United States,949-616-3300,949-616-3399,https://www.ener-core.com,Specialty Industrial Machinery,Industrials,"Ener-Core, Inc. designs, develops, manufactures, license, and market its products that are based on Power Oxidizer technologies. The company's Power Oxidizer technology generates industrial levels of usable heat in a pressure vessel using various organic gases as fuel for an oxidation reaction. Its products include Ener-Core PowerStation EC250 and Ener-Core Powerstation KG2-3GEF/PO, which have applications in landfills, distilleries, and various industrial processes. The company sells its products directly, as well as through distributors in the United States and the Netherlands. Ener-Core, Inc. was founded in 2008 and is headquartered in Irvine, California.",10,"{'maxAge': 1, 'name': 'Mr. Michael J. Hammons', 'age': 52, 'title': 'Chairman & Acting Principal Exec. Officer', 'yearBorn': 1970, 'fiscalYear': 2017, 'totalPay': 40000, 'exercisedValue': 0, 'unexercisedValue': 0}",1514678400,86400,4,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0,46.512794,1288,1288,29,205,205,0.0,0.0,0,0,191962,0.0001,0.0095,0.17451091,0.0001,0.00013,0.0,0.0,USD,9755426,0.0,2456109,4256390,0.0,0.00294,-3.07,1514678400,1546214400,1538265600,-10678000,-0.01,1:50,1436313600,8.869,-3.953,PNK,EQUITY,ENCR,ENCR,ENER CORE INC,"Ener-Core, Inc.",1370439000,America/New_York,EDT,-14400000,0.0001,2.0,buy,10000,0.002,-2468000,9765000,0.001,0.183,1100000,0.27,-0.28303,1825125,-2092000,1.0,-2.24364,-2.5427299,USD,
1,8965 Research Drive,Suite 100,Irvine,CA,92618,United States,949-616-3300,949-616-3399,https://www.ener-core.com,Specialty Industrial Machinery,Industrials,"Ener-Core, Inc. designs, develops, manufactures, license, and market its products that are based on Power Oxidizer technologies. The company's Power Oxidizer technology generates industrial levels of usable heat in a pressure vessel using various organic gases as fuel for an oxidation reaction. Its products include Ener-Core PowerStation EC250 and Ener-Core Powerstation KG2-3GEF/PO, which have applications in landfills, distilleries, and various industrial processes. The company sells its products directly, as well as through distributors in the United States and the Netherlands. Ener-Core, Inc. was founded in 2008 and is headquartered in Irvine, California.",10,"{'maxAge': 1, 'name': 'Mr. Domonic J. Carney', 'age': 56, 'title': 'Principal Exec. Officer & CFO', 'yearBorn': 1966, 'fiscalYear': 2017, 'totalPay': 225000, 'exercisedValue': 0, 'unexercisedValue': 0}",1514678400,86400,4,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0,46.512794,1288,1288,29,205,205,0.0,0.0,0,0,191962,0.0001,0.0095,0.17451091,0.0001,0.00013,0.0,0.0,USD,9755426,0.0,2456109,4256390,0.0,0.00294,-3.07,1514678400,1546214400,1538265600,-10678000,-0.01,1:50,1436313600,8.869,-3.953,PNK,EQUITY,ENCR,ENCR,ENER CORE INC,"Ener-Core, Inc.",1370439000,America/New_York,EDT,-14400000,0.0001,2.0,buy,10000,0.002,-2468000,9765000,0.001,0.183,1100000,0.27,-0.28303,1825125,-2092000,1.0,-2.24364,-2.5427299,USD,
