,address1,city,state,zip,country,phone,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,payoutRatio,beta,trailingPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,lastSplitFactor,lastSplitDate,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationKey,totalCash,totalCashPerShare,totalDebt,quickRatio,currentRatio,returnOnAssets,freeCashflow,operatingCashflow,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,406 Mini Drive,Vallejo,CA,94589,United States,707-373-3031,https://transcapinc.com,Shell Companies,Financial Services,"Transatlantic Capital Inc. does not have significant operations. It intends to identify opportunities in commercial properties in the retail, office, and industrial sectors throughout the United States and Canada. The company was formerly known as ACRO Inc. and changed its name to Transatlantic Capital Inc. in May 2014. Transatlantic Capital Inc. was founded in 2002 and is based in Vallejo, California.",1,"{'maxAge': 1, 'name': 'Mr. Amos  Mirera', 'title': 'Chief Exec. Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,4,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0,-36.521786,Infinity,1110,1110,534,144,144,0.0,0.0,0,0,2160559,0.0002,0.0253,0.00021,0.0006115,0.0,0.0,USD,166891,0.0,1605514,21605600,0.92568,0.0,-0.01,1483142400,1514678400,1498780800,-14610,0.0,1:150,1407456000,PNK,EQUITY,TACI,TACI,TRANSATLANTIC CAPITAL INC,TransAtlantic Capital Inc.,1108996200,America/New_York,EDT,-14400000,0.0002,none,36,0.0,162606,0.0,0.0,-456.55,-24134,-27219,0.0,0.0,0.0,USD,
1,406 Mini Drive,Vallejo,CA,94589,United States,707-373-3031,https://transcapinc.com,Shell Companies,Financial Services,"Transatlantic Capital Inc. does not have significant operations. It intends to identify opportunities in commercial properties in the retail, office, and industrial sectors throughout the United States and Canada. The company was formerly known as ACRO Inc. and changed its name to Transatlantic Capital Inc. in May 2014. Transatlantic Capital Inc. was founded in 2002 and is based in Vallejo, California.",1,"{'maxAge': 1, 'name': 'Mr. Julius Makiri Jenge', 'title': 'Pres & Director', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,4,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0,-36.521786,Infinity,1110,1110,534,144,144,0.0,0.0,0,0,2160559,0.0002,0.0253,0.00021,0.0006115,0.0,0.0,USD,166891,0.0,1605514,21605600,0.92568,0.0,-0.01,1483142400,1514678400,1498780800,-14610,0.0,1:150,1407456000,PNK,EQUITY,TACI,TACI,TRANSATLANTIC CAPITAL INC,TransAtlantic Capital Inc.,1108996200,America/New_York,EDT,-14400000,0.0002,none,36,0.0,162606,0.0,0.0,-456.55,-24134,-27219,0.0,0.0,0.0,USD,
