,address1,address2,city,country,phone,fax,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,payoutRatio,beta,trailingPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationKey,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,No. 118 Connaught Road West,30th Floor Unit 3009,Hong Kong,Hong Kong,852 2598 1010,852 2598 6262,https://www.cnncintl.com,Electronics & Computer Distribution,Technology,"CNNC International Limited, an investment holding company, explores, sells, and trades in uranium in Canada, the United Kingdom, the People's Republic of China, the Czech Republic, Hong Kong, and Mongolia. The company operates through Trading of Mineral Properties, and Exploration and Selling of Mineral Properties segments. It is involved in the mineral exploration activities. The company was formerly known as United Metals Holdings Limited and changed its name to CNNC International Limited in August 2008. The company was incorporated in 2002 and is headquartered in Hong Kong, Hong Kong. CNNC International Limited operates as a subsidiary of CNNC Overseas Limited.",23,"{'maxAge': 1, 'name': 'Mr. Yi  Zhang', 'age': 39, 'title': 'CEO & Exec. Director', 'yearBorn': 1983, 'fiscalYear': 2022, 'totalPay': 1299000, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,3,0.97,0.96,0.96,0.98,0.97,0.96,0.96,0.98,0.0,0.808558,6.5333333,66000,66000,21587,51800,51800,0.98,1.09,0,0,479384640,0.51,3.11,1.1748385,1.0894,1.6884,0.0,0.0,HKD,623022912,0.17423001,162795213,489168000,0.6672,0.0,0.775,1.2645162,1672444800,1703980800,1688083200,-0.539,71094000,0.15,1.527,11.203,HKG,EQUITY,2302.HK,2302.HK,CNNC INT'L,CNNC International Limited,1041816600,Asia/Hong_Kong,HKT,28800000,0.98,none,74362000,0.152,55614500,218000000,0.952,2.531,408043008,57.531,0.834,0.04768,0.19634001,102792000,-0.539,-0.867,0.21037,0.1363,0.13585,HKD,
1,No. 118 Connaught Road West,30th Floor Unit 3009,Hong Kong,Hong Kong,852 2598 1010,852 2598 6262,https://www.cnncintl.com,Electronics & Computer Distribution,Technology,"CNNC International Limited, an investment holding company, explores, sells, and trades in uranium in Canada, the United Kingdom, the People's Republic of China, the Czech Republic, Hong Kong, and Mongolia. The company operates through Trading of Mineral Properties, and Exploration and Selling of Mineral Properties segments. It is involved in the mineral exploration activities. The company was formerly known as United Metals Holdings Limited and changed its name to CNNC International Limited in August 2008. The company was incorporated in 2002 and is headquartered in Hong Kong, Hong Kong. CNNC International Limited operates as a subsidiary of CNNC Overseas Limited.",23,"{'maxAge': 1, 'name': 'Mr. Sau Yan  Li', 'age': 63, 'title': 'Company Sec. & Financial Controller', 'yearBorn': 1959, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,3,0.97,0.96,0.96,0.98,0.97,0.96,0.96,0.98,0.0,0.808558,6.5333333,66000,66000,21587,51800,51800,0.98,1.09,0,0,479384640,0.51,3.11,1.1748385,1.0894,1.6884,0.0,0.0,HKD,623022912,0.17423001,162795213,489168000,0.6672,0.0,0.775,1.2645162,1672444800,1703980800,1688083200,-0.539,71094000,0.15,1.527,11.203,HKG,EQUITY,2302.HK,2302.HK,CNNC INT'L,CNNC International Limited,1041816600,Asia/Hong_Kong,HKT,28800000,0.98,none,74362000,0.152,55614500,218000000,0.952,2.531,408043008,57.531,0.834,0.04768,0.19634001,102792000,-0.539,-0.867,0.21037,0.1363,0.13585,HKD,
