,address1,address2,city,state,zip,country,phone,website,industry,industryDisp,sector,sectorDisp,longBusinessSummary,companyOfficers,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,fiveYearAvgDividendYield,beta,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,shortRatio,shortPercentOfFloat,impliedSharesOutstanding,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,forwardEps,enterpriseToRevenue,52WeekChange,SandP52WeekChange,lastDividendValue,lastDividendDate,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,uuid,messageBoardId,gmtOffSetMilliseconds,currentPrice,recommendationKey,totalCash,totalCashPerShare,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,811 Main Street,14th Floor,Houston,TX,77002,United States,713-493-2020,https://www.kaynefunds.com/kyn/fact-sheet/,Asset Management,Asset Management,Financial Services,Financial Services,"Kayne Anderson MLP Investment Company is a closed ended equity mutual fund launched and managed by KA Fund Advisors, LLC. It is co-managed by Kayne Anderson Capital Advisors, L.P. The fund invests in the public equity markets of the United States. It invests in stocks of companies operating in the energy sector. The fund primarily invests in energy-related master limited partnerships. Kayne Anderson MLP Investment Company was formed on June 4, 2004 and is domiciled in the United States.","{'maxAge': 1, 'name': 'Mr. James Charles Baker Jr.', 'age': 50, 'title': 'Chairman, Pres & CEO', 'yearBorn': 1972, 'fiscalYear': 2022, 'totalPay': 0, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,2,8.72,8.71,8.65,8.74,8.72,8.71,8.65,8.74,0.84,0.09729999,1687478400,11.75,1.612724,3.0138888,277707,277707,359454,302520,302520,8.67,8.71,1800,3100,1181625856,7.84,9.34,19.099762,8.62,8.54175,0.82,0.09403669,USD,1589350912,-1.5942501,136132000,477235,533870,1690761600,1693440000,0.0034999999,0.00629,0.28735,1.62,0.0034999999,136132000,9.472,0.9163852,1669766400,1701302400,1685491200,-98630000,-0.73,2.88,25.69,-0.06666666,0.14113986,0.21,1687478400,NYQ,EQUITY,KYN,KYN,Kayne Anderson MLP/Midstream In,"Kayne Anderson Energy Infrastructure Fund, Inc.",1096378200,America/New_York,EDT,df1cbfd8-4090-3565-8631-afa67232802a,finmb_10336570,-14400000,8.68,none,1000000,0.007,403284000,0.166,0.175,61866000,31.275,0.447,0.010140001,-0.070760004,56999000,8379125,188491008,0.127,1.0,0.0,0.51359004,USD,
1,811 Main Street,14th Floor,Houston,TX,77002,United States,713-493-2020,https://www.kaynefunds.com/kyn/fact-sheet/,Asset Management,Asset Management,Financial Services,Financial Services,"Kayne Anderson MLP Investment Company is a closed ended equity mutual fund launched and managed by KA Fund Advisors, LLC. It is co-managed by Kayne Anderson Capital Advisors, L.P. The fund invests in the public equity markets of the United States. It invests in stocks of companies operating in the energy sector. The fund primarily invests in energy-related master limited partnerships. Kayne Anderson MLP Investment Company was formed on June 4, 2004 and is domiciled in the United States.","{'maxAge': 1, 'name': 'Mr. Robert Vose Sinnott', 'age': 73, 'title': 'Co-Chairman of Kayne Anderson Capital Advisors LP', 'yearBorn': 1949, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,2,8.72,8.71,8.65,8.74,8.72,8.71,8.65,8.74,0.84,0.09729999,1687478400,11.75,1.612724,3.0138888,277707,277707,359454,302520,302520,8.67,8.71,1800,3100,1181625856,7.84,9.34,19.099762,8.62,8.54175,0.82,0.09403669,USD,1589350912,-1.5942501,136132000,477235,533870,1690761600,1693440000,0.0034999999,0.00629,0.28735,1.62,0.0034999999,136132000,9.472,0.9163852,1669766400,1701302400,1685491200,-98630000,-0.73,2.88,25.69,-0.06666666,0.14113986,0.21,1687478400,NYQ,EQUITY,KYN,KYN,Kayne Anderson MLP/Midstream In,"Kayne Anderson Energy Infrastructure Fund, Inc.",1096378200,America/New_York,EDT,df1cbfd8-4090-3565-8631-afa67232802a,finmb_10336570,-14400000,8.68,none,1000000,0.007,403284000,0.166,0.175,61866000,31.275,0.447,0.010140001,-0.070760004,56999000,8379125,188491008,0.127,1.0,0.0,0.51359004,USD,
2,811 Main Street,14th Floor,Houston,TX,77002,United States,713-493-2020,https://www.kaynefunds.com/kyn/fact-sheet/,Asset Management,Asset Management,Financial Services,Financial Services,"Kayne Anderson MLP Investment Company is a closed ended equity mutual fund launched and managed by KA Fund Advisors, LLC. It is co-managed by Kayne Anderson Capital Advisors, L.P. The fund invests in the public equity markets of the United States. It invests in stocks of companies operating in the energy sector. The fund primarily invests in energy-related master limited partnerships. Kayne Anderson MLP Investment Company was formed on June 4, 2004 and is domiciled in the United States.","{'maxAge': 1, 'name': 'A. Colby Parker', 'age': 35, 'title': 'CFO & Treasurer', 'yearBorn': 1987, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,2,8.72,8.71,8.65,8.74,8.72,8.71,8.65,8.74,0.84,0.09729999,1687478400,11.75,1.612724,3.0138888,277707,277707,359454,302520,302520,8.67,8.71,1800,3100,1181625856,7.84,9.34,19.099762,8.62,8.54175,0.82,0.09403669,USD,1589350912,-1.5942501,136132000,477235,533870,1690761600,1693440000,0.0034999999,0.00629,0.28735,1.62,0.0034999999,136132000,9.472,0.9163852,1669766400,1701302400,1685491200,-98630000,-0.73,2.88,25.69,-0.06666666,0.14113986,0.21,1687478400,NYQ,EQUITY,KYN,KYN,Kayne Anderson MLP/Midstream In,"Kayne Anderson Energy Infrastructure Fund, Inc.",1096378200,America/New_York,EDT,df1cbfd8-4090-3565-8631-afa67232802a,finmb_10336570,-14400000,8.68,none,1000000,0.007,403284000,0.166,0.175,61866000,31.275,0.447,0.010140001,-0.070760004,56999000,8379125,188491008,0.127,1.0,0.0,0.51359004,USD,
3,811 Main Street,14th Floor,Houston,TX,77002,United States,713-493-2020,https://www.kaynefunds.com/kyn/fact-sheet/,Asset Management,Asset Management,Financial Services,Financial Services,"Kayne Anderson MLP Investment Company is a closed ended equity mutual fund launched and managed by KA Fund Advisors, LLC. It is co-managed by Kayne Anderson Capital Advisors, L.P. The fund invests in the public equity markets of the United States. It invests in stocks of companies operating in the energy sector. The fund primarily invests in energy-related master limited partnerships. Kayne Anderson MLP Investment Company was formed on June 4, 2004 and is domiciled in the United States.","{'maxAge': 1, 'name': 'Mr. Terry A. Hart', 'age': 53, 'title': 'COO & Assistant Sec.', 'yearBorn': 1969, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,2,8.72,8.71,8.65,8.74,8.72,8.71,8.65,8.74,0.84,0.09729999,1687478400,11.75,1.612724,3.0138888,277707,277707,359454,302520,302520,8.67,8.71,1800,3100,1181625856,7.84,9.34,19.099762,8.62,8.54175,0.82,0.09403669,USD,1589350912,-1.5942501,136132000,477235,533870,1690761600,1693440000,0.0034999999,0.00629,0.28735,1.62,0.0034999999,136132000,9.472,0.9163852,1669766400,1701302400,1685491200,-98630000,-0.73,2.88,25.69,-0.06666666,0.14113986,0.21,1687478400,NYQ,EQUITY,KYN,KYN,Kayne Anderson MLP/Midstream In,"Kayne Anderson Energy Infrastructure Fund, Inc.",1096378200,America/New_York,EDT,df1cbfd8-4090-3565-8631-afa67232802a,finmb_10336570,-14400000,8.68,none,1000000,0.007,403284000,0.166,0.175,61866000,31.275,0.447,0.010140001,-0.070760004,56999000,8379125,188491008,0.127,1.0,0.0,0.51359004,USD,
4,811 Main Street,14th Floor,Houston,TX,77002,United States,713-493-2020,https://www.kaynefunds.com/kyn/fact-sheet/,Asset Management,Asset Management,Financial Services,Financial Services,"Kayne Anderson MLP Investment Company is a closed ended equity mutual fund launched and managed by KA Fund Advisors, LLC. It is co-managed by Kayne Anderson Capital Advisors, L.P. The fund invests in the public equity markets of the United States. It invests in stocks of companies operating in the energy sector. The fund primarily invests in energy-related master limited partnerships. Kayne Anderson MLP Investment Company was formed on June 4, 2004 and is domiciled in the United States.","{'maxAge': 1, 'name': 'Ms. Monique  Vo', 'title': 'VP, Investor Relations', 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,2,8.72,8.71,8.65,8.74,8.72,8.71,8.65,8.74,0.84,0.09729999,1687478400,11.75,1.612724,3.0138888,277707,277707,359454,302520,302520,8.67,8.71,1800,3100,1181625856,7.84,9.34,19.099762,8.62,8.54175,0.82,0.09403669,USD,1589350912,-1.5942501,136132000,477235,533870,1690761600,1693440000,0.0034999999,0.00629,0.28735,1.62,0.0034999999,136132000,9.472,0.9163852,1669766400,1701302400,1685491200,-98630000,-0.73,2.88,25.69,-0.06666666,0.14113986,0.21,1687478400,NYQ,EQUITY,KYN,KYN,Kayne Anderson MLP/Midstream In,"Kayne Anderson Energy Infrastructure Fund, Inc.",1096378200,America/New_York,EDT,df1cbfd8-4090-3565-8631-afa67232802a,finmb_10336570,-14400000,8.68,none,1000000,0.007,403284000,0.166,0.175,61866000,31.275,0.447,0.010140001,-0.070760004,56999000,8379125,188491008,0.127,1.0,0.0,0.51359004,USD,
5,811 Main Street,14th Floor,Houston,TX,77002,United States,713-493-2020,https://www.kaynefunds.com/kyn/fact-sheet/,Asset Management,Asset Management,Financial Services,Financial Services,"Kayne Anderson MLP Investment Company is a closed ended equity mutual fund launched and managed by KA Fund Advisors, LLC. It is co-managed by Kayne Anderson Capital Advisors, L.P. The fund invests in the public equity markets of the United States. It invests in stocks of companies operating in the energy sector. The fund primarily invests in energy-related master limited partnerships. Kayne Anderson MLP Investment Company was formed on June 4, 2004 and is domiciled in the United States.","{'maxAge': 1, 'name': ""Mr. Michael Joseph O'Neil"", 'age': 39, 'title': 'Sec. & Chief Compliance Officer', 'yearBorn': 1983, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,2,8.72,8.71,8.65,8.74,8.72,8.71,8.65,8.74,0.84,0.09729999,1687478400,11.75,1.612724,3.0138888,277707,277707,359454,302520,302520,8.67,8.71,1800,3100,1181625856,7.84,9.34,19.099762,8.62,8.54175,0.82,0.09403669,USD,1589350912,-1.5942501,136132000,477235,533870,1690761600,1693440000,0.0034999999,0.00629,0.28735,1.62,0.0034999999,136132000,9.472,0.9163852,1669766400,1701302400,1685491200,-98630000,-0.73,2.88,25.69,-0.06666666,0.14113986,0.21,1687478400,NYQ,EQUITY,KYN,KYN,Kayne Anderson MLP/Midstream In,"Kayne Anderson Energy Infrastructure Fund, Inc.",1096378200,America/New_York,EDT,df1cbfd8-4090-3565-8631-afa67232802a,finmb_10336570,-14400000,8.68,none,1000000,0.007,403284000,0.166,0.175,61866000,31.275,0.447,0.010140001,-0.070760004,56999000,8379125,188491008,0.127,1.0,0.0,0.51359004,USD,
6,811 Main Street,14th Floor,Houston,TX,77002,United States,713-493-2020,https://www.kaynefunds.com/kyn/fact-sheet/,Asset Management,Asset Management,Financial Services,Financial Services,"Kayne Anderson MLP Investment Company is a closed ended equity mutual fund launched and managed by KA Fund Advisors, LLC. It is co-managed by Kayne Anderson Capital Advisors, L.P. The fund invests in the public equity markets of the United States. It invests in stocks of companies operating in the energy sector. The fund primarily invests in energy-related master limited partnerships. Kayne Anderson MLP Investment Company was formed on June 4, 2004 and is domiciled in the United States.","{'maxAge': 1, 'name': 'Mr. John Charles Frey CPA, CPA', 'age': 54, 'title': 'Exec. VP', 'yearBorn': 1968, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,2,8.72,8.71,8.65,8.74,8.72,8.71,8.65,8.74,0.84,0.09729999,1687478400,11.75,1.612724,3.0138888,277707,277707,359454,302520,302520,8.67,8.71,1800,3100,1181625856,7.84,9.34,19.099762,8.62,8.54175,0.82,0.09403669,USD,1589350912,-1.5942501,136132000,477235,533870,1690761600,1693440000,0.0034999999,0.00629,0.28735,1.62,0.0034999999,136132000,9.472,0.9163852,1669766400,1701302400,1685491200,-98630000,-0.73,2.88,25.69,-0.06666666,0.14113986,0.21,1687478400,NYQ,EQUITY,KYN,KYN,Kayne Anderson MLP/Midstream In,"Kayne Anderson Energy Infrastructure Fund, Inc.",1096378200,America/New_York,EDT,df1cbfd8-4090-3565-8631-afa67232802a,finmb_10336570,-14400000,8.68,none,1000000,0.007,403284000,0.166,0.175,61866000,31.275,0.447,0.010140001,-0.070760004,56999000,8379125,188491008,0.127,1.0,0.0,0.51359004,USD,
7,811 Main Street,14th Floor,Houston,TX,77002,United States,713-493-2020,https://www.kaynefunds.com/kyn/fact-sheet/,Asset Management,Asset Management,Financial Services,Financial Services,"Kayne Anderson MLP Investment Company is a closed ended equity mutual fund launched and managed by KA Fund Advisors, LLC. It is co-managed by Kayne Anderson Capital Advisors, L.P. The fund invests in the public equity markets of the United States. It invests in stocks of companies operating in the energy sector. The fund primarily invests in energy-related master limited partnerships. Kayne Anderson MLP Investment Company was formed on June 4, 2004 and is domiciled in the United States.","{'maxAge': 1, 'name': 'Mr. Jody C. Meraz', 'age': 44, 'title': 'Sr. VP', 'yearBorn': 1978, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,2,8.72,8.71,8.65,8.74,8.72,8.71,8.65,8.74,0.84,0.09729999,1687478400,11.75,1.612724,3.0138888,277707,277707,359454,302520,302520,8.67,8.71,1800,3100,1181625856,7.84,9.34,19.099762,8.62,8.54175,0.82,0.09403669,USD,1589350912,-1.5942501,136132000,477235,533870,1690761600,1693440000,0.0034999999,0.00629,0.28735,1.62,0.0034999999,136132000,9.472,0.9163852,1669766400,1701302400,1685491200,-98630000,-0.73,2.88,25.69,-0.06666666,0.14113986,0.21,1687478400,NYQ,EQUITY,KYN,KYN,Kayne Anderson MLP/Midstream In,"Kayne Anderson Energy Infrastructure Fund, Inc.",1096378200,America/New_York,EDT,df1cbfd8-4090-3565-8631-afa67232802a,finmb_10336570,-14400000,8.68,none,1000000,0.007,403284000,0.166,0.175,61866000,31.275,0.447,0.010140001,-0.070760004,56999000,8379125,188491008,0.127,1.0,0.0,0.51359004,USD,
8,811 Main Street,14th Floor,Houston,TX,77002,United States,713-493-2020,https://www.kaynefunds.com/kyn/fact-sheet/,Asset Management,Asset Management,Financial Services,Financial Services,"Kayne Anderson MLP Investment Company is a closed ended equity mutual fund launched and managed by KA Fund Advisors, LLC. It is co-managed by Kayne Anderson Capital Advisors, L.P. The fund invests in the public equity markets of the United States. It invests in stocks of companies operating in the energy sector. The fund primarily invests in energy-related master limited partnerships. Kayne Anderson MLP Investment Company was formed on June 4, 2004 and is domiciled in the United States.","{'maxAge': 1, 'name': 'Mr. Ron M. Logan Jr.', 'age': 62, 'title': 'Sr. VP', 'yearBorn': 1960, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,2,8.72,8.71,8.65,8.74,8.72,8.71,8.65,8.74,0.84,0.09729999,1687478400,11.75,1.612724,3.0138888,277707,277707,359454,302520,302520,8.67,8.71,1800,3100,1181625856,7.84,9.34,19.099762,8.62,8.54175,0.82,0.09403669,USD,1589350912,-1.5942501,136132000,477235,533870,1690761600,1693440000,0.0034999999,0.00629,0.28735,1.62,0.0034999999,136132000,9.472,0.9163852,1669766400,1701302400,1685491200,-98630000,-0.73,2.88,25.69,-0.06666666,0.14113986,0.21,1687478400,NYQ,EQUITY,KYN,KYN,Kayne Anderson MLP/Midstream In,"Kayne Anderson Energy Infrastructure Fund, Inc.",1096378200,America/New_York,EDT,df1cbfd8-4090-3565-8631-afa67232802a,finmb_10336570,-14400000,8.68,none,1000000,0.007,403284000,0.166,0.175,61866000,31.275,0.447,0.010140001,-0.070760004,56999000,8379125,188491008,0.127,1.0,0.0,0.51359004,USD,
9,811 Main Street,14th Floor,Houston,TX,77002,United States,713-493-2020,https://www.kaynefunds.com/kyn/fact-sheet/,Asset Management,Asset Management,Financial Services,Financial Services,"Kayne Anderson MLP Investment Company is a closed ended equity mutual fund launched and managed by KA Fund Advisors, LLC. It is co-managed by Kayne Anderson Capital Advisors, L.P. The fund invests in the public equity markets of the United States. It invests in stocks of companies operating in the energy sector. The fund primarily invests in energy-related master limited partnerships. Kayne Anderson MLP Investment Company was formed on June 4, 2004 and is domiciled in the United States.","{'maxAge': 1, 'name': 'Mr. David Lawrance Labonte', 'title': 'Partner & Sr. Research Analyst of Kayne & erson Capital Advisors LP', 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,2,8.72,8.71,8.65,8.74,8.72,8.71,8.65,8.74,0.84,0.09729999,1687478400,11.75,1.612724,3.0138888,277707,277707,359454,302520,302520,8.67,8.71,1800,3100,1181625856,7.84,9.34,19.099762,8.62,8.54175,0.82,0.09403669,USD,1589350912,-1.5942501,136132000,477235,533870,1690761600,1693440000,0.0034999999,0.00629,0.28735,1.62,0.0034999999,136132000,9.472,0.9163852,1669766400,1701302400,1685491200,-98630000,-0.73,2.88,25.69,-0.06666666,0.14113986,0.21,1687478400,NYQ,EQUITY,KYN,KYN,Kayne Anderson MLP/Midstream In,"Kayne Anderson Energy Infrastructure Fund, Inc.",1096378200,America/New_York,EDT,df1cbfd8-4090-3565-8631-afa67232802a,finmb_10336570,-14400000,8.68,none,1000000,0.007,403284000,0.166,0.175,61866000,31.275,0.447,0.010140001,-0.070760004,56999000,8379125,188491008,0.127,1.0,0.0,0.51359004,USD,
