,address1,city,state,zip,country,phone,website,industry,sector,longBusinessSummary,companyOfficers,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,exDividendDate,payoutRatio,beta,trailingPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationKey,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,freeCashflow,operatingCashflow,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,250 Sauvé Street West,Montreal,QC,H3L 1Z2,Canada,514-384-1140,https://www.reitmanscanadalimited.com,Apparel Retail,Consumer Cyclical,"Reitmans (Canada) Limited primarily engages in the retail sale of women's specialty apparel in Canada under the Reitmans, Penningtons, and RW&CO brand names. The company also offers apparel for men. It serves customers through retail and e-commerce channels. Reitmans (Canada) Limited was founded in 1926 and is headquartered in Montreal, Canada.","{'maxAge': 1, 'name': 'Mr. Stephen F. Reitman', 'age': 75, 'title': 'Exec. Chairman', 'yearBorn': 1947, 'fiscalYear': 2023, 'totalPay': 765642, 'exercisedValue': 0, 'unexercisedValue': 0}",1703980800,86400,4,2.67,2.666,2.61,2.68,2.67,2.666,2.61,2.68,1570579200,0.0,-0.061549,2.3508773,4500,4500,98,500,500,114678544,1.11,4.43,0.14126697,2.6702,2.6627529,0.0,0.0,USD,157562752,0.093059994,39996437,13440000,0.57502,0.03914,5.519,0.48559523,1674864000,1706400000,1682726400,75544000,1.14,0.194,3.021,PNK,EQUITY,RTMNF,RTMNF,REITMANS(CANADA),Reitmans (Canada) Limited,1368451800,America/New_York,EDT,-14400000,2.68,none,69394000,1.42,52163000,96481000,0.779,2.487,811785984,37.209,16.612,0.06846,0.34159002,71146624,110467000,0.073,0.55776,0.06426,0.05155,CAD,
1,250 Sauvé Street West,Montreal,QC,H3L 1Z2,Canada,514-384-1140,https://www.reitmanscanadalimited.com,Apparel Retail,Consumer Cyclical,"Reitmans (Canada) Limited primarily engages in the retail sale of women's specialty apparel in Canada under the Reitmans, Penningtons, and RW&CO brand names. The company also offers apparel for men. It serves customers through retail and e-commerce channels. Reitmans (Canada) Limited was founded in 1926 and is headquartered in Montreal, Canada.","{'maxAge': 1, 'name': 'Mr. Richard  Wait CPA, CPA', 'title': 'Exec. VP & CFO', 'fiscalYear': 2023, 'totalPay': 883871, 'exercisedValue': 0, 'unexercisedValue': 0}",1703980800,86400,4,2.67,2.666,2.61,2.68,2.67,2.666,2.61,2.68,1570579200,0.0,-0.061549,2.3508773,4500,4500,98,500,500,114678544,1.11,4.43,0.14126697,2.6702,2.6627529,0.0,0.0,USD,157562752,0.093059994,39996437,13440000,0.57502,0.03914,5.519,0.48559523,1674864000,1706400000,1682726400,75544000,1.14,0.194,3.021,PNK,EQUITY,RTMNF,RTMNF,REITMANS(CANADA),Reitmans (Canada) Limited,1368451800,America/New_York,EDT,-14400000,2.68,none,69394000,1.42,52163000,96481000,0.779,2.487,811785984,37.209,16.612,0.06846,0.34159002,71146624,110467000,0.073,0.55776,0.06426,0.05155,CAD,
2,250 Sauvé Street West,Montreal,QC,H3L 1Z2,Canada,514-384-1140,https://www.reitmanscanadalimited.com,Apparel Retail,Consumer Cyclical,"Reitmans (Canada) Limited primarily engages in the retail sale of women's specialty apparel in Canada under the Reitmans, Penningtons, and RW&CO brand names. The company also offers apparel for men. It serves customers through retail and e-commerce channels. Reitmans (Canada) Limited was founded in 1926 and is headquartered in Montreal, Canada.","{'maxAge': 1, 'name': 'Ms. Gale  Blank', 'title': 'Chief Information Officer', 'fiscalYear': 2023, 'totalPay': 399018, 'exercisedValue': 0, 'unexercisedValue': 0}",1703980800,86400,4,2.67,2.666,2.61,2.68,2.67,2.666,2.61,2.68,1570579200,0.0,-0.061549,2.3508773,4500,4500,98,500,500,114678544,1.11,4.43,0.14126697,2.6702,2.6627529,0.0,0.0,USD,157562752,0.093059994,39996437,13440000,0.57502,0.03914,5.519,0.48559523,1674864000,1706400000,1682726400,75544000,1.14,0.194,3.021,PNK,EQUITY,RTMNF,RTMNF,REITMANS(CANADA),Reitmans (Canada) Limited,1368451800,America/New_York,EDT,-14400000,2.68,none,69394000,1.42,52163000,96481000,0.779,2.487,811785984,37.209,16.612,0.06846,0.34159002,71146624,110467000,0.073,0.55776,0.06426,0.05155,CAD,
3,250 Sauvé Street West,Montreal,QC,H3L 1Z2,Canada,514-384-1140,https://www.reitmanscanadalimited.com,Apparel Retail,Consumer Cyclical,"Reitmans (Canada) Limited primarily engages in the retail sale of women's specialty apparel in Canada under the Reitmans, Penningtons, and RW&CO brand names. The company also offers apparel for men. It serves customers through retail and e-commerce channels. Reitmans (Canada) Limited was founded in 1926 and is headquartered in Montreal, Canada.","{'maxAge': 1, 'name': 'Ms. Jacqueline  Tardif', 'title': 'Pres of Reitmans Brand', 'fiscalYear': 2023, 'totalPay': 491961, 'exercisedValue': 0, 'unexercisedValue': 0}",1703980800,86400,4,2.67,2.666,2.61,2.68,2.67,2.666,2.61,2.68,1570579200,0.0,-0.061549,2.3508773,4500,4500,98,500,500,114678544,1.11,4.43,0.14126697,2.6702,2.6627529,0.0,0.0,USD,157562752,0.093059994,39996437,13440000,0.57502,0.03914,5.519,0.48559523,1674864000,1706400000,1682726400,75544000,1.14,0.194,3.021,PNK,EQUITY,RTMNF,RTMNF,REITMANS(CANADA),Reitmans (Canada) Limited,1368451800,America/New_York,EDT,-14400000,2.68,none,69394000,1.42,52163000,96481000,0.779,2.487,811785984,37.209,16.612,0.06846,0.34159002,71146624,110467000,0.073,0.55776,0.06426,0.05155,CAD,
4,250 Sauvé Street West,Montreal,QC,H3L 1Z2,Canada,514-384-1140,https://www.reitmanscanadalimited.com,Apparel Retail,Consumer Cyclical,"Reitmans (Canada) Limited primarily engages in the retail sale of women's specialty apparel in Canada under the Reitmans, Penningtons, and RW&CO brand names. The company also offers apparel for men. It serves customers through retail and e-commerce channels. Reitmans (Canada) Limited was founded in 1926 and is headquartered in Montreal, Canada.","{'maxAge': 1, 'name': 'Mr. Michael  Strachan', 'title': 'Pres of Penningtons and RW & CO', 'fiscalYear': 2023, 'totalPay': 491961, 'exercisedValue': 0, 'unexercisedValue': 0}",1703980800,86400,4,2.67,2.666,2.61,2.68,2.67,2.666,2.61,2.68,1570579200,0.0,-0.061549,2.3508773,4500,4500,98,500,500,114678544,1.11,4.43,0.14126697,2.6702,2.6627529,0.0,0.0,USD,157562752,0.093059994,39996437,13440000,0.57502,0.03914,5.519,0.48559523,1674864000,1706400000,1682726400,75544000,1.14,0.194,3.021,PNK,EQUITY,RTMNF,RTMNF,REITMANS(CANADA),Reitmans (Canada) Limited,1368451800,America/New_York,EDT,-14400000,2.68,none,69394000,1.42,52163000,96481000,0.779,2.487,811785984,37.209,16.612,0.06846,0.34159002,71146624,110467000,0.073,0.55776,0.06426,0.05155,CAD,
5,250 Sauvé Street West,Montreal,QC,H3L 1Z2,Canada,514-384-1140,https://www.reitmanscanadalimited.com,Apparel Retail,Consumer Cyclical,"Reitmans (Canada) Limited primarily engages in the retail sale of women's specialty apparel in Canada under the Reitmans, Penningtons, and RW&CO brand names. The company also offers apparel for men. It serves customers through retail and e-commerce channels. Reitmans (Canada) Limited was founded in 1926 and is headquartered in Montreal, Canada.","{'maxAge': 1, 'name': 'Ms. Andrea  Limbardi', 'title': 'Pres, CEO & Director', 'exercisedValue': 0, 'unexercisedValue': 0}",1703980800,86400,4,2.67,2.666,2.61,2.68,2.67,2.666,2.61,2.68,1570579200,0.0,-0.061549,2.3508773,4500,4500,98,500,500,114678544,1.11,4.43,0.14126697,2.6702,2.6627529,0.0,0.0,USD,157562752,0.093059994,39996437,13440000,0.57502,0.03914,5.519,0.48559523,1674864000,1706400000,1682726400,75544000,1.14,0.194,3.021,PNK,EQUITY,RTMNF,RTMNF,REITMANS(CANADA),Reitmans (Canada) Limited,1368451800,America/New_York,EDT,-14400000,2.68,none,69394000,1.42,52163000,96481000,0.779,2.487,811785984,37.209,16.612,0.06846,0.34159002,71146624,110467000,0.073,0.55776,0.06426,0.05155,CAD,
6,250 Sauvé Street West,Montreal,QC,H3L 1Z2,Canada,514-384-1140,https://www.reitmanscanadalimited.com,Apparel Retail,Consumer Cyclical,"Reitmans (Canada) Limited primarily engages in the retail sale of women's specialty apparel in Canada under the Reitmans, Penningtons, and RW&CO brand names. The company also offers apparel for men. It serves customers through retail and e-commerce channels. Reitmans (Canada) Limited was founded in 1926 and is headquartered in Montreal, Canada.","{'maxAge': 1, 'name': 'Mr. Jeffrey Kenneth Ronald', 'title': 'Vice-Pres of Sales & Operations', 'exercisedValue': 0, 'unexercisedValue': 0}",1703980800,86400,4,2.67,2.666,2.61,2.68,2.67,2.666,2.61,2.68,1570579200,0.0,-0.061549,2.3508773,4500,4500,98,500,500,114678544,1.11,4.43,0.14126697,2.6702,2.6627529,0.0,0.0,USD,157562752,0.093059994,39996437,13440000,0.57502,0.03914,5.519,0.48559523,1674864000,1706400000,1682726400,75544000,1.14,0.194,3.021,PNK,EQUITY,RTMNF,RTMNF,REITMANS(CANADA),Reitmans (Canada) Limited,1368451800,America/New_York,EDT,-14400000,2.68,none,69394000,1.42,52163000,96481000,0.779,2.487,811785984,37.209,16.612,0.06846,0.34159002,71146624,110467000,0.073,0.55776,0.06426,0.05155,CAD,
7,250 Sauvé Street West,Montreal,QC,H3L 1Z2,Canada,514-384-1140,https://www.reitmanscanadalimited.com,Apparel Retail,Consumer Cyclical,"Reitmans (Canada) Limited primarily engages in the retail sale of women's specialty apparel in Canada under the Reitmans, Penningtons, and RW&CO brand names. The company also offers apparel for men. It serves customers through retail and e-commerce channels. Reitmans (Canada) Limited was founded in 1926 and is headquartered in Montreal, Canada.","{'maxAge': 1, 'name': 'Mr. Alain  Murad', 'title': 'VP of Legal & Sec.', 'exercisedValue': 0, 'unexercisedValue': 0}",1703980800,86400,4,2.67,2.666,2.61,2.68,2.67,2.666,2.61,2.68,1570579200,0.0,-0.061549,2.3508773,4500,4500,98,500,500,114678544,1.11,4.43,0.14126697,2.6702,2.6627529,0.0,0.0,USD,157562752,0.093059994,39996437,13440000,0.57502,0.03914,5.519,0.48559523,1674864000,1706400000,1682726400,75544000,1.14,0.194,3.021,PNK,EQUITY,RTMNF,RTMNF,REITMANS(CANADA),Reitmans (Canada) Limited,1368451800,America/New_York,EDT,-14400000,2.68,none,69394000,1.42,52163000,96481000,0.779,2.487,811785984,37.209,16.612,0.06846,0.34159002,71146624,110467000,0.073,0.55776,0.06426,0.05155,CAD,
8,250 Sauvé Street West,Montreal,QC,H3L 1Z2,Canada,514-384-1140,https://www.reitmanscanadalimited.com,Apparel Retail,Consumer Cyclical,"Reitmans (Canada) Limited primarily engages in the retail sale of women's specialty apparel in Canada under the Reitmans, Penningtons, and RW&CO brand names. The company also offers apparel for men. It serves customers through retail and e-commerce channels. Reitmans (Canada) Limited was founded in 1926 and is headquartered in Montreal, Canada.","{'maxAge': 1, 'name': 'Ms. Katherine  Chartrand', 'title': 'Director of Corp. Communications', 'exercisedValue': 0, 'unexercisedValue': 0}",1703980800,86400,4,2.67,2.666,2.61,2.68,2.67,2.666,2.61,2.68,1570579200,0.0,-0.061549,2.3508773,4500,4500,98,500,500,114678544,1.11,4.43,0.14126697,2.6702,2.6627529,0.0,0.0,USD,157562752,0.093059994,39996437,13440000,0.57502,0.03914,5.519,0.48559523,1674864000,1706400000,1682726400,75544000,1.14,0.194,3.021,PNK,EQUITY,RTMNF,RTMNF,REITMANS(CANADA),Reitmans (Canada) Limited,1368451800,America/New_York,EDT,-14400000,2.68,none,69394000,1.42,52163000,96481000,0.779,2.487,811785984,37.209,16.612,0.06846,0.34159002,71146624,110467000,0.073,0.55776,0.06426,0.05155,CAD,
9,250 Sauvé Street West,Montreal,QC,H3L 1Z2,Canada,514-384-1140,https://www.reitmanscanadalimited.com,Apparel Retail,Consumer Cyclical,"Reitmans (Canada) Limited primarily engages in the retail sale of women's specialty apparel in Canada under the Reitmans, Penningtons, and RW&CO brand names. The company also offers apparel for men. It serves customers through retail and e-commerce channels. Reitmans (Canada) Limited was founded in 1926 and is headquartered in Montreal, Canada.","{'maxAge': 1, 'name': 'Elara  Verret', 'title': 'Vice-Pres of Marketing, Visual Presentation & E-Commerce', 'exercisedValue': 0, 'unexercisedValue': 0}",1703980800,86400,4,2.67,2.666,2.61,2.68,2.67,2.666,2.61,2.68,1570579200,0.0,-0.061549,2.3508773,4500,4500,98,500,500,114678544,1.11,4.43,0.14126697,2.6702,2.6627529,0.0,0.0,USD,157562752,0.093059994,39996437,13440000,0.57502,0.03914,5.519,0.48559523,1674864000,1706400000,1682726400,75544000,1.14,0.194,3.021,PNK,EQUITY,RTMNF,RTMNF,REITMANS(CANADA),Reitmans (Canada) Limited,1368451800,America/New_York,EDT,-14400000,2.68,none,69394000,1.42,52163000,96481000,0.779,2.487,811785984,37.209,16.612,0.06846,0.34159002,71146624,110467000,0.073,0.55776,0.06426,0.05155,CAD,
