,address1,address2,city,country,phone,fax,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,payoutRatio,beta,trailingPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,lastSplitFactor,lastSplitDate,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationKey,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,Yesil Plaza,Kat:12 Ylanl Ayazma Yolu No:15 Topkap,Istanbul,Turkey,90 212 482 11 10,90 212 483 33 35,https://www.yyapi.com.tr,Engineering & Construction,Industrials,"Yesil Yapi Endüstrisi A.S. operates as a construction company in Turkey and internationally. The company undertakes the construction of industrial plants, villas, commercial business centers, hospitals, housing projects, educational buildings, hotels, restoration and renovation projects, shopping malls, and cultural centers. Yesil Yapi Endüstrisi A.S. was incorporated in 1979 and is headquartered in Istanbul, Turkey.",13,"{'maxAge': 1, 'name': 'Mr. Saban Fatih Özkan', 'title': 'Gen. Mang.', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,4,2.9,2.9,2.83,3.03,2.9,2.9,2.83,3.03,0.0,1.779587,3.4204545,20146890,20146890,35800809,27433378,27433378,3.0,3.01,0,0,968326080,1.04,3.68,344.77487,3.0332,2.57505,0.0,0.0,TRY,963806912,202.18266,242657584,321703008,0.24555,0.00013,3.125,0.9632,1672444800,1703980800,1688083200,567845120,0.88,1:1000,1104710400,343.166,-418.042,IST,EQUITY,YYAPI.IS,YYAPI.IS,YESIL YAPI,Yesil Yapi Endüstrisi A.S.,957940200,Europe/Istanbul,TRT,10800000,3.01,none,13001396,0.04,-2305525,6826877,0.13,0.888,2808575,0.678,0.009,-0.0014599999,0.77595,-1954287,4465986,-3596745,0.807,-0.9398,-0.82088995,-0.94648004,TRY,
1,Yesil Plaza,Kat:12 Ylanl Ayazma Yolu No:15 Topkap,Istanbul,Turkey,90 212 482 11 10,90 212 483 33 35,https://www.yyapi.com.tr,Engineering & Construction,Industrials,"Yesil Yapi Endüstrisi A.S. operates as a construction company in Turkey and internationally. The company undertakes the construction of industrial plants, villas, commercial business centers, hospitals, housing projects, educational buildings, hotels, restoration and renovation projects, shopping malls, and cultural centers. Yesil Yapi Endüstrisi A.S. was incorporated in 1979 and is headquartered in Istanbul, Turkey.",13,"{'maxAge': 1, 'name': 'Mr. Kaan  Sop', 'title': 'Investor Relations Director', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,4,2.9,2.9,2.83,3.03,2.9,2.9,2.83,3.03,0.0,1.779587,3.4204545,20146890,20146890,35800809,27433378,27433378,3.0,3.01,0,0,968326080,1.04,3.68,344.77487,3.0332,2.57505,0.0,0.0,TRY,963806912,202.18266,242657584,321703008,0.24555,0.00013,3.125,0.9632,1672444800,1703980800,1688083200,567845120,0.88,1:1000,1104710400,343.166,-418.042,IST,EQUITY,YYAPI.IS,YYAPI.IS,YESIL YAPI,Yesil Yapi Endüstrisi A.S.,957940200,Europe/Istanbul,TRT,10800000,3.01,none,13001396,0.04,-2305525,6826877,0.13,0.888,2808575,0.678,0.009,-0.0014599999,0.77595,-1954287,4465986,-3596745,0.807,-0.9398,-0.82088995,-0.94648004,TRY,
