,address1,address2,city,country,phone,website,industry,sector,longBusinessSummary,companyOfficers,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,beta,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,lastSplitFactor,lastSplitDate,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,freeCashflow,operatingCashflow,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,"311, Jaehwa Square",12th floor Dokmak-ro Mapo-gu,Seoul,South Korea,82 2 6320 8500,https://www.kidaristudio.com,Internet Content & Information,Communication Services,"KidariStudio, Inc., a representative content company, develops various media content worldwide. The company develops e-book, e-learning, and Webtoon content. It publishes e-books in various fields, such as fantasy, martial arts, romance, BL, light novel, sensual novel, and other fields. The company was formerly known as Daouincube, Inc. and changed its name to KidariStudio, Inc. in March 2018. The company was founded in 1987 and is headquartered in Seoul, South Korea. KidariStudio, Inc. is a subsidiary of Daou Data Corp.","{'maxAge': 1, 'name': 'Ms. Kim  Young Hun', 'age': 57, 'title': 'CEO & Director', 'yearBorn': 1965, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,5400.0,5400.0,5360.0,5450.0,5400.0,5400.0,5360.0,5450.0,50.0,0.0093,1672185600,1.521941,36042,36042,83694,37822,37822,5400.0,5410.0,0,0,199639072768,5170.0,11800.0,1.2610544,5977.4,7689.45,KRW,186128908288,-0.06486,13943500,36970200,0.62504,0.00452,1672444800,1703980800,1688083200,-10267804672,10:3,1174867200,1.176,-21.323,KSC,EQUITY,020120.KS,020120.KS,KidariStudio,"KidariStudio, Inc.",946944000,Asia/Seoul,KST,32400000,5400.0,5400.0,5400.0,5400.0,5400.0,3.0,hold,1,70306119680,1892.595,-8729088000,52413112320,1.094,1.617,158311235584,19.392,4322.486,-0.013780001,-0.03733,-14654399488,7049119744,-0.225,0.37357,-0.05514,-0.05095,KRW,
1,"311, Jaehwa Square",12th floor Dokmak-ro Mapo-gu,Seoul,South Korea,82 2 6320 8500,https://www.kidaristudio.com,Internet Content & Information,Communication Services,"KidariStudio, Inc., a representative content company, develops various media content worldwide. The company develops e-book, e-learning, and Webtoon content. It publishes e-books in various fields, such as fantasy, martial arts, romance, BL, light novel, sensual novel, and other fields. The company was formerly known as Daouincube, Inc. and changed its name to KidariStudio, Inc. in March 2018. The company was founded in 1987 and is headquartered in Seoul, South Korea. KidariStudio, Inc. is a subsidiary of Daou Data Corp.","{'maxAge': 1, 'name': 'Mr. Sunyoon  Lee', 'age': 46, 'title': 'CFO & Director', 'yearBorn': 1976, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,5400.0,5400.0,5360.0,5450.0,5400.0,5400.0,5360.0,5450.0,50.0,0.0093,1672185600,1.521941,36042,36042,83694,37822,37822,5400.0,5410.0,0,0,199639072768,5170.0,11800.0,1.2610544,5977.4,7689.45,KRW,186128908288,-0.06486,13943500,36970200,0.62504,0.00452,1672444800,1703980800,1688083200,-10267804672,10:3,1174867200,1.176,-21.323,KSC,EQUITY,020120.KS,020120.KS,KidariStudio,"KidariStudio, Inc.",946944000,Asia/Seoul,KST,32400000,5400.0,5400.0,5400.0,5400.0,5400.0,3.0,hold,1,70306119680,1892.595,-8729088000,52413112320,1.094,1.617,158311235584,19.392,4322.486,-0.013780001,-0.03733,-14654399488,7049119744,-0.225,0.37357,-0.05514,-0.05095,KRW,
