,address1,address2,city,state,zip,country,phone,fax,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,beta,trailingPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,shortRatio,shortPercentOfFloat,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,lastSplitFactor,lastSplitDate,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationKey,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,325 John H. McConnell Boulevard,Suite 200,Columbus,OH,43215,United States,614 255 3333,614 255 3363,https://www.diamond-hill.com,Asset Management,Financial Services,"Diamond Hill Investment Group, Inc., through its subsidiary, Diamond Hill Capital Management, Inc., provides investment advisory and fund administration services in the United States. It sponsors, distributes, and offers investment advisory and related services to its clients through pooled investment vehicles, including the Diamond Hill Funds, separately managed accounts, and model delivery programs. The company also provides fund administration services, including portfolio and regulatory compliance, treasury and financial oversight, and general business management and governance of the mutual fund complex, as well as oversight of back-office service providers, such as the custodian, fund accountant, and transfer agent. Diamond Hill Investment Group, Inc. was founded in 1990 and is based in Columbus, Ohio.",129,"{'maxAge': 1, 'name': 'Ms. Heather Elizabeth Brilliant C.F.A.', 'age': 45, 'title': 'CEO & Director', 'yearBorn': 1977, 'fiscalYear': 2022, 'totalPay': 2349171, 'exercisedValue': 0, 'unexercisedValue': 0}",5,1,4,3,2,1693526400,1672444800,86400,2,166.7,166.28,163.29,166.28,166.7,166.28,163.29,166.28,6.0,0.0367,1693353600,0.372,0.920816,10.14392,33220,33220,11722,11460,11460,65.73,262.91,1300,800,481535328,154.24,196.0,3.425843,174.3744,173.54025,6.0,0.0359928,USD,466714496,0.34882998,2808376,2944810,26471,29236,1690761600,1693440000,0.009,0.045939997,0.66837996,1.98,0.0111,55.568,2.9427009,1672444800,1703980800,1688083200,1.137,49031300,16.12,1:5,1001462400,3.32,10.36,NMS,EQUITY,DHIL,DHIL,"Diamond Hill Investment Group, ","Diamond Hill Investment Group, Inc.",834067800,America/New_York,EDT,-14400000,163.52,none,38656996,13.127,45051628,1092313,2.926,3.079,140559664,0.585,46.517,0.11093,0.27177998,85098085,3393922,37131480,1.269,-0.145,0.46046,0.32051998,0.31114998,USD,
1,325 John H. McConnell Boulevard,Suite 200,Columbus,OH,43215,United States,614 255 3333,614 255 3363,https://www.diamond-hill.com,Asset Management,Financial Services,"Diamond Hill Investment Group, Inc., through its subsidiary, Diamond Hill Capital Management, Inc., provides investment advisory and fund administration services in the United States. It sponsors, distributes, and offers investment advisory and related services to its clients through pooled investment vehicles, including the Diamond Hill Funds, separately managed accounts, and model delivery programs. The company also provides fund administration services, including portfolio and regulatory compliance, treasury and financial oversight, and general business management and governance of the mutual fund complex, as well as oversight of back-office service providers, such as the custodian, fund accountant, and transfer agent. Diamond Hill Investment Group, Inc. was founded in 1990 and is based in Columbus, Ohio.",129,"{'maxAge': 1, 'name': 'Mr. Thomas Edward Line CPA', 'age': 55, 'title': 'CFO & Treasurer', 'yearBorn': 1967, 'fiscalYear': 2022, 'totalPay': 918100, 'exercisedValue': 0, 'unexercisedValue': 0}",5,1,4,3,2,1693526400,1672444800,86400,2,166.7,166.28,163.29,166.28,166.7,166.28,163.29,166.28,6.0,0.0367,1693353600,0.372,0.920816,10.14392,33220,33220,11722,11460,11460,65.73,262.91,1300,800,481535328,154.24,196.0,3.425843,174.3744,173.54025,6.0,0.0359928,USD,466714496,0.34882998,2808376,2944810,26471,29236,1690761600,1693440000,0.009,0.045939997,0.66837996,1.98,0.0111,55.568,2.9427009,1672444800,1703980800,1688083200,1.137,49031300,16.12,1:5,1001462400,3.32,10.36,NMS,EQUITY,DHIL,DHIL,"Diamond Hill Investment Group, ","Diamond Hill Investment Group, Inc.",834067800,America/New_York,EDT,-14400000,163.52,none,38656996,13.127,45051628,1092313,2.926,3.079,140559664,0.585,46.517,0.11093,0.27177998,85098085,3393922,37131480,1.269,-0.145,0.46046,0.32051998,0.31114998,USD,
2,325 John H. McConnell Boulevard,Suite 200,Columbus,OH,43215,United States,614 255 3333,614 255 3363,https://www.diamond-hill.com,Asset Management,Financial Services,"Diamond Hill Investment Group, Inc., through its subsidiary, Diamond Hill Capital Management, Inc., provides investment advisory and fund administration services in the United States. It sponsors, distributes, and offers investment advisory and related services to its clients through pooled investment vehicles, including the Diamond Hill Funds, separately managed accounts, and model delivery programs. The company also provides fund administration services, including portfolio and regulatory compliance, treasury and financial oversight, and general business management and governance of the mutual fund complex, as well as oversight of back-office service providers, such as the custodian, fund accountant, and transfer agent. Diamond Hill Investment Group, Inc. was founded in 1990 and is based in Columbus, Ohio.",129,"{'maxAge': 1, 'name': 'Ms. Jo Ann Quinif', 'age': 46, 'title': 'Pres & Chief Client Officer', 'yearBorn': 1976, 'exercisedValue': 0, 'unexercisedValue': 0}",5,1,4,3,2,1693526400,1672444800,86400,2,166.7,166.28,163.29,166.28,166.7,166.28,163.29,166.28,6.0,0.0367,1693353600,0.372,0.920816,10.14392,33220,33220,11722,11460,11460,65.73,262.91,1300,800,481535328,154.24,196.0,3.425843,174.3744,173.54025,6.0,0.0359928,USD,466714496,0.34882998,2808376,2944810,26471,29236,1690761600,1693440000,0.009,0.045939997,0.66837996,1.98,0.0111,55.568,2.9427009,1672444800,1703980800,1688083200,1.137,49031300,16.12,1:5,1001462400,3.32,10.36,NMS,EQUITY,DHIL,DHIL,"Diamond Hill Investment Group, ","Diamond Hill Investment Group, Inc.",834067800,America/New_York,EDT,-14400000,163.52,none,38656996,13.127,45051628,1092313,2.926,3.079,140559664,0.585,46.517,0.11093,0.27177998,85098085,3393922,37131480,1.269,-0.145,0.46046,0.32051998,0.31114998,USD,
3,325 John H. McConnell Boulevard,Suite 200,Columbus,OH,43215,United States,614 255 3333,614 255 3363,https://www.diamond-hill.com,Asset Management,Financial Services,"Diamond Hill Investment Group, Inc., through its subsidiary, Diamond Hill Capital Management, Inc., provides investment advisory and fund administration services in the United States. It sponsors, distributes, and offers investment advisory and related services to its clients through pooled investment vehicles, including the Diamond Hill Funds, separately managed accounts, and model delivery programs. The company also provides fund administration services, including portfolio and regulatory compliance, treasury and financial oversight, and general business management and governance of the mutual fund complex, as well as oversight of back-office service providers, such as the custodian, fund accountant, and transfer agent. Diamond Hill Investment Group, Inc. was founded in 1990 and is based in Columbus, Ohio.",129,"{'maxAge': 1, 'name': 'Mr. Matthew J. Stadelman C.F.A., CFA', 'title': 'Chief Investment Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",5,1,4,3,2,1693526400,1672444800,86400,2,166.7,166.28,163.29,166.28,166.7,166.28,163.29,166.28,6.0,0.0367,1693353600,0.372,0.920816,10.14392,33220,33220,11722,11460,11460,65.73,262.91,1300,800,481535328,154.24,196.0,3.425843,174.3744,173.54025,6.0,0.0359928,USD,466714496,0.34882998,2808376,2944810,26471,29236,1690761600,1693440000,0.009,0.045939997,0.66837996,1.98,0.0111,55.568,2.9427009,1672444800,1703980800,1688083200,1.137,49031300,16.12,1:5,1001462400,3.32,10.36,NMS,EQUITY,DHIL,DHIL,"Diamond Hill Investment Group, ","Diamond Hill Investment Group, Inc.",834067800,America/New_York,EDT,-14400000,163.52,none,38656996,13.127,45051628,1092313,2.926,3.079,140559664,0.585,46.517,0.11093,0.27177998,85098085,3393922,37131480,1.269,-0.145,0.46046,0.32051998,0.31114998,USD,
4,325 John H. McConnell Boulevard,Suite 200,Columbus,OH,43215,United States,614 255 3333,614 255 3363,https://www.diamond-hill.com,Asset Management,Financial Services,"Diamond Hill Investment Group, Inc., through its subsidiary, Diamond Hill Capital Management, Inc., provides investment advisory and fund administration services in the United States. It sponsors, distributes, and offers investment advisory and related services to its clients through pooled investment vehicles, including the Diamond Hill Funds, separately managed accounts, and model delivery programs. The company also provides fund administration services, including portfolio and regulatory compliance, treasury and financial oversight, and general business management and governance of the mutual fund complex, as well as oversight of back-office service providers, such as the custodian, fund accountant, and transfer agent. Diamond Hill Investment Group, Inc. was founded in 1990 and is based in Columbus, Ohio.",129,"{'maxAge': 1, 'name': 'Mr. Gary Richard Young', 'age': 52, 'title': 'MD of Admin. & Chief Compliance Officer', 'yearBorn': 1970, 'exercisedValue': 0, 'unexercisedValue': 0}",5,1,4,3,2,1693526400,1672444800,86400,2,166.7,166.28,163.29,166.28,166.7,166.28,163.29,166.28,6.0,0.0367,1693353600,0.372,0.920816,10.14392,33220,33220,11722,11460,11460,65.73,262.91,1300,800,481535328,154.24,196.0,3.425843,174.3744,173.54025,6.0,0.0359928,USD,466714496,0.34882998,2808376,2944810,26471,29236,1690761600,1693440000,0.009,0.045939997,0.66837996,1.98,0.0111,55.568,2.9427009,1672444800,1703980800,1688083200,1.137,49031300,16.12,1:5,1001462400,3.32,10.36,NMS,EQUITY,DHIL,DHIL,"Diamond Hill Investment Group, ","Diamond Hill Investment Group, Inc.",834067800,America/New_York,EDT,-14400000,163.52,none,38656996,13.127,45051628,1092313,2.926,3.079,140559664,0.585,46.517,0.11093,0.27177998,85098085,3393922,37131480,1.269,-0.145,0.46046,0.32051998,0.31114998,USD,
5,325 John H. McConnell Boulevard,Suite 200,Columbus,OH,43215,United States,614 255 3333,614 255 3363,https://www.diamond-hill.com,Asset Management,Financial Services,"Diamond Hill Investment Group, Inc., through its subsidiary, Diamond Hill Capital Management, Inc., provides investment advisory and fund administration services in the United States. It sponsors, distributes, and offers investment advisory and related services to its clients through pooled investment vehicles, including the Diamond Hill Funds, separately managed accounts, and model delivery programs. The company also provides fund administration services, including portfolio and regulatory compliance, treasury and financial oversight, and general business management and governance of the mutual fund complex, as well as oversight of back-office service providers, such as the custodian, fund accountant, and transfer agent. Diamond Hill Investment Group, Inc. was founded in 1990 and is based in Columbus, Ohio.",129,"{'maxAge': 1, 'name': 'Ms. Carlotta D. King', 'title': 'Gen. Counsel & Corp. Sec.', 'exercisedValue': 0, 'unexercisedValue': 0}",5,1,4,3,2,1693526400,1672444800,86400,2,166.7,166.28,163.29,166.28,166.7,166.28,163.29,166.28,6.0,0.0367,1693353600,0.372,0.920816,10.14392,33220,33220,11722,11460,11460,65.73,262.91,1300,800,481535328,154.24,196.0,3.425843,174.3744,173.54025,6.0,0.0359928,USD,466714496,0.34882998,2808376,2944810,26471,29236,1690761600,1693440000,0.009,0.045939997,0.66837996,1.98,0.0111,55.568,2.9427009,1672444800,1703980800,1688083200,1.137,49031300,16.12,1:5,1001462400,3.32,10.36,NMS,EQUITY,DHIL,DHIL,"Diamond Hill Investment Group, ","Diamond Hill Investment Group, Inc.",834067800,America/New_York,EDT,-14400000,163.52,none,38656996,13.127,45051628,1092313,2.926,3.079,140559664,0.585,46.517,0.11093,0.27177998,85098085,3393922,37131480,1.269,-0.145,0.46046,0.32051998,0.31114998,USD,
6,325 John H. McConnell Boulevard,Suite 200,Columbus,OH,43215,United States,614 255 3333,614 255 3363,https://www.diamond-hill.com,Asset Management,Financial Services,"Diamond Hill Investment Group, Inc., through its subsidiary, Diamond Hill Capital Management, Inc., provides investment advisory and fund administration services in the United States. It sponsors, distributes, and offers investment advisory and related services to its clients through pooled investment vehicles, including the Diamond Hill Funds, separately managed accounts, and model delivery programs. The company also provides fund administration services, including portfolio and regulatory compliance, treasury and financial oversight, and general business management and governance of the mutual fund complex, as well as oversight of back-office service providers, such as the custodian, fund accountant, and transfer agent. Diamond Hill Investment Group, Inc. was founded in 1990 and is based in Columbus, Ohio.",129,"{'maxAge': 1, 'name': 'Ms. Susan  Stuart CFA', 'title': 'Head of Communications', 'exercisedValue': 0, 'unexercisedValue': 0}",5,1,4,3,2,1693526400,1672444800,86400,2,166.7,166.28,163.29,166.28,166.7,166.28,163.29,166.28,6.0,0.0367,1693353600,0.372,0.920816,10.14392,33220,33220,11722,11460,11460,65.73,262.91,1300,800,481535328,154.24,196.0,3.425843,174.3744,173.54025,6.0,0.0359928,USD,466714496,0.34882998,2808376,2944810,26471,29236,1690761600,1693440000,0.009,0.045939997,0.66837996,1.98,0.0111,55.568,2.9427009,1672444800,1703980800,1688083200,1.137,49031300,16.12,1:5,1001462400,3.32,10.36,NMS,EQUITY,DHIL,DHIL,"Diamond Hill Investment Group, ","Diamond Hill Investment Group, Inc.",834067800,America/New_York,EDT,-14400000,163.52,none,38656996,13.127,45051628,1092313,2.926,3.079,140559664,0.585,46.517,0.11093,0.27177998,85098085,3393922,37131480,1.269,-0.145,0.46046,0.32051998,0.31114998,USD,
7,325 John H. McConnell Boulevard,Suite 200,Columbus,OH,43215,United States,614 255 3333,614 255 3363,https://www.diamond-hill.com,Asset Management,Financial Services,"Diamond Hill Investment Group, Inc., through its subsidiary, Diamond Hill Capital Management, Inc., provides investment advisory and fund administration services in the United States. It sponsors, distributes, and offers investment advisory and related services to its clients through pooled investment vehicles, including the Diamond Hill Funds, separately managed accounts, and model delivery programs. The company also provides fund administration services, including portfolio and regulatory compliance, treasury and financial oversight, and general business management and governance of the mutual fund complex, as well as oversight of back-office service providers, such as the custodian, fund accountant, and transfer agent. Diamond Hill Investment Group, Inc. was founded in 1990 and is based in Columbus, Ohio.",129,"{'maxAge': 1, 'name': 'Ms. Lara  Hoffmans C.F.A.', 'title': 'Managing Director of Marketing', 'exercisedValue': 0, 'unexercisedValue': 0}",5,1,4,3,2,1693526400,1672444800,86400,2,166.7,166.28,163.29,166.28,166.7,166.28,163.29,166.28,6.0,0.0367,1693353600,0.372,0.920816,10.14392,33220,33220,11722,11460,11460,65.73,262.91,1300,800,481535328,154.24,196.0,3.425843,174.3744,173.54025,6.0,0.0359928,USD,466714496,0.34882998,2808376,2944810,26471,29236,1690761600,1693440000,0.009,0.045939997,0.66837996,1.98,0.0111,55.568,2.9427009,1672444800,1703980800,1688083200,1.137,49031300,16.12,1:5,1001462400,3.32,10.36,NMS,EQUITY,DHIL,DHIL,"Diamond Hill Investment Group, ","Diamond Hill Investment Group, Inc.",834067800,America/New_York,EDT,-14400000,163.52,none,38656996,13.127,45051628,1092313,2.926,3.079,140559664,0.585,46.517,0.11093,0.27177998,85098085,3393922,37131480,1.269,-0.145,0.46046,0.32051998,0.31114998,USD,
8,325 John H. McConnell Boulevard,Suite 200,Columbus,OH,43215,United States,614 255 3333,614 255 3363,https://www.diamond-hill.com,Asset Management,Financial Services,"Diamond Hill Investment Group, Inc., through its subsidiary, Diamond Hill Capital Management, Inc., provides investment advisory and fund administration services in the United States. It sponsors, distributes, and offers investment advisory and related services to its clients through pooled investment vehicles, including the Diamond Hill Funds, separately managed accounts, and model delivery programs. The company also provides fund administration services, including portfolio and regulatory compliance, treasury and financial oversight, and general business management and governance of the mutual fund complex, as well as oversight of back-office service providers, such as the custodian, fund accountant, and transfer agent. Diamond Hill Investment Group, Inc. was founded in 1990 and is based in Columbus, Ohio.",129,"{'maxAge': 1, 'name': 'Ms. Anna  Corona', 'title': 'Chief People Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",5,1,4,3,2,1693526400,1672444800,86400,2,166.7,166.28,163.29,166.28,166.7,166.28,163.29,166.28,6.0,0.0367,1693353600,0.372,0.920816,10.14392,33220,33220,11722,11460,11460,65.73,262.91,1300,800,481535328,154.24,196.0,3.425843,174.3744,173.54025,6.0,0.0359928,USD,466714496,0.34882998,2808376,2944810,26471,29236,1690761600,1693440000,0.009,0.045939997,0.66837996,1.98,0.0111,55.568,2.9427009,1672444800,1703980800,1688083200,1.137,49031300,16.12,1:5,1001462400,3.32,10.36,NMS,EQUITY,DHIL,DHIL,"Diamond Hill Investment Group, ","Diamond Hill Investment Group, Inc.",834067800,America/New_York,EDT,-14400000,163.52,none,38656996,13.127,45051628,1092313,2.926,3.079,140559664,0.585,46.517,0.11093,0.27177998,85098085,3393922,37131480,1.269,-0.145,0.46046,0.32051998,0.31114998,USD,
9,325 John H. McConnell Boulevard,Suite 200,Columbus,OH,43215,United States,614 255 3333,614 255 3363,https://www.diamond-hill.com,Asset Management,Financial Services,"Diamond Hill Investment Group, Inc., through its subsidiary, Diamond Hill Capital Management, Inc., provides investment advisory and fund administration services in the United States. It sponsors, distributes, and offers investment advisory and related services to its clients through pooled investment vehicles, including the Diamond Hill Funds, separately managed accounts, and model delivery programs. The company also provides fund administration services, including portfolio and regulatory compliance, treasury and financial oversight, and general business management and governance of the mutual fund complex, as well as oversight of back-office service providers, such as the custodian, fund accountant, and transfer agent. Diamond Hill Investment Group, Inc. was founded in 1990 and is based in Columbus, Ohio.",129,"{'maxAge': 1, 'name': 'Mr. Jeffrey J. Cook CPA', 'age': 41, 'title': 'Controller', 'yearBorn': 1981, 'exercisedValue': 0, 'unexercisedValue': 0}",5,1,4,3,2,1693526400,1672444800,86400,2,166.7,166.28,163.29,166.28,166.7,166.28,163.29,166.28,6.0,0.0367,1693353600,0.372,0.920816,10.14392,33220,33220,11722,11460,11460,65.73,262.91,1300,800,481535328,154.24,196.0,3.425843,174.3744,173.54025,6.0,0.0359928,USD,466714496,0.34882998,2808376,2944810,26471,29236,1690761600,1693440000,0.009,0.045939997,0.66837996,1.98,0.0111,55.568,2.9427009,1672444800,1703980800,1688083200,1.137,49031300,16.12,1:5,1001462400,3.32,10.36,NMS,EQUITY,DHIL,DHIL,"Diamond Hill Investment Group, ","Diamond Hill Investment Group, Inc.",834067800,America/New_York,EDT,-14400000,163.52,none,38656996,13.127,45051628,1092313,2.926,3.079,140559664,0.585,46.517,0.11093,0.27177998,85098085,3393922,37131480,1.269,-0.145,0.46046,0.32051998,0.31114998,USD,
