,address1,city,state,zip,country,phone,fax,website,industry,sector,longBusinessSummary,companyOfficers,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,fiveYearAvgDividendYield,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,shortRatio,shortPercentOfFloat,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,enterpriseToRevenue,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationMean,recommendationKey,totalCash,totalCashPerShare,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,50 Hudson Yards,New York,NY,10001,United States,212 810 5300,212 810 5801,https://www.blackrock.com/investing/products/240176/blackrock-core-bond-trust-usd-fund,Asset Management,Financial Services,"BlackRock Core Bond Trust is a closed-ended fixed income mutual fund launched by BlackRock, Inc. The fund is managed by BlackRock Advisors, LLC. It invests in the fixed income markets of the United States. The fund primarily invests in investment grade quality bonds, including corporate bonds, government and agency securities, and mortgage-related securities. BlackRock Core Bond Trust was formed on November 30, 2001 and is domiciled in the United States.","{'maxAge': 1, 'name': 'Mr. Charles Choon Sik Park', 'age': 55, 'title': 'Chief Compliance Officer and Anti-Money Laundering Officer', 'yearBorn': 1967, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,10.18,10.17,10.1007,10.185,10.18,10.17,10.1007,10.185,0.9,0.0881,1694649600,6.28,87898,87898,140935,107730,107730,10.09,10.16,800,800,548748672,9.5,11.7,10.84443,10.4988,10.7605,0.448,0.04400786,USD,857317760,-0.03837,54010700,531484,621573,1690761600,1693440000,0.0098,0.0,0.27657,3.51,0.0098,10.888,0.9331374,1672444800,1703980800,1688083200,-1941389,-0.03,16.942,NYQ,EQUITY,BHK,BHK,Blackrock Core Bond Trust Black,BlackRock Core Bond Trust,1006957800,America/New_York,EDT,-14400000,10.16,3.0,hold,61065,0.001,308630112,0.075,0.125,50601892,52.275,0.884,0.02671,-0.00315,47754930,13328937,161340240,0.124,1.0,0.0,0.8911,USD,
1,50 Hudson Yards,New York,NY,10001,United States,212 810 5300,212 810 5801,https://www.blackrock.com/investing/products/240176/blackrock-core-bond-trust-usd-fund,Asset Management,Financial Services,"BlackRock Core Bond Trust is a closed-ended fixed income mutual fund launched by BlackRock, Inc. The fund is managed by BlackRock Advisors, LLC. It invests in the fixed income markets of the United States. The fund primarily invests in investment grade quality bonds, including corporate bonds, government and agency securities, and mortgage-related securities. BlackRock Core Bond Trust was formed on November 30, 2001 and is domiciled in the United States.","{'maxAge': 1, 'name': 'Mr. James Edward Keenan C.F.A., CFA', 'age': 46, 'title': 'Portfolio Mang.', 'yearBorn': 1976, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,10.18,10.17,10.1007,10.185,10.18,10.17,10.1007,10.185,0.9,0.0881,1694649600,6.28,87898,87898,140935,107730,107730,10.09,10.16,800,800,548748672,9.5,11.7,10.84443,10.4988,10.7605,0.448,0.04400786,USD,857317760,-0.03837,54010700,531484,621573,1690761600,1693440000,0.0098,0.0,0.27657,3.51,0.0098,10.888,0.9331374,1672444800,1703980800,1688083200,-1941389,-0.03,16.942,NYQ,EQUITY,BHK,BHK,Blackrock Core Bond Trust Black,BlackRock Core Bond Trust,1006957800,America/New_York,EDT,-14400000,10.16,3.0,hold,61065,0.001,308630112,0.075,0.125,50601892,52.275,0.884,0.02671,-0.00315,47754930,13328937,161340240,0.124,1.0,0.0,0.8911,USD,
