,address1,address2,city,state,zip,country,phone,fax,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,beta,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,forwardEps,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,200 S. Orange Avenue,Suite 2700,Orlando,FL,32801-6400,United States,407 246 8100,866 748 7101,https://www.xeniareit.com,REIT—Hotel & Motel,Real Estate,"Xenia Hotels & Resorts, Inc. is a self-advised and self-administered REIT that invests in uniquely positioned luxury and upper upscale hotels and resorts with a focus on the top 25 lodging markets as well as key leisure destinations in the United States. The Company owns 32 hotels and resorts comprising 9,511 rooms across 14 states. Xenia's hotels are in the luxury and upper upscale segments, and are operated and/or licensed by industry leaders such as Marriott, Hyatt, Kimpton, Fairmont, Loews, Hilton, The Kessler Collection, and Davidson.",43,"{'maxAge': 1, 'name': 'Mr. Marcel  Verbaas', 'age': 52, 'title': 'Chairman & CEO', 'yearBorn': 1970, 'fiscalYear': 2022, 'totalPay': 3169692, 'exercisedValue': 0, 'unexercisedValue': 0}",5,3,1,3,2,1693526400,1672444800,86400,2,11.2,11.2,11.2,11.3,11.2,11.2,11.2,11.3,0.38,0.033299997,1695859200,0.8333,1.508644,25.111113,-376.6667,50,50,0,0,0,11.5,11.6,20000,20000,1295104384,10.1,17.3,1.240702,11.038,12.039,0.4,0.035714287,EUR,2395742720,0.051409997,106490465,107012000,0.00699,0.94102997,12.823,0.88122904,1672444800,1703980800,1688083200,-0.501,53344000,0.45,-0.03,2.295,9.81,FRA,EQUITY,0XHR.F,0XHR.F,"XENIA HOTELS+RES.  DL-,01","Xenia Hotels & Resorts, Inc.",1424329200,Europe/Berlin,CEST,7200000,11.3,23.0,16.0,20.5,21.0,2.3,buy,8,260736992,2.431,244207008,1419110016,2.589,3.126,1043848000,100.52,9.306,0.02246,0.03856,278151000,84329000,189167008,-0.5,-0.044,0.27023,0.23395,0.10462,USD,
1,200 S. Orange Avenue,Suite 2700,Orlando,FL,32801-6400,United States,407 246 8100,866 748 7101,https://www.xeniareit.com,REIT—Hotel & Motel,Real Estate,"Xenia Hotels & Resorts, Inc. is a self-advised and self-administered REIT that invests in uniquely positioned luxury and upper upscale hotels and resorts with a focus on the top 25 lodging markets as well as key leisure destinations in the United States. The Company owns 32 hotels and resorts comprising 9,511 rooms across 14 states. Xenia's hotels are in the luxury and upper upscale segments, and are operated and/or licensed by industry leaders such as Marriott, Hyatt, Kimpton, Fairmont, Loews, Hilton, The Kessler Collection, and Davidson.",43,"{'maxAge': 1, 'name': 'Dr. Barry A. N. Bloom', 'age': 57, 'title': 'Pres & COO', 'yearBorn': 1965, 'fiscalYear': 2022, 'totalPay': 1458092, 'exercisedValue': 0, 'unexercisedValue': 0}",5,3,1,3,2,1693526400,1672444800,86400,2,11.2,11.2,11.2,11.3,11.2,11.2,11.2,11.3,0.38,0.033299997,1695859200,0.8333,1.508644,25.111113,-376.6667,50,50,0,0,0,11.5,11.6,20000,20000,1295104384,10.1,17.3,1.240702,11.038,12.039,0.4,0.035714287,EUR,2395742720,0.051409997,106490465,107012000,0.00699,0.94102997,12.823,0.88122904,1672444800,1703980800,1688083200,-0.501,53344000,0.45,-0.03,2.295,9.81,FRA,EQUITY,0XHR.F,0XHR.F,"XENIA HOTELS+RES.  DL-,01","Xenia Hotels & Resorts, Inc.",1424329200,Europe/Berlin,CEST,7200000,11.3,23.0,16.0,20.5,21.0,2.3,buy,8,260736992,2.431,244207008,1419110016,2.589,3.126,1043848000,100.52,9.306,0.02246,0.03856,278151000,84329000,189167008,-0.5,-0.044,0.27023,0.23395,0.10462,USD,
2,200 S. Orange Avenue,Suite 2700,Orlando,FL,32801-6400,United States,407 246 8100,866 748 7101,https://www.xeniareit.com,REIT—Hotel & Motel,Real Estate,"Xenia Hotels & Resorts, Inc. is a self-advised and self-administered REIT that invests in uniquely positioned luxury and upper upscale hotels and resorts with a focus on the top 25 lodging markets as well as key leisure destinations in the United States. The Company owns 32 hotels and resorts comprising 9,511 rooms across 14 states. Xenia's hotels are in the luxury and upper upscale segments, and are operated and/or licensed by industry leaders such as Marriott, Hyatt, Kimpton, Fairmont, Loews, Hilton, The Kessler Collection, and Davidson.",43,"{'maxAge': 1, 'name': 'Mr. Atish D. Shah', 'age': 49, 'title': 'Exec. VP, CFO & Treasurer', 'yearBorn': 1973, 'fiscalYear': 2022, 'totalPay': 1383890, 'exercisedValue': 0, 'unexercisedValue': 0}",5,3,1,3,2,1693526400,1672444800,86400,2,11.2,11.2,11.2,11.3,11.2,11.2,11.2,11.3,0.38,0.033299997,1695859200,0.8333,1.508644,25.111113,-376.6667,50,50,0,0,0,11.5,11.6,20000,20000,1295104384,10.1,17.3,1.240702,11.038,12.039,0.4,0.035714287,EUR,2395742720,0.051409997,106490465,107012000,0.00699,0.94102997,12.823,0.88122904,1672444800,1703980800,1688083200,-0.501,53344000,0.45,-0.03,2.295,9.81,FRA,EQUITY,0XHR.F,0XHR.F,"XENIA HOTELS+RES.  DL-,01","Xenia Hotels & Resorts, Inc.",1424329200,Europe/Berlin,CEST,7200000,11.3,23.0,16.0,20.5,21.0,2.3,buy,8,260736992,2.431,244207008,1419110016,2.589,3.126,1043848000,100.52,9.306,0.02246,0.03856,278151000,84329000,189167008,-0.5,-0.044,0.27023,0.23395,0.10462,USD,
3,200 S. Orange Avenue,Suite 2700,Orlando,FL,32801-6400,United States,407 246 8100,866 748 7101,https://www.xeniareit.com,REIT—Hotel & Motel,Real Estate,"Xenia Hotels & Resorts, Inc. is a self-advised and self-administered REIT that invests in uniquely positioned luxury and upper upscale hotels and resorts with a focus on the top 25 lodging markets as well as key leisure destinations in the United States. The Company owns 32 hotels and resorts comprising 9,511 rooms across 14 states. Xenia's hotels are in the luxury and upper upscale segments, and are operated and/or licensed by industry leaders such as Marriott, Hyatt, Kimpton, Fairmont, Loews, Hilton, The Kessler Collection, and Davidson.",43,"{'maxAge': 1, 'name': 'Mr. Joseph T. Johnson', 'age': 47, 'title': 'Sr. VP & Chief Accounting Officer', 'yearBorn': 1975, 'fiscalYear': 2022, 'totalPay': 810816, 'exercisedValue': 0, 'unexercisedValue': 0}",5,3,1,3,2,1693526400,1672444800,86400,2,11.2,11.2,11.2,11.3,11.2,11.2,11.2,11.3,0.38,0.033299997,1695859200,0.8333,1.508644,25.111113,-376.6667,50,50,0,0,0,11.5,11.6,20000,20000,1295104384,10.1,17.3,1.240702,11.038,12.039,0.4,0.035714287,EUR,2395742720,0.051409997,106490465,107012000,0.00699,0.94102997,12.823,0.88122904,1672444800,1703980800,1688083200,-0.501,53344000,0.45,-0.03,2.295,9.81,FRA,EQUITY,0XHR.F,0XHR.F,"XENIA HOTELS+RES.  DL-,01","Xenia Hotels & Resorts, Inc.",1424329200,Europe/Berlin,CEST,7200000,11.3,23.0,16.0,20.5,21.0,2.3,buy,8,260736992,2.431,244207008,1419110016,2.589,3.126,1043848000,100.52,9.306,0.02246,0.03856,278151000,84329000,189167008,-0.5,-0.044,0.27023,0.23395,0.10462,USD,
4,200 S. Orange Avenue,Suite 2700,Orlando,FL,32801-6400,United States,407 246 8100,866 748 7101,https://www.xeniareit.com,REIT—Hotel & Motel,Real Estate,"Xenia Hotels & Resorts, Inc. is a self-advised and self-administered REIT that invests in uniquely positioned luxury and upper upscale hotels and resorts with a focus on the top 25 lodging markets as well as key leisure destinations in the United States. The Company owns 32 hotels and resorts comprising 9,511 rooms across 14 states. Xenia's hotels are in the luxury and upper upscale segments, and are operated and/or licensed by industry leaders such as Marriott, Hyatt, Kimpton, Fairmont, Loews, Hilton, The Kessler Collection, and Davidson.",43,"{'maxAge': 1, 'name': 'Mr. Taylor C. Kessel', 'age': 43, 'title': 'Sr. VP, Gen. Counsel & Corp. Sec.', 'yearBorn': 1979, 'fiscalYear': 2022, 'totalPay': 1073485, 'exercisedValue': 0, 'unexercisedValue': 0}",5,3,1,3,2,1693526400,1672444800,86400,2,11.2,11.2,11.2,11.3,11.2,11.2,11.2,11.3,0.38,0.033299997,1695859200,0.8333,1.508644,25.111113,-376.6667,50,50,0,0,0,11.5,11.6,20000,20000,1295104384,10.1,17.3,1.240702,11.038,12.039,0.4,0.035714287,EUR,2395742720,0.051409997,106490465,107012000,0.00699,0.94102997,12.823,0.88122904,1672444800,1703980800,1688083200,-0.501,53344000,0.45,-0.03,2.295,9.81,FRA,EQUITY,0XHR.F,0XHR.F,"XENIA HOTELS+RES.  DL-,01","Xenia Hotels & Resorts, Inc.",1424329200,Europe/Berlin,CEST,7200000,11.3,23.0,16.0,20.5,21.0,2.3,buy,8,260736992,2.431,244207008,1419110016,2.589,3.126,1043848000,100.52,9.306,0.02246,0.03856,278151000,84329000,189167008,-0.5,-0.044,0.27023,0.23395,0.10462,USD,
5,200 S. Orange Avenue,Suite 2700,Orlando,FL,32801-6400,United States,407 246 8100,866 748 7101,https://www.xeniareit.com,REIT—Hotel & Motel,Real Estate,"Xenia Hotels & Resorts, Inc. is a self-advised and self-administered REIT that invests in uniquely positioned luxury and upper upscale hotels and resorts with a focus on the top 25 lodging markets as well as key leisure destinations in the United States. The Company owns 32 hotels and resorts comprising 9,511 rooms across 14 states. Xenia's hotels are in the luxury and upper upscale segments, and are operated and/or licensed by industry leaders such as Marriott, Hyatt, Kimpton, Fairmont, Loews, Hilton, The Kessler Collection, and Davidson.",43,"{'maxAge': 1, 'name': 'Mr. Shamir D. Kanji', 'title': 'Sr. VP of Investments', 'exercisedValue': 0, 'unexercisedValue': 0}",5,3,1,3,2,1693526400,1672444800,86400,2,11.2,11.2,11.2,11.3,11.2,11.2,11.2,11.3,0.38,0.033299997,1695859200,0.8333,1.508644,25.111113,-376.6667,50,50,0,0,0,11.5,11.6,20000,20000,1295104384,10.1,17.3,1.240702,11.038,12.039,0.4,0.035714287,EUR,2395742720,0.051409997,106490465,107012000,0.00699,0.94102997,12.823,0.88122904,1672444800,1703980800,1688083200,-0.501,53344000,0.45,-0.03,2.295,9.81,FRA,EQUITY,0XHR.F,0XHR.F,"XENIA HOTELS+RES.  DL-,01","Xenia Hotels & Resorts, Inc.",1424329200,Europe/Berlin,CEST,7200000,11.3,23.0,16.0,20.5,21.0,2.3,buy,8,260736992,2.431,244207008,1419110016,2.589,3.126,1043848000,100.52,9.306,0.02246,0.03856,278151000,84329000,189167008,-0.5,-0.044,0.27023,0.23395,0.10462,USD,
6,200 S. Orange Avenue,Suite 2700,Orlando,FL,32801-6400,United States,407 246 8100,866 748 7101,https://www.xeniareit.com,REIT—Hotel & Motel,Real Estate,"Xenia Hotels & Resorts, Inc. is a self-advised and self-administered REIT that invests in uniquely positioned luxury and upper upscale hotels and resorts with a focus on the top 25 lodging markets as well as key leisure destinations in the United States. The Company owns 32 hotels and resorts comprising 9,511 rooms across 14 states. Xenia's hotels are in the luxury and upper upscale segments, and are operated and/or licensed by industry leaders such as Marriott, Hyatt, Kimpton, Fairmont, Loews, Hilton, The Kessler Collection, and Davidson.",43,"{'maxAge': 1, 'name': 'Ms. Arsheena  Khan', 'title': 'VP of HR', 'exercisedValue': 0, 'unexercisedValue': 0}",5,3,1,3,2,1693526400,1672444800,86400,2,11.2,11.2,11.2,11.3,11.2,11.2,11.2,11.3,0.38,0.033299997,1695859200,0.8333,1.508644,25.111113,-376.6667,50,50,0,0,0,11.5,11.6,20000,20000,1295104384,10.1,17.3,1.240702,11.038,12.039,0.4,0.035714287,EUR,2395742720,0.051409997,106490465,107012000,0.00699,0.94102997,12.823,0.88122904,1672444800,1703980800,1688083200,-0.501,53344000,0.45,-0.03,2.295,9.81,FRA,EQUITY,0XHR.F,0XHR.F,"XENIA HOTELS+RES.  DL-,01","Xenia Hotels & Resorts, Inc.",1424329200,Europe/Berlin,CEST,7200000,11.3,23.0,16.0,20.5,21.0,2.3,buy,8,260736992,2.431,244207008,1419110016,2.589,3.126,1043848000,100.52,9.306,0.02246,0.03856,278151000,84329000,189167008,-0.5,-0.044,0.27023,0.23395,0.10462,USD,
7,200 S. Orange Avenue,Suite 2700,Orlando,FL,32801-6400,United States,407 246 8100,866 748 7101,https://www.xeniareit.com,REIT—Hotel & Motel,Real Estate,"Xenia Hotels & Resorts, Inc. is a self-advised and self-administered REIT that invests in uniquely positioned luxury and upper upscale hotels and resorts with a focus on the top 25 lodging markets as well as key leisure destinations in the United States. The Company owns 32 hotels and resorts comprising 9,511 rooms across 14 states. Xenia's hotels are in the luxury and upper upscale segments, and are operated and/or licensed by industry leaders such as Marriott, Hyatt, Kimpton, Fairmont, Loews, Hilton, The Kessler Collection, and Davidson.",43,"{'maxAge': 1, 'name': 'Mr. Thomas  Brennan', 'title': 'Sr. VP of Asset Management', 'exercisedValue': 0, 'unexercisedValue': 0}",5,3,1,3,2,1693526400,1672444800,86400,2,11.2,11.2,11.2,11.3,11.2,11.2,11.2,11.3,0.38,0.033299997,1695859200,0.8333,1.508644,25.111113,-376.6667,50,50,0,0,0,11.5,11.6,20000,20000,1295104384,10.1,17.3,1.240702,11.038,12.039,0.4,0.035714287,EUR,2395742720,0.051409997,106490465,107012000,0.00699,0.94102997,12.823,0.88122904,1672444800,1703980800,1688083200,-0.501,53344000,0.45,-0.03,2.295,9.81,FRA,EQUITY,0XHR.F,0XHR.F,"XENIA HOTELS+RES.  DL-,01","Xenia Hotels & Resorts, Inc.",1424329200,Europe/Berlin,CEST,7200000,11.3,23.0,16.0,20.5,21.0,2.3,buy,8,260736992,2.431,244207008,1419110016,2.589,3.126,1043848000,100.52,9.306,0.02246,0.03856,278151000,84329000,189167008,-0.5,-0.044,0.27023,0.23395,0.10462,USD,
8,200 S. Orange Avenue,Suite 2700,Orlando,FL,32801-6400,United States,407 246 8100,866 748 7101,https://www.xeniareit.com,REIT—Hotel & Motel,Real Estate,"Xenia Hotels & Resorts, Inc. is a self-advised and self-administered REIT that invests in uniquely positioned luxury and upper upscale hotels and resorts with a focus on the top 25 lodging markets as well as key leisure destinations in the United States. The Company owns 32 hotels and resorts comprising 9,511 rooms across 14 states. Xenia's hotels are in the luxury and upper upscale segments, and are operated and/or licensed by industry leaders such as Marriott, Hyatt, Kimpton, Fairmont, Loews, Hilton, The Kessler Collection, and Davidson.",43,"{'maxAge': 1, 'name': 'Ms. Ashley H. Peeper', 'title': 'Sr. VP of Financial Reporting & Tax', 'exercisedValue': 0, 'unexercisedValue': 0}",5,3,1,3,2,1693526400,1672444800,86400,2,11.2,11.2,11.2,11.3,11.2,11.2,11.2,11.3,0.38,0.033299997,1695859200,0.8333,1.508644,25.111113,-376.6667,50,50,0,0,0,11.5,11.6,20000,20000,1295104384,10.1,17.3,1.240702,11.038,12.039,0.4,0.035714287,EUR,2395742720,0.051409997,106490465,107012000,0.00699,0.94102997,12.823,0.88122904,1672444800,1703980800,1688083200,-0.501,53344000,0.45,-0.03,2.295,9.81,FRA,EQUITY,0XHR.F,0XHR.F,"XENIA HOTELS+RES.  DL-,01","Xenia Hotels & Resorts, Inc.",1424329200,Europe/Berlin,CEST,7200000,11.3,23.0,16.0,20.5,21.0,2.3,buy,8,260736992,2.431,244207008,1419110016,2.589,3.126,1043848000,100.52,9.306,0.02246,0.03856,278151000,84329000,189167008,-0.5,-0.044,0.27023,0.23395,0.10462,USD,
9,200 S. Orange Avenue,Suite 2700,Orlando,FL,32801-6400,United States,407 246 8100,866 748 7101,https://www.xeniareit.com,REIT—Hotel & Motel,Real Estate,"Xenia Hotels & Resorts, Inc. is a self-advised and self-administered REIT that invests in uniquely positioned luxury and upper upscale hotels and resorts with a focus on the top 25 lodging markets as well as key leisure destinations in the United States. The Company owns 32 hotels and resorts comprising 9,511 rooms across 14 states. Xenia's hotels are in the luxury and upper upscale segments, and are operated and/or licensed by industry leaders such as Marriott, Hyatt, Kimpton, Fairmont, Loews, Hilton, The Kessler Collection, and Davidson.",43,"{'maxAge': 1, 'name': 'Mr. Wade  Fischer', 'title': 'Sr. VP of Project Management', 'exercisedValue': 0, 'unexercisedValue': 0}",5,3,1,3,2,1693526400,1672444800,86400,2,11.2,11.2,11.2,11.3,11.2,11.2,11.2,11.3,0.38,0.033299997,1695859200,0.8333,1.508644,25.111113,-376.6667,50,50,0,0,0,11.5,11.6,20000,20000,1295104384,10.1,17.3,1.240702,11.038,12.039,0.4,0.035714287,EUR,2395742720,0.051409997,106490465,107012000,0.00699,0.94102997,12.823,0.88122904,1672444800,1703980800,1688083200,-0.501,53344000,0.45,-0.03,2.295,9.81,FRA,EQUITY,0XHR.F,0XHR.F,"XENIA HOTELS+RES.  DL-,01","Xenia Hotels & Resorts, Inc.",1424329200,Europe/Berlin,CEST,7200000,11.3,23.0,16.0,20.5,21.0,2.3,buy,8,260736992,2.431,244207008,1419110016,2.589,3.126,1043848000,100.52,9.306,0.02246,0.03856,278151000,84329000,189167008,-0.5,-0.044,0.27023,0.23395,0.10462,USD,
