,address1,city,state,zip,country,phone,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,payoutRatio,beta,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,shortRatio,shortPercentOfFloat,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,forwardEps,pegRatio,lastSplitFactor,lastSplitDate,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,100 Inverness Terrace East,Englewood,CO,80112-5308,United States,303 706 4000,https://www.echostar.com,Communication Equipment,Technology,"EchoStar Corporation, together with its subsidiaries, provides networking technologies and services worldwide. The company operates in two segments, Hughes and EchoStar Satellite Services (ESS). The Hughes segment offers broadband network technologies, managed services, equipment, hardware, satellite services, and communications solutions to government and enterprise customers. The segment also designs, provides, and installs gateway and terminal equipment to customers for other satellite systems, as well as offers satellite ground segment systems and terminals for other satellite systems, including mobile system operators. In addition, it designs, develops, constructs, and provides telecommunication networks comprising satellite ground segment systems and terminals to mobile system operators and enterprise customers. The ESS segment provides satellite services using its owned and leased to offer satellite services on a full-time and/or occasional-use basis to the U.S. government service providers, internet service providers, broadcast news organizations, content providers, and private enterprise customers. It serves customers in North America, South and Central America, Asia, Africa, Australia, Europe, India, and the Middle East. The company was incorporated in 2007 and is headquartered in Englewood, Colorado.",2300,"{'maxAge': 1, 'name': 'Mr. Charles William Ergen', 'age': 69, 'title': 'Exec. Chairman', 'yearBorn': 1953, 'fiscalYear': 2022, 'totalPay': 0, 'exercisedValue': 0, 'unexercisedValue': 0}",3,10,9,10,10,1693526400,1672444800,86400,2,19.41,19.47,18.751,19.895,19.41,19.47,18.751,19.895,0.0,0.762793,12.951724,78.25001,541826,541826,496172,337180,337180,18.83,18.79,800,1000,1574689792,14.67,24.8,0.83319163,19.2614,17.8717,0.0,0.0,USD,1454336384,0.05923,33720843,36162300,1906013,1742866,1690761600,1693440000,0.0227,0.0647,0.91218,2.25,0.0631,42.626,0.4405762,1672444800,1703980800,1688083200,-0.195,111948000,1.45,0.24,4.46,1234:1000,1568160000,0.77,2.542,NMS,EQUITY,SATS,SATS,EchoStar Corporation,EchoStar Corporation,1199284200,America/New_York,EDT,-14400000,18.78,54.0,25.0,39.5,39.5,2.0,buy,2,1913462016,22.82,572219008,1643277952,5.427,6.019,1889949056,44.762,22.679,0.01765,0.02902,1136020000,143946000,468931008,-0.188,-0.093,0.56959,0.30277002,0.09229,USD,
1,100 Inverness Terrace East,Englewood,CO,80112-5308,United States,303 706 4000,https://www.echostar.com,Communication Equipment,Technology,"EchoStar Corporation, together with its subsidiaries, provides networking technologies and services worldwide. The company operates in two segments, Hughes and EchoStar Satellite Services (ESS). The Hughes segment offers broadband network technologies, managed services, equipment, hardware, satellite services, and communications solutions to government and enterprise customers. The segment also designs, provides, and installs gateway and terminal equipment to customers for other satellite systems, as well as offers satellite ground segment systems and terminals for other satellite systems, including mobile system operators. In addition, it designs, develops, constructs, and provides telecommunication networks comprising satellite ground segment systems and terminals to mobile system operators and enterprise customers. The ESS segment provides satellite services using its owned and leased to offer satellite services on a full-time and/or occasional-use basis to the U.S. government service providers, internet service providers, broadcast news organizations, content providers, and private enterprise customers. It serves customers in North America, South and Central America, Asia, Africa, Australia, Europe, India, and the Middle East. The company was incorporated in 2007 and is headquartered in Englewood, Colorado.",2300,"{'maxAge': 1, 'name': 'Mr. Hamid  Akhavan', 'age': 61, 'title': 'Principal Financial Officer, CEO & Pres', 'yearBorn': 1961, 'fiscalYear': 2022, 'totalPay': 1530335, 'exercisedValue': 0, 'unexercisedValue': 0}",3,10,9,10,10,1693526400,1672444800,86400,2,19.41,19.47,18.751,19.895,19.41,19.47,18.751,19.895,0.0,0.762793,12.951724,78.25001,541826,541826,496172,337180,337180,18.83,18.79,800,1000,1574689792,14.67,24.8,0.83319163,19.2614,17.8717,0.0,0.0,USD,1454336384,0.05923,33720843,36162300,1906013,1742866,1690761600,1693440000,0.0227,0.0647,0.91218,2.25,0.0631,42.626,0.4405762,1672444800,1703980800,1688083200,-0.195,111948000,1.45,0.24,4.46,1234:1000,1568160000,0.77,2.542,NMS,EQUITY,SATS,SATS,EchoStar Corporation,EchoStar Corporation,1199284200,America/New_York,EDT,-14400000,18.78,54.0,25.0,39.5,39.5,2.0,buy,2,1913462016,22.82,572219008,1643277952,5.427,6.019,1889949056,44.762,22.679,0.01765,0.02902,1136020000,143946000,468931008,-0.188,-0.093,0.56959,0.30277002,0.09229,USD,
2,100 Inverness Terrace East,Englewood,CO,80112-5308,United States,303 706 4000,https://www.echostar.com,Communication Equipment,Technology,"EchoStar Corporation, together with its subsidiaries, provides networking technologies and services worldwide. The company operates in two segments, Hughes and EchoStar Satellite Services (ESS). The Hughes segment offers broadband network technologies, managed services, equipment, hardware, satellite services, and communications solutions to government and enterprise customers. The segment also designs, provides, and installs gateway and terminal equipment to customers for other satellite systems, as well as offers satellite ground segment systems and terminals for other satellite systems, including mobile system operators. In addition, it designs, develops, constructs, and provides telecommunication networks comprising satellite ground segment systems and terminals to mobile system operators and enterprise customers. The ESS segment provides satellite services using its owned and leased to offer satellite services on a full-time and/or occasional-use basis to the U.S. government service providers, internet service providers, broadcast news organizations, content providers, and private enterprise customers. It serves customers in North America, South and Central America, Asia, Africa, Australia, Europe, India, and the Middle East. The company was incorporated in 2007 and is headquartered in Englewood, Colorado.",2300,"{'maxAge': 1, 'name': 'Mr. Dean A. Manson', 'age': 55, 'title': 'Chief Legal Officer & Sec.', 'yearBorn': 1967, 'fiscalYear': 2022, 'totalPay': 1103974, 'exercisedValue': 0, 'unexercisedValue': 0}",3,10,9,10,10,1693526400,1672444800,86400,2,19.41,19.47,18.751,19.895,19.41,19.47,18.751,19.895,0.0,0.762793,12.951724,78.25001,541826,541826,496172,337180,337180,18.83,18.79,800,1000,1574689792,14.67,24.8,0.83319163,19.2614,17.8717,0.0,0.0,USD,1454336384,0.05923,33720843,36162300,1906013,1742866,1690761600,1693440000,0.0227,0.0647,0.91218,2.25,0.0631,42.626,0.4405762,1672444800,1703980800,1688083200,-0.195,111948000,1.45,0.24,4.46,1234:1000,1568160000,0.77,2.542,NMS,EQUITY,SATS,SATS,EchoStar Corporation,EchoStar Corporation,1199284200,America/New_York,EDT,-14400000,18.78,54.0,25.0,39.5,39.5,2.0,buy,2,1913462016,22.82,572219008,1643277952,5.427,6.019,1889949056,44.762,22.679,0.01765,0.02902,1136020000,143946000,468931008,-0.188,-0.093,0.56959,0.30277002,0.09229,USD,
3,100 Inverness Terrace East,Englewood,CO,80112-5308,United States,303 706 4000,https://www.echostar.com,Communication Equipment,Technology,"EchoStar Corporation, together with its subsidiaries, provides networking technologies and services worldwide. The company operates in two segments, Hughes and EchoStar Satellite Services (ESS). The Hughes segment offers broadband network technologies, managed services, equipment, hardware, satellite services, and communications solutions to government and enterprise customers. The segment also designs, provides, and installs gateway and terminal equipment to customers for other satellite systems, as well as offers satellite ground segment systems and terminals for other satellite systems, including mobile system operators. In addition, it designs, develops, constructs, and provides telecommunication networks comprising satellite ground segment systems and terminals to mobile system operators and enterprise customers. The ESS segment provides satellite services using its owned and leased to offer satellite services on a full-time and/or occasional-use basis to the U.S. government service providers, internet service providers, broadcast news organizations, content providers, and private enterprise customers. It serves customers in North America, South and Central America, Asia, Africa, Australia, Europe, India, and the Middle East. The company was incorporated in 2007 and is headquartered in Englewood, Colorado.",2300,"{'maxAge': 1, 'name': 'Mr. Paul  Gaske', 'age': 68, 'title': 'Chief Operating Officer', 'yearBorn': 1954, 'exercisedValue': 0, 'unexercisedValue': 0}",3,10,9,10,10,1693526400,1672444800,86400,2,19.41,19.47,18.751,19.895,19.41,19.47,18.751,19.895,0.0,0.762793,12.951724,78.25001,541826,541826,496172,337180,337180,18.83,18.79,800,1000,1574689792,14.67,24.8,0.83319163,19.2614,17.8717,0.0,0.0,USD,1454336384,0.05923,33720843,36162300,1906013,1742866,1690761600,1693440000,0.0227,0.0647,0.91218,2.25,0.0631,42.626,0.4405762,1672444800,1703980800,1688083200,-0.195,111948000,1.45,0.24,4.46,1234:1000,1568160000,0.77,2.542,NMS,EQUITY,SATS,SATS,EchoStar Corporation,EchoStar Corporation,1199284200,America/New_York,EDT,-14400000,18.78,54.0,25.0,39.5,39.5,2.0,buy,2,1913462016,22.82,572219008,1643277952,5.427,6.019,1889949056,44.762,22.679,0.01765,0.02902,1136020000,143946000,468931008,-0.188,-0.093,0.56959,0.30277002,0.09229,USD,
4,100 Inverness Terrace East,Englewood,CO,80112-5308,United States,303 706 4000,https://www.echostar.com,Communication Equipment,Technology,"EchoStar Corporation, together with its subsidiaries, provides networking technologies and services worldwide. The company operates in two segments, Hughes and EchoStar Satellite Services (ESS). The Hughes segment offers broadband network technologies, managed services, equipment, hardware, satellite services, and communications solutions to government and enterprise customers. The segment also designs, provides, and installs gateway and terminal equipment to customers for other satellite systems, as well as offers satellite ground segment systems and terminals for other satellite systems, including mobile system operators. In addition, it designs, develops, constructs, and provides telecommunication networks comprising satellite ground segment systems and terminals to mobile system operators and enterprise customers. The ESS segment provides satellite services using its owned and leased to offer satellite services on a full-time and/or occasional-use basis to the U.S. government service providers, internet service providers, broadcast news organizations, content providers, and private enterprise customers. It serves customers in North America, South and Central America, Asia, Africa, Australia, Europe, India, and the Middle East. The company was incorporated in 2007 and is headquartered in Englewood, Colorado.",2300,"{'maxAge': 1, 'name': 'Ms. Veronika  Takacs', 'age': 40, 'title': 'Controller & Principal Accounting Officer', 'yearBorn': 1982, 'exercisedValue': 0, 'unexercisedValue': 0}",3,10,9,10,10,1693526400,1672444800,86400,2,19.41,19.47,18.751,19.895,19.41,19.47,18.751,19.895,0.0,0.762793,12.951724,78.25001,541826,541826,496172,337180,337180,18.83,18.79,800,1000,1574689792,14.67,24.8,0.83319163,19.2614,17.8717,0.0,0.0,USD,1454336384,0.05923,33720843,36162300,1906013,1742866,1690761600,1693440000,0.0227,0.0647,0.91218,2.25,0.0631,42.626,0.4405762,1672444800,1703980800,1688083200,-0.195,111948000,1.45,0.24,4.46,1234:1000,1568160000,0.77,2.542,NMS,EQUITY,SATS,SATS,EchoStar Corporation,EchoStar Corporation,1199284200,America/New_York,EDT,-14400000,18.78,54.0,25.0,39.5,39.5,2.0,buy,2,1913462016,22.82,572219008,1643277952,5.427,6.019,1889949056,44.762,22.679,0.01765,0.02902,1136020000,143946000,468931008,-0.188,-0.093,0.56959,0.30277002,0.09229,USD,
5,100 Inverness Terrace East,Englewood,CO,80112-5308,United States,303 706 4000,https://www.echostar.com,Communication Equipment,Technology,"EchoStar Corporation, together with its subsidiaries, provides networking technologies and services worldwide. The company operates in two segments, Hughes and EchoStar Satellite Services (ESS). The Hughes segment offers broadband network technologies, managed services, equipment, hardware, satellite services, and communications solutions to government and enterprise customers. The segment also designs, provides, and installs gateway and terminal equipment to customers for other satellite systems, as well as offers satellite ground segment systems and terminals for other satellite systems, including mobile system operators. In addition, it designs, develops, constructs, and provides telecommunication networks comprising satellite ground segment systems and terminals to mobile system operators and enterprise customers. The ESS segment provides satellite services using its owned and leased to offer satellite services on a full-time and/or occasional-use basis to the U.S. government service providers, internet service providers, broadcast news organizations, content providers, and private enterprise customers. It serves customers in North America, South and Central America, Asia, Africa, Australia, Europe, India, and the Middle East. The company was incorporated in 2007 and is headquartered in Englewood, Colorado.",2300,"{'maxAge': 1, 'name': 'Mr. Adrian  Morris', 'age': 67, 'title': 'Chief Technology Officer', 'yearBorn': 1955, 'exercisedValue': 0, 'unexercisedValue': 0}",3,10,9,10,10,1693526400,1672444800,86400,2,19.41,19.47,18.751,19.895,19.41,19.47,18.751,19.895,0.0,0.762793,12.951724,78.25001,541826,541826,496172,337180,337180,18.83,18.79,800,1000,1574689792,14.67,24.8,0.83319163,19.2614,17.8717,0.0,0.0,USD,1454336384,0.05923,33720843,36162300,1906013,1742866,1690761600,1693440000,0.0227,0.0647,0.91218,2.25,0.0631,42.626,0.4405762,1672444800,1703980800,1688083200,-0.195,111948000,1.45,0.24,4.46,1234:1000,1568160000,0.77,2.542,NMS,EQUITY,SATS,SATS,EchoStar Corporation,EchoStar Corporation,1199284200,America/New_York,EDT,-14400000,18.78,54.0,25.0,39.5,39.5,2.0,buy,2,1913462016,22.82,572219008,1643277952,5.427,6.019,1889949056,44.762,22.679,0.01765,0.02902,1136020000,143946000,468931008,-0.188,-0.093,0.56959,0.30277002,0.09229,USD,
6,100 Inverness Terrace East,Englewood,CO,80112-5308,United States,303 706 4000,https://www.echostar.com,Communication Equipment,Technology,"EchoStar Corporation, together with its subsidiaries, provides networking technologies and services worldwide. The company operates in two segments, Hughes and EchoStar Satellite Services (ESS). The Hughes segment offers broadband network technologies, managed services, equipment, hardware, satellite services, and communications solutions to government and enterprise customers. The segment also designs, provides, and installs gateway and terminal equipment to customers for other satellite systems, as well as offers satellite ground segment systems and terminals for other satellite systems, including mobile system operators. In addition, it designs, develops, constructs, and provides telecommunication networks comprising satellite ground segment systems and terminals to mobile system operators and enterprise customers. The ESS segment provides satellite services using its owned and leased to offer satellite services on a full-time and/or occasional-use basis to the U.S. government service providers, internet service providers, broadcast news organizations, content providers, and private enterprise customers. It serves customers in North America, South and Central America, Asia, Africa, Australia, Europe, India, and the Middle East. The company was incorporated in 2007 and is headquartered in Englewood, Colorado.",2300,"{'maxAge': 1, 'name': 'Mr. Deepak V. Dutt', 'age': 77, 'title': 'VP of Investor Relations', 'yearBorn': 1945, 'exercisedValue': 0, 'unexercisedValue': 0}",3,10,9,10,10,1693526400,1672444800,86400,2,19.41,19.47,18.751,19.895,19.41,19.47,18.751,19.895,0.0,0.762793,12.951724,78.25001,541826,541826,496172,337180,337180,18.83,18.79,800,1000,1574689792,14.67,24.8,0.83319163,19.2614,17.8717,0.0,0.0,USD,1454336384,0.05923,33720843,36162300,1906013,1742866,1690761600,1693440000,0.0227,0.0647,0.91218,2.25,0.0631,42.626,0.4405762,1672444800,1703980800,1688083200,-0.195,111948000,1.45,0.24,4.46,1234:1000,1568160000,0.77,2.542,NMS,EQUITY,SATS,SATS,EchoStar Corporation,EchoStar Corporation,1199284200,America/New_York,EDT,-14400000,18.78,54.0,25.0,39.5,39.5,2.0,buy,2,1913462016,22.82,572219008,1643277952,5.427,6.019,1889949056,44.762,22.679,0.01765,0.02902,1136020000,143946000,468931008,-0.188,-0.093,0.56959,0.30277002,0.09229,USD,
7,100 Inverness Terrace East,Englewood,CO,80112-5308,United States,303 706 4000,https://www.echostar.com,Communication Equipment,Technology,"EchoStar Corporation, together with its subsidiaries, provides networking technologies and services worldwide. The company operates in two segments, Hughes and EchoStar Satellite Services (ESS). The Hughes segment offers broadband network technologies, managed services, equipment, hardware, satellite services, and communications solutions to government and enterprise customers. The segment also designs, provides, and installs gateway and terminal equipment to customers for other satellite systems, as well as offers satellite ground segment systems and terminals for other satellite systems, including mobile system operators. In addition, it designs, develops, constructs, and provides telecommunication networks comprising satellite ground segment systems and terminals to mobile system operators and enterprise customers. The ESS segment provides satellite services using its owned and leased to offer satellite services on a full-time and/or occasional-use basis to the U.S. government service providers, internet service providers, broadcast news organizations, content providers, and private enterprise customers. It serves customers in North America, South and Central America, Asia, Africa, Australia, Europe, India, and the Middle East. The company was incorporated in 2007 and is headquartered in Englewood, Colorado.",2300,"{'maxAge': 1, 'name': 'Mr. Kenneth G. Carroll', 'age': 67, 'title': 'Exec. VP of Corp. and Bus. Devel.', 'yearBorn': 1955, 'fiscalYear': 2012, 'exercisedValue': 0, 'unexercisedValue': 0}",3,10,9,10,10,1693526400,1672444800,86400,2,19.41,19.47,18.751,19.895,19.41,19.47,18.751,19.895,0.0,0.762793,12.951724,78.25001,541826,541826,496172,337180,337180,18.83,18.79,800,1000,1574689792,14.67,24.8,0.83319163,19.2614,17.8717,0.0,0.0,USD,1454336384,0.05923,33720843,36162300,1906013,1742866,1690761600,1693440000,0.0227,0.0647,0.91218,2.25,0.0631,42.626,0.4405762,1672444800,1703980800,1688083200,-0.195,111948000,1.45,0.24,4.46,1234:1000,1568160000,0.77,2.542,NMS,EQUITY,SATS,SATS,EchoStar Corporation,EchoStar Corporation,1199284200,America/New_York,EDT,-14400000,18.78,54.0,25.0,39.5,39.5,2.0,buy,2,1913462016,22.82,572219008,1643277952,5.427,6.019,1889949056,44.762,22.679,0.01765,0.02902,1136020000,143946000,468931008,-0.188,-0.093,0.56959,0.30277002,0.09229,USD,
8,100 Inverness Terrace East,Englewood,CO,80112-5308,United States,303 706 4000,https://www.echostar.com,Communication Equipment,Technology,"EchoStar Corporation, together with its subsidiaries, provides networking technologies and services worldwide. The company operates in two segments, Hughes and EchoStar Satellite Services (ESS). The Hughes segment offers broadband network technologies, managed services, equipment, hardware, satellite services, and communications solutions to government and enterprise customers. The segment also designs, provides, and installs gateway and terminal equipment to customers for other satellite systems, as well as offers satellite ground segment systems and terminals for other satellite systems, including mobile system operators. In addition, it designs, develops, constructs, and provides telecommunication networks comprising satellite ground segment systems and terminals to mobile system operators and enterprise customers. The ESS segment provides satellite services using its owned and leased to offer satellite services on a full-time and/or occasional-use basis to the U.S. government service providers, internet service providers, broadcast news organizations, content providers, and private enterprise customers. It serves customers in North America, South and Central America, Asia, Africa, Australia, Europe, India, and the Middle East. The company was incorporated in 2007 and is headquartered in Englewood, Colorado.",2300,"{'maxAge': 1, 'name': 'Ms. Michelle  Pearre', 'age': 53, 'title': 'Chief HR Officer', 'yearBorn': 1969, 'exercisedValue': 0, 'unexercisedValue': 0}",3,10,9,10,10,1693526400,1672444800,86400,2,19.41,19.47,18.751,19.895,19.41,19.47,18.751,19.895,0.0,0.762793,12.951724,78.25001,541826,541826,496172,337180,337180,18.83,18.79,800,1000,1574689792,14.67,24.8,0.83319163,19.2614,17.8717,0.0,0.0,USD,1454336384,0.05923,33720843,36162300,1906013,1742866,1690761600,1693440000,0.0227,0.0647,0.91218,2.25,0.0631,42.626,0.4405762,1672444800,1703980800,1688083200,-0.195,111948000,1.45,0.24,4.46,1234:1000,1568160000,0.77,2.542,NMS,EQUITY,SATS,SATS,EchoStar Corporation,EchoStar Corporation,1199284200,America/New_York,EDT,-14400000,18.78,54.0,25.0,39.5,39.5,2.0,buy,2,1913462016,22.82,572219008,1643277952,5.427,6.019,1889949056,44.762,22.679,0.01765,0.02902,1136020000,143946000,468931008,-0.188,-0.093,0.56959,0.30277002,0.09229,USD,
9,100 Inverness Terrace East,Englewood,CO,80112-5308,United States,303 706 4000,https://www.echostar.com,Communication Equipment,Technology,"EchoStar Corporation, together with its subsidiaries, provides networking technologies and services worldwide. The company operates in two segments, Hughes and EchoStar Satellite Services (ESS). The Hughes segment offers broadband network technologies, managed services, equipment, hardware, satellite services, and communications solutions to government and enterprise customers. The segment also designs, provides, and installs gateway and terminal equipment to customers for other satellite systems, as well as offers satellite ground segment systems and terminals for other satellite systems, including mobile system operators. In addition, it designs, develops, constructs, and provides telecommunication networks comprising satellite ground segment systems and terminals to mobile system operators and enterprise customers. The ESS segment provides satellite services using its owned and leased to offer satellite services on a full-time and/or occasional-use basis to the U.S. government service providers, internet service providers, broadcast news organizations, content providers, and private enterprise customers. It serves customers in North America, South and Central America, Asia, Africa, Australia, Europe, India, and the Middle East. The company was incorporated in 2007 and is headquartered in Englewood, Colorado.",2300,"{'maxAge': 1, 'name': 'Ms. Jennifer A. Manner', 'title': 'Sr. VP of Regulatory Affairs', 'exercisedValue': 0, 'unexercisedValue': 0}",3,10,9,10,10,1693526400,1672444800,86400,2,19.41,19.47,18.751,19.895,19.41,19.47,18.751,19.895,0.0,0.762793,12.951724,78.25001,541826,541826,496172,337180,337180,18.83,18.79,800,1000,1574689792,14.67,24.8,0.83319163,19.2614,17.8717,0.0,0.0,USD,1454336384,0.05923,33720843,36162300,1906013,1742866,1690761600,1693440000,0.0227,0.0647,0.91218,2.25,0.0631,42.626,0.4405762,1672444800,1703980800,1688083200,-0.195,111948000,1.45,0.24,4.46,1234:1000,1568160000,0.77,2.542,NMS,EQUITY,SATS,SATS,EchoStar Corporation,EchoStar Corporation,1199284200,America/New_York,EDT,-14400000,18.78,54.0,25.0,39.5,39.5,2.0,buy,2,1913462016,22.82,572219008,1643277952,5.427,6.019,1889949056,44.762,22.679,0.01765,0.02902,1136020000,143946000,468931008,-0.188,-0.093,0.56959,0.30277002,0.09229,USD,
