,address1,address2,city,zip,country,phone,website,industry,sector,longBusinessSummary,companyOfficers,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,fiveYearAvgDividendYield,beta,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,currency,enterpriseValue,forwardPE,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,pegRatio,lastSplitFactor,lastSplitDate,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,2620 Nambu Circular Road,Yangjae-dong Seocho-gu,Seoul,137-887,South Korea,82 80 739 8572,https://www.spcsamlip.co.kr,Packaged Foods,Consumer Defensive,"SPC Samlip Co., Ltd. provides various food products in South Korea. It offers rice cakes, sandwiches, wheat flour, breads, sweets, noodles, frozen dumplings and pizza, bread crumbs, Jerry Po, eggs, dairy products, bottled water, ice creams, snacks, fruit products, ham, meat products, bacons, and sausages, as well as convenience and ready-to-eat food. The company provides its products under the SPC Samlip, Debt, Ta pio, Leopie, Minda Won, Grik Schwein, A snowy pasture, Egg Palm, Sanuki Borle, and Petrefomie brands. The company was formerly known as Samlip General Foods Co., Ltd. and changed its name to SPC Samlip Co., Ltd. in November 2016. The company was founded in 1945 and is based in Seoul, South Korea. Samlip Co., Ltd. is a subsidiary of SPC Group.","{'maxAge': 1, 'name': 'Mr. Suk-Won  Choi', 'age': 71, 'title': 'CEO & Inside Director', 'yearBorn': 1951, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,67300.0,67300.0,66600.0,67300.0,67300.0,67300.0,66600.0,67300.0,1700.0,0.0255,1672185600,0.2556,1.6,0.421542,7712,7712,6962,3145,3145,66700.0,66800.0,0,0,539807645696,62700.0,86600.0,0.15563452,67222.0,70705.5,KRW,844376047616,7.4355254,0.01554,1756726,8105220,0.73570997,0.01593,1672444800,1703980800,1688083200,-0.002,53915721728,0.26,1:2,1038182400,0.243,4.519,KSC,EQUITY,005610.KS,005610.KS,SPC SAMLIP,"SPC Samlip Co., Ltd.",946944000,Asia/Seoul,KST,32400000,66600.0,100000.0,100000.0,100000.0,100000.0,1.6,buy,1,20347662336,2510.438,186842595328,324915855360,0.456,0.788,3468431196160,81.334,427917.5,0.047119997,0.14393,68715577344,112950943744,-0.002,0.057,0.15207,0.05387,0.02755,KRW,
1,2620 Nambu Circular Road,Yangjae-dong Seocho-gu,Seoul,137-887,South Korea,82 80 739 8572,https://www.spcsamlip.co.kr,Packaged Foods,Consumer Defensive,"SPC Samlip Co., Ltd. provides various food products in South Korea. It offers rice cakes, sandwiches, wheat flour, breads, sweets, noodles, frozen dumplings and pizza, bread crumbs, Jerry Po, eggs, dairy products, bottled water, ice creams, snacks, fruit products, ham, meat products, bacons, and sausages, as well as convenience and ready-to-eat food. The company provides its products under the SPC Samlip, Debt, Ta pio, Leopie, Minda Won, Grik Schwein, A snowy pasture, Egg Palm, Sanuki Borle, and Petrefomie brands. The company was formerly known as Samlip General Foods Co., Ltd. and changed its name to SPC Samlip Co., Ltd. in November 2016. The company was founded in 1945 and is based in Seoul, South Korea. Samlip Co., Ltd. is a subsidiary of SPC Group.","{'maxAge': 1, 'name': 'Mr. Suk-Chun  Yun', 'age': 63, 'title': 'CEO & Director', 'yearBorn': 1959, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,67300.0,67300.0,66600.0,67300.0,67300.0,67300.0,66600.0,67300.0,1700.0,0.0255,1672185600,0.2556,1.6,0.421542,7712,7712,6962,3145,3145,66700.0,66800.0,0,0,539807645696,62700.0,86600.0,0.15563452,67222.0,70705.5,KRW,844376047616,7.4355254,0.01554,1756726,8105220,0.73570997,0.01593,1672444800,1703980800,1688083200,-0.002,53915721728,0.26,1:2,1038182400,0.243,4.519,KSC,EQUITY,005610.KS,005610.KS,SPC SAMLIP,"SPC Samlip Co., Ltd.",946944000,Asia/Seoul,KST,32400000,66600.0,100000.0,100000.0,100000.0,100000.0,1.6,buy,1,20347662336,2510.438,186842595328,324915855360,0.456,0.788,3468431196160,81.334,427917.5,0.047119997,0.14393,68715577344,112950943744,-0.002,0.057,0.15207,0.05387,0.02755,KRW,
