,address1,address2,city,state,zip,country,phone,fax,website,industry,sector,longBusinessSummary,companyOfficers,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,exDividendDate,payoutRatio,beta,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,forwardEps,pegRatio,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,revenuePerShare,returnOnAssets,grossProfits,freeCashflow,operatingCashflow,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,61 Dunning Avenue,Ground Floor,Rosebery,NSW,2018,Australia,61 2 8577 7777,61 2 8577 7887,https://www.mosaicbrandslimited.com.au,Apparel Retail,Consumer Cyclical,"Mosaic Brands Limited engages in the retail of women's apparel and accessories in Australia and New Zealand. The company sells its products under the Millers, Rockmans, Noni B, Rivers, Katies, Autograph, W. Lane, Crossroads, beme, and Ezibuy brand names. It operates through a network of 804 stores and online digital department platforms. The company was formerly known as Noni B Limited and changed its name to Mosaic Brands Limited in November 2019. The company was founded in 1977 and is based in Rosebery, Australia.","{'maxAge': 1, 'name': 'Mr. Scott  Evans', 'title': 'CEO, MD & Exec. Director', 'fiscalYear': 2023, 'totalPay': 1078944, 'exercisedValue': 0, 'unexercisedValue': 0}",1703980800,86400,4,0.147,0.145,0.13,0.145,0.147,0.145,0.13,0.145,1570579200,0.0,1.421921,Infinity,2.0,366992,366992,134327,123186,123186,0.135,0.14,24990840,0.13,0.385,0.050457392,0.17335,0.2207875,0.0,0.0,AUD,161915296,0.0025,88660225,178506000,0.3714,0.19442,-0.371,1688256000,1719878400,1688256000,266000,0.0,0.07,0.15,0.327,6.105,ASX,EQUITY,MOZ.AX,MOZ.AX,MOSAIC FPO,Mosaic Brands Limited,957916800,Australia/Sydney,AEST,36000000,0.14,0.18,0.18,0.18,0.18,3.0,hold,1,11821000,0.066,26523000,147430000,0.053,0.511,495286016,3.283,0.0361,267656000,15584750,37833000,0.54041,0.05355,0.03846,AUD,
1,61 Dunning Avenue,Ground Floor,Rosebery,NSW,2018,Australia,61 2 8577 7777,61 2 8577 7887,https://www.mosaicbrandslimited.com.au,Apparel Retail,Consumer Cyclical,"Mosaic Brands Limited engages in the retail of women's apparel and accessories in Australia and New Zealand. The company sells its products under the Millers, Rockmans, Noni B, Rivers, Katies, Autograph, W. Lane, Crossroads, beme, and Ezibuy brand names. It operates through a network of 804 stores and online digital department platforms. The company was formerly known as Noni B Limited and changed its name to Mosaic Brands Limited in November 2019. The company was founded in 1977 and is based in Rosebery, Australia.","{'maxAge': 1, 'name': 'Mr. Luke  Softa', 'title': 'CFO & Company Sec.', 'fiscalYear': 2023, 'totalPay': 650938, 'exercisedValue': 0, 'unexercisedValue': 0}",1703980800,86400,4,0.147,0.145,0.13,0.145,0.147,0.145,0.13,0.145,1570579200,0.0,1.421921,Infinity,2.0,366992,366992,134327,123186,123186,0.135,0.14,24990840,0.13,0.385,0.050457392,0.17335,0.2207875,0.0,0.0,AUD,161915296,0.0025,88660225,178506000,0.3714,0.19442,-0.371,1688256000,1719878400,1688256000,266000,0.0,0.07,0.15,0.327,6.105,ASX,EQUITY,MOZ.AX,MOZ.AX,MOSAIC FPO,Mosaic Brands Limited,957916800,Australia/Sydney,AEST,36000000,0.14,0.18,0.18,0.18,0.18,3.0,hold,1,11821000,0.066,26523000,147430000,0.053,0.511,495286016,3.283,0.0361,267656000,15584750,37833000,0.54041,0.05355,0.03846,AUD,
