,address1,address2,city,state,zip,country,phone,website,longBusinessSummary,companyOfficers,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,beta,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,sharesOutstanding,bookValue,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,lastSplitFactor,lastSplitDate,enterpriseToRevenue,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationKey,totalCash,totalCashPerShare,totalDebt,quickRatio,currentRatio,totalRevenue,revenuePerShare,operatingCashflow,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,8250 West Charleston Boulevard,Suite 120,Las Vegas,NV,89117,United States,212-541-6222,https://www.feroindustries.com,"PharmaRoth Labs, Inc. operates as a nutraceutical company worldwide. It focuses on producing, marketing, and distributing Sucanon, an herbal-based nutraceutical treatment for type-2 diabetes. The company was formerly known as Fero Industries Inc. and changed its name to PharmaRoth Labs, Inc. in March 2013. PharmaRoth Labs, Inc. was founded in 2000 and is based in Las Vegas, Nevada.","{'maxAge': 1, 'name': 'Mr. Luis Manuel Ornelas Lopez', 'title': 'Chairman, CEO, Pres & COO', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,4,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,29.580532,5000,5000,132255,132255,132255,0.0,0.0,0,0,30187,1e-06,0.0009,0.15082188,7.06552e-05,7.06552e-05,0.0,0.0,USD,264377,-2.78604,149350000,-0.002,1277856000,1309392000,1301529600,-557626,-0.004,5:1,1275350400,1.321,PNK,EQUITY,ROTH,ROTH,PHARMAROTH LABS INC,"PharmaRoth Labs, Inc.",1229005800,America/New_York,EDT,-14400000,0.0001,none,33,0.0,250000,0.243,0.243,200150,0.002,-170459,0.40208998,0.0,-1.89503,USD,
1,8250 West Charleston Boulevard,Suite 120,Las Vegas,NV,89117,United States,212-541-6222,https://www.feroindustries.com,"PharmaRoth Labs, Inc. operates as a nutraceutical company worldwide. It focuses on producing, marketing, and distributing Sucanon, an herbal-based nutraceutical treatment for type-2 diabetes. The company was formerly known as Fero Industries Inc. and changed its name to PharmaRoth Labs, Inc. in March 2013. PharmaRoth Labs, Inc. was founded in 2000 and is based in Las Vegas, Nevada.","{'maxAge': 1, 'name': 'Mr. Barry W. Hall', 'age': 74, 'title': 'Interim Chief Financial Officer', 'yearBorn': 1948, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,4,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,29.580532,5000,5000,132255,132255,132255,0.0,0.0,0,0,30187,1e-06,0.0009,0.15082188,7.06552e-05,7.06552e-05,0.0,0.0,USD,264377,-2.78604,149350000,-0.002,1277856000,1309392000,1301529600,-557626,-0.004,5:1,1275350400,1.321,PNK,EQUITY,ROTH,ROTH,PHARMAROTH LABS INC,"PharmaRoth Labs, Inc.",1229005800,America/New_York,EDT,-14400000,0.0001,none,33,0.0,250000,0.243,0.243,200150,0.002,-170459,0.40208998,0.0,-1.89503,USD,
