,address1,address2,city,state,zip,country,phone,fax,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,exDividendDate,payoutRatio,beta,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,profitMargins,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,shortRatio,shortPercentOfFloat,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,lastSplitFactor,lastSplitDate,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationKey,totalCash,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,returnOnAssets,returnOnEquity,grossProfits,operatingCashflow,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,8880 West Sunset Road,Suite 200,Las Vegas,NV,89148,United States,702 227 0965,702 227 5247,https://www.vestinrealtymortgage2.com,Mortgage Finance,Financial Services,"Vestin Realty Mortgage II, Inc. invests in loans secured by real estate through deeds of trust or mortgages in the United States. The company operates through three segments: Investments in Real Estate Loans, Investments in Real Property, and Investment in a Real Estate Management Company. The company also invests in, acquires, manages, or sells real property, as well as acquires entities engages in the ownership or management of real property. Vestin Realty Mortgage II, Inc. was formerly known as Vestin Fund II, LLC. The company was founded in 2001 and is based in Las Vegas, Nevada.",25,"{'maxAge': 1, 'name': 'Mr. Michael V. Shustek', 'age': 63, 'title': 'Chairman, Chief Exec. Officer, Pres and Sec.', 'yearBorn': 1959, 'fiscalYear': 2011, 'exercisedValue': 0, 'unexercisedValue': 0}",1451520000,86400,2,3105.0,3105.0,3105.0,3105.0,3105.0,3105.0,3105.0,3105.0,1212624000,0.0,-0.020746,1,1,4,10,10,0.0,0.0,0,0,7256385,1300.0,3600.0,1.7110081,2146.4,2229.665,0.0,0.0,USD,0.0,2337,7,5,1487116800,1489536000,0.0032,0.0,0.0,1.85,0.004,1451520000,1483142400,1475193600,-5517000,-4556.59,1:1000,1490832000,PNK,EQUITY,VRTB,VRTB,VESTIN REALTY MORTGAGE II INC,"Vestin Realty Mortgage II, Inc.",1498829400,America/New_York,EDT,-14400000,3105.0,none,8226000,84000,29.285,29.912,4241000,1.224,-0.20304,-0.44939,632000,-7005000,4.285,-0.10469,0.0,-1.9893899,USD,
1,8880 West Sunset Road,Suite 200,Las Vegas,NV,89148,United States,702 227 0965,702 227 5247,https://www.vestinrealtymortgage2.com,Mortgage Finance,Financial Services,"Vestin Realty Mortgage II, Inc. invests in loans secured by real estate through deeds of trust or mortgages in the United States. The company operates through three segments: Investments in Real Estate Loans, Investments in Real Property, and Investment in a Real Estate Management Company. The company also invests in, acquires, manages, or sells real property, as well as acquires entities engages in the ownership or management of real property. Vestin Realty Mortgage II, Inc. was formerly known as Vestin Fund II, LLC. The company was founded in 2001 and is based in Las Vegas, Nevada.",25,"{'maxAge': 1, 'name': 'Mr. Michael J. Whiteaker', 'age': 72, 'title': 'VP of Regulatory Affairs', 'yearBorn': 1950, 'exercisedValue': 0, 'unexercisedValue': 0}",1451520000,86400,2,3105.0,3105.0,3105.0,3105.0,3105.0,3105.0,3105.0,3105.0,1212624000,0.0,-0.020746,1,1,4,10,10,0.0,0.0,0,0,7256385,1300.0,3600.0,1.7110081,2146.4,2229.665,0.0,0.0,USD,0.0,2337,7,5,1487116800,1489536000,0.0032,0.0,0.0,1.85,0.004,1451520000,1483142400,1475193600,-5517000,-4556.59,1:1000,1490832000,PNK,EQUITY,VRTB,VRTB,VESTIN REALTY MORTGAGE II INC,"Vestin Realty Mortgage II, Inc.",1498829400,America/New_York,EDT,-14400000,3105.0,none,8226000,84000,29.285,29.912,4241000,1.224,-0.20304,-0.44939,632000,-7005000,4.285,-0.10469,0.0,-1.9893899,USD,
