,address1,address2,city,state,zip,country,phone,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,payoutRatio,beta,trailingPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,shortRatio,shortPercentOfFloat,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,lastSplitFactor,lastSplitDate,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationKey,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,1900 Reston Metro Plaza,10th Floor,Reston,VA,20190,United States,703 230 1985,https://comstock.com,Real Estate—Diversified,Real Estate,"Comstock Holding Companies, Inc. operates as a real estate asset manager of mixed-use and transit-oriented properties in the Washington, D.C. region. The company acquires, develops, operates, and sells residential, commercial, and mixed-use properties. It provides a suite of asset management, property management, development and construction management, and other real estate services to its asset-owning clients composes primarily of institutional real estate investors, high net worth family offices, and governmental bodies with surplus real estate holdings. The company was formerly known as Comstock Homebuilding Companies, Inc. and changed its name to Comstock Holding Companies, Inc. in June 2012. Comstock Holding Companies, Inc. was founded in 1985 and is headquartered in Reston, Virginia.",152,"{'maxAge': 1, 'name': 'Mr. Christopher  Clemente', 'age': 63, 'title': 'Founder, Chairman & CEO', 'yearBorn': 1959, 'fiscalYear': 2022, 'totalPay': 1112200, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,4.28,4.28,4.229,4.5,4.28,4.28,4.229,4.5,0.0,1.070885,7.03125,6279,6279,6148,3390,3390,4.1,4.55,3200,1000,43405876,3.47,6.94,1.0495412,4.4338,4.4562,0.0,0.0,USD,41903860,0.1481,2869513,9425500,4554,10614,1690761600,1693440000,0.0005,0.6751,0.06342,0.52,0.0016,3.131,1.4372405,1672444800,1703980800,1688083200,-0.325,6229000,0.64,1:7,1443398400,1.013,5.453,NCM,EQUITY,CHCI,CHCI,"Comstock Holding Companies, Inc","Comstock Holding Companies, Inc.",1103034600,America/New_York,EDT,-14400000,4.5,none,9031000,0.936,7684000,7529000,4.268,4.424,41357000,24.932,4.334,0.11684,0.23148,11348000,3404500,6533000,-0.835,0.059,0.2697,0.1858,0.17975001,USD,
1,1900 Reston Metro Plaza,10th Floor,Reston,VA,20190,United States,703 230 1985,https://comstock.com,Real Estate—Diversified,Real Estate,"Comstock Holding Companies, Inc. operates as a real estate asset manager of mixed-use and transit-oriented properties in the Washington, D.C. region. The company acquires, develops, operates, and sells residential, commercial, and mixed-use properties. It provides a suite of asset management, property management, development and construction management, and other real estate services to its asset-owning clients composes primarily of institutional real estate investors, high net worth family offices, and governmental bodies with surplus real estate holdings. The company was formerly known as Comstock Homebuilding Companies, Inc. and changed its name to Comstock Holding Companies, Inc. in June 2012. Comstock Holding Companies, Inc. was founded in 1985 and is headquartered in Reston, Virginia.",152,"{'maxAge': 1, 'name': 'Mr. Christopher Michael Guthrie', 'age': 43, 'title': 'CFO & Exec. VP', 'yearBorn': 1979, 'fiscalYear': 2022, 'totalPay': 889200, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,4.28,4.28,4.229,4.5,4.28,4.28,4.229,4.5,0.0,1.070885,7.03125,6279,6279,6148,3390,3390,4.1,4.55,3200,1000,43405876,3.47,6.94,1.0495412,4.4338,4.4562,0.0,0.0,USD,41903860,0.1481,2869513,9425500,4554,10614,1690761600,1693440000,0.0005,0.6751,0.06342,0.52,0.0016,3.131,1.4372405,1672444800,1703980800,1688083200,-0.325,6229000,0.64,1:7,1443398400,1.013,5.453,NCM,EQUITY,CHCI,CHCI,"Comstock Holding Companies, Inc","Comstock Holding Companies, Inc.",1103034600,America/New_York,EDT,-14400000,4.5,none,9031000,0.936,7684000,7529000,4.268,4.424,41357000,24.932,4.334,0.11684,0.23148,11348000,3404500,6533000,-0.835,0.059,0.2697,0.1858,0.17975001,USD,
2,1900 Reston Metro Plaza,10th Floor,Reston,VA,20190,United States,703 230 1985,https://comstock.com,Real Estate—Diversified,Real Estate,"Comstock Holding Companies, Inc. operates as a real estate asset manager of mixed-use and transit-oriented properties in the Washington, D.C. region. The company acquires, develops, operates, and sells residential, commercial, and mixed-use properties. It provides a suite of asset management, property management, development and construction management, and other real estate services to its asset-owning clients composes primarily of institutional real estate investors, high net worth family offices, and governmental bodies with surplus real estate holdings. The company was formerly known as Comstock Homebuilding Companies, Inc. and changed its name to Comstock Holding Companies, Inc. in June 2012. Comstock Holding Companies, Inc. was founded in 1985 and is headquartered in Reston, Virginia.",152,"{'maxAge': 1, 'name': 'Mr. Timothy J. Steffan', 'age': 57, 'title': 'COO & Principal Operating Officer', 'yearBorn': 1965, 'fiscalYear': 2022, 'totalPay': 1122798, 'exercisedValue': 0, 'unexercisedValue': 47500}",1672444800,86400,4,4.28,4.28,4.229,4.5,4.28,4.28,4.229,4.5,0.0,1.070885,7.03125,6279,6279,6148,3390,3390,4.1,4.55,3200,1000,43405876,3.47,6.94,1.0495412,4.4338,4.4562,0.0,0.0,USD,41903860,0.1481,2869513,9425500,4554,10614,1690761600,1693440000,0.0005,0.6751,0.06342,0.52,0.0016,3.131,1.4372405,1672444800,1703980800,1688083200,-0.325,6229000,0.64,1:7,1443398400,1.013,5.453,NCM,EQUITY,CHCI,CHCI,"Comstock Holding Companies, Inc","Comstock Holding Companies, Inc.",1103034600,America/New_York,EDT,-14400000,4.5,none,9031000,0.936,7684000,7529000,4.268,4.424,41357000,24.932,4.334,0.11684,0.23148,11348000,3404500,6533000,-0.835,0.059,0.2697,0.1858,0.17975001,USD,
3,1900 Reston Metro Plaza,10th Floor,Reston,VA,20190,United States,703 230 1985,https://comstock.com,Real Estate—Diversified,Real Estate,"Comstock Holding Companies, Inc. operates as a real estate asset manager of mixed-use and transit-oriented properties in the Washington, D.C. region. The company acquires, develops, operates, and sells residential, commercial, and mixed-use properties. It provides a suite of asset management, property management, development and construction management, and other real estate services to its asset-owning clients composes primarily of institutional real estate investors, high net worth family offices, and governmental bodies with surplus real estate holdings. The company was formerly known as Comstock Homebuilding Companies, Inc. and changed its name to Comstock Holding Companies, Inc. in June 2012. Comstock Holding Companies, Inc. was founded in 1985 and is headquartered in Reston, Virginia.",152,"{'maxAge': 1, 'name': 'Mr. Jubal R. Thompson', 'age': 52, 'title': 'Exec. VP of Investments, Gen. Counsel & Sec.', 'yearBorn': 1970, 'fiscalYear': 2021, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,4.28,4.28,4.229,4.5,4.28,4.28,4.229,4.5,0.0,1.070885,7.03125,6279,6279,6148,3390,3390,4.1,4.55,3200,1000,43405876,3.47,6.94,1.0495412,4.4338,4.4562,0.0,0.0,USD,41903860,0.1481,2869513,9425500,4554,10614,1690761600,1693440000,0.0005,0.6751,0.06342,0.52,0.0016,3.131,1.4372405,1672444800,1703980800,1688083200,-0.325,6229000,0.64,1:7,1443398400,1.013,5.453,NCM,EQUITY,CHCI,CHCI,"Comstock Holding Companies, Inc","Comstock Holding Companies, Inc.",1103034600,America/New_York,EDT,-14400000,4.5,none,9031000,0.936,7684000,7529000,4.268,4.424,41357000,24.932,4.334,0.11684,0.23148,11348000,3404500,6533000,-0.835,0.059,0.2697,0.1858,0.17975001,USD,
4,1900 Reston Metro Plaza,10th Floor,Reston,VA,20190,United States,703 230 1985,https://comstock.com,Real Estate—Diversified,Real Estate,"Comstock Holding Companies, Inc. operates as a real estate asset manager of mixed-use and transit-oriented properties in the Washington, D.C. region. The company acquires, develops, operates, and sells residential, commercial, and mixed-use properties. It provides a suite of asset management, property management, development and construction management, and other real estate services to its asset-owning clients composes primarily of institutional real estate investors, high net worth family offices, and governmental bodies with surplus real estate holdings. The company was formerly known as Comstock Homebuilding Companies, Inc. and changed its name to Comstock Holding Companies, Inc. in June 2012. Comstock Holding Companies, Inc. was founded in 1985 and is headquartered in Reston, Virginia.",152,"{'maxAge': 1, 'name': 'Mr. Michael  Gualtieri', 'title': 'Chief Accounting Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,4.28,4.28,4.229,4.5,4.28,4.28,4.229,4.5,0.0,1.070885,7.03125,6279,6279,6148,3390,3390,4.1,4.55,3200,1000,43405876,3.47,6.94,1.0495412,4.4338,4.4562,0.0,0.0,USD,41903860,0.1481,2869513,9425500,4554,10614,1690761600,1693440000,0.0005,0.6751,0.06342,0.52,0.0016,3.131,1.4372405,1672444800,1703980800,1688083200,-0.325,6229000,0.64,1:7,1443398400,1.013,5.453,NCM,EQUITY,CHCI,CHCI,"Comstock Holding Companies, Inc","Comstock Holding Companies, Inc.",1103034600,America/New_York,EDT,-14400000,4.5,none,9031000,0.936,7684000,7529000,4.268,4.424,41357000,24.932,4.334,0.11684,0.23148,11348000,3404500,6533000,-0.835,0.059,0.2697,0.1858,0.17975001,USD,
5,1900 Reston Metro Plaza,10th Floor,Reston,VA,20190,United States,703 230 1985,https://comstock.com,Real Estate—Diversified,Real Estate,"Comstock Holding Companies, Inc. operates as a real estate asset manager of mixed-use and transit-oriented properties in the Washington, D.C. region. The company acquires, develops, operates, and sells residential, commercial, and mixed-use properties. It provides a suite of asset management, property management, development and construction management, and other real estate services to its asset-owning clients composes primarily of institutional real estate investors, high net worth family offices, and governmental bodies with surplus real estate holdings. The company was formerly known as Comstock Homebuilding Companies, Inc. and changed its name to Comstock Holding Companies, Inc. in June 2012. Comstock Holding Companies, Inc. was founded in 1985 and is headquartered in Reston, Virginia.",152,"{'maxAge': 1, 'name': 'Ms. Tracy  Schar', 'title': 'Sr. VP of Marketing & Design', 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,4.28,4.28,4.229,4.5,4.28,4.28,4.229,4.5,0.0,1.070885,7.03125,6279,6279,6148,3390,3390,4.1,4.55,3200,1000,43405876,3.47,6.94,1.0495412,4.4338,4.4562,0.0,0.0,USD,41903860,0.1481,2869513,9425500,4554,10614,1690761600,1693440000,0.0005,0.6751,0.06342,0.52,0.0016,3.131,1.4372405,1672444800,1703980800,1688083200,-0.325,6229000,0.64,1:7,1443398400,1.013,5.453,NCM,EQUITY,CHCI,CHCI,"Comstock Holding Companies, Inc","Comstock Holding Companies, Inc.",1103034600,America/New_York,EDT,-14400000,4.5,none,9031000,0.936,7684000,7529000,4.268,4.424,41357000,24.932,4.334,0.11684,0.23148,11348000,3404500,6533000,-0.835,0.059,0.2697,0.1858,0.17975001,USD,
6,1900 Reston Metro Plaza,10th Floor,Reston,VA,20190,United States,703 230 1985,https://comstock.com,Real Estate—Diversified,Real Estate,"Comstock Holding Companies, Inc. operates as a real estate asset manager of mixed-use and transit-oriented properties in the Washington, D.C. region. The company acquires, develops, operates, and sells residential, commercial, and mixed-use properties. It provides a suite of asset management, property management, development and construction management, and other real estate services to its asset-owning clients composes primarily of institutional real estate investors, high net worth family offices, and governmental bodies with surplus real estate holdings. The company was formerly known as Comstock Homebuilding Companies, Inc. and changed its name to Comstock Holding Companies, Inc. in June 2012. Comstock Holding Companies, Inc. was founded in 1985 and is headquartered in Reston, Virginia.",152,"{'maxAge': 1, 'name': 'Mr. Paul  Schwartz', 'title': 'Sr. VP of HR', 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,4.28,4.28,4.229,4.5,4.28,4.28,4.229,4.5,0.0,1.070885,7.03125,6279,6279,6148,3390,3390,4.1,4.55,3200,1000,43405876,3.47,6.94,1.0495412,4.4338,4.4562,0.0,0.0,USD,41903860,0.1481,2869513,9425500,4554,10614,1690761600,1693440000,0.0005,0.6751,0.06342,0.52,0.0016,3.131,1.4372405,1672444800,1703980800,1688083200,-0.325,6229000,0.64,1:7,1443398400,1.013,5.453,NCM,EQUITY,CHCI,CHCI,"Comstock Holding Companies, Inc","Comstock Holding Companies, Inc.",1103034600,America/New_York,EDT,-14400000,4.5,none,9031000,0.936,7684000,7529000,4.268,4.424,41357000,24.932,4.334,0.11684,0.23148,11348000,3404500,6533000,-0.835,0.059,0.2697,0.1858,0.17975001,USD,
7,1900 Reston Metro Plaza,10th Floor,Reston,VA,20190,United States,703 230 1985,https://comstock.com,Real Estate—Diversified,Real Estate,"Comstock Holding Companies, Inc. operates as a real estate asset manager of mixed-use and transit-oriented properties in the Washington, D.C. region. The company acquires, develops, operates, and sells residential, commercial, and mixed-use properties. It provides a suite of asset management, property management, development and construction management, and other real estate services to its asset-owning clients composes primarily of institutional real estate investors, high net worth family offices, and governmental bodies with surplus real estate holdings. The company was formerly known as Comstock Homebuilding Companies, Inc. and changed its name to Comstock Holding Companies, Inc. in June 2012. Comstock Holding Companies, Inc. was founded in 1985 and is headquartered in Reston, Virginia.",152,"{'maxAge': 1, 'name': 'Mr. Mike  Daugard', 'title': 'Sr. VP of Acquisitions', 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,4.28,4.28,4.229,4.5,4.28,4.28,4.229,4.5,0.0,1.070885,7.03125,6279,6279,6148,3390,3390,4.1,4.55,3200,1000,43405876,3.47,6.94,1.0495412,4.4338,4.4562,0.0,0.0,USD,41903860,0.1481,2869513,9425500,4554,10614,1690761600,1693440000,0.0005,0.6751,0.06342,0.52,0.0016,3.131,1.4372405,1672444800,1703980800,1688083200,-0.325,6229000,0.64,1:7,1443398400,1.013,5.453,NCM,EQUITY,CHCI,CHCI,"Comstock Holding Companies, Inc","Comstock Holding Companies, Inc.",1103034600,America/New_York,EDT,-14400000,4.5,none,9031000,0.936,7684000,7529000,4.268,4.424,41357000,24.932,4.334,0.11684,0.23148,11348000,3404500,6533000,-0.835,0.059,0.2697,0.1858,0.17975001,USD,
8,1900 Reston Metro Plaza,10th Floor,Reston,VA,20190,United States,703 230 1985,https://comstock.com,Real Estate—Diversified,Real Estate,"Comstock Holding Companies, Inc. operates as a real estate asset manager of mixed-use and transit-oriented properties in the Washington, D.C. region. The company acquires, develops, operates, and sells residential, commercial, and mixed-use properties. It provides a suite of asset management, property management, development and construction management, and other real estate services to its asset-owning clients composes primarily of institutional real estate investors, high net worth family offices, and governmental bodies with surplus real estate holdings. The company was formerly known as Comstock Homebuilding Companies, Inc. and changed its name to Comstock Holding Companies, Inc. in June 2012. Comstock Holding Companies, Inc. was founded in 1985 and is headquartered in Reston, Virginia.",152,"{'maxAge': 1, 'name': 'Ms. Sharon  Fitzgerald', 'title': 'Managing Director of Commercial Property Management', 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,4.28,4.28,4.229,4.5,4.28,4.28,4.229,4.5,0.0,1.070885,7.03125,6279,6279,6148,3390,3390,4.1,4.55,3200,1000,43405876,3.47,6.94,1.0495412,4.4338,4.4562,0.0,0.0,USD,41903860,0.1481,2869513,9425500,4554,10614,1690761600,1693440000,0.0005,0.6751,0.06342,0.52,0.0016,3.131,1.4372405,1672444800,1703980800,1688083200,-0.325,6229000,0.64,1:7,1443398400,1.013,5.453,NCM,EQUITY,CHCI,CHCI,"Comstock Holding Companies, Inc","Comstock Holding Companies, Inc.",1103034600,America/New_York,EDT,-14400000,4.5,none,9031000,0.936,7684000,7529000,4.268,4.424,41357000,24.932,4.334,0.11684,0.23148,11348000,3404500,6533000,-0.835,0.059,0.2697,0.1858,0.17975001,USD,
9,1900 Reston Metro Plaza,10th Floor,Reston,VA,20190,United States,703 230 1985,https://comstock.com,Real Estate—Diversified,Real Estate,"Comstock Holding Companies, Inc. operates as a real estate asset manager of mixed-use and transit-oriented properties in the Washington, D.C. region. The company acquires, develops, operates, and sells residential, commercial, and mixed-use properties. It provides a suite of asset management, property management, development and construction management, and other real estate services to its asset-owning clients composes primarily of institutional real estate investors, high net worth family offices, and governmental bodies with surplus real estate holdings. The company was formerly known as Comstock Homebuilding Companies, Inc. and changed its name to Comstock Holding Companies, Inc. in June 2012. Comstock Holding Companies, Inc. was founded in 1985 and is headquartered in Reston, Virginia.",152,"{'maxAge': 1, 'name': 'Mr. John E. Harrison', 'title': 'Exec. VP of Devel.', 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,4.28,4.28,4.229,4.5,4.28,4.28,4.229,4.5,0.0,1.070885,7.03125,6279,6279,6148,3390,3390,4.1,4.55,3200,1000,43405876,3.47,6.94,1.0495412,4.4338,4.4562,0.0,0.0,USD,41903860,0.1481,2869513,9425500,4554,10614,1690761600,1693440000,0.0005,0.6751,0.06342,0.52,0.0016,3.131,1.4372405,1672444800,1703980800,1688083200,-0.325,6229000,0.64,1:7,1443398400,1.013,5.453,NCM,EQUITY,CHCI,CHCI,"Comstock Holding Companies, Inc","Comstock Holding Companies, Inc.",1103034600,America/New_York,EDT,-14400000,4.5,none,9031000,0.936,7684000,7529000,4.268,4.424,41357000,24.932,4.334,0.11684,0.23148,11348000,3404500,6533000,-0.835,0.059,0.2697,0.1858,0.17975001,USD,
