,address1,city,state,zip,country,website,industry,sector,longBusinessSummary,companyOfficers,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,fiftyTwoWeekLow,fiftyTwoWeekHigh,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,profitMargins,lastSplitFactor,lastSplitDate,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationKey,grossMargins,ebitdaMargins,operatingMargins,trailingPegRatio
0,P.O. Box 117498,Carrollton,TX,75011,United States,https://alliedengycorp.com,Agricultural Inputs,Basic Materials,"Allied Energy Corporation, an oil and gas company, focuses on leasing and reworking oil and gas projects in Texas, the United States. It holds interests in a 325-acres Prometheus lease located in Garza County, Texas. The company also holds interests in the Annie Gilmer project covers an area of 300 acres and the Green Lease project cover an area of 890.7 acres. Allied Energy Corporation is based in Carrollton, Texas. As of June 14, 2022, Allied Energy Corporation operates as a subsidiary of Harvard Resources Inc.","{'maxAge': 1, 'name': 'Mr. George  Monteith', 'title': 'Chief Exec. Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,4,0.011,0.0135,0.008,0.0192,0.011,0.0135,0.008,0.0192,1051369,1051369,144310,322341,322341,0.0,0.0,0,0,0.005,0.136,0.0169944,0.0427648,0.0,0.0,USD,0.0,1:100,1327363200,PNK,EQUITY,AGYP,AGYP,ALLIED ENERGY CORPORATION NEVAD,Allied Energy Corporation,1257258600,America/New_York,EDT,-14400000,0.008,none,0.0,0.0,0.0,
1,P.O. Box 117498,Carrollton,TX,75011,United States,https://alliedengycorp.com,Agricultural Inputs,Basic Materials,"Allied Energy Corporation, an oil and gas company, focuses on leasing and reworking oil and gas projects in Texas, the United States. It holds interests in a 325-acres Prometheus lease located in Garza County, Texas. The company also holds interests in the Annie Gilmer project covers an area of 300 acres and the Green Lease project cover an area of 890.7 acres. Allied Energy Corporation is based in Carrollton, Texas. As of June 14, 2022, Allied Energy Corporation operates as a subsidiary of Harvard Resources Inc.","{'maxAge': 1, 'name': 'Mr. Scott A. Harris', 'title': 'Pres & Director', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,4,0.011,0.0135,0.008,0.0192,0.011,0.0135,0.008,0.0192,1051369,1051369,144310,322341,322341,0.0,0.0,0,0,0.005,0.136,0.0169944,0.0427648,0.0,0.0,USD,0.0,1:100,1327363200,PNK,EQUITY,AGYP,AGYP,ALLIED ENERGY CORPORATION NEVAD,Allied Energy Corporation,1257258600,America/New_York,EDT,-14400000,0.008,none,0.0,0.0,0.0,
