,address1,address2,city,state,zip,country,phone,fax,website,industry,sector,longBusinessSummary,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,fiveYearAvgDividendYield,beta,trailingPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,lastSplitFactor,lastSplitDate,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationKey,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,180 Flinders Street,Level 1,Melbourne,VIC,3000,Australia,61 4 3849 3692,18 0 0621 694,https://www.atlasarteria.com,Infrastructure Operations,Industrials,"Atlas Arteria Limited owns, develops, and operates toll roads. It holds a 13.4% interest in 22-kilometer toll road investors partnership II (TRIP II), the concessionaire for Dulles Greenway toll road located in Virginia, the United States. The company was formerly known as Macquarie Atlas Roads Limited and changed its name to Atlas Arteria Limited in May 2018. Atlas Arteria Limited was incorporated in 2009 and is based in Melbourne, Australia.","{'maxAge': 1, 'name': 'Mr. Graeme Francis Bevans', 'age': 64, 'title': 'MD, CEO & Exec. Director', 'yearBorn': 1958, 'fiscalYear': 2022, 'totalPay': 2025857, 'exercisedValue': 0, 'unexercisedValue': 0}",3,1,5,5,2,1693526400,1672444800,86400,4,3.66,3.8,3.66,3.91,3.66,3.8,3.66,3.91,0.27,0.0668,1679961600,1.7621001,4.36,0.721044,24.4,1621,1621,845,1010,1010,5423827456,3.53,5.01,36.23882,3.9724,4.33115,0.4,0.10928962,USD,7338706944,2.05159,1442559207,1450829952,0.22674,0.51816005,4.527,0.80848247,1672444800,1703980800,1688083200,0.315,307059008,0.15,1009:1000,1505433600,49.033,97.298,PNK,EQUITY,MAQAF,MAQAF,ATLAS ARTERIA,Atlas Arteria Limited,1287149400,America/New_York,EDT,-14400000,3.66,none,169400000,0.117,75425000,1699900032,1.392,1.476,149668992,25.99,0.113,0.00067000004,0.05243,368658000,19401124,89686000,-0.128,0.172,0.65871,0.50395,0.048639998,AUD,
1,180 Flinders Street,Level 1,Melbourne,VIC,3000,Australia,61 4 3849 3692,18 0 0621 694,https://www.atlasarteria.com,Infrastructure Operations,Industrials,"Atlas Arteria Limited owns, develops, and operates toll roads. It holds a 13.4% interest in 22-kilometer toll road investors partnership II (TRIP II), the concessionaire for Dulles Greenway toll road located in Virginia, the United States. The company was formerly known as Macquarie Atlas Roads Limited and changed its name to Atlas Arteria Limited in May 2018. Atlas Arteria Limited was incorporated in 2009 and is based in Melbourne, Australia.","{'maxAge': 1, 'name': 'Mr. David  Collins', 'title': 'Chief Financial Officer', 'fiscalYear': 2022, 'totalPay': 471654, 'exercisedValue': 0, 'unexercisedValue': 0}",3,1,5,5,2,1693526400,1672444800,86400,4,3.66,3.8,3.66,3.91,3.66,3.8,3.66,3.91,0.27,0.0668,1679961600,1.7621001,4.36,0.721044,24.4,1621,1621,845,1010,1010,5423827456,3.53,5.01,36.23882,3.9724,4.33115,0.4,0.10928962,USD,7338706944,2.05159,1442559207,1450829952,0.22674,0.51816005,4.527,0.80848247,1672444800,1703980800,1688083200,0.315,307059008,0.15,1009:1000,1505433600,49.033,97.298,PNK,EQUITY,MAQAF,MAQAF,ATLAS ARTERIA,Atlas Arteria Limited,1287149400,America/New_York,EDT,-14400000,3.66,none,169400000,0.117,75425000,1699900032,1.392,1.476,149668992,25.99,0.113,0.00067000004,0.05243,368658000,19401124,89686000,-0.128,0.172,0.65871,0.50395,0.048639998,AUD,
2,180 Flinders Street,Level 1,Melbourne,VIC,3000,Australia,61 4 3849 3692,18 0 0621 694,https://www.atlasarteria.com,Infrastructure Operations,Industrials,"Atlas Arteria Limited owns, develops, and operates toll roads. It holds a 13.4% interest in 22-kilometer toll road investors partnership II (TRIP II), the concessionaire for Dulles Greenway toll road located in Virginia, the United States. The company was formerly known as Macquarie Atlas Roads Limited and changed its name to Atlas Arteria Limited in May 2018. Atlas Arteria Limited was incorporated in 2009 and is based in Melbourne, Australia.","{'maxAge': 1, 'name': 'Mr. Vincent  Portal-Barrault', 'title': 'Chief Operating Officer', 'fiscalYear': 2022, 'totalPay': 806687, 'exercisedValue': 0, 'unexercisedValue': 0}",3,1,5,5,2,1693526400,1672444800,86400,4,3.66,3.8,3.66,3.91,3.66,3.8,3.66,3.91,0.27,0.0668,1679961600,1.7621001,4.36,0.721044,24.4,1621,1621,845,1010,1010,5423827456,3.53,5.01,36.23882,3.9724,4.33115,0.4,0.10928962,USD,7338706944,2.05159,1442559207,1450829952,0.22674,0.51816005,4.527,0.80848247,1672444800,1703980800,1688083200,0.315,307059008,0.15,1009:1000,1505433600,49.033,97.298,PNK,EQUITY,MAQAF,MAQAF,ATLAS ARTERIA,Atlas Arteria Limited,1287149400,America/New_York,EDT,-14400000,3.66,none,169400000,0.117,75425000,1699900032,1.392,1.476,149668992,25.99,0.113,0.00067000004,0.05243,368658000,19401124,89686000,-0.128,0.172,0.65871,0.50395,0.048639998,AUD,
3,180 Flinders Street,Level 1,Melbourne,VIC,3000,Australia,61 4 3849 3692,18 0 0621 694,https://www.atlasarteria.com,Infrastructure Operations,Industrials,"Atlas Arteria Limited owns, develops, and operates toll roads. It holds a 13.4% interest in 22-kilometer toll road investors partnership II (TRIP II), the concessionaire for Dulles Greenway toll road located in Virginia, the United States. The company was formerly known as Macquarie Atlas Roads Limited and changed its name to Atlas Arteria Limited in May 2018. Atlas Arteria Limited was incorporated in 2009 and is based in Melbourne, Australia.","{'maxAge': 1, 'name': 'Tess  Palmer', 'title': 'Director of Investor Relations', 'exercisedValue': 0, 'unexercisedValue': 0}",3,1,5,5,2,1693526400,1672444800,86400,4,3.66,3.8,3.66,3.91,3.66,3.8,3.66,3.91,0.27,0.0668,1679961600,1.7621001,4.36,0.721044,24.4,1621,1621,845,1010,1010,5423827456,3.53,5.01,36.23882,3.9724,4.33115,0.4,0.10928962,USD,7338706944,2.05159,1442559207,1450829952,0.22674,0.51816005,4.527,0.80848247,1672444800,1703980800,1688083200,0.315,307059008,0.15,1009:1000,1505433600,49.033,97.298,PNK,EQUITY,MAQAF,MAQAF,ATLAS ARTERIA,Atlas Arteria Limited,1287149400,America/New_York,EDT,-14400000,3.66,none,169400000,0.117,75425000,1699900032,1.392,1.476,149668992,25.99,0.113,0.00067000004,0.05243,368658000,19401124,89686000,-0.128,0.172,0.65871,0.50395,0.048639998,AUD,
4,180 Flinders Street,Level 1,Melbourne,VIC,3000,Australia,61 4 3849 3692,18 0 0621 694,https://www.atlasarteria.com,Infrastructure Operations,Industrials,"Atlas Arteria Limited owns, develops, and operates toll roads. It holds a 13.4% interest in 22-kilometer toll road investors partnership II (TRIP II), the concessionaire for Dulles Greenway toll road located in Virginia, the United States. The company was formerly known as Macquarie Atlas Roads Limited and changed its name to Atlas Arteria Limited in May 2018. Atlas Arteria Limited was incorporated in 2009 and is based in Melbourne, Australia.","{'maxAge': 1, 'name': 'Mr. Clayton John McCormack B.Com., BCom, L.L.B., LLB', 'title': 'Company Sec. & Gen. Counsel', 'exercisedValue': 0, 'unexercisedValue': 0}",3,1,5,5,2,1693526400,1672444800,86400,4,3.66,3.8,3.66,3.91,3.66,3.8,3.66,3.91,0.27,0.0668,1679961600,1.7621001,4.36,0.721044,24.4,1621,1621,845,1010,1010,5423827456,3.53,5.01,36.23882,3.9724,4.33115,0.4,0.10928962,USD,7338706944,2.05159,1442559207,1450829952,0.22674,0.51816005,4.527,0.80848247,1672444800,1703980800,1688083200,0.315,307059008,0.15,1009:1000,1505433600,49.033,97.298,PNK,EQUITY,MAQAF,MAQAF,ATLAS ARTERIA,Atlas Arteria Limited,1287149400,America/New_York,EDT,-14400000,3.66,none,169400000,0.117,75425000,1699900032,1.392,1.476,149668992,25.99,0.113,0.00067000004,0.05243,368658000,19401124,89686000,-0.128,0.172,0.65871,0.50395,0.048639998,AUD,
5,180 Flinders Street,Level 1,Melbourne,VIC,3000,Australia,61 4 3849 3692,18 0 0621 694,https://www.atlasarteria.com,Infrastructure Operations,Industrials,"Atlas Arteria Limited owns, develops, and operates toll roads. It holds a 13.4% interest in 22-kilometer toll road investors partnership II (TRIP II), the concessionaire for Dulles Greenway toll road located in Virginia, the United States. The company was formerly known as Macquarie Atlas Roads Limited and changed its name to Atlas Arteria Limited in May 2018. Atlas Arteria Limited was incorporated in 2009 and is based in Melbourne, Australia.","{'maxAge': 1, 'name': 'Navleen  Prasad', 'title': 'Public Affairs Mang.', 'exercisedValue': 0, 'unexercisedValue': 0}",3,1,5,5,2,1693526400,1672444800,86400,4,3.66,3.8,3.66,3.91,3.66,3.8,3.66,3.91,0.27,0.0668,1679961600,1.7621001,4.36,0.721044,24.4,1621,1621,845,1010,1010,5423827456,3.53,5.01,36.23882,3.9724,4.33115,0.4,0.10928962,USD,7338706944,2.05159,1442559207,1450829952,0.22674,0.51816005,4.527,0.80848247,1672444800,1703980800,1688083200,0.315,307059008,0.15,1009:1000,1505433600,49.033,97.298,PNK,EQUITY,MAQAF,MAQAF,ATLAS ARTERIA,Atlas Arteria Limited,1287149400,America/New_York,EDT,-14400000,3.66,none,169400000,0.117,75425000,1699900032,1.392,1.476,149668992,25.99,0.113,0.00067000004,0.05243,368658000,19401124,89686000,-0.128,0.172,0.65871,0.50395,0.048639998,AUD,
6,180 Flinders Street,Level 1,Melbourne,VIC,3000,Australia,61 4 3849 3692,18 0 0621 694,https://www.atlasarteria.com,Infrastructure Operations,Industrials,"Atlas Arteria Limited owns, develops, and operates toll roads. It holds a 13.4% interest in 22-kilometer toll road investors partnership II (TRIP II), the concessionaire for Dulles Greenway toll road located in Virginia, the United States. The company was formerly known as Macquarie Atlas Roads Limited and changed its name to Atlas Arteria Limited in May 2018. Atlas Arteria Limited was incorporated in 2009 and is based in Melbourne, Australia.","{'maxAge': 1, 'name': 'Jim  Dickson', 'title': 'Corp. Devel. & Strategy Exec.', 'exercisedValue': 0, 'unexercisedValue': 0}",3,1,5,5,2,1693526400,1672444800,86400,4,3.66,3.8,3.66,3.91,3.66,3.8,3.66,3.91,0.27,0.0668,1679961600,1.7621001,4.36,0.721044,24.4,1621,1621,845,1010,1010,5423827456,3.53,5.01,36.23882,3.9724,4.33115,0.4,0.10928962,USD,7338706944,2.05159,1442559207,1450829952,0.22674,0.51816005,4.527,0.80848247,1672444800,1703980800,1688083200,0.315,307059008,0.15,1009:1000,1505433600,49.033,97.298,PNK,EQUITY,MAQAF,MAQAF,ATLAS ARTERIA,Atlas Arteria Limited,1287149400,America/New_York,EDT,-14400000,3.66,none,169400000,0.117,75425000,1699900032,1.392,1.476,149668992,25.99,0.113,0.00067000004,0.05243,368658000,19401124,89686000,-0.128,0.172,0.65871,0.50395,0.048639998,AUD,
7,180 Flinders Street,Level 1,Melbourne,VIC,3000,Australia,61 4 3849 3692,18 0 0621 694,https://www.atlasarteria.com,Infrastructure Operations,Industrials,"Atlas Arteria Limited owns, develops, and operates toll roads. It holds a 13.4% interest in 22-kilometer toll road investors partnership II (TRIP II), the concessionaire for Dulles Greenway toll road located in Virginia, the United States. The company was formerly known as Macquarie Atlas Roads Limited and changed its name to Atlas Arteria Limited in May 2018. Atlas Arteria Limited was incorporated in 2009 and is based in Melbourne, Australia.","{'maxAge': 1, 'name': 'Ms. Catherine  Brain', 'title': 'Group Exec. of People & Culture', 'exercisedValue': 0, 'unexercisedValue': 0}",3,1,5,5,2,1693526400,1672444800,86400,4,3.66,3.8,3.66,3.91,3.66,3.8,3.66,3.91,0.27,0.0668,1679961600,1.7621001,4.36,0.721044,24.4,1621,1621,845,1010,1010,5423827456,3.53,5.01,36.23882,3.9724,4.33115,0.4,0.10928962,USD,7338706944,2.05159,1442559207,1450829952,0.22674,0.51816005,4.527,0.80848247,1672444800,1703980800,1688083200,0.315,307059008,0.15,1009:1000,1505433600,49.033,97.298,PNK,EQUITY,MAQAF,MAQAF,ATLAS ARTERIA,Atlas Arteria Limited,1287149400,America/New_York,EDT,-14400000,3.66,none,169400000,0.117,75425000,1699900032,1.392,1.476,149668992,25.99,0.113,0.00067000004,0.05243,368658000,19401124,89686000,-0.128,0.172,0.65871,0.50395,0.048639998,AUD,
8,180 Flinders Street,Level 1,Melbourne,VIC,3000,Australia,61 4 3849 3692,18 0 0621 694,https://www.atlasarteria.com,Infrastructure Operations,Industrials,"Atlas Arteria Limited owns, develops, and operates toll roads. It holds a 13.4% interest in 22-kilometer toll road investors partnership II (TRIP II), the concessionaire for Dulles Greenway toll road located in Virginia, the United States. The company was formerly known as Macquarie Atlas Roads Limited and changed its name to Atlas Arteria Limited in May 2018. Atlas Arteria Limited was incorporated in 2009 and is based in Melbourne, Australia.","{'maxAge': 1, 'name': 'Mr. Paul  Lynch B.Com., L.L.B.', 'title': 'Joint Company Sec.', 'exercisedValue': 0, 'unexercisedValue': 0}",3,1,5,5,2,1693526400,1672444800,86400,4,3.66,3.8,3.66,3.91,3.66,3.8,3.66,3.91,0.27,0.0668,1679961600,1.7621001,4.36,0.721044,24.4,1621,1621,845,1010,1010,5423827456,3.53,5.01,36.23882,3.9724,4.33115,0.4,0.10928962,USD,7338706944,2.05159,1442559207,1450829952,0.22674,0.51816005,4.527,0.80848247,1672444800,1703980800,1688083200,0.315,307059008,0.15,1009:1000,1505433600,49.033,97.298,PNK,EQUITY,MAQAF,MAQAF,ATLAS ARTERIA,Atlas Arteria Limited,1287149400,America/New_York,EDT,-14400000,3.66,none,169400000,0.117,75425000,1699900032,1.392,1.476,149668992,25.99,0.113,0.00067000004,0.05243,368658000,19401124,89686000,-0.128,0.172,0.65871,0.50395,0.048639998,AUD,
9,180 Flinders Street,Level 1,Melbourne,VIC,3000,Australia,61 4 3849 3692,18 0 0621 694,https://www.atlasarteria.com,Infrastructure Operations,Industrials,"Atlas Arteria Limited owns, develops, and operates toll roads. It holds a 13.4% interest in 22-kilometer toll road investors partnership II (TRIP II), the concessionaire for Dulles Greenway toll road located in Virginia, the United States. The company was formerly known as Macquarie Atlas Roads Limited and changed its name to Atlas Arteria Limited in May 2018. Atlas Arteria Limited was incorporated in 2009 and is based in Melbourne, Australia.","{'maxAge': 1, 'name': 'Mr. Ryan  Reynolds C.F.A.', 'title': 'Specialist of Forecasting and Analysis', 'exercisedValue': 0, 'unexercisedValue': 0}",3,1,5,5,2,1693526400,1672444800,86400,4,3.66,3.8,3.66,3.91,3.66,3.8,3.66,3.91,0.27,0.0668,1679961600,1.7621001,4.36,0.721044,24.4,1621,1621,845,1010,1010,5423827456,3.53,5.01,36.23882,3.9724,4.33115,0.4,0.10928962,USD,7338706944,2.05159,1442559207,1450829952,0.22674,0.51816005,4.527,0.80848247,1672444800,1703980800,1688083200,0.315,307059008,0.15,1009:1000,1505433600,49.033,97.298,PNK,EQUITY,MAQAF,MAQAF,ATLAS ARTERIA,Atlas Arteria Limited,1287149400,America/New_York,EDT,-14400000,3.66,none,169400000,0.117,75425000,1699900032,1.392,1.476,149668992,25.99,0.113,0.00067000004,0.05243,368658000,19401124,89686000,-0.128,0.172,0.65871,0.50395,0.048639998,AUD,
