,address1,address2,city,zip,country,phone,fax,website,industry,sector,longBusinessSummary,companyOfficers,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,payoutRatio,beta,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,sharesOutstanding,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,netIncomeToCommon,trailingEps,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationKey,ebitda,quickRatio,currentRatio,totalRevenue,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,47-49 Rue Cartier Bresson,rue Charles Delescluze,Pantin,93500,France,33 1 41 58 17 17,33 1 41 58 18 32,https://www.bodyone.fr,Apparel Manufacturing,Consumer Cyclical,"Body One SA operates an online apparel for ladies. It offers bottoms, lingerie, shorts, trousers, bikinis, and sportswear. The company was founded in 1998 and is based in Pantin, France.","{'maxAge': 1, 'name': 'Mr. Ariel  Amsellem', 'title': 'Chairman, CEO, Pres & Gen. Director', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,4,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.0,-0.016516,316,316,43,0,0,0.58,0.68,30000,10000,1321600,0.197,0.41,0.115607955,0.34604,0.36715,0.0,0.0,EUR,1321600,0.051659998,3776000,0.695,0.50359714,1112227200,1143763200,590537,-0.04,0.116,0.88,PAR,EQUITY,MLONE.PA,MLONE.PA,BODY ONE,Body One SA,1098342000,Europe/Paris,CEST,7200000,0.35,none,1502428,1.0,1.505,11431739,3.027,0.11062,0.33598998,3153166,0.27582002,0.13143,0.10662,EUR,
1,47-49 Rue Cartier Bresson,rue Charles Delescluze,Pantin,93500,France,33 1 41 58 17 17,33 1 41 58 18 32,https://www.bodyone.fr,Apparel Manufacturing,Consumer Cyclical,"Body One SA operates an online apparel for ladies. It offers bottoms, lingerie, shorts, trousers, bikinis, and sportswear. The company was founded in 1998 and is based in Pantin, France.","{'maxAge': 1, 'name': 'Mr. Daniel  Angel', 'title': 'Chief Financial Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,4,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.0,-0.016516,316,316,43,0,0,0.58,0.68,30000,10000,1321600,0.197,0.41,0.115607955,0.34604,0.36715,0.0,0.0,EUR,1321600,0.051659998,3776000,0.695,0.50359714,1112227200,1143763200,590537,-0.04,0.116,0.88,PAR,EQUITY,MLONE.PA,MLONE.PA,BODY ONE,Body One SA,1098342000,Europe/Paris,CEST,7200000,0.35,none,1502428,1.0,1.505,11431739,3.027,0.11062,0.33598998,3153166,0.27582002,0.13143,0.10662,EUR,
2,47-49 Rue Cartier Bresson,rue Charles Delescluze,Pantin,93500,France,33 1 41 58 17 17,33 1 41 58 18 32,https://www.bodyone.fr,Apparel Manufacturing,Consumer Cyclical,"Body One SA operates an online apparel for ladies. It offers bottoms, lingerie, shorts, trousers, bikinis, and sportswear. The company was founded in 1998 and is based in Pantin, France.","{'maxAge': 1, 'name': 'Steeve  Amsellem', 'title': 'Marketing & Communication Director', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,4,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.0,-0.016516,316,316,43,0,0,0.58,0.68,30000,10000,1321600,0.197,0.41,0.115607955,0.34604,0.36715,0.0,0.0,EUR,1321600,0.051659998,3776000,0.695,0.50359714,1112227200,1143763200,590537,-0.04,0.116,0.88,PAR,EQUITY,MLONE.PA,MLONE.PA,BODY ONE,Body One SA,1098342000,Europe/Paris,CEST,7200000,0.35,none,1502428,1.0,1.505,11431739,3.027,0.11062,0.33598998,3153166,0.27582002,0.13143,0.10662,EUR,
