,address1,address2,city,zip,country,phone,fax,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,exDividendDate,payoutRatio,beta,trailingPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationKey,totalCash,totalCashPerShare,ebitda,totalDebt,totalRevenue,debtToEquity,revenuePerShare,grossProfits,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,"5, Bentinck Street",1st Floor,Kolkata,700001,India,91 33 2248 9808,91 33 2243 0021,https://jaibalajigroup.com,Steel,Basic Materials,"Jai Balaji Industries Limited manufactures and markets iron and steel products primarily in India. The company provides sponge iron, pig iron, DRI, ductile iron pipes, ferro chrome, TMT bars, coke, steel bars/rods, sinter, ornamental steel grills, Portland slag cement, ferro alloys, and alloy carbon and mild steel billets and rounds. It offers its TMT bars under the Balaji Shakti brand. The company also exports its products. Jai Balaji Industries Limited was incorporated in 1999 and is based in Kolkata, India.",3675,"{'maxAge': 1, 'name': 'Mr. Rajiv  Jajodia', 'age': 57, 'title': 'Whole-Time Promoter Exec. Director', 'yearBorn': 1965, 'fiscalYear': 2023, 'totalPay': 15000, 'exercisedValue': 0, 'unexercisedValue': 0}",1703980800,86400,2,359.65,376.9,370.05,377.6,359.65,376.9,370.05,377.6,1316044800,0.0,0.69714,29.068516,959563,959563,696351,618724,618724,0.0,0.0,0,0,60585922560,35.8,377.6,0.99111485,209.96,96.93025,0.0,0.0,INR,64838287360,0.033770002,48648884,160450000,0.83629996,0.0,38.231,9.876802,1680220800,1711843200,1688083200,6.812,2064428032,12.99,1.061,15.969,NSI,EQUITY,JAIBALAJI.NS,JAIBALAJI.NS,JAI BALAJI IND,Jai Balaji Industries Limited,1070941500,Asia/Kolkata,IST,19800000,377.6,none,514884000,3.426,4060251648,8603653120,61129064448,154.722,440.334,17955669000,3.928,-0.008,0.30909002,0.066420004,0.05012,INR,
1,"5, Bentinck Street",1st Floor,Kolkata,700001,India,91 33 2248 9808,91 33 2243 0021,https://jaibalajigroup.com,Steel,Basic Materials,"Jai Balaji Industries Limited manufactures and markets iron and steel products primarily in India. The company provides sponge iron, pig iron, DRI, ductile iron pipes, ferro chrome, TMT bars, coke, steel bars/rods, sinter, ornamental steel grills, Portland slag cement, ferro alloys, and alloy carbon and mild steel billets and rounds. It offers its TMT bars under the Balaji Shakti brand. The company also exports its products. Jai Balaji Industries Limited was incorporated in 1999 and is based in Kolkata, India.",3675,"{'maxAge': 1, 'name': 'Mr. Gaurav  Jajodia', 'age': 42, 'title': 'Whole-Time Promoter Exec. Director', 'yearBorn': 1980, 'fiscalYear': 2023, 'totalPay': 15000, 'exercisedValue': 0, 'unexercisedValue': 0}",1703980800,86400,2,359.65,376.9,370.05,377.6,359.65,376.9,370.05,377.6,1316044800,0.0,0.69714,29.068516,959563,959563,696351,618724,618724,0.0,0.0,0,0,60585922560,35.8,377.6,0.99111485,209.96,96.93025,0.0,0.0,INR,64838287360,0.033770002,48648884,160450000,0.83629996,0.0,38.231,9.876802,1680220800,1711843200,1688083200,6.812,2064428032,12.99,1.061,15.969,NSI,EQUITY,JAIBALAJI.NS,JAIBALAJI.NS,JAI BALAJI IND,Jai Balaji Industries Limited,1070941500,Asia/Kolkata,IST,19800000,377.6,none,514884000,3.426,4060251648,8603653120,61129064448,154.722,440.334,17955669000,3.928,-0.008,0.30909002,0.066420004,0.05012,INR,
2,"5, Bentinck Street",1st Floor,Kolkata,700001,India,91 33 2248 9808,91 33 2243 0021,https://jaibalajigroup.com,Steel,Basic Materials,"Jai Balaji Industries Limited manufactures and markets iron and steel products primarily in India. The company provides sponge iron, pig iron, DRI, ductile iron pipes, ferro chrome, TMT bars, coke, steel bars/rods, sinter, ornamental steel grills, Portland slag cement, ferro alloys, and alloy carbon and mild steel billets and rounds. It offers its TMT bars under the Balaji Shakti brand. The company also exports its products. Jai Balaji Industries Limited was incorporated in 1999 and is based in Kolkata, India.",3675,"{'maxAge': 1, 'name': 'Mr. Aditya  Jajodia', 'age': 52, 'title': 'Promoter Exec. Chairman & MD', 'yearBorn': 1970, 'fiscalYear': 2017, 'exercisedValue': 0, 'unexercisedValue': 0}",1703980800,86400,2,359.65,376.9,370.05,377.6,359.65,376.9,370.05,377.6,1316044800,0.0,0.69714,29.068516,959563,959563,696351,618724,618724,0.0,0.0,0,0,60585922560,35.8,377.6,0.99111485,209.96,96.93025,0.0,0.0,INR,64838287360,0.033770002,48648884,160450000,0.83629996,0.0,38.231,9.876802,1680220800,1711843200,1688083200,6.812,2064428032,12.99,1.061,15.969,NSI,EQUITY,JAIBALAJI.NS,JAIBALAJI.NS,JAI BALAJI IND,Jai Balaji Industries Limited,1070941500,Asia/Kolkata,IST,19800000,377.6,none,514884000,3.426,4060251648,8603653120,61129064448,154.722,440.334,17955669000,3.928,-0.008,0.30909002,0.066420004,0.05012,INR,
3,"5, Bentinck Street",1st Floor,Kolkata,700001,India,91 33 2248 9808,91 33 2243 0021,https://jaibalajigroup.com,Steel,Basic Materials,"Jai Balaji Industries Limited manufactures and markets iron and steel products primarily in India. The company provides sponge iron, pig iron, DRI, ductile iron pipes, ferro chrome, TMT bars, coke, steel bars/rods, sinter, ornamental steel grills, Portland slag cement, ferro alloys, and alloy carbon and mild steel billets and rounds. It offers its TMT bars under the Balaji Shakti brand. The company also exports its products. Jai Balaji Industries Limited was incorporated in 1999 and is based in Kolkata, India.",3675,"{'maxAge': 1, 'name': 'Mr. Sanjiv  Jajodia', 'age': 59, 'title': 'CFO & Whole Time Promoter Exec. Director', 'yearBorn': 1963, 'fiscalYear': 2017, 'exercisedValue': 0, 'unexercisedValue': 0}",1703980800,86400,2,359.65,376.9,370.05,377.6,359.65,376.9,370.05,377.6,1316044800,0.0,0.69714,29.068516,959563,959563,696351,618724,618724,0.0,0.0,0,0,60585922560,35.8,377.6,0.99111485,209.96,96.93025,0.0,0.0,INR,64838287360,0.033770002,48648884,160450000,0.83629996,0.0,38.231,9.876802,1680220800,1711843200,1688083200,6.812,2064428032,12.99,1.061,15.969,NSI,EQUITY,JAIBALAJI.NS,JAIBALAJI.NS,JAI BALAJI IND,Jai Balaji Industries Limited,1070941500,Asia/Kolkata,IST,19800000,377.6,none,514884000,3.426,4060251648,8603653120,61129064448,154.722,440.334,17955669000,3.928,-0.008,0.30909002,0.066420004,0.05012,INR,
4,"5, Bentinck Street",1st Floor,Kolkata,700001,India,91 33 2248 9808,91 33 2243 0021,https://jaibalajigroup.com,Steel,Basic Materials,"Jai Balaji Industries Limited manufactures and markets iron and steel products primarily in India. The company provides sponge iron, pig iron, DRI, ductile iron pipes, ferro chrome, TMT bars, coke, steel bars/rods, sinter, ornamental steel grills, Portland slag cement, ferro alloys, and alloy carbon and mild steel billets and rounds. It offers its TMT bars under the Balaji Shakti brand. The company also exports its products. Jai Balaji Industries Limited was incorporated in 1999 and is based in Kolkata, India.",3675,"{'maxAge': 1, 'name': 'Chaturmukha  Pattnaik', 'age': 70, 'title': 'Exec. Director of Projects and Technology', 'yearBorn': 1952, 'exercisedValue': 0, 'unexercisedValue': 0}",1703980800,86400,2,359.65,376.9,370.05,377.6,359.65,376.9,370.05,377.6,1316044800,0.0,0.69714,29.068516,959563,959563,696351,618724,618724,0.0,0.0,0,0,60585922560,35.8,377.6,0.99111485,209.96,96.93025,0.0,0.0,INR,64838287360,0.033770002,48648884,160450000,0.83629996,0.0,38.231,9.876802,1680220800,1711843200,1688083200,6.812,2064428032,12.99,1.061,15.969,NSI,EQUITY,JAIBALAJI.NS,JAIBALAJI.NS,JAI BALAJI IND,Jai Balaji Industries Limited,1070941500,Asia/Kolkata,IST,19800000,377.6,none,514884000,3.426,4060251648,8603653120,61129064448,154.722,440.334,17955669000,3.928,-0.008,0.30909002,0.066420004,0.05012,INR,
5,"5, Bentinck Street",1st Floor,Kolkata,700001,India,91 33 2248 9808,91 33 2243 0021,https://jaibalajigroup.com,Steel,Basic Materials,"Jai Balaji Industries Limited manufactures and markets iron and steel products primarily in India. The company provides sponge iron, pig iron, DRI, ductile iron pipes, ferro chrome, TMT bars, coke, steel bars/rods, sinter, ornamental steel grills, Portland slag cement, ferro alloys, and alloy carbon and mild steel billets and rounds. It offers its TMT bars under the Balaji Shakti brand. The company also exports its products. Jai Balaji Industries Limited was incorporated in 1999 and is based in Kolkata, India.",3675,"{'maxAge': 1, 'name': 'Alok  Pandey', 'title': 'Associate VP of HR & Admin', 'exercisedValue': 0, 'unexercisedValue': 0}",1703980800,86400,2,359.65,376.9,370.05,377.6,359.65,376.9,370.05,377.6,1316044800,0.0,0.69714,29.068516,959563,959563,696351,618724,618724,0.0,0.0,0,0,60585922560,35.8,377.6,0.99111485,209.96,96.93025,0.0,0.0,INR,64838287360,0.033770002,48648884,160450000,0.83629996,0.0,38.231,9.876802,1680220800,1711843200,1688083200,6.812,2064428032,12.99,1.061,15.969,NSI,EQUITY,JAIBALAJI.NS,JAIBALAJI.NS,JAI BALAJI IND,Jai Balaji Industries Limited,1070941500,Asia/Kolkata,IST,19800000,377.6,none,514884000,3.426,4060251648,8603653120,61129064448,154.722,440.334,17955669000,3.928,-0.008,0.30909002,0.066420004,0.05012,INR,
6,"5, Bentinck Street",1st Floor,Kolkata,700001,India,91 33 2248 9808,91 33 2243 0021,https://jaibalajigroup.com,Steel,Basic Materials,"Jai Balaji Industries Limited manufactures and markets iron and steel products primarily in India. The company provides sponge iron, pig iron, DRI, ductile iron pipes, ferro chrome, TMT bars, coke, steel bars/rods, sinter, ornamental steel grills, Portland slag cement, ferro alloys, and alloy carbon and mild steel billets and rounds. It offers its TMT bars under the Balaji Shakti brand. The company also exports its products. Jai Balaji Industries Limited was incorporated in 1999 and is based in Kolkata, India.",3675,"{'maxAge': 1, 'name': 'Mr. Ajay Kumar Tantia', 'title': 'Compliance Officer & Company Sec.', 'exercisedValue': 0, 'unexercisedValue': 0}",1703980800,86400,2,359.65,376.9,370.05,377.6,359.65,376.9,370.05,377.6,1316044800,0.0,0.69714,29.068516,959563,959563,696351,618724,618724,0.0,0.0,0,0,60585922560,35.8,377.6,0.99111485,209.96,96.93025,0.0,0.0,INR,64838287360,0.033770002,48648884,160450000,0.83629996,0.0,38.231,9.876802,1680220800,1711843200,1688083200,6.812,2064428032,12.99,1.061,15.969,NSI,EQUITY,JAIBALAJI.NS,JAIBALAJI.NS,JAI BALAJI IND,Jai Balaji Industries Limited,1070941500,Asia/Kolkata,IST,19800000,377.6,none,514884000,3.426,4060251648,8603653120,61129064448,154.722,440.334,17955669000,3.928,-0.008,0.30909002,0.066420004,0.05012,INR,
7,"5, Bentinck Street",1st Floor,Kolkata,700001,India,91 33 2248 9808,91 33 2243 0021,https://jaibalajigroup.com,Steel,Basic Materials,"Jai Balaji Industries Limited manufactures and markets iron and steel products primarily in India. The company provides sponge iron, pig iron, DRI, ductile iron pipes, ferro chrome, TMT bars, coke, steel bars/rods, sinter, ornamental steel grills, Portland slag cement, ferro alloys, and alloy carbon and mild steel billets and rounds. It offers its TMT bars under the Balaji Shakti brand. The company also exports its products. Jai Balaji Industries Limited was incorporated in 1999 and is based in Kolkata, India.",3675,"{'maxAge': 1, 'name': 'Sujoy Kanti Bagchi', 'title': 'Pres of Sales & Marketing', 'exercisedValue': 0, 'unexercisedValue': 0}",1703980800,86400,2,359.65,376.9,370.05,377.6,359.65,376.9,370.05,377.6,1316044800,0.0,0.69714,29.068516,959563,959563,696351,618724,618724,0.0,0.0,0,0,60585922560,35.8,377.6,0.99111485,209.96,96.93025,0.0,0.0,INR,64838287360,0.033770002,48648884,160450000,0.83629996,0.0,38.231,9.876802,1680220800,1711843200,1688083200,6.812,2064428032,12.99,1.061,15.969,NSI,EQUITY,JAIBALAJI.NS,JAIBALAJI.NS,JAI BALAJI IND,Jai Balaji Industries Limited,1070941500,Asia/Kolkata,IST,19800000,377.6,none,514884000,3.426,4060251648,8603653120,61129064448,154.722,440.334,17955669000,3.928,-0.008,0.30909002,0.066420004,0.05012,INR,
8,"5, Bentinck Street",1st Floor,Kolkata,700001,India,91 33 2248 9808,91 33 2243 0021,https://jaibalajigroup.com,Steel,Basic Materials,"Jai Balaji Industries Limited manufactures and markets iron and steel products primarily in India. The company provides sponge iron, pig iron, DRI, ductile iron pipes, ferro chrome, TMT bars, coke, steel bars/rods, sinter, ornamental steel grills, Portland slag cement, ferro alloys, and alloy carbon and mild steel billets and rounds. It offers its TMT bars under the Balaji Shakti brand. The company also exports its products. Jai Balaji Industries Limited was incorporated in 1999 and is based in Kolkata, India.",3675,"{'maxAge': 1, 'name': 'Mr. Bimal Kumar Choudhary', 'age': 70, 'title': 'Non Promoter Exec. Director', 'yearBorn': 1952, 'exercisedValue': 0, 'unexercisedValue': 0}",1703980800,86400,2,359.65,376.9,370.05,377.6,359.65,376.9,370.05,377.6,1316044800,0.0,0.69714,29.068516,959563,959563,696351,618724,618724,0.0,0.0,0,0,60585922560,35.8,377.6,0.99111485,209.96,96.93025,0.0,0.0,INR,64838287360,0.033770002,48648884,160450000,0.83629996,0.0,38.231,9.876802,1680220800,1711843200,1688083200,6.812,2064428032,12.99,1.061,15.969,NSI,EQUITY,JAIBALAJI.NS,JAIBALAJI.NS,JAI BALAJI IND,Jai Balaji Industries Limited,1070941500,Asia/Kolkata,IST,19800000,377.6,none,514884000,3.426,4060251648,8603653120,61129064448,154.722,440.334,17955669000,3.928,-0.008,0.30909002,0.066420004,0.05012,INR,
9,"5, Bentinck Street",1st Floor,Kolkata,700001,India,91 33 2248 9808,91 33 2243 0021,https://jaibalajigroup.com,Steel,Basic Materials,"Jai Balaji Industries Limited manufactures and markets iron and steel products primarily in India. The company provides sponge iron, pig iron, DRI, ductile iron pipes, ferro chrome, TMT bars, coke, steel bars/rods, sinter, ornamental steel grills, Portland slag cement, ferro alloys, and alloy carbon and mild steel billets and rounds. It offers its TMT bars under the Balaji Shakti brand. The company also exports its products. Jai Balaji Industries Limited was incorporated in 1999 and is based in Kolkata, India.",3675,"{'maxAge': 1, 'name': 'Babu Swadesh Sharma', 'title': 'Sr. Pres - Plant Head (Unit \x96III)', 'exercisedValue': 0, 'unexercisedValue': 0}",1703980800,86400,2,359.65,376.9,370.05,377.6,359.65,376.9,370.05,377.6,1316044800,0.0,0.69714,29.068516,959563,959563,696351,618724,618724,0.0,0.0,0,0,60585922560,35.8,377.6,0.99111485,209.96,96.93025,0.0,0.0,INR,64838287360,0.033770002,48648884,160450000,0.83629996,0.0,38.231,9.876802,1680220800,1711843200,1688083200,6.812,2064428032,12.99,1.061,15.969,NSI,EQUITY,JAIBALAJI.NS,JAIBALAJI.NS,JAI BALAJI IND,Jai Balaji Industries Limited,1070941500,Asia/Kolkata,IST,19800000,377.6,none,514884000,3.426,4060251648,8603653120,61129064448,154.722,440.334,17955669000,3.928,-0.008,0.30909002,0.066420004,0.05012,INR,
