,address1,address2,city,state,zip,country,phone,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,payoutRatio,beta,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,shortRatio,shortPercentOfFloat,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,forwardEps,pegRatio,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,11605 North Community House Road,Suite 300,Charlotte,NC,28277,United States,888 440 4826,https://www.paymentus.com,Software—Infrastructure,Technology,"Paymentus Holdings, Inc. provides cloud-based bill payment technology and solutions. The company offers electronic bill presentment and payment services, enterprise customer communication, and self-service revenue management to billers and financial institutions through a software-as-a-service technology platform. It serves utility, financial service, insurance, government, telecommunication, and healthcare industries. The company was founded in 2004 and is headquartered in Charlotte, North Carolina.",1260,"{'maxAge': 1, 'name': 'Mr. Dushyant  Sharma', 'age': 53, 'title': 'Chairman, Pres & CEO', 'yearBorn': 1969, 'fiscalYear': 2022, 'totalPay': 607690, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,2,15.86,15.63,15.63,16.225,15.86,15.63,15.63,16.225,0.0,1.488938,269.0,67.25,88154,88154,84130,88140,88140,15.2,17.1,1100,1800,1993515904,6.75,16.225,3.575204,12.931,9.8838,0.0,0.0,USD,1845316864,0.012130001,16621287,20207200,880816,839825,1690761600,1693440000,0.0070999996,0.092659995,0.79528,7.21,0.1126,3.307,4.880556,1672444800,1703980800,1688083200,6763000,0.06,0.24,2.39,3.309,135.615,NYQ,EQUITY,PAY,PAY,"Paymentus Holdings, Inc.","Paymentus Holdings, Inc.",1622035800,America/New_York,EDT,-14400000,16.14,15.0,11.0,13.29,14.0,2.3,buy,7,159068000,1.288,13607000,10868000,4.516,4.702,557595008,2.661,4.528,0.00543,0.01698,149678000,-4879250,44019000,0.241,0.2958,0.024400001,0.00764,USD,
1,11605 North Community House Road,Suite 300,Charlotte,NC,28277,United States,888 440 4826,https://www.paymentus.com,Software—Infrastructure,Technology,"Paymentus Holdings, Inc. provides cloud-based bill payment technology and solutions. The company offers electronic bill presentment and payment services, enterprise customer communication, and self-service revenue management to billers and financial institutions through a software-as-a-service technology platform. It serves utility, financial service, insurance, government, telecommunication, and healthcare industries. The company was founded in 2004 and is headquartered in Charlotte, North Carolina.",1260,"{'maxAge': 1, 'name': 'Mr. Andrew A. Gerber Esq.', 'age': 54, 'title': 'Gen. Counsel & Sec.', 'yearBorn': 1968, 'fiscalYear': 2022, 'totalPay': 523739, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,2,15.86,15.63,15.63,16.225,15.86,15.63,15.63,16.225,0.0,1.488938,269.0,67.25,88154,88154,84130,88140,88140,15.2,17.1,1100,1800,1993515904,6.75,16.225,3.575204,12.931,9.8838,0.0,0.0,USD,1845316864,0.012130001,16621287,20207200,880816,839825,1690761600,1693440000,0.0070999996,0.092659995,0.79528,7.21,0.1126,3.307,4.880556,1672444800,1703980800,1688083200,6763000,0.06,0.24,2.39,3.309,135.615,NYQ,EQUITY,PAY,PAY,"Paymentus Holdings, Inc.","Paymentus Holdings, Inc.",1622035800,America/New_York,EDT,-14400000,16.14,15.0,11.0,13.29,14.0,2.3,buy,7,159068000,1.288,13607000,10868000,4.516,4.702,557595008,2.661,4.528,0.00543,0.01698,149678000,-4879250,44019000,0.241,0.2958,0.024400001,0.00764,USD,
2,11605 North Community House Road,Suite 300,Charlotte,NC,28277,United States,888 440 4826,https://www.paymentus.com,Software—Infrastructure,Technology,"Paymentus Holdings, Inc. provides cloud-based bill payment technology and solutions. The company offers electronic bill presentment and payment services, enterprise customer communication, and self-service revenue management to billers and financial institutions through a software-as-a-service technology platform. It serves utility, financial service, insurance, government, telecommunication, and healthcare industries. The company was founded in 2004 and is headquartered in Charlotte, North Carolina.",1260,"{'maxAge': 1, 'name': 'Mr. Gerasimos  Portocalis', 'age': 57, 'title': 'Chief Commercial Officer', 'yearBorn': 1965, 'fiscalYear': 2022, 'totalPay': 642123, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,2,15.86,15.63,15.63,16.225,15.86,15.63,15.63,16.225,0.0,1.488938,269.0,67.25,88154,88154,84130,88140,88140,15.2,17.1,1100,1800,1993515904,6.75,16.225,3.575204,12.931,9.8838,0.0,0.0,USD,1845316864,0.012130001,16621287,20207200,880816,839825,1690761600,1693440000,0.0070999996,0.092659995,0.79528,7.21,0.1126,3.307,4.880556,1672444800,1703980800,1688083200,6763000,0.06,0.24,2.39,3.309,135.615,NYQ,EQUITY,PAY,PAY,"Paymentus Holdings, Inc.","Paymentus Holdings, Inc.",1622035800,America/New_York,EDT,-14400000,16.14,15.0,11.0,13.29,14.0,2.3,buy,7,159068000,1.288,13607000,10868000,4.516,4.702,557595008,2.661,4.528,0.00543,0.01698,149678000,-4879250,44019000,0.241,0.2958,0.024400001,0.00764,USD,
3,11605 North Community House Road,Suite 300,Charlotte,NC,28277,United States,888 440 4826,https://www.paymentus.com,Software—Infrastructure,Technology,"Paymentus Holdings, Inc. provides cloud-based bill payment technology and solutions. The company offers electronic bill presentment and payment services, enterprise customer communication, and self-service revenue management to billers and financial institutions through a software-as-a-service technology platform. It serves utility, financial service, insurance, government, telecommunication, and healthcare industries. The company was founded in 2004 and is headquartered in Charlotte, North Carolina.",1260,"{'maxAge': 1, 'name': 'Mr. Sanjay  Kalra', 'age': 49, 'title': 'Sr. VP, CFO & Principal Accounting Officer', 'yearBorn': 1973, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,2,15.86,15.63,15.63,16.225,15.86,15.63,15.63,16.225,0.0,1.488938,269.0,67.25,88154,88154,84130,88140,88140,15.2,17.1,1100,1800,1993515904,6.75,16.225,3.575204,12.931,9.8838,0.0,0.0,USD,1845316864,0.012130001,16621287,20207200,880816,839825,1690761600,1693440000,0.0070999996,0.092659995,0.79528,7.21,0.1126,3.307,4.880556,1672444800,1703980800,1688083200,6763000,0.06,0.24,2.39,3.309,135.615,NYQ,EQUITY,PAY,PAY,"Paymentus Holdings, Inc.","Paymentus Holdings, Inc.",1622035800,America/New_York,EDT,-14400000,16.14,15.0,11.0,13.29,14.0,2.3,buy,7,159068000,1.288,13607000,10868000,4.516,4.702,557595008,2.661,4.528,0.00543,0.01698,149678000,-4879250,44019000,0.241,0.2958,0.024400001,0.00764,USD,
