,address1,address2,city,zip,country,phone,fax,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,exDividendDate,payoutRatio,beta,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,forwardEps,pegRatio,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,"Building 4, One Centra","No.8, Dongzhimen North Street Dongcheng District",Beijing,100007,China,86 10 6965 6666,86 10 6090 5858,https://www.sunac.com.cn,Real Estate—Development,Real Estate,"Sunac China Holdings Limited, together with its subsidiaries, engages in the real estate industry. The company involved in the development of real estate, property management, ice and snow operation management, cultural tourism, and other business segments. Sunac China Holdings Limited was founded in 2003 and is headquartered in Beijing, the People's Republic of China.",44959,"{'maxAge': 1, 'name': 'Mr. Hongbin  Sun', 'age': 59, 'title': 'Founder & Exec. Chairman', 'yearBorn': 1963, 'fiscalYear': 2021, 'totalPay': 961117, 'exercisedValue': 0, 'unexercisedValue': 0}",10,10,8,7,10,1693526400,1640908800,86400,3,2.69,2.75,2.49,2.87,2.69,2.75,2.49,2.87,1628640000,0.0,0.757507,-3.1566265,334465268,334465268,120369374,619078369,619078369,2.61,2.62,0,0,14276065280,0.87,4.58,0.13382074,1.4432,2.9073,0.0,0.0,HKD,343020699648,-0.22754999,3235247579,5448880128,0.39782003,0.06491,7.99,0.3279099,1672444800,1703980800,1688083200,-24275398656,-4.71,-0.83,-0.04,3.215,-29.003,HKG,EQUITY,1918.HK,1918.HK,SUNAC,Sunac China Holdings Limited,1286415000,Asia/Hong_Kong,HKT,28800000,2.62,1.32,1.22,1.26,1.26,3.5,hold,2,8545160192,1.591,-11827279872,313186746368,0.141,0.91,106680508416,465.832,19.856,-0.00852,-0.30712998,0.205,-0.03174,-0.110869996,-0.14136,CNY,
1,"Building 4, One Centra","No.8, Dongzhimen North Street Dongcheng District",Beijing,100007,China,86 10 6965 6666,86 10 6090 5858,https://www.sunac.com.cn,Real Estate—Development,Real Estate,"Sunac China Holdings Limited, together with its subsidiaries, engages in the real estate industry. The company involved in the development of real estate, property management, ice and snow operation management, cultural tourism, and other business segments. Sunac China Holdings Limited was founded in 2003 and is headquartered in Beijing, the People's Republic of China.",44959,"{'maxAge': 1, 'name': 'Mr. Mengde  Wang', 'age': 50, 'title': 'CEO & Exec. Director', 'yearBorn': 1972, 'fiscalYear': 2021, 'totalPay': 758393, 'exercisedValue': 0, 'unexercisedValue': 0}",10,10,8,7,10,1693526400,1640908800,86400,3,2.69,2.75,2.49,2.87,2.69,2.75,2.49,2.87,1628640000,0.0,0.757507,-3.1566265,334465268,334465268,120369374,619078369,619078369,2.61,2.62,0,0,14276065280,0.87,4.58,0.13382074,1.4432,2.9073,0.0,0.0,HKD,343020699648,-0.22754999,3235247579,5448880128,0.39782003,0.06491,7.99,0.3279099,1672444800,1703980800,1688083200,-24275398656,-4.71,-0.83,-0.04,3.215,-29.003,HKG,EQUITY,1918.HK,1918.HK,SUNAC,Sunac China Holdings Limited,1286415000,Asia/Hong_Kong,HKT,28800000,2.62,1.32,1.22,1.26,1.26,3.5,hold,2,8545160192,1.591,-11827279872,313186746368,0.141,0.91,106680508416,465.832,19.856,-0.00852,-0.30712998,0.205,-0.03174,-0.110869996,-0.14136,CNY,
2,"Building 4, One Centra","No.8, Dongzhimen North Street Dongcheng District",Beijing,100007,China,86 10 6965 6666,86 10 6090 5858,https://www.sunac.com.cn,Real Estate—Development,Real Estate,"Sunac China Holdings Limited, together with its subsidiaries, engages in the real estate industry. The company involved in the development of real estate, property management, ice and snow operation management, cultural tourism, and other business segments. Sunac China Holdings Limited was founded in 2003 and is headquartered in Beijing, the People's Republic of China.",44959,"{'maxAge': 1, 'name': 'Mr. Shuping  Huang', 'age': 41, 'title': 'Exec. Pres, Pres of the South China Regional Group & Exec. Director', 'yearBorn': 1981, 'fiscalYear': 2021, 'totalPay': 542888, 'exercisedValue': 0, 'unexercisedValue': 0}",10,10,8,7,10,1693526400,1640908800,86400,3,2.69,2.75,2.49,2.87,2.69,2.75,2.49,2.87,1628640000,0.0,0.757507,-3.1566265,334465268,334465268,120369374,619078369,619078369,2.61,2.62,0,0,14276065280,0.87,4.58,0.13382074,1.4432,2.9073,0.0,0.0,HKD,343020699648,-0.22754999,3235247579,5448880128,0.39782003,0.06491,7.99,0.3279099,1672444800,1703980800,1688083200,-24275398656,-4.71,-0.83,-0.04,3.215,-29.003,HKG,EQUITY,1918.HK,1918.HK,SUNAC,Sunac China Holdings Limited,1286415000,Asia/Hong_Kong,HKT,28800000,2.62,1.32,1.22,1.26,1.26,3.5,hold,2,8545160192,1.591,-11827279872,313186746368,0.141,0.91,106680508416,465.832,19.856,-0.00852,-0.30712998,0.205,-0.03174,-0.110869996,-0.14136,CNY,
3,"Building 4, One Centra","No.8, Dongzhimen North Street Dongcheng District",Beijing,100007,China,86 10 6965 6666,86 10 6090 5858,https://www.sunac.com.cn,Real Estate—Development,Real Estate,"Sunac China Holdings Limited, together with its subsidiaries, engages in the real estate industry. The company involved in the development of real estate, property management, ice and snow operation management, cultural tourism, and other business segments. Sunac China Holdings Limited was founded in 2003 and is headquartered in Beijing, the People's Republic of China.",44959,"{'maxAge': 1, 'name': 'Mr. Hong  Jing', 'age': 60, 'title': 'Exec. Pres, Pres of Beijing Regional Branch & Exec. Director', 'yearBorn': 1962, 'fiscalYear': 2021, 'totalPay': 661498, 'exercisedValue': 0, 'unexercisedValue': 0}",10,10,8,7,10,1693526400,1640908800,86400,3,2.69,2.75,2.49,2.87,2.69,2.75,2.49,2.87,1628640000,0.0,0.757507,-3.1566265,334465268,334465268,120369374,619078369,619078369,2.61,2.62,0,0,14276065280,0.87,4.58,0.13382074,1.4432,2.9073,0.0,0.0,HKD,343020699648,-0.22754999,3235247579,5448880128,0.39782003,0.06491,7.99,0.3279099,1672444800,1703980800,1688083200,-24275398656,-4.71,-0.83,-0.04,3.215,-29.003,HKG,EQUITY,1918.HK,1918.HK,SUNAC,Sunac China Holdings Limited,1286415000,Asia/Hong_Kong,HKT,28800000,2.62,1.32,1.22,1.26,1.26,3.5,hold,2,8545160192,1.591,-11827279872,313186746368,0.141,0.91,106680508416,465.832,19.856,-0.00852,-0.30712998,0.205,-0.03174,-0.110869996,-0.14136,CNY,
4,"Building 4, One Centra","No.8, Dongzhimen North Street Dongcheng District",Beijing,100007,China,86 10 6965 6666,86 10 6090 5858,https://www.sunac.com.cn,Real Estate—Development,Real Estate,"Sunac China Holdings Limited, together with its subsidiaries, engages in the real estate industry. The company involved in the development of real estate, property management, ice and snow operation management, cultural tourism, and other business segments. Sunac China Holdings Limited was founded in 2003 and is headquartered in Beijing, the People's Republic of China.",44959,"{'maxAge': 1, 'name': 'Mr. Qiang  Tian', 'age': 45, 'title': 'Exec. Pres, Pres of Shanghai Regional Branch & Exec. Director', 'yearBorn': 1977, 'fiscalYear': 2021, 'totalPay': 704792, 'exercisedValue': 0, 'unexercisedValue': 0}",10,10,8,7,10,1693526400,1640908800,86400,3,2.69,2.75,2.49,2.87,2.69,2.75,2.49,2.87,1628640000,0.0,0.757507,-3.1566265,334465268,334465268,120369374,619078369,619078369,2.61,2.62,0,0,14276065280,0.87,4.58,0.13382074,1.4432,2.9073,0.0,0.0,HKD,343020699648,-0.22754999,3235247579,5448880128,0.39782003,0.06491,7.99,0.3279099,1672444800,1703980800,1688083200,-24275398656,-4.71,-0.83,-0.04,3.215,-29.003,HKG,EQUITY,1918.HK,1918.HK,SUNAC,Sunac China Holdings Limited,1286415000,Asia/Hong_Kong,HKT,28800000,2.62,1.32,1.22,1.26,1.26,3.5,hold,2,8545160192,1.591,-11827279872,313186746368,0.141,0.91,106680508416,465.832,19.856,-0.00852,-0.30712998,0.205,-0.03174,-0.110869996,-0.14136,CNY,
5,"Building 4, One Centra","No.8, Dongzhimen North Street Dongcheng District",Beijing,100007,China,86 10 6965 6666,86 10 6090 5858,https://www.sunac.com.cn,Real Estate—Development,Real Estate,"Sunac China Holdings Limited, together with its subsidiaries, engages in the real estate industry. The company involved in the development of real estate, property management, ice and snow operation management, cultural tourism, and other business segments. Sunac China Holdings Limited was founded in 2003 and is headquartered in Beijing, the People's Republic of China.",44959,"{'maxAge': 1, 'name': 'Mr. Zheyi  Sun', 'age': 32, 'title': 'VP, Pres of Sunac Culture Group & Exec. Director', 'yearBorn': 1990, 'fiscalYear': 2021, 'totalPay': 505366, 'exercisedValue': 0, 'unexercisedValue': 0}",10,10,8,7,10,1693526400,1640908800,86400,3,2.69,2.75,2.49,2.87,2.69,2.75,2.49,2.87,1628640000,0.0,0.757507,-3.1566265,334465268,334465268,120369374,619078369,619078369,2.61,2.62,0,0,14276065280,0.87,4.58,0.13382074,1.4432,2.9073,0.0,0.0,HKD,343020699648,-0.22754999,3235247579,5448880128,0.39782003,0.06491,7.99,0.3279099,1672444800,1703980800,1688083200,-24275398656,-4.71,-0.83,-0.04,3.215,-29.003,HKG,EQUITY,1918.HK,1918.HK,SUNAC,Sunac China Holdings Limited,1286415000,Asia/Hong_Kong,HKT,28800000,2.62,1.32,1.22,1.26,1.26,3.5,hold,2,8545160192,1.591,-11827279872,313186746368,0.141,0.91,106680508416,465.832,19.856,-0.00852,-0.30712998,0.205,-0.03174,-0.110869996,-0.14136,CNY,
6,"Building 4, One Centra","No.8, Dongzhimen North Street Dongcheng District",Beijing,100007,China,86 10 6965 6666,86 10 6090 5858,https://www.sunac.com.cn,Real Estate—Development,Real Estate,"Sunac China Holdings Limited, together with its subsidiaries, engages in the real estate industry. The company involved in the development of real estate, property management, ice and snow operation management, cultural tourism, and other business segments. Sunac China Holdings Limited was founded in 2003 and is headquartered in Beijing, the People's Republic of China.",44959,"{'maxAge': 1, 'name': 'Mr. Xi  Gao', 'age': 41, 'title': 'CFO, Exec. Pres, Company Sec. and GM of the Capital & Financing Centre', 'yearBorn': 1981, 'exercisedValue': 0, 'unexercisedValue': 0}",10,10,8,7,10,1693526400,1640908800,86400,3,2.69,2.75,2.49,2.87,2.69,2.75,2.49,2.87,1628640000,0.0,0.757507,-3.1566265,334465268,334465268,120369374,619078369,619078369,2.61,2.62,0,0,14276065280,0.87,4.58,0.13382074,1.4432,2.9073,0.0,0.0,HKD,343020699648,-0.22754999,3235247579,5448880128,0.39782003,0.06491,7.99,0.3279099,1672444800,1703980800,1688083200,-24275398656,-4.71,-0.83,-0.04,3.215,-29.003,HKG,EQUITY,1918.HK,1918.HK,SUNAC,Sunac China Holdings Limited,1286415000,Asia/Hong_Kong,HKT,28800000,2.62,1.32,1.22,1.26,1.26,3.5,hold,2,8545160192,1.591,-11827279872,313186746368,0.141,0.91,106680508416,465.832,19.856,-0.00852,-0.30712998,0.205,-0.03174,-0.110869996,-0.14136,CNY,
7,"Building 4, One Centra","No.8, Dongzhimen North Street Dongcheng District",Beijing,100007,China,86 10 6965 6666,86 10 6090 5858,https://www.sunac.com.cn,Real Estate—Development,Real Estate,"Sunac China Holdings Limited, together with its subsidiaries, engages in the real estate industry. The company involved in the development of real estate, property management, ice and snow operation management, cultural tourism, and other business segments. Sunac China Holdings Limited was founded in 2003 and is headquartered in Beijing, the People's Republic of China.",44959,"{'maxAge': 1, 'name': 'Ms. Zhixia  Ma', 'age': 49, 'title': 'Exec. Pres, COO & GM of the Real Estate Operation Centre', 'yearBorn': 1973, 'fiscalYear': 2008, 'exercisedValue': 0, 'unexercisedValue': 0}",10,10,8,7,10,1693526400,1640908800,86400,3,2.69,2.75,2.49,2.87,2.69,2.75,2.49,2.87,1628640000,0.0,0.757507,-3.1566265,334465268,334465268,120369374,619078369,619078369,2.61,2.62,0,0,14276065280,0.87,4.58,0.13382074,1.4432,2.9073,0.0,0.0,HKD,343020699648,-0.22754999,3235247579,5448880128,0.39782003,0.06491,7.99,0.3279099,1672444800,1703980800,1688083200,-24275398656,-4.71,-0.83,-0.04,3.215,-29.003,HKG,EQUITY,1918.HK,1918.HK,SUNAC,Sunac China Holdings Limited,1286415000,Asia/Hong_Kong,HKT,28800000,2.62,1.32,1.22,1.26,1.26,3.5,hold,2,8545160192,1.591,-11827279872,313186746368,0.141,0.91,106680508416,465.832,19.856,-0.00852,-0.30712998,0.205,-0.03174,-0.110869996,-0.14136,CNY,
8,"Building 4, One Centra","No.8, Dongzhimen North Street Dongcheng District",Beijing,100007,China,86 10 6965 6666,86 10 6090 5858,https://www.sunac.com.cn,Real Estate—Development,Real Estate,"Sunac China Holdings Limited, together with its subsidiaries, engages in the real estate industry. The company involved in the development of real estate, property management, ice and snow operation management, cultural tourism, and other business segments. Sunac China Holdings Limited was founded in 2003 and is headquartered in Beijing, the People's Republic of China.",44959,"{'maxAge': 1, 'name': 'Mr. Liu  Wensheng', 'title': 'Investor Relations Director', 'exercisedValue': 0, 'unexercisedValue': 0}",10,10,8,7,10,1693526400,1640908800,86400,3,2.69,2.75,2.49,2.87,2.69,2.75,2.49,2.87,1628640000,0.0,0.757507,-3.1566265,334465268,334465268,120369374,619078369,619078369,2.61,2.62,0,0,14276065280,0.87,4.58,0.13382074,1.4432,2.9073,0.0,0.0,HKD,343020699648,-0.22754999,3235247579,5448880128,0.39782003,0.06491,7.99,0.3279099,1672444800,1703980800,1688083200,-24275398656,-4.71,-0.83,-0.04,3.215,-29.003,HKG,EQUITY,1918.HK,1918.HK,SUNAC,Sunac China Holdings Limited,1286415000,Asia/Hong_Kong,HKT,28800000,2.62,1.32,1.22,1.26,1.26,3.5,hold,2,8545160192,1.591,-11827279872,313186746368,0.141,0.91,106680508416,465.832,19.856,-0.00852,-0.30712998,0.205,-0.03174,-0.110869996,-0.14136,CNY,
9,"Building 4, One Centra","No.8, Dongzhimen North Street Dongcheng District",Beijing,100007,China,86 10 6965 6666,86 10 6090 5858,https://www.sunac.com.cn,Real Estate—Development,Real Estate,"Sunac China Holdings Limited, together with its subsidiaries, engages in the real estate industry. The company involved in the development of real estate, property management, ice and snow operation management, cultural tourism, and other business segments. Sunac China Holdings Limited was founded in 2003 and is headquartered in Beijing, the People's Republic of China.",44959,"{'maxAge': 1, 'name': 'Ms. Wen  Xue', 'age': 49, 'title': 'Gen. Counsel', 'yearBorn': 1973, 'exercisedValue': 0, 'unexercisedValue': 0}",10,10,8,7,10,1693526400,1640908800,86400,3,2.69,2.75,2.49,2.87,2.69,2.75,2.49,2.87,1628640000,0.0,0.757507,-3.1566265,334465268,334465268,120369374,619078369,619078369,2.61,2.62,0,0,14276065280,0.87,4.58,0.13382074,1.4432,2.9073,0.0,0.0,HKD,343020699648,-0.22754999,3235247579,5448880128,0.39782003,0.06491,7.99,0.3279099,1672444800,1703980800,1688083200,-24275398656,-4.71,-0.83,-0.04,3.215,-29.003,HKG,EQUITY,1918.HK,1918.HK,SUNAC,Sunac China Holdings Limited,1286415000,Asia/Hong_Kong,HKT,28800000,2.62,1.32,1.22,1.26,1.26,3.5,hold,2,8545160192,1.591,-11827279872,313186746368,0.141,0.91,106680508416,465.832,19.856,-0.00852,-0.30712998,0.205,-0.03174,-0.110869996,-0.14136,CNY,
