,address1,address2,city,state,zip,country,phone,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,exDividendDate,payoutRatio,beta,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,shortRatio,shortPercentOfFloat,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,forwardEps,pegRatio,lastSplitFactor,lastSplitDate,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationMean,recommendationKey,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,1661 Worthington Road,Suite 100,West Palm Beach,FL,33409,United States,561 682 8000,https://www.ocwen.com,Mortgage Finance,Financial Services,"Ocwen Financial Corporation, a financial services company, originates and services mortgage loans in the United States, the United States Virgin Islands, India, and the Philippines. The company operates through Servicing and Originations segments. It provides commercial mortgage loan servicing, special servicing, and asset management services, as well as residential mortgage loan servicing, such as forward and reverse conventional, government-insured, and non-agency loans, including the reverse mortgage loans to owners of mortgage loans and foreclosed real estate. The company also originates and purchases conventional and government-insured residential forward and reverse mortgage loans through its correspondent lending arrangements, broker relationships, and retail channels. It serves primarily under the PHH Mortgage and Liberty Reverse Mortgage brands. Ocwen Financial Corporation was founded in 1988 and is headquartered in West Palm Beach, Florida.",4600,"{'maxAge': 1, 'name': 'Mr. Glen A. Messina', 'age': 60, 'title': 'CEO, Pres & Chair of the Board', 'yearBorn': 1962, 'fiscalYear': 2022, 'totalPay': 1796654, 'exercisedValue': 0, 'unexercisedValue': 0}",9,4,2,1,3,1693526400,1672444800,86400,2,26.77,26.65,26.35,27.775,26.77,26.65,26.35,27.775,935625600,0.0,2.071922,6.6990294,69697,69697,48254,30050,30050,11.06,30.85,1000,1000,211885472,22.5,37.17,0.20489845,30.7848,30.6034,0.0,0.0,USD,12198985728,-0.06518,5543567,7677010,175096,187432,1690761600,1693440000,0.0228,0.14225,0.53539,5.14,0.024,56.506,0.4884437,1672444800,1703980800,1688083200,0.49,-67400000,-7.93,4.12,-1.06,1:15,1597363200,11.797,21.745,NYQ,EQUITY,OCN,OCN,Ocwen Financial Corporation NEW,Ocwen Financial Corporation,843658200,America/New_York,EDT,-14400000,27.6,2.2,buy,214800000,27.98,561000000,12201900032,0.22,1.375,1034099968,2812.794,132.137,0.02701,-0.13787,889000000,-613408000,-786400000,0.757,0.224,0.93724,0.5425,0.52916,USD,
1,1661 Worthington Road,Suite 100,West Palm Beach,FL,33409,United States,561 682 8000,https://www.ocwen.com,Mortgage Finance,Financial Services,"Ocwen Financial Corporation, a financial services company, originates and services mortgage loans in the United States, the United States Virgin Islands, India, and the Philippines. The company operates through Servicing and Originations segments. It provides commercial mortgage loan servicing, special servicing, and asset management services, as well as residential mortgage loan servicing, such as forward and reverse conventional, government-insured, and non-agency loans, including the reverse mortgage loans to owners of mortgage loans and foreclosed real estate. The company also originates and purchases conventional and government-insured residential forward and reverse mortgage loans through its correspondent lending arrangements, broker relationships, and retail channels. It serves primarily under the PHH Mortgage and Liberty Reverse Mortgage brands. Ocwen Financial Corporation was founded in 1988 and is headquartered in West Palm Beach, Florida.",4600,"{'maxAge': 1, 'name': ""Mr. Sean Bradley O'Neil"", 'age': 56, 'title': 'Exec. VP & CFO', 'yearBorn': 1966, 'fiscalYear': 2022, 'totalPay': 689163, 'exercisedValue': 0, 'unexercisedValue': 0}",9,4,2,1,3,1693526400,1672444800,86400,2,26.77,26.65,26.35,27.775,26.77,26.65,26.35,27.775,935625600,0.0,2.071922,6.6990294,69697,69697,48254,30050,30050,11.06,30.85,1000,1000,211885472,22.5,37.17,0.20489845,30.7848,30.6034,0.0,0.0,USD,12198985728,-0.06518,5543567,7677010,175096,187432,1690761600,1693440000,0.0228,0.14225,0.53539,5.14,0.024,56.506,0.4884437,1672444800,1703980800,1688083200,0.49,-67400000,-7.93,4.12,-1.06,1:15,1597363200,11.797,21.745,NYQ,EQUITY,OCN,OCN,Ocwen Financial Corporation NEW,Ocwen Financial Corporation,843658200,America/New_York,EDT,-14400000,27.6,2.2,buy,214800000,27.98,561000000,12201900032,0.22,1.375,1034099968,2812.794,132.137,0.02701,-0.13787,889000000,-613408000,-786400000,0.757,0.224,0.93724,0.5425,0.52916,USD,
2,1661 Worthington Road,Suite 100,West Palm Beach,FL,33409,United States,561 682 8000,https://www.ocwen.com,Mortgage Finance,Financial Services,"Ocwen Financial Corporation, a financial services company, originates and services mortgage loans in the United States, the United States Virgin Islands, India, and the Philippines. The company operates through Servicing and Originations segments. It provides commercial mortgage loan servicing, special servicing, and asset management services, as well as residential mortgage loan servicing, such as forward and reverse conventional, government-insured, and non-agency loans, including the reverse mortgage loans to owners of mortgage loans and foreclosed real estate. The company also originates and purchases conventional and government-insured residential forward and reverse mortgage loans through its correspondent lending arrangements, broker relationships, and retail channels. It serves primarily under the PHH Mortgage and Liberty Reverse Mortgage brands. Ocwen Financial Corporation was founded in 1988 and is headquartered in West Palm Beach, Florida.",4600,"{'maxAge': 1, 'name': 'Mr. Dennis  Zeleny', 'age': 67, 'title': 'Exec. VP & Chief Admin. Officer', 'yearBorn': 1955, 'fiscalYear': 2022, 'totalPay': 1052473, 'exercisedValue': 0, 'unexercisedValue': 0}",9,4,2,1,3,1693526400,1672444800,86400,2,26.77,26.65,26.35,27.775,26.77,26.65,26.35,27.775,935625600,0.0,2.071922,6.6990294,69697,69697,48254,30050,30050,11.06,30.85,1000,1000,211885472,22.5,37.17,0.20489845,30.7848,30.6034,0.0,0.0,USD,12198985728,-0.06518,5543567,7677010,175096,187432,1690761600,1693440000,0.0228,0.14225,0.53539,5.14,0.024,56.506,0.4884437,1672444800,1703980800,1688083200,0.49,-67400000,-7.93,4.12,-1.06,1:15,1597363200,11.797,21.745,NYQ,EQUITY,OCN,OCN,Ocwen Financial Corporation NEW,Ocwen Financial Corporation,843658200,America/New_York,EDT,-14400000,27.6,2.2,buy,214800000,27.98,561000000,12201900032,0.22,1.375,1034099968,2812.794,132.137,0.02701,-0.13787,889000000,-613408000,-786400000,0.757,0.224,0.93724,0.5425,0.52916,USD,
3,1661 Worthington Road,Suite 100,West Palm Beach,FL,33409,United States,561 682 8000,https://www.ocwen.com,Mortgage Finance,Financial Services,"Ocwen Financial Corporation, a financial services company, originates and services mortgage loans in the United States, the United States Virgin Islands, India, and the Philippines. The company operates through Servicing and Originations segments. It provides commercial mortgage loan servicing, special servicing, and asset management services, as well as residential mortgage loan servicing, such as forward and reverse conventional, government-insured, and non-agency loans, including the reverse mortgage loans to owners of mortgage loans and foreclosed real estate. The company also originates and purchases conventional and government-insured residential forward and reverse mortgage loans through its correspondent lending arrangements, broker relationships, and retail channels. It serves primarily under the PHH Mortgage and Liberty Reverse Mortgage brands. Ocwen Financial Corporation was founded in 1988 and is headquartered in West Palm Beach, Florida.",4600,"{'maxAge': 1, 'name': 'Mr. Scott William Anderson', 'age': 53, 'title': 'Exec. VP & Chief Servicing Officer', 'yearBorn': 1969, 'fiscalYear': 2022, 'totalPay': 1153950, 'exercisedValue': 0, 'unexercisedValue': 0}",9,4,2,1,3,1693526400,1672444800,86400,2,26.77,26.65,26.35,27.775,26.77,26.65,26.35,27.775,935625600,0.0,2.071922,6.6990294,69697,69697,48254,30050,30050,11.06,30.85,1000,1000,211885472,22.5,37.17,0.20489845,30.7848,30.6034,0.0,0.0,USD,12198985728,-0.06518,5543567,7677010,175096,187432,1690761600,1693440000,0.0228,0.14225,0.53539,5.14,0.024,56.506,0.4884437,1672444800,1703980800,1688083200,0.49,-67400000,-7.93,4.12,-1.06,1:15,1597363200,11.797,21.745,NYQ,EQUITY,OCN,OCN,Ocwen Financial Corporation NEW,Ocwen Financial Corporation,843658200,America/New_York,EDT,-14400000,27.6,2.2,buy,214800000,27.98,561000000,12201900032,0.22,1.375,1034099968,2812.794,132.137,0.02701,-0.13787,889000000,-613408000,-786400000,0.757,0.224,0.93724,0.5425,0.52916,USD,
4,1661 Worthington Road,Suite 100,West Palm Beach,FL,33409,United States,561 682 8000,https://www.ocwen.com,Mortgage Finance,Financial Services,"Ocwen Financial Corporation, a financial services company, originates and services mortgage loans in the United States, the United States Virgin Islands, India, and the Philippines. The company operates through Servicing and Originations segments. It provides commercial mortgage loan servicing, special servicing, and asset management services, as well as residential mortgage loan servicing, such as forward and reverse conventional, government-insured, and non-agency loans, including the reverse mortgage loans to owners of mortgage loans and foreclosed real estate. The company also originates and purchases conventional and government-insured residential forward and reverse mortgage loans through its correspondent lending arrangements, broker relationships, and retail channels. It serves primarily under the PHH Mortgage and Liberty Reverse Mortgage brands. Ocwen Financial Corporation was founded in 1988 and is headquartered in West Palm Beach, Florida.",4600,"{'maxAge': 1, 'name': 'Mr. George T. Henley', 'age': 53, 'title': 'Exec. VP & Chief Growth Officer', 'yearBorn': 1969, 'fiscalYear': 2022, 'totalPay': 737788, 'exercisedValue': 0, 'unexercisedValue': 0}",9,4,2,1,3,1693526400,1672444800,86400,2,26.77,26.65,26.35,27.775,26.77,26.65,26.35,27.775,935625600,0.0,2.071922,6.6990294,69697,69697,48254,30050,30050,11.06,30.85,1000,1000,211885472,22.5,37.17,0.20489845,30.7848,30.6034,0.0,0.0,USD,12198985728,-0.06518,5543567,7677010,175096,187432,1690761600,1693440000,0.0228,0.14225,0.53539,5.14,0.024,56.506,0.4884437,1672444800,1703980800,1688083200,0.49,-67400000,-7.93,4.12,-1.06,1:15,1597363200,11.797,21.745,NYQ,EQUITY,OCN,OCN,Ocwen Financial Corporation NEW,Ocwen Financial Corporation,843658200,America/New_York,EDT,-14400000,27.6,2.2,buy,214800000,27.98,561000000,12201900032,0.22,1.375,1034099968,2812.794,132.137,0.02701,-0.13787,889000000,-613408000,-786400000,0.757,0.224,0.93724,0.5425,0.52916,USD,
5,1661 Worthington Road,Suite 100,West Palm Beach,FL,33409,United States,561 682 8000,https://www.ocwen.com,Mortgage Finance,Financial Services,"Ocwen Financial Corporation, a financial services company, originates and services mortgage loans in the United States, the United States Virgin Islands, India, and the Philippines. The company operates through Servicing and Originations segments. It provides commercial mortgage loan servicing, special servicing, and asset management services, as well as residential mortgage loan servicing, such as forward and reverse conventional, government-insured, and non-agency loans, including the reverse mortgage loans to owners of mortgage loans and foreclosed real estate. The company also originates and purchases conventional and government-insured residential forward and reverse mortgage loans through its correspondent lending arrangements, broker relationships, and retail channels. It serves primarily under the PHH Mortgage and Liberty Reverse Mortgage brands. Ocwen Financial Corporation was founded in 1988 and is headquartered in West Palm Beach, Florida.",4600,"{'maxAge': 1, 'name': 'Mr. Aaron D. Wade', 'age': 50, 'title': 'Exec. VP & Chief Investment Officer', 'yearBorn': 1972, 'exercisedValue': 0, 'unexercisedValue': 0}",9,4,2,1,3,1693526400,1672444800,86400,2,26.77,26.65,26.35,27.775,26.77,26.65,26.35,27.775,935625600,0.0,2.071922,6.6990294,69697,69697,48254,30050,30050,11.06,30.85,1000,1000,211885472,22.5,37.17,0.20489845,30.7848,30.6034,0.0,0.0,USD,12198985728,-0.06518,5543567,7677010,175096,187432,1690761600,1693440000,0.0228,0.14225,0.53539,5.14,0.024,56.506,0.4884437,1672444800,1703980800,1688083200,0.49,-67400000,-7.93,4.12,-1.06,1:15,1597363200,11.797,21.745,NYQ,EQUITY,OCN,OCN,Ocwen Financial Corporation NEW,Ocwen Financial Corporation,843658200,America/New_York,EDT,-14400000,27.6,2.2,buy,214800000,27.98,561000000,12201900032,0.22,1.375,1034099968,2812.794,132.137,0.02701,-0.13787,889000000,-613408000,-786400000,0.757,0.224,0.93724,0.5425,0.52916,USD,
6,1661 Worthington Road,Suite 100,West Palm Beach,FL,33409,United States,561 682 8000,https://www.ocwen.com,Mortgage Finance,Financial Services,"Ocwen Financial Corporation, a financial services company, originates and services mortgage loans in the United States, the United States Virgin Islands, India, and the Philippines. The company operates through Servicing and Originations segments. It provides commercial mortgage loan servicing, special servicing, and asset management services, as well as residential mortgage loan servicing, such as forward and reverse conventional, government-insured, and non-agency loans, including the reverse mortgage loans to owners of mortgage loans and foreclosed real estate. The company also originates and purchases conventional and government-insured residential forward and reverse mortgage loans through its correspondent lending arrangements, broker relationships, and retail channels. It serves primarily under the PHH Mortgage and Liberty Reverse Mortgage brands. Ocwen Financial Corporation was founded in 1988 and is headquartered in West Palm Beach, Florida.",4600,"{'maxAge': 1, 'name': 'Mr. Francois  Grunenwald', 'age': 50, 'title': 'Sr. VP & Chief Accounting Officer', 'yearBorn': 1972, 'exercisedValue': 0, 'unexercisedValue': 0}",9,4,2,1,3,1693526400,1672444800,86400,2,26.77,26.65,26.35,27.775,26.77,26.65,26.35,27.775,935625600,0.0,2.071922,6.6990294,69697,69697,48254,30050,30050,11.06,30.85,1000,1000,211885472,22.5,37.17,0.20489845,30.7848,30.6034,0.0,0.0,USD,12198985728,-0.06518,5543567,7677010,175096,187432,1690761600,1693440000,0.0228,0.14225,0.53539,5.14,0.024,56.506,0.4884437,1672444800,1703980800,1688083200,0.49,-67400000,-7.93,4.12,-1.06,1:15,1597363200,11.797,21.745,NYQ,EQUITY,OCN,OCN,Ocwen Financial Corporation NEW,Ocwen Financial Corporation,843658200,America/New_York,EDT,-14400000,27.6,2.2,buy,214800000,27.98,561000000,12201900032,0.22,1.375,1034099968,2812.794,132.137,0.02701,-0.13787,889000000,-613408000,-786400000,0.757,0.224,0.93724,0.5425,0.52916,USD,
7,1661 Worthington Road,Suite 100,West Palm Beach,FL,33409,United States,561 682 8000,https://www.ocwen.com,Mortgage Finance,Financial Services,"Ocwen Financial Corporation, a financial services company, originates and services mortgage loans in the United States, the United States Virgin Islands, India, and the Philippines. The company operates through Servicing and Originations segments. It provides commercial mortgage loan servicing, special servicing, and asset management services, as well as residential mortgage loan servicing, such as forward and reverse conventional, government-insured, and non-agency loans, including the reverse mortgage loans to owners of mortgage loans and foreclosed real estate. The company also originates and purchases conventional and government-insured residential forward and reverse mortgage loans through its correspondent lending arrangements, broker relationships, and retail channels. It serves primarily under the PHH Mortgage and Liberty Reverse Mortgage brands. Ocwen Financial Corporation was founded in 1988 and is headquartered in West Palm Beach, Florida.",4600,"{'maxAge': 1, 'name': 'Mr. Joseph J. Samarias', 'age': 50, 'title': 'Chief Ethics Officer, Chief Legal Officer, Exec. VP & Company Sec.', 'yearBorn': 1972, 'exercisedValue': 0, 'unexercisedValue': 0}",9,4,2,1,3,1693526400,1672444800,86400,2,26.77,26.65,26.35,27.775,26.77,26.65,26.35,27.775,935625600,0.0,2.071922,6.6990294,69697,69697,48254,30050,30050,11.06,30.85,1000,1000,211885472,22.5,37.17,0.20489845,30.7848,30.6034,0.0,0.0,USD,12198985728,-0.06518,5543567,7677010,175096,187432,1690761600,1693440000,0.0228,0.14225,0.53539,5.14,0.024,56.506,0.4884437,1672444800,1703980800,1688083200,0.49,-67400000,-7.93,4.12,-1.06,1:15,1597363200,11.797,21.745,NYQ,EQUITY,OCN,OCN,Ocwen Financial Corporation NEW,Ocwen Financial Corporation,843658200,America/New_York,EDT,-14400000,27.6,2.2,buy,214800000,27.98,561000000,12201900032,0.22,1.375,1034099968,2812.794,132.137,0.02701,-0.13787,889000000,-613408000,-786400000,0.757,0.224,0.93724,0.5425,0.52916,USD,
8,1661 Worthington Road,Suite 100,West Palm Beach,FL,33409,United States,561 682 8000,https://www.ocwen.com,Mortgage Finance,Financial Services,"Ocwen Financial Corporation, a financial services company, originates and services mortgage loans in the United States, the United States Virgin Islands, India, and the Philippines. The company operates through Servicing and Originations segments. It provides commercial mortgage loan servicing, special servicing, and asset management services, as well as residential mortgage loan servicing, such as forward and reverse conventional, government-insured, and non-agency loans, including the reverse mortgage loans to owners of mortgage loans and foreclosed real estate. The company also originates and purchases conventional and government-insured residential forward and reverse mortgage loans through its correspondent lending arrangements, broker relationships, and retail channels. It serves primarily under the PHH Mortgage and Liberty Reverse Mortgage brands. Ocwen Financial Corporation was founded in 1988 and is headquartered in West Palm Beach, Florida.",4600,"{'maxAge': 1, 'name': 'Ms. Jenna D. Evans', 'age': 41, 'title': 'Exec. VP, Chief Risk & Compliance Officer', 'yearBorn': 1981, 'exercisedValue': 0, 'unexercisedValue': 0}",9,4,2,1,3,1693526400,1672444800,86400,2,26.77,26.65,26.35,27.775,26.77,26.65,26.35,27.775,935625600,0.0,2.071922,6.6990294,69697,69697,48254,30050,30050,11.06,30.85,1000,1000,211885472,22.5,37.17,0.20489845,30.7848,30.6034,0.0,0.0,USD,12198985728,-0.06518,5543567,7677010,175096,187432,1690761600,1693440000,0.0228,0.14225,0.53539,5.14,0.024,56.506,0.4884437,1672444800,1703980800,1688083200,0.49,-67400000,-7.93,4.12,-1.06,1:15,1597363200,11.797,21.745,NYQ,EQUITY,OCN,OCN,Ocwen Financial Corporation NEW,Ocwen Financial Corporation,843658200,America/New_York,EDT,-14400000,27.6,2.2,buy,214800000,27.98,561000000,12201900032,0.22,1.375,1034099968,2812.794,132.137,0.02701,-0.13787,889000000,-613408000,-786400000,0.757,0.224,0.93724,0.5425,0.52916,USD,
9,1661 Worthington Road,Suite 100,West Palm Beach,FL,33409,United States,561 682 8000,https://www.ocwen.com,Mortgage Finance,Financial Services,"Ocwen Financial Corporation, a financial services company, originates and services mortgage loans in the United States, the United States Virgin Islands, India, and the Philippines. The company operates through Servicing and Originations segments. It provides commercial mortgage loan servicing, special servicing, and asset management services, as well as residential mortgage loan servicing, such as forward and reverse conventional, government-insured, and non-agency loans, including the reverse mortgage loans to owners of mortgage loans and foreclosed real estate. The company also originates and purchases conventional and government-insured residential forward and reverse mortgage loans through its correspondent lending arrangements, broker relationships, and retail channels. It serves primarily under the PHH Mortgage and Liberty Reverse Mortgage brands. Ocwen Financial Corporation was founded in 1988 and is headquartered in West Palm Beach, Florida.",4600,"{'maxAge': 1, 'name': 'Mr. Michael K. Short', 'title': 'VP of Bus. Devel. and Investor Relations', 'exercisedValue': 0, 'unexercisedValue': 0}",9,4,2,1,3,1693526400,1672444800,86400,2,26.77,26.65,26.35,27.775,26.77,26.65,26.35,27.775,935625600,0.0,2.071922,6.6990294,69697,69697,48254,30050,30050,11.06,30.85,1000,1000,211885472,22.5,37.17,0.20489845,30.7848,30.6034,0.0,0.0,USD,12198985728,-0.06518,5543567,7677010,175096,187432,1690761600,1693440000,0.0228,0.14225,0.53539,5.14,0.024,56.506,0.4884437,1672444800,1703980800,1688083200,0.49,-67400000,-7.93,4.12,-1.06,1:15,1597363200,11.797,21.745,NYQ,EQUITY,OCN,OCN,Ocwen Financial Corporation NEW,Ocwen Financial Corporation,843658200,America/New_York,EDT,-14400000,27.6,2.2,buy,214800000,27.98,561000000,12201900032,0.22,1.375,1034099968,2812.794,132.137,0.02701,-0.13787,889000000,-613408000,-786400000,0.757,0.224,0.93724,0.5425,0.52916,USD,
