,address1,city,state,zip,country,phone,website,industry,sector,longBusinessSummary,companyOfficers,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,payoutRatio,beta,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,shortRatio,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,forwardEps,lastSplitFactor,lastSplitDate,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,debtToEquity,returnOnAssets,returnOnEquity,freeCashflow,operatingCashflow,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,481 Brassard Street,Saint-Michel-Des-Saints,QC,J0K 3B0,Canada,450-757-8905,https://nmg.com,Other Industrial Metals & Mining,Basic Materials,"Nouveau Monde Graphite Inc. engages in the acquisition, exploration, development, and evaluation of mineral properties in Canada. It primarily explores for graphite. The company's holds interest in the Matawinie Mine Project and the Battery Material Plant project situated in the Montreal, Quebec. It also engages in the real estate and trading businesses. The company was formerly known as Nouveau Monde Mining Enterprises Inc. and changed its name to Nouveau Monde Graphite Inc. in February 2017. Nouveau Monde Graphite Inc. was founded in 2011 and is headquartered in Saint-Michel-des-Saints, Canada.","{'maxAge': 1, 'name': 'Mr. Eric  Desaulniers M.Sc., MSc, P.Geo', 'title': 'Founder, Pres, CEO & Director', 'fiscalYear': 2022, 'totalPay': 759000, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,3.81,3.82,3.82,3.92,3.81,3.82,3.82,3.92,0.0,1.646161,-5.1466665,28682,28682,40525,47990,47990,3.83,3.87,235089040,3.46,8.0,3.9214,5.4026,0.0,0.0,CAD,231064048,0.0,42546245,60903900,70721,47034,1690761600,1693440000,0.0011999999,0.20787,0.18606001,1.53,1.331,2.9000752,1672444800,1703980800,1688083200,-41483000,-0.79,-0.75,1:10,1617148800,-4.92,VAN,EQUITY,NOU.V,NOU.V,NOUVEAU MONDE GRAPHITE INC,Nouveau Monde Graphite Inc.,1363786200,America/Toronto,EDT,-14400000,3.86,12.87,7.0,9.97,10.0,2.0,buy,4,59848000,0.983,-46961000,55823000,7.223,7.396,68.853,-0.2558,-0.49874002,-58987248,-41986000,0.0,0.0,0.0,CAD,
1,481 Brassard Street,Saint-Michel-Des-Saints,QC,J0K 3B0,Canada,450-757-8905,https://nmg.com,Other Industrial Metals & Mining,Basic Materials,"Nouveau Monde Graphite Inc. engages in the acquisition, exploration, development, and evaluation of mineral properties in Canada. It primarily explores for graphite. The company's holds interest in the Matawinie Mine Project and the Battery Material Plant project situated in the Montreal, Quebec. It also engages in the real estate and trading businesses. The company was formerly known as Nouveau Monde Mining Enterprises Inc. and changed its name to Nouveau Monde Graphite Inc. in February 2017. Nouveau Monde Graphite Inc. was founded in 2011 and is headquartered in Saint-Michel-des-Saints, Canada.","{'maxAge': 1, 'name': 'Mr. Charles-Olivier  Tarte C.M.A., CPA', 'title': 'Chief Financial Officer', 'fiscalYear': 2022, 'totalPay': 535750, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,3.81,3.82,3.82,3.92,3.81,3.82,3.82,3.92,0.0,1.646161,-5.1466665,28682,28682,40525,47990,47990,3.83,3.87,235089040,3.46,8.0,3.9214,5.4026,0.0,0.0,CAD,231064048,0.0,42546245,60903900,70721,47034,1690761600,1693440000,0.0011999999,0.20787,0.18606001,1.53,1.331,2.9000752,1672444800,1703980800,1688083200,-41483000,-0.79,-0.75,1:10,1617148800,-4.92,VAN,EQUITY,NOU.V,NOU.V,NOUVEAU MONDE GRAPHITE INC,Nouveau Monde Graphite Inc.,1363786200,America/Toronto,EDT,-14400000,3.86,12.87,7.0,9.97,10.0,2.0,buy,4,59848000,0.983,-46961000,55823000,7.223,7.396,68.853,-0.2558,-0.49874002,-58987248,-41986000,0.0,0.0,0.0,CAD,
2,481 Brassard Street,Saint-Michel-Des-Saints,QC,J0K 3B0,Canada,450-757-8905,https://nmg.com,Other Industrial Metals & Mining,Basic Materials,"Nouveau Monde Graphite Inc. engages in the acquisition, exploration, development, and evaluation of mineral properties in Canada. It primarily explores for graphite. The company's holds interest in the Matawinie Mine Project and the Battery Material Plant project situated in the Montreal, Quebec. It also engages in the real estate and trading businesses. The company was formerly known as Nouveau Monde Mining Enterprises Inc. and changed its name to Nouveau Monde Graphite Inc. in February 2017. Nouveau Monde Graphite Inc. was founded in 2011 and is headquartered in Saint-Michel-des-Saints, Canada.","{'maxAge': 1, 'name': 'Mr. Bernard  Perron', 'title': 'Chief Operating Officer', 'fiscalYear': 2022, 'totalPay': 660846, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,3.81,3.82,3.82,3.92,3.81,3.82,3.82,3.92,0.0,1.646161,-5.1466665,28682,28682,40525,47990,47990,3.83,3.87,235089040,3.46,8.0,3.9214,5.4026,0.0,0.0,CAD,231064048,0.0,42546245,60903900,70721,47034,1690761600,1693440000,0.0011999999,0.20787,0.18606001,1.53,1.331,2.9000752,1672444800,1703980800,1688083200,-41483000,-0.79,-0.75,1:10,1617148800,-4.92,VAN,EQUITY,NOU.V,NOU.V,NOUVEAU MONDE GRAPHITE INC,Nouveau Monde Graphite Inc.,1363786200,America/Toronto,EDT,-14400000,3.86,12.87,7.0,9.97,10.0,2.0,buy,4,59848000,0.983,-46961000,55823000,7.223,7.396,68.853,-0.2558,-0.49874002,-58987248,-41986000,0.0,0.0,0.0,CAD,
3,481 Brassard Street,Saint-Michel-Des-Saints,QC,J0K 3B0,Canada,450-757-8905,https://nmg.com,Other Industrial Metals & Mining,Basic Materials,"Nouveau Monde Graphite Inc. engages in the acquisition, exploration, development, and evaluation of mineral properties in Canada. It primarily explores for graphite. The company's holds interest in the Matawinie Mine Project and the Battery Material Plant project situated in the Montreal, Quebec. It also engages in the real estate and trading businesses. The company was formerly known as Nouveau Monde Mining Enterprises Inc. and changed its name to Nouveau Monde Graphite Inc. in February 2017. Nouveau Monde Graphite Inc. was founded in 2011 and is headquartered in Saint-Michel-des-Saints, Canada.","{'maxAge': 1, 'name': 'Mr. Marc  Jasmin CMA, CPA', 'title': 'Director of Investor Relations', 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,3.81,3.82,3.82,3.92,3.81,3.82,3.82,3.92,0.0,1.646161,-5.1466665,28682,28682,40525,47990,47990,3.83,3.87,235089040,3.46,8.0,3.9214,5.4026,0.0,0.0,CAD,231064048,0.0,42546245,60903900,70721,47034,1690761600,1693440000,0.0011999999,0.20787,0.18606001,1.53,1.331,2.9000752,1672444800,1703980800,1688083200,-41483000,-0.79,-0.75,1:10,1617148800,-4.92,VAN,EQUITY,NOU.V,NOU.V,NOUVEAU MONDE GRAPHITE INC,Nouveau Monde Graphite Inc.,1363786200,America/Toronto,EDT,-14400000,3.86,12.87,7.0,9.97,10.0,2.0,buy,4,59848000,0.983,-46961000,55823000,7.223,7.396,68.853,-0.2558,-0.49874002,-58987248,-41986000,0.0,0.0,0.0,CAD,
4,481 Brassard Street,Saint-Michel-Des-Saints,QC,J0K 3B0,Canada,450-757-8905,https://nmg.com,Other Industrial Metals & Mining,Basic Materials,"Nouveau Monde Graphite Inc. engages in the acquisition, exploration, development, and evaluation of mineral properties in Canada. It primarily explores for graphite. The company's holds interest in the Matawinie Mine Project and the Battery Material Plant project situated in the Montreal, Quebec. It also engages in the real estate and trading businesses. The company was formerly known as Nouveau Monde Mining Enterprises Inc. and changed its name to Nouveau Monde Graphite Inc. in February 2017. Nouveau Monde Graphite Inc. was founded in 2011 and is headquartered in Saint-Michel-des-Saints, Canada.","{'maxAge': 1, 'name': 'Ms. Josee  Gagnon', 'title': 'VP of Legal Affairs & Corp. Sec.', 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,3.81,3.82,3.82,3.92,3.81,3.82,3.82,3.92,0.0,1.646161,-5.1466665,28682,28682,40525,47990,47990,3.83,3.87,235089040,3.46,8.0,3.9214,5.4026,0.0,0.0,CAD,231064048,0.0,42546245,60903900,70721,47034,1690761600,1693440000,0.0011999999,0.20787,0.18606001,1.53,1.331,2.9000752,1672444800,1703980800,1688083200,-41483000,-0.79,-0.75,1:10,1617148800,-4.92,VAN,EQUITY,NOU.V,NOU.V,NOUVEAU MONDE GRAPHITE INC,Nouveau Monde Graphite Inc.,1363786200,America/Toronto,EDT,-14400000,3.86,12.87,7.0,9.97,10.0,2.0,buy,4,59848000,0.983,-46961000,55823000,7.223,7.396,68.853,-0.2558,-0.49874002,-58987248,-41986000,0.0,0.0,0.0,CAD,
5,481 Brassard Street,Saint-Michel-Des-Saints,QC,J0K 3B0,Canada,450-757-8905,https://nmg.com,Other Industrial Metals & Mining,Basic Materials,"Nouveau Monde Graphite Inc. engages in the acquisition, exploration, development, and evaluation of mineral properties in Canada. It primarily explores for graphite. The company's holds interest in the Matawinie Mine Project and the Battery Material Plant project situated in the Montreal, Quebec. It also engages in the real estate and trading businesses. The company was formerly known as Nouveau Monde Mining Enterprises Inc. and changed its name to Nouveau Monde Graphite Inc. in February 2017. Nouveau Monde Graphite Inc. was founded in 2011 and is headquartered in Saint-Michel-des-Saints, Canada.","{'maxAge': 1, 'name': 'Ms. Julie  Paquet', 'title': 'VP of Communications & ESG Strategy', 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,3.81,3.82,3.82,3.92,3.81,3.82,3.82,3.92,0.0,1.646161,-5.1466665,28682,28682,40525,47990,47990,3.83,3.87,235089040,3.46,8.0,3.9214,5.4026,0.0,0.0,CAD,231064048,0.0,42546245,60903900,70721,47034,1690761600,1693440000,0.0011999999,0.20787,0.18606001,1.53,1.331,2.9000752,1672444800,1703980800,1688083200,-41483000,-0.79,-0.75,1:10,1617148800,-4.92,VAN,EQUITY,NOU.V,NOU.V,NOUVEAU MONDE GRAPHITE INC,Nouveau Monde Graphite Inc.,1363786200,America/Toronto,EDT,-14400000,3.86,12.87,7.0,9.97,10.0,2.0,buy,4,59848000,0.983,-46961000,55823000,7.223,7.396,68.853,-0.2558,-0.49874002,-58987248,-41986000,0.0,0.0,0.0,CAD,
6,481 Brassard Street,Saint-Michel-Des-Saints,QC,J0K 3B0,Canada,450-757-8905,https://nmg.com,Other Industrial Metals & Mining,Basic Materials,"Nouveau Monde Graphite Inc. engages in the acquisition, exploration, development, and evaluation of mineral properties in Canada. It primarily explores for graphite. The company's holds interest in the Matawinie Mine Project and the Battery Material Plant project situated in the Montreal, Quebec. It also engages in the real estate and trading businesses. The company was formerly known as Nouveau Monde Mining Enterprises Inc. and changed its name to Nouveau Monde Graphite Inc. in February 2017. Nouveau Monde Graphite Inc. was founded in 2011 and is headquartered in Saint-Michel-des-Saints, Canada.","{'maxAge': 1, 'name': 'Mr. Patrice  Boulanger', 'title': 'VP of Sales, Marketing & Bus. Devel.', 'fiscalYear': 2019, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,3.81,3.82,3.82,3.92,3.81,3.82,3.82,3.92,0.0,1.646161,-5.1466665,28682,28682,40525,47990,47990,3.83,3.87,235089040,3.46,8.0,3.9214,5.4026,0.0,0.0,CAD,231064048,0.0,42546245,60903900,70721,47034,1690761600,1693440000,0.0011999999,0.20787,0.18606001,1.53,1.331,2.9000752,1672444800,1703980800,1688083200,-41483000,-0.79,-0.75,1:10,1617148800,-4.92,VAN,EQUITY,NOU.V,NOU.V,NOUVEAU MONDE GRAPHITE INC,Nouveau Monde Graphite Inc.,1363786200,America/Toronto,EDT,-14400000,3.86,12.87,7.0,9.97,10.0,2.0,buy,4,59848000,0.983,-46961000,55823000,7.223,7.396,68.853,-0.2558,-0.49874002,-58987248,-41986000,0.0,0.0,0.0,CAD,
7,481 Brassard Street,Saint-Michel-Des-Saints,QC,J0K 3B0,Canada,450-757-8905,https://nmg.com,Other Industrial Metals & Mining,Basic Materials,"Nouveau Monde Graphite Inc. engages in the acquisition, exploration, development, and evaluation of mineral properties in Canada. It primarily explores for graphite. The company's holds interest in the Matawinie Mine Project and the Battery Material Plant project situated in the Montreal, Quebec. It also engages in the real estate and trading businesses. The company was formerly known as Nouveau Monde Mining Enterprises Inc. and changed its name to Nouveau Monde Graphite Inc. in February 2017. Nouveau Monde Graphite Inc. was founded in 2011 and is headquartered in Saint-Michel-des-Saints, Canada.","{'maxAge': 1, 'name': 'Mr. Philippe  Legault', 'title': 'VP of HR', 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,3.81,3.82,3.82,3.92,3.81,3.82,3.82,3.92,0.0,1.646161,-5.1466665,28682,28682,40525,47990,47990,3.83,3.87,235089040,3.46,8.0,3.9214,5.4026,0.0,0.0,CAD,231064048,0.0,42546245,60903900,70721,47034,1690761600,1693440000,0.0011999999,0.20787,0.18606001,1.53,1.331,2.9000752,1672444800,1703980800,1688083200,-41483000,-0.79,-0.75,1:10,1617148800,-4.92,VAN,EQUITY,NOU.V,NOU.V,NOUVEAU MONDE GRAPHITE INC,Nouveau Monde Graphite Inc.,1363786200,America/Toronto,EDT,-14400000,3.86,12.87,7.0,9.97,10.0,2.0,buy,4,59848000,0.983,-46961000,55823000,7.223,7.396,68.853,-0.2558,-0.49874002,-58987248,-41986000,0.0,0.0,0.0,CAD,
8,481 Brassard Street,Saint-Michel-Des-Saints,QC,J0K 3B0,Canada,450-757-8905,https://nmg.com,Other Industrial Metals & Mining,Basic Materials,"Nouveau Monde Graphite Inc. engages in the acquisition, exploration, development, and evaluation of mineral properties in Canada. It primarily explores for graphite. The company's holds interest in the Matawinie Mine Project and the Battery Material Plant project situated in the Montreal, Quebec. It also engages in the real estate and trading businesses. The company was formerly known as Nouveau Monde Mining Enterprises Inc. and changed its name to Nouveau Monde Graphite Inc. in February 2017. Nouveau Monde Graphite Inc. was founded in 2011 and is headquartered in Saint-Michel-des-Saints, Canada.","{'maxAge': 1, 'name': 'Mr. Antoine  Cloutier', 'title': 'Chief Geologist', 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,3.81,3.82,3.82,3.92,3.81,3.82,3.82,3.92,0.0,1.646161,-5.1466665,28682,28682,40525,47990,47990,3.83,3.87,235089040,3.46,8.0,3.9214,5.4026,0.0,0.0,CAD,231064048,0.0,42546245,60903900,70721,47034,1690761600,1693440000,0.0011999999,0.20787,0.18606001,1.53,1.331,2.9000752,1672444800,1703980800,1688083200,-41483000,-0.79,-0.75,1:10,1617148800,-4.92,VAN,EQUITY,NOU.V,NOU.V,NOUVEAU MONDE GRAPHITE INC,Nouveau Monde Graphite Inc.,1363786200,America/Toronto,EDT,-14400000,3.86,12.87,7.0,9.97,10.0,2.0,buy,4,59848000,0.983,-46961000,55823000,7.223,7.396,68.853,-0.2558,-0.49874002,-58987248,-41986000,0.0,0.0,0.0,CAD,
9,481 Brassard Street,Saint-Michel-Des-Saints,QC,J0K 3B0,Canada,450-757-8905,https://nmg.com,Other Industrial Metals & Mining,Basic Materials,"Nouveau Monde Graphite Inc. engages in the acquisition, exploration, development, and evaluation of mineral properties in Canada. It primarily explores for graphite. The company's holds interest in the Matawinie Mine Project and the Battery Material Plant project situated in the Montreal, Quebec. It also engages in the real estate and trading businesses. The company was formerly known as Nouveau Monde Mining Enterprises Inc. and changed its name to Nouveau Monde Graphite Inc. in February 2017. Nouveau Monde Graphite Inc. was founded in 2011 and is headquartered in Saint-Michel-des-Saints, Canada.","{'maxAge': 1, 'name': 'Mathieu  Bélanger', 'title': 'Corp. Controller', 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,3.81,3.82,3.82,3.92,3.81,3.82,3.82,3.92,0.0,1.646161,-5.1466665,28682,28682,40525,47990,47990,3.83,3.87,235089040,3.46,8.0,3.9214,5.4026,0.0,0.0,CAD,231064048,0.0,42546245,60903900,70721,47034,1690761600,1693440000,0.0011999999,0.20787,0.18606001,1.53,1.331,2.9000752,1672444800,1703980800,1688083200,-41483000,-0.79,-0.75,1:10,1617148800,-4.92,VAN,EQUITY,NOU.V,NOU.V,NOUVEAU MONDE GRAPHITE INC,Nouveau Monde Graphite Inc.,1363786200,America/Toronto,EDT,-14400000,3.86,12.87,7.0,9.97,10.0,2.0,buy,4,59848000,0.983,-46961000,55823000,7.223,7.396,68.853,-0.2558,-0.49874002,-58987248,-41986000,0.0,0.0,0.0,CAD,
