,address1,address2,city,state,zip,country,phone,website,industry,sector,longBusinessSummary,companyOfficers,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,profitMargins,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationKey,grossMargins,ebitdaMargins,operatingMargins,trailingPegRatio
0,628 Middlegate Road,Suite 6,Henderson,NV,89011,United States,844 223 9112,https://www.urhg.net,Asset Management,Financial Services,"United Resource Holdings Group, Inc. engages in the exploration, mining, and milling operations in the United States. It is also involved in the procurement and acceleration of equity positions in small and mid-sized companies. The company was incorporated in 2004 and is based in Henderson, Nevada.","{'maxAge': 1, 'name': 'Gerald A. Condon', 'title': 'Pres', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,4,0.0125,0.0149,0.0149,0.0149,0.0125,0.0149,0.0149,0.0149,40000,40000,8069,8500,8500,0.0,0.0,0,0,6964707,0.01,0.06,0.01,0.01675,0.0,0.0,USD,0.0,38692800,0.0,0.0,PNK,EQUITY,URHG,URHG,UNITED RESOURCES HOLDINGS INC,"United Resource Holdings Group, Inc.",1170858600,America/New_York,EDT,-14400000,0.0149,none,0.0,0.0,0.0,
1,628 Middlegate Road,Suite 6,Henderson,NV,89011,United States,844 223 9112,https://www.urhg.net,Asset Management,Financial Services,"United Resource Holdings Group, Inc. engages in the exploration, mining, and milling operations in the United States. It is also involved in the procurement and acceleration of equity positions in small and mid-sized companies. The company was incorporated in 2004 and is based in Henderson, Nevada.","{'maxAge': 1, 'name': 'George Bud Fry', 'title': 'Sr. VP of Sales & Marketing', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,4,0.0125,0.0149,0.0149,0.0149,0.0125,0.0149,0.0149,0.0149,40000,40000,8069,8500,8500,0.0,0.0,0,0,6964707,0.01,0.06,0.01,0.01675,0.0,0.0,USD,0.0,38692800,0.0,0.0,PNK,EQUITY,URHG,URHG,UNITED RESOURCES HOLDINGS INC,"United Resource Holdings Group, Inc.",1170858600,America/New_York,EDT,-14400000,0.0149,none,0.0,0.0,0.0,
