,address1,address2,city,zip,country,phone,fax,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,exDividendDate,payoutRatio,beta,trailingPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,trailingEps,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationKey,quickRatio,currentRatio,debtToEquity,returnOnAssets,returnOnEquity,grossProfits,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,30 Benjamin Shmotkin Street,PO Box 15103,Rishon LeZion,7505002,Israel,1800 68 68 68,972 3 9480906,https://www.shufersal.co.il,Grocery Stores,Consumer Defensive,"Shufersal Ltd. operates a chain of supermarkets under the Shufersal brand name in Israel. The company offers its products through online shopping website under the brand Shufersal Online, offering products needed for the home garden furniture, appliances, and food. It also provides credit cards and customer club services. Shufersal Ltd. was founded in 1956 and is based in Rishon LeZion, Israel.",16600,"{'maxAge': 1, 'name': 'Mr. Nir  Matosevich', 'age': 67, 'title': 'Deputy CEO, EVP of Commerce & Marketing and Director of Trade & Marketing Division', 'yearBorn': 1955, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,4,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1649030400,0.0,0.126662,125.0,100,100,0,0,0,1406240000,5.0,6.0,5.0,5.325,0.0,0.0,USD,1354166656,0.00242,270367500,265666000,0.0001,0.71226996,1672444800,1703980800,1688083200,-0.044,0.04,PNK,EQUITY,SHUFF,SHUFF,SHUFERSAL LTD,Shufersal Ltd,1371475800,America/New_York,EDT,-14400000,5.0,none,0.545,0.791,216.652,0.0195,0.01395,3882000000,-0.077,-0.0,0.26677,0.05974,0.0,ILS,
1,30 Benjamin Shmotkin Street,PO Box 15103,Rishon LeZion,7505002,Israel,1800 68 68 68,972 3 9480906,https://www.shufersal.co.il,Grocery Stores,Consumer Defensive,"Shufersal Ltd. operates a chain of supermarkets under the Shufersal brand name in Israel. The company offers its products through online shopping website under the brand Shufersal Online, offering products needed for the home garden furniture, appliances, and food. It also provides credit cards and customer club services. Shufersal Ltd. was founded in 1956 and is based in Rishon LeZion, Israel.",16600,"{'maxAge': 1, 'name': 'Mr. Uri  Waterman', 'age': 48, 'title': 'CEO of the BE Chain & Chairman in Bela Online Ltd.', 'yearBorn': 1974, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,4,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1649030400,0.0,0.126662,125.0,100,100,0,0,0,1406240000,5.0,6.0,5.0,5.325,0.0,0.0,USD,1354166656,0.00242,270367500,265666000,0.0001,0.71226996,1672444800,1703980800,1688083200,-0.044,0.04,PNK,EQUITY,SHUFF,SHUFF,SHUFERSAL LTD,Shufersal Ltd,1371475800,America/New_York,EDT,-14400000,5.0,none,0.545,0.791,216.652,0.0195,0.01395,3882000000,-0.077,-0.0,0.26677,0.05974,0.0,ILS,
2,30 Benjamin Shmotkin Street,PO Box 15103,Rishon LeZion,7505002,Israel,1800 68 68 68,972 3 9480906,https://www.shufersal.co.il,Grocery Stores,Consumer Defensive,"Shufersal Ltd. operates a chain of supermarkets under the Shufersal brand name in Israel. The company offers its products through online shopping website under the brand Shufersal Online, offering products needed for the home garden furniture, appliances, and food. It also provides credit cards and customer club services. Shufersal Ltd. was founded in 1956 and is based in Rishon LeZion, Israel.",16600,"{'maxAge': 1, 'name': 'Mr. Roee  Freibach', 'age': 54, 'title': 'CEO of Shufersal Bus. & Director of Shufersal-Amiga Ltd.', 'yearBorn': 1968, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,4,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1649030400,0.0,0.126662,125.0,100,100,0,0,0,1406240000,5.0,6.0,5.0,5.325,0.0,0.0,USD,1354166656,0.00242,270367500,265666000,0.0001,0.71226996,1672444800,1703980800,1688083200,-0.044,0.04,PNK,EQUITY,SHUFF,SHUFF,SHUFERSAL LTD,Shufersal Ltd,1371475800,America/New_York,EDT,-14400000,5.0,none,0.545,0.791,216.652,0.0195,0.01395,3882000000,-0.077,-0.0,0.26677,0.05974,0.0,ILS,
3,30 Benjamin Shmotkin Street,PO Box 15103,Rishon LeZion,7505002,Israel,1800 68 68 68,972 3 9480906,https://www.shufersal.co.il,Grocery Stores,Consumer Defensive,"Shufersal Ltd. operates a chain of supermarkets under the Shufersal brand name in Israel. The company offers its products through online shopping website under the brand Shufersal Online, offering products needed for the home garden furniture, appliances, and food. It also provides credit cards and customer club services. Shufersal Ltd. was founded in 1956 and is based in Rishon LeZion, Israel.",16600,"{'maxAge': 1, 'name': 'Ori  Watermann', 'title': 'Chief Exec. Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,4,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1649030400,0.0,0.126662,125.0,100,100,0,0,0,1406240000,5.0,6.0,5.0,5.325,0.0,0.0,USD,1354166656,0.00242,270367500,265666000,0.0001,0.71226996,1672444800,1703980800,1688083200,-0.044,0.04,PNK,EQUITY,SHUFF,SHUFF,SHUFERSAL LTD,Shufersal Ltd,1371475800,America/New_York,EDT,-14400000,5.0,none,0.545,0.791,216.652,0.0195,0.01395,3882000000,-0.077,-0.0,0.26677,0.05974,0.0,ILS,
4,30 Benjamin Shmotkin Street,PO Box 15103,Rishon LeZion,7505002,Israel,1800 68 68 68,972 3 9480906,https://www.shufersal.co.il,Grocery Stores,Consumer Defensive,"Shufersal Ltd. operates a chain of supermarkets under the Shufersal brand name in Israel. The company offers its products through online shopping website under the brand Shufersal Online, offering products needed for the home garden furniture, appliances, and food. It also provides credit cards and customer club services. Shufersal Ltd. was founded in 1956 and is based in Rishon LeZion, Israel.",16600,"{'maxAge': 1, 'name': 'Mr. Eran  Sela', 'title': 'VPs of Operations', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,4,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1649030400,0.0,0.126662,125.0,100,100,0,0,0,1406240000,5.0,6.0,5.0,5.325,0.0,0.0,USD,1354166656,0.00242,270367500,265666000,0.0001,0.71226996,1672444800,1703980800,1688083200,-0.044,0.04,PNK,EQUITY,SHUFF,SHUFF,SHUFERSAL LTD,Shufersal Ltd,1371475800,America/New_York,EDT,-14400000,5.0,none,0.545,0.791,216.652,0.0195,0.01395,3882000000,-0.077,-0.0,0.26677,0.05974,0.0,ILS,
5,30 Benjamin Shmotkin Street,PO Box 15103,Rishon LeZion,7505002,Israel,1800 68 68 68,972 3 9480906,https://www.shufersal.co.il,Grocery Stores,Consumer Defensive,"Shufersal Ltd. operates a chain of supermarkets under the Shufersal brand name in Israel. The company offers its products through online shopping website under the brand Shufersal Online, offering products needed for the home garden furniture, appliances, and food. It also provides credit cards and customer club services. Shufersal Ltd. was founded in 1956 and is based in Rishon LeZion, Israel.",16600,"{'maxAge': 1, 'name': 'Mr. Shai  Vardi', 'age': 57, 'title': 'CTO, Chief Information Officer & VP of Information Systems', 'yearBorn': 1965, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,4,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1649030400,0.0,0.126662,125.0,100,100,0,0,0,1406240000,5.0,6.0,5.0,5.325,0.0,0.0,USD,1354166656,0.00242,270367500,265666000,0.0001,0.71226996,1672444800,1703980800,1688083200,-0.044,0.04,PNK,EQUITY,SHUFF,SHUFF,SHUFERSAL LTD,Shufersal Ltd,1371475800,America/New_York,EDT,-14400000,5.0,none,0.545,0.791,216.652,0.0195,0.01395,3882000000,-0.077,-0.0,0.26677,0.05974,0.0,ILS,
6,30 Benjamin Shmotkin Street,PO Box 15103,Rishon LeZion,7505002,Israel,1800 68 68 68,972 3 9480906,https://www.shufersal.co.il,Grocery Stores,Consumer Defensive,"Shufersal Ltd. operates a chain of supermarkets under the Shufersal brand name in Israel. The company offers its products through online shopping website under the brand Shufersal Online, offering products needed for the home garden furniture, appliances, and food. It also provides credit cards and customer club services. Shufersal Ltd. was founded in 1956 and is based in Rishon LeZion, Israel.",16600,"{'maxAge': 1, 'name': 'Advocate Aaron  Kaufman Adv.', 'age': 52, 'title': 'VP of Legal Advisor', 'yearBorn': 1970, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,4,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1649030400,0.0,0.126662,125.0,100,100,0,0,0,1406240000,5.0,6.0,5.0,5.325,0.0,0.0,USD,1354166656,0.00242,270367500,265666000,0.0001,0.71226996,1672444800,1703980800,1688083200,-0.044,0.04,PNK,EQUITY,SHUFF,SHUFF,SHUFERSAL LTD,Shufersal Ltd,1371475800,America/New_York,EDT,-14400000,5.0,none,0.545,0.791,216.652,0.0195,0.01395,3882000000,-0.077,-0.0,0.26677,0.05974,0.0,ILS,
7,30 Benjamin Shmotkin Street,PO Box 15103,Rishon LeZion,7505002,Israel,1800 68 68 68,972 3 9480906,https://www.shufersal.co.il,Grocery Stores,Consumer Defensive,"Shufersal Ltd. operates a chain of supermarkets under the Shufersal brand name in Israel. The company offers its products through online shopping website under the brand Shufersal Online, offering products needed for the home garden furniture, appliances, and food. It also provides credit cards and customer club services. Shufersal Ltd. was founded in 1956 and is based in Rishon LeZion, Israel.",16600,"{'maxAge': 1, 'name': 'Ms. Tali  Tuval', 'title': 'VP of Corp. Communications', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,4,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1649030400,0.0,0.126662,125.0,100,100,0,0,0,1406240000,5.0,6.0,5.0,5.325,0.0,0.0,USD,1354166656,0.00242,270367500,265666000,0.0001,0.71226996,1672444800,1703980800,1688083200,-0.044,0.04,PNK,EQUITY,SHUFF,SHUFF,SHUFERSAL LTD,Shufersal Ltd,1371475800,America/New_York,EDT,-14400000,5.0,none,0.545,0.791,216.652,0.0195,0.01395,3882000000,-0.077,-0.0,0.26677,0.05974,0.0,ILS,
8,30 Benjamin Shmotkin Street,PO Box 15103,Rishon LeZion,7505002,Israel,1800 68 68 68,972 3 9480906,https://www.shufersal.co.il,Grocery Stores,Consumer Defensive,"Shufersal Ltd. operates a chain of supermarkets under the Shufersal brand name in Israel. The company offers its products through online shopping website under the brand Shufersal Online, offering products needed for the home garden furniture, appliances, and food. It also provides credit cards and customer club services. Shufersal Ltd. was founded in 1956 and is based in Rishon LeZion, Israel.",16600,"{'maxAge': 1, 'name': 'Ms. Einat  Amitay', 'title': 'VP of HR of Shufersal Group', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,4,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1649030400,0.0,0.126662,125.0,100,100,0,0,0,1406240000,5.0,6.0,5.0,5.325,0.0,0.0,USD,1354166656,0.00242,270367500,265666000,0.0001,0.71226996,1672444800,1703980800,1688083200,-0.044,0.04,PNK,EQUITY,SHUFF,SHUFF,SHUFERSAL LTD,Shufersal Ltd,1371475800,America/New_York,EDT,-14400000,5.0,none,0.545,0.791,216.652,0.0195,0.01395,3882000000,-0.077,-0.0,0.26677,0.05974,0.0,ILS,
9,30 Benjamin Shmotkin Street,PO Box 15103,Rishon LeZion,7505002,Israel,1800 68 68 68,972 3 9480906,https://www.shufersal.co.il,Grocery Stores,Consumer Defensive,"Shufersal Ltd. operates a chain of supermarkets under the Shufersal brand name in Israel. The company offers its products through online shopping website under the brand Shufersal Online, offering products needed for the home garden furniture, appliances, and food. It also provides credit cards and customer club services. Shufersal Ltd. was founded in 1956 and is based in Rishon LeZion, Israel.",16600,"{'maxAge': 1, 'name': 'Ms. Doron  Feinberg', 'title': 'Corp. Sec.', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,4,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1649030400,0.0,0.126662,125.0,100,100,0,0,0,1406240000,5.0,6.0,5.0,5.325,0.0,0.0,USD,1354166656,0.00242,270367500,265666000,0.0001,0.71226996,1672444800,1703980800,1688083200,-0.044,0.04,PNK,EQUITY,SHUFF,SHUFF,SHUFERSAL LTD,Shufersal Ltd,1371475800,America/New_York,EDT,-14400000,5.0,none,0.545,0.791,216.652,0.0195,0.01395,3882000000,-0.077,-0.0,0.26677,0.05974,0.0,ILS,
