,address1,city,state,zip,country,phone,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,payoutRatio,beta,trailingPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,lastSplitFactor,lastSplitDate,enterpriseToRevenue,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationKey,totalCash,totalCashPerShare,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,49 Leuty Avenue,Toronto,ON,M4E 2R2,Canada,416-941-9600,https://www.pinetreecapital.com,Capital Markets,Financial Services,"Pinetree Capital Ltd. is a venture capital and private equity firm specializing in early, mid, later stage venture, middle market, mature, later stage, turnaround, emerging growth and growth capital investments in micro and small cap companies. The firm prefers to invest in all the sectors with a focus on enterprise software and technology. It does not invest in materials, real estate & energy. It typically invests in USA, Canada and Europe. The firm invests primarily in equities as well as debt and convertible securities. It takes minority stake in companies. It typically holds 8-12 investments, resulting in equity positions between 7% and 12% of assets which might exceed 20%. Pinetree Capital Ltd. was founded in 1992 and is based in Toronto, Canada with an additional office in Toronto, Canada.",3,"{'maxAge': 1, 'name': 'Mr. Damien  Leonard', 'title': 'Pres & Chairman', 'fiscalYear': 2022, 'totalPay': 0, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,3.11,3.11,3.11,3.11,3.11,3.11,3.11,3.11,0.0,0.654744,8.885715,7,7,183,1010,1010,29239100,1.97,3.26,5.25505,2.96,2.8381,0.0,0.0,USD,24016570,0.80284,4833836,9387000,0.43354,0.052270003,4.486,0.69326794,1672444800,1703980800,1688083200,0.638,4467000,0.35,50:100,1626220800,4.316,PNK,EQUITY,PNPFF,PNPFF,PINETREE CAPITAL LTD,Pinetree Capital Ltd.,1154957400,America/New_York,EDT,-14400000,3.11,none,5379000,0.573,202000,13.22,13.22,5564000,0.48,0.593,0.07187,0.11201999,2289000,2956500,45000,0.638,0.586,1.0,0.0,0.83178,CAD,
1,49 Leuty Avenue,Toronto,ON,M4E 2R2,Canada,416-941-9600,https://www.pinetreecapital.com,Capital Markets,Financial Services,"Pinetree Capital Ltd. is a venture capital and private equity firm specializing in early, mid, later stage venture, middle market, mature, later stage, turnaround, emerging growth and growth capital investments in micro and small cap companies. The firm prefers to invest in all the sectors with a focus on enterprise software and technology. It does not invest in materials, real estate & energy. It typically invests in USA, Canada and Europe. The firm invests primarily in equities as well as debt and convertible securities. It takes minority stake in companies. It typically holds 8-12 investments, resulting in equity positions between 7% and 12% of assets which might exceed 20%. Pinetree Capital Ltd. was founded in 1992 and is based in Toronto, Canada with an additional office in Toronto, Canada.",3,"{'maxAge': 1, 'name': 'Mr. John  Bouffard CPA', 'title': 'Chief Financial Officer', 'fiscalYear': 2022, 'totalPay': 70943, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,3.11,3.11,3.11,3.11,3.11,3.11,3.11,3.11,0.0,0.654744,8.885715,7,7,183,1010,1010,29239100,1.97,3.26,5.25505,2.96,2.8381,0.0,0.0,USD,24016570,0.80284,4833836,9387000,0.43354,0.052270003,4.486,0.69326794,1672444800,1703980800,1688083200,0.638,4467000,0.35,50:100,1626220800,4.316,PNK,EQUITY,PNPFF,PNPFF,PINETREE CAPITAL LTD,Pinetree Capital Ltd.,1154957400,America/New_York,EDT,-14400000,3.11,none,5379000,0.573,202000,13.22,13.22,5564000,0.48,0.593,0.07187,0.11201999,2289000,2956500,45000,0.638,0.586,1.0,0.0,0.83178,CAD,
