,address1,address2,city,zip,country,phone,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,beta,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,forwardEps,pegRatio,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,Jollibee Plaza Building,10th Floor No. 10 F. Ortigas Jr. Avenue Ortigas Center,Pasig,1605,Philippines,63 2 8634 1111,https://www.jollibee.com.ph,Restaurants,Consumer Cyclical,"Jollibee Foods Corporation develops, operates, and franchises quick service restaurants. The company operates quick-service restaurants under the Jollibee, Chowking, Greenwich, Red Ribbon, Yong He King, Hong Zhuang Yuan, Mang Inasal, Burger King, Highlands Coffee, PHO24, Smashburger, Tim Ho Wan, Tortazo, The Coffee Bean & Tea Leaf, Yoshinoya, Milksha, and Panda Express names in the Philippines, the United States, Canada, the People's Republic of China, the United Kingdom, Italy, Spain, Vietnam, Brunei, Singapore, Saudi Arabia, the United Arab Emirates, Qatar, Oman, Kuwait, Bahrain, Indonesia, Costa Rica, Egypt, Panama, Malaysia, South Korea, Australia, and India. It also offers property leasing, manufacturing, digital printing, advertising, financial accounting, human resources, and logistics services. The company was founded in 1975 and is based in Pasig, the Philippines.",11823,"{'maxAge': 1, 'name': 'Mr. Caktiong  Tan', 'age': 69, 'title': 'Founder & Exec. Chairman', 'yearBorn': 1953, 'fiscalYear': 2022, 'totalPay': 11623, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,4.4,4.0,4.0,4.05,4.4,4.0,4.0,4.05,0.04,0.0087,1682985600,0.3946,1.018949,40.0,0.5235602,757,757,1267,820,820,0.0,0.0,0,0,4479040000,3.55,5.0,0.01923388,4.4326,4.21265,2.3,0.52272725,USD,74106085376,0.02942,456221751,1119760000,0.58264,0.11691,47.229,0.08469372,1672444800,1703980800,1688083200,-0.166,6511752192,0.1,7.64,2.63,0.318,3.759,PNK,EQUITY,JBFCF,JBFCF,JOLLIBEE FOODS CORP,Jollibee Foods Corporation,1234535400,America/New_York,EDT,-14400000,4.0,311.0,178.5,265.98,284.5,2.1,buy,12,41161773056,36.773,19716907008,100032372736,0.798,1.214,232872394752,119.891,209.091,0.03596,0.08733,32356132000,14016903168,29046185984,-0.14,0.168,0.15765001,0.08467,0.05529,PHP,
1,Jollibee Plaza Building,10th Floor No. 10 F. Ortigas Jr. Avenue Ortigas Center,Pasig,1605,Philippines,63 2 8634 1111,https://www.jollibee.com.ph,Restaurants,Consumer Cyclical,"Jollibee Foods Corporation develops, operates, and franchises quick service restaurants. The company operates quick-service restaurants under the Jollibee, Chowking, Greenwich, Red Ribbon, Yong He King, Hong Zhuang Yuan, Mang Inasal, Burger King, Highlands Coffee, PHO24, Smashburger, Tim Ho Wan, Tortazo, The Coffee Bean & Tea Leaf, Yoshinoya, Milksha, and Panda Express names in the Philippines, the United States, Canada, the People's Republic of China, the United Kingdom, Italy, Spain, Vietnam, Brunei, Singapore, Saudi Arabia, the United Arab Emirates, Qatar, Oman, Kuwait, Bahrain, Indonesia, Costa Rica, Egypt, Panama, Malaysia, South Korea, Australia, and India. It also offers property leasing, manufacturing, digital printing, advertising, financial accounting, human resources, and logistics services. The company was founded in 1975 and is based in Pasig, the Philippines.",11823,"{'maxAge': 1, 'name': 'Mr. Ernesto  Tanmantiong', 'age': 64, 'title': 'Pres, CEO & Exec. Director', 'yearBorn': 1958, 'fiscalYear': 2022, 'totalPay': 11623, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,4.4,4.0,4.0,4.05,4.4,4.0,4.0,4.05,0.04,0.0087,1682985600,0.3946,1.018949,40.0,0.5235602,757,757,1267,820,820,0.0,0.0,0,0,4479040000,3.55,5.0,0.01923388,4.4326,4.21265,2.3,0.52272725,USD,74106085376,0.02942,456221751,1119760000,0.58264,0.11691,47.229,0.08469372,1672444800,1703980800,1688083200,-0.166,6511752192,0.1,7.64,2.63,0.318,3.759,PNK,EQUITY,JBFCF,JBFCF,JOLLIBEE FOODS CORP,Jollibee Foods Corporation,1234535400,America/New_York,EDT,-14400000,4.0,311.0,178.5,265.98,284.5,2.1,buy,12,41161773056,36.773,19716907008,100032372736,0.798,1.214,232872394752,119.891,209.091,0.03596,0.08733,32356132000,14016903168,29046185984,-0.14,0.168,0.15765001,0.08467,0.05529,PHP,
2,Jollibee Plaza Building,10th Floor No. 10 F. Ortigas Jr. Avenue Ortigas Center,Pasig,1605,Philippines,63 2 8634 1111,https://www.jollibee.com.ph,Restaurants,Consumer Cyclical,"Jollibee Foods Corporation develops, operates, and franchises quick service restaurants. The company operates quick-service restaurants under the Jollibee, Chowking, Greenwich, Red Ribbon, Yong He King, Hong Zhuang Yuan, Mang Inasal, Burger King, Highlands Coffee, PHO24, Smashburger, Tim Ho Wan, Tortazo, The Coffee Bean & Tea Leaf, Yoshinoya, Milksha, and Panda Express names in the Philippines, the United States, Canada, the People's Republic of China, the United Kingdom, Italy, Spain, Vietnam, Brunei, Singapore, Saudi Arabia, the United Arab Emirates, Qatar, Oman, Kuwait, Bahrain, Indonesia, Costa Rica, Egypt, Panama, Malaysia, South Korea, Australia, and India. It also offers property leasing, manufacturing, digital printing, advertising, financial accounting, human resources, and logistics services. The company was founded in 1975 and is based in Pasig, the Philippines.",11823,"{'maxAge': 1, 'name': 'Mr. Untiong  Tan', 'age': 69, 'title': 'Corp. Sec., Chief Real Estate & Design Officer and Director', 'yearBorn': 1953, 'fiscalYear': 2022, 'totalPay': 14794, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,4.4,4.0,4.0,4.05,4.4,4.0,4.0,4.05,0.04,0.0087,1682985600,0.3946,1.018949,40.0,0.5235602,757,757,1267,820,820,0.0,0.0,0,0,4479040000,3.55,5.0,0.01923388,4.4326,4.21265,2.3,0.52272725,USD,74106085376,0.02942,456221751,1119760000,0.58264,0.11691,47.229,0.08469372,1672444800,1703980800,1688083200,-0.166,6511752192,0.1,7.64,2.63,0.318,3.759,PNK,EQUITY,JBFCF,JBFCF,JOLLIBEE FOODS CORP,Jollibee Foods Corporation,1234535400,America/New_York,EDT,-14400000,4.0,311.0,178.5,265.98,284.5,2.1,buy,12,41161773056,36.773,19716907008,100032372736,0.798,1.214,232872394752,119.891,209.091,0.03596,0.08733,32356132000,14016903168,29046185984,-0.14,0.168,0.15765001,0.08467,0.05529,PHP,
3,Jollibee Plaza Building,10th Floor No. 10 F. Ortigas Jr. Avenue Ortigas Center,Pasig,1605,Philippines,63 2 8634 1111,https://www.jollibee.com.ph,Restaurants,Consumer Cyclical,"Jollibee Foods Corporation develops, operates, and franchises quick service restaurants. The company operates quick-service restaurants under the Jollibee, Chowking, Greenwich, Red Ribbon, Yong He King, Hong Zhuang Yuan, Mang Inasal, Burger King, Highlands Coffee, PHO24, Smashburger, Tim Ho Wan, Tortazo, The Coffee Bean & Tea Leaf, Yoshinoya, Milksha, and Panda Express names in the Philippines, the United States, Canada, the People's Republic of China, the United Kingdom, Italy, Spain, Vietnam, Brunei, Singapore, Saudi Arabia, the United Arab Emirates, Qatar, Oman, Kuwait, Bahrain, Indonesia, Costa Rica, Egypt, Panama, Malaysia, South Korea, Australia, and India. It also offers property leasing, manufacturing, digital printing, advertising, financial accounting, human resources, and logistics services. The company was founded in 1975 and is based in Pasig, the Philippines.",11823,"{'maxAge': 1, 'name': 'Mr. Woo Shin Chong', 'age': 54, 'title': 'CFO & Corp. Information Officer', 'yearBorn': 1968, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,4.4,4.0,4.0,4.05,4.4,4.0,4.0,4.05,0.04,0.0087,1682985600,0.3946,1.018949,40.0,0.5235602,757,757,1267,820,820,0.0,0.0,0,0,4479040000,3.55,5.0,0.01923388,4.4326,4.21265,2.3,0.52272725,USD,74106085376,0.02942,456221751,1119760000,0.58264,0.11691,47.229,0.08469372,1672444800,1703980800,1688083200,-0.166,6511752192,0.1,7.64,2.63,0.318,3.759,PNK,EQUITY,JBFCF,JBFCF,JOLLIBEE FOODS CORP,Jollibee Foods Corporation,1234535400,America/New_York,EDT,-14400000,4.0,311.0,178.5,265.98,284.5,2.1,buy,12,41161773056,36.773,19716907008,100032372736,0.798,1.214,232872394752,119.891,209.091,0.03596,0.08733,32356132000,14016903168,29046185984,-0.14,0.168,0.15765001,0.08467,0.05529,PHP,
4,Jollibee Plaza Building,10th Floor No. 10 F. Ortigas Jr. Avenue Ortigas Center,Pasig,1605,Philippines,63 2 8634 1111,https://www.jollibee.com.ph,Restaurants,Consumer Cyclical,"Jollibee Foods Corporation develops, operates, and franchises quick service restaurants. The company operates quick-service restaurants under the Jollibee, Chowking, Greenwich, Red Ribbon, Yong He King, Hong Zhuang Yuan, Mang Inasal, Burger King, Highlands Coffee, PHO24, Smashburger, Tim Ho Wan, Tortazo, The Coffee Bean & Tea Leaf, Yoshinoya, Milksha, and Panda Express names in the Philippines, the United States, Canada, the People's Republic of China, the United Kingdom, Italy, Spain, Vietnam, Brunei, Singapore, Saudi Arabia, the United Arab Emirates, Qatar, Oman, Kuwait, Bahrain, Indonesia, Costa Rica, Egypt, Panama, Malaysia, South Korea, Australia, and India. It also offers property leasing, manufacturing, digital printing, advertising, financial accounting, human resources, and logistics services. The company was founded in 1975 and is based in Pasig, the Philippines.",11823,"{'maxAge': 1, 'name': 'Ms. Marilou N. Sibayan', 'age': 53, 'title': 'Comptroller & Principal Accounting Officer', 'yearBorn': 1969, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,4.4,4.0,4.0,4.05,4.4,4.0,4.0,4.05,0.04,0.0087,1682985600,0.3946,1.018949,40.0,0.5235602,757,757,1267,820,820,0.0,0.0,0,0,4479040000,3.55,5.0,0.01923388,4.4326,4.21265,2.3,0.52272725,USD,74106085376,0.02942,456221751,1119760000,0.58264,0.11691,47.229,0.08469372,1672444800,1703980800,1688083200,-0.166,6511752192,0.1,7.64,2.63,0.318,3.759,PNK,EQUITY,JBFCF,JBFCF,JOLLIBEE FOODS CORP,Jollibee Foods Corporation,1234535400,America/New_York,EDT,-14400000,4.0,311.0,178.5,265.98,284.5,2.1,buy,12,41161773056,36.773,19716907008,100032372736,0.798,1.214,232872394752,119.891,209.091,0.03596,0.08733,32356132000,14016903168,29046185984,-0.14,0.168,0.15765001,0.08467,0.05529,PHP,
5,Jollibee Plaza Building,10th Floor No. 10 F. Ortigas Jr. Avenue Ortigas Center,Pasig,1605,Philippines,63 2 8634 1111,https://www.jollibee.com.ph,Restaurants,Consumer Cyclical,"Jollibee Foods Corporation develops, operates, and franchises quick service restaurants. The company operates quick-service restaurants under the Jollibee, Chowking, Greenwich, Red Ribbon, Yong He King, Hong Zhuang Yuan, Mang Inasal, Burger King, Highlands Coffee, PHO24, Smashburger, Tim Ho Wan, Tortazo, The Coffee Bean & Tea Leaf, Yoshinoya, Milksha, and Panda Express names in the Philippines, the United States, Canada, the People's Republic of China, the United Kingdom, Italy, Spain, Vietnam, Brunei, Singapore, Saudi Arabia, the United Arab Emirates, Qatar, Oman, Kuwait, Bahrain, Indonesia, Costa Rica, Egypt, Panama, Malaysia, South Korea, Australia, and India. It also offers property leasing, manufacturing, digital printing, advertising, financial accounting, human resources, and logistics services. The company was founded in 1975 and is based in Pasig, the Philippines.",11823,"{'maxAge': 1, 'name': 'Corazon  Palomar', 'title': 'Director of Investor Relations', 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,4.4,4.0,4.0,4.05,4.4,4.0,4.0,4.05,0.04,0.0087,1682985600,0.3946,1.018949,40.0,0.5235602,757,757,1267,820,820,0.0,0.0,0,0,4479040000,3.55,5.0,0.01923388,4.4326,4.21265,2.3,0.52272725,USD,74106085376,0.02942,456221751,1119760000,0.58264,0.11691,47.229,0.08469372,1672444800,1703980800,1688083200,-0.166,6511752192,0.1,7.64,2.63,0.318,3.759,PNK,EQUITY,JBFCF,JBFCF,JOLLIBEE FOODS CORP,Jollibee Foods Corporation,1234535400,America/New_York,EDT,-14400000,4.0,311.0,178.5,265.98,284.5,2.1,buy,12,41161773056,36.773,19716907008,100032372736,0.798,1.214,232872394752,119.891,209.091,0.03596,0.08733,32356132000,14016903168,29046185984,-0.14,0.168,0.15765001,0.08467,0.05529,PHP,
6,Jollibee Plaza Building,10th Floor No. 10 F. Ortigas Jr. Avenue Ortigas Center,Pasig,1605,Philippines,63 2 8634 1111,https://www.jollibee.com.ph,Restaurants,Consumer Cyclical,"Jollibee Foods Corporation develops, operates, and franchises quick service restaurants. The company operates quick-service restaurants under the Jollibee, Chowking, Greenwich, Red Ribbon, Yong He King, Hong Zhuang Yuan, Mang Inasal, Burger King, Highlands Coffee, PHO24, Smashburger, Tim Ho Wan, Tortazo, The Coffee Bean & Tea Leaf, Yoshinoya, Milksha, and Panda Express names in the Philippines, the United States, Canada, the People's Republic of China, the United Kingdom, Italy, Spain, Vietnam, Brunei, Singapore, Saudi Arabia, the United Arab Emirates, Qatar, Oman, Kuwait, Bahrain, Indonesia, Costa Rica, Egypt, Panama, Malaysia, South Korea, Australia, and India. It also offers property leasing, manufacturing, digital printing, advertising, financial accounting, human resources, and logistics services. The company was founded in 1975 and is based in Pasig, the Philippines.",11823,"{'maxAge': 1, 'name': 'Attorney Valerie Feria Amante', 'age': 48, 'title': 'Head of Global Corp. Legal & Ethics, VP, Corp Info Officer, Asst CS & Compliance Officer', 'yearBorn': 1974, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,4.4,4.0,4.0,4.05,4.4,4.0,4.0,4.05,0.04,0.0087,1682985600,0.3946,1.018949,40.0,0.5235602,757,757,1267,820,820,0.0,0.0,0,0,4479040000,3.55,5.0,0.01923388,4.4326,4.21265,2.3,0.52272725,USD,74106085376,0.02942,456221751,1119760000,0.58264,0.11691,47.229,0.08469372,1672444800,1703980800,1688083200,-0.166,6511752192,0.1,7.64,2.63,0.318,3.759,PNK,EQUITY,JBFCF,JBFCF,JOLLIBEE FOODS CORP,Jollibee Foods Corporation,1234535400,America/New_York,EDT,-14400000,4.0,311.0,178.5,265.98,284.5,2.1,buy,12,41161773056,36.773,19716907008,100032372736,0.798,1.214,232872394752,119.891,209.091,0.03596,0.08733,32356132000,14016903168,29046185984,-0.14,0.168,0.15765001,0.08467,0.05529,PHP,
7,Jollibee Plaza Building,10th Floor No. 10 F. Ortigas Jr. Avenue Ortigas Center,Pasig,1605,Philippines,63 2 8634 1111,https://www.jollibee.com.ph,Restaurants,Consumer Cyclical,"Jollibee Foods Corporation develops, operates, and franchises quick service restaurants. The company operates quick-service restaurants under the Jollibee, Chowking, Greenwich, Red Ribbon, Yong He King, Hong Zhuang Yuan, Mang Inasal, Burger King, Highlands Coffee, PHO24, Smashburger, Tim Ho Wan, Tortazo, The Coffee Bean & Tea Leaf, Yoshinoya, Milksha, and Panda Express names in the Philippines, the United States, Canada, the People's Republic of China, the United Kingdom, Italy, Spain, Vietnam, Brunei, Singapore, Saudi Arabia, the United Arab Emirates, Qatar, Oman, Kuwait, Bahrain, Indonesia, Costa Rica, Egypt, Panama, Malaysia, South Korea, Australia, and India. It also offers property leasing, manufacturing, digital printing, advertising, financial accounting, human resources, and logistics services. The company was founded in 1975 and is based in Pasig, the Philippines.",11823,"{'maxAge': 1, 'name': 'Mr. Jose Maria A. Minana Jr.', 'age': 58, 'title': 'Chief Sustainability & Public Affairs Officer', 'yearBorn': 1964, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,4.4,4.0,4.0,4.05,4.4,4.0,4.0,4.05,0.04,0.0087,1682985600,0.3946,1.018949,40.0,0.5235602,757,757,1267,820,820,0.0,0.0,0,0,4479040000,3.55,5.0,0.01923388,4.4326,4.21265,2.3,0.52272725,USD,74106085376,0.02942,456221751,1119760000,0.58264,0.11691,47.229,0.08469372,1672444800,1703980800,1688083200,-0.166,6511752192,0.1,7.64,2.63,0.318,3.759,PNK,EQUITY,JBFCF,JBFCF,JOLLIBEE FOODS CORP,Jollibee Foods Corporation,1234535400,America/New_York,EDT,-14400000,4.0,311.0,178.5,265.98,284.5,2.1,buy,12,41161773056,36.773,19716907008,100032372736,0.798,1.214,232872394752,119.891,209.091,0.03596,0.08733,32356132000,14016903168,29046185984,-0.14,0.168,0.15765001,0.08467,0.05529,PHP,
8,Jollibee Plaza Building,10th Floor No. 10 F. Ortigas Jr. Avenue Ortigas Center,Pasig,1605,Philippines,63 2 8634 1111,https://www.jollibee.com.ph,Restaurants,Consumer Cyclical,"Jollibee Foods Corporation develops, operates, and franchises quick service restaurants. The company operates quick-service restaurants under the Jollibee, Chowking, Greenwich, Red Ribbon, Yong He King, Hong Zhuang Yuan, Mang Inasal, Burger King, Highlands Coffee, PHO24, Smashburger, Tim Ho Wan, Tortazo, The Coffee Bean & Tea Leaf, Yoshinoya, Milksha, and Panda Express names in the Philippines, the United States, Canada, the People's Republic of China, the United Kingdom, Italy, Spain, Vietnam, Brunei, Singapore, Saudi Arabia, the United Arab Emirates, Qatar, Oman, Kuwait, Bahrain, Indonesia, Costa Rica, Egypt, Panama, Malaysia, South Korea, Australia, and India. It also offers property leasing, manufacturing, digital printing, advertising, financial accounting, human resources, and logistics services. The company was founded in 1975 and is based in Pasig, the Philippines.",11823,"{'maxAge': 1, 'name': 'Mr. Daniel Rafael Ramon Z. Gomez III', 'age': 50, 'title': 'Chief Marketing Officer', 'yearBorn': 1972, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,4.4,4.0,4.0,4.05,4.4,4.0,4.0,4.05,0.04,0.0087,1682985600,0.3946,1.018949,40.0,0.5235602,757,757,1267,820,820,0.0,0.0,0,0,4479040000,3.55,5.0,0.01923388,4.4326,4.21265,2.3,0.52272725,USD,74106085376,0.02942,456221751,1119760000,0.58264,0.11691,47.229,0.08469372,1672444800,1703980800,1688083200,-0.166,6511752192,0.1,7.64,2.63,0.318,3.759,PNK,EQUITY,JBFCF,JBFCF,JOLLIBEE FOODS CORP,Jollibee Foods Corporation,1234535400,America/New_York,EDT,-14400000,4.0,311.0,178.5,265.98,284.5,2.1,buy,12,41161773056,36.773,19716907008,100032372736,0.798,1.214,232872394752,119.891,209.091,0.03596,0.08733,32356132000,14016903168,29046185984,-0.14,0.168,0.15765001,0.08467,0.05529,PHP,
9,Jollibee Plaza Building,10th Floor No. 10 F. Ortigas Jr. Avenue Ortigas Center,Pasig,1605,Philippines,63 2 8634 1111,https://www.jollibee.com.ph,Restaurants,Consumer Cyclical,"Jollibee Foods Corporation develops, operates, and franchises quick service restaurants. The company operates quick-service restaurants under the Jollibee, Chowking, Greenwich, Red Ribbon, Yong He King, Hong Zhuang Yuan, Mang Inasal, Burger King, Highlands Coffee, PHO24, Smashburger, Tim Ho Wan, Tortazo, The Coffee Bean & Tea Leaf, Yoshinoya, Milksha, and Panda Express names in the Philippines, the United States, Canada, the People's Republic of China, the United Kingdom, Italy, Spain, Vietnam, Brunei, Singapore, Saudi Arabia, the United Arab Emirates, Qatar, Oman, Kuwait, Bahrain, Indonesia, Costa Rica, Egypt, Panama, Malaysia, South Korea, Australia, and India. It also offers property leasing, manufacturing, digital printing, advertising, financial accounting, human resources, and logistics services. The company was founded in 1975 and is based in Pasig, the Philippines.",11823,"{'maxAge': 1, 'name': 'Mr. Arsenio Mejillano Sabado', 'age': 56, 'title': 'Chief HR Officer', 'yearBorn': 1966, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,4,4.4,4.0,4.0,4.05,4.4,4.0,4.0,4.05,0.04,0.0087,1682985600,0.3946,1.018949,40.0,0.5235602,757,757,1267,820,820,0.0,0.0,0,0,4479040000,3.55,5.0,0.01923388,4.4326,4.21265,2.3,0.52272725,USD,74106085376,0.02942,456221751,1119760000,0.58264,0.11691,47.229,0.08469372,1672444800,1703980800,1688083200,-0.166,6511752192,0.1,7.64,2.63,0.318,3.759,PNK,EQUITY,JBFCF,JBFCF,JOLLIBEE FOODS CORP,Jollibee Foods Corporation,1234535400,America/New_York,EDT,-14400000,4.0,311.0,178.5,265.98,284.5,2.1,buy,12,41161773056,36.773,19716907008,100032372736,0.798,1.214,232872394752,119.891,209.091,0.03596,0.08733,32356132000,14016903168,29046185984,-0.14,0.168,0.15765001,0.08467,0.05529,PHP,
