,address1,address2,city,zip,country,phone,fax,website,industry,industryDisp,sector,sectorDisp,longBusinessSummary,fullTimeEmployees,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,beta,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,impliedSharesOutstanding,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,forwardEps,pegRatio,enterpriseToRevenue,enterpriseToEbitda,52WeekChange,SandP52WeekChange,lastDividendValue,lastDividendDate,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,uuid,messageBoardId,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,Mechelgasse 1,A-1030 Vienna,Vienna,1030,Austria,43 1 535 5907 0,43 1 5325907510,https://www.caimmo.com,Real Estate Services,Real Estate Services,Real Estate,Real Estate,"CA Immo is a real estate Group with its headquarters in Vienna and branch offices in six countries of Central Europe. Its core business involves leasing, managing and developing high-quality office buildings. The Group covers the entire value chain in the field of commercial real estate, based on a high degree of in-house construction expertise. Founded in 1987, the parent group CA Immobilien Anlagen AG controls property assets of around  6.3 bn in Germany, Austria and Eastern Europe.",347,"{'maxAge': 1, 'name': 'Mr. Keegan  Viscius', 'age': 41, 'title': 'CEO & Member of Management Board', 'yearBorn': 1981, 'fiscalYear': 2021, 'totalPay': 952600, 'exercisedValue': 0, 'unexercisedValue': 0}",7,9,2,9,7,1693526400,1640908800,86400,2,30.6,30.7,30.4,30.8,30.6,30.7,30.4,30.8,1.0,0.032899998,1683590400,0.596096,16.370968,170010,170010,116368,83451,83451,33.4,27.35,106500,505400,2997967104,23.2,34.3,10.226629,29.426,27.2715,1.0,0.032679737,EUR,4910492160,-0.44728002,28798206,97972800,0.0,0.73843,98455400,32.702,0.9311357,1672444800,1703980800,1688083200,-123674000,-1.22,1.86,-0.62,16.751,34.001,-0.04992199,0.14113986,1.0,1683590400,VIE,EQUITY,CAI.VI,CAI.VI,CA Immobilien Anlagen AG,CA Immobilien Anlagen AG,946886100,Europe/Amsterdam,CEST,84a26234-03ac-30d3-97dd-b7c76683169b,finmb_882154,7200000,30.45,42.0,30.0,36.38,35.75,2.1,buy,8,751600000,7.613,144422000,2655800064,0.972,1.692,293152992,82.258,2.969,0.0126,-0.03667,0.66757005,0.49265,0.49021998,EUR,
1,Mechelgasse 1,A-1030 Vienna,Vienna,1030,Austria,43 1 535 5907 0,43 1 5325907510,https://www.caimmo.com,Real Estate Services,Real Estate Services,Real Estate,Real Estate,"CA Immo is a real estate Group with its headquarters in Vienna and branch offices in six countries of Central Europe. Its core business involves leasing, managing and developing high-quality office buildings. The Group covers the entire value chain in the field of commercial real estate, based on a high degree of in-house construction expertise. Founded in 1987, the parent group CA Immobilien Anlagen AG controls property assets of around  6.3 bn in Germany, Austria and Eastern Europe.",347,"{'maxAge': 1, 'name': 'Dr. Andreas  Schillhofer', 'age': 51, 'title': 'CFO & Member of the Management Board', 'yearBorn': 1971, 'fiscalYear': 2021, 'totalPay': 774600, 'exercisedValue': 0, 'unexercisedValue': 0}",7,9,2,9,7,1693526400,1640908800,86400,2,30.6,30.7,30.4,30.8,30.6,30.7,30.4,30.8,1.0,0.032899998,1683590400,0.596096,16.370968,170010,170010,116368,83451,83451,33.4,27.35,106500,505400,2997967104,23.2,34.3,10.226629,29.426,27.2715,1.0,0.032679737,EUR,4910492160,-0.44728002,28798206,97972800,0.0,0.73843,98455400,32.702,0.9311357,1672444800,1703980800,1688083200,-123674000,-1.22,1.86,-0.62,16.751,34.001,-0.04992199,0.14113986,1.0,1683590400,VIE,EQUITY,CAI.VI,CAI.VI,CA Immobilien Anlagen AG,CA Immobilien Anlagen AG,946886100,Europe/Amsterdam,CEST,84a26234-03ac-30d3-97dd-b7c76683169b,finmb_882154,7200000,30.45,42.0,30.0,36.38,35.75,2.1,buy,8,751600000,7.613,144422000,2655800064,0.972,1.692,293152992,82.258,2.969,0.0126,-0.03667,0.66757005,0.49265,0.49021998,EUR,
2,Mechelgasse 1,A-1030 Vienna,Vienna,1030,Austria,43 1 535 5907 0,43 1 5325907510,https://www.caimmo.com,Real Estate Services,Real Estate Services,Real Estate,Real Estate,"CA Immo is a real estate Group with its headquarters in Vienna and branch offices in six countries of Central Europe. Its core business involves leasing, managing and developing high-quality office buildings. The Group covers the entire value chain in the field of commercial real estate, based on a high degree of in-house construction expertise. Founded in 1987, the parent group CA Immobilien Anlagen AG controls property assets of around  6.3 bn in Germany, Austria and Eastern Europe.",347,"{'maxAge': 1, 'name': 'Mr. Peter  Pros', 'title': 'Head of Accounting and Controlling', 'exercisedValue': 0, 'unexercisedValue': 0}",7,9,2,9,7,1693526400,1640908800,86400,2,30.6,30.7,30.4,30.8,30.6,30.7,30.4,30.8,1.0,0.032899998,1683590400,0.596096,16.370968,170010,170010,116368,83451,83451,33.4,27.35,106500,505400,2997967104,23.2,34.3,10.226629,29.426,27.2715,1.0,0.032679737,EUR,4910492160,-0.44728002,28798206,97972800,0.0,0.73843,98455400,32.702,0.9311357,1672444800,1703980800,1688083200,-123674000,-1.22,1.86,-0.62,16.751,34.001,-0.04992199,0.14113986,1.0,1683590400,VIE,EQUITY,CAI.VI,CAI.VI,CA Immobilien Anlagen AG,CA Immobilien Anlagen AG,946886100,Europe/Amsterdam,CEST,84a26234-03ac-30d3-97dd-b7c76683169b,finmb_882154,7200000,30.45,42.0,30.0,36.38,35.75,2.1,buy,8,751600000,7.613,144422000,2655800064,0.972,1.692,293152992,82.258,2.969,0.0126,-0.03667,0.66757005,0.49265,0.49021998,EUR,
3,Mechelgasse 1,A-1030 Vienna,Vienna,1030,Austria,43 1 535 5907 0,43 1 5325907510,https://www.caimmo.com,Real Estate Services,Real Estate Services,Real Estate,Real Estate,"CA Immo is a real estate Group with its headquarters in Vienna and branch offices in six countries of Central Europe. Its core business involves leasing, managing and developing high-quality office buildings. The Group covers the entire value chain in the field of commercial real estate, based on a high degree of in-house construction expertise. Founded in 1987, the parent group CA Immobilien Anlagen AG controls property assets of around  6.3 bn in Germany, Austria and Eastern Europe.",347,"{'maxAge': 1, 'name': 'Mr. Christoph  Thurnberger', 'title': 'Head of Capital Markets & Co-Head of Corp. Devel.', 'exercisedValue': 0, 'unexercisedValue': 0}",7,9,2,9,7,1693526400,1640908800,86400,2,30.6,30.7,30.4,30.8,30.6,30.7,30.4,30.8,1.0,0.032899998,1683590400,0.596096,16.370968,170010,170010,116368,83451,83451,33.4,27.35,106500,505400,2997967104,23.2,34.3,10.226629,29.426,27.2715,1.0,0.032679737,EUR,4910492160,-0.44728002,28798206,97972800,0.0,0.73843,98455400,32.702,0.9311357,1672444800,1703980800,1688083200,-123674000,-1.22,1.86,-0.62,16.751,34.001,-0.04992199,0.14113986,1.0,1683590400,VIE,EQUITY,CAI.VI,CAI.VI,CA Immobilien Anlagen AG,CA Immobilien Anlagen AG,946886100,Europe/Amsterdam,CEST,84a26234-03ac-30d3-97dd-b7c76683169b,finmb_882154,7200000,30.45,42.0,30.0,36.38,35.75,2.1,buy,8,751600000,7.613,144422000,2655800064,0.972,1.692,293152992,82.258,2.969,0.0126,-0.03667,0.66757005,0.49265,0.49021998,EUR,
4,Mechelgasse 1,A-1030 Vienna,Vienna,1030,Austria,43 1 535 5907 0,43 1 5325907510,https://www.caimmo.com,Real Estate Services,Real Estate Services,Real Estate,Real Estate,"CA Immo is a real estate Group with its headquarters in Vienna and branch offices in six countries of Central Europe. Its core business involves leasing, managing and developing high-quality office buildings. The Group covers the entire value chain in the field of commercial real estate, based on a high degree of in-house construction expertise. Founded in 1987, the parent group CA Immobilien Anlagen AG controls property assets of around  6.3 bn in Germany, Austria and Eastern Europe.",347,"{'maxAge': 1, 'name': 'Ms. Hedwig  Höfler', 'title': 'Head of Investment Management AT & CEE and Head of Corp. Devel.', 'exercisedValue': 0, 'unexercisedValue': 0}",7,9,2,9,7,1693526400,1640908800,86400,2,30.6,30.7,30.4,30.8,30.6,30.7,30.4,30.8,1.0,0.032899998,1683590400,0.596096,16.370968,170010,170010,116368,83451,83451,33.4,27.35,106500,505400,2997967104,23.2,34.3,10.226629,29.426,27.2715,1.0,0.032679737,EUR,4910492160,-0.44728002,28798206,97972800,0.0,0.73843,98455400,32.702,0.9311357,1672444800,1703980800,1688083200,-123674000,-1.22,1.86,-0.62,16.751,34.001,-0.04992199,0.14113986,1.0,1683590400,VIE,EQUITY,CAI.VI,CAI.VI,CA Immobilien Anlagen AG,CA Immobilien Anlagen AG,946886100,Europe/Amsterdam,CEST,84a26234-03ac-30d3-97dd-b7c76683169b,finmb_882154,7200000,30.45,42.0,30.0,36.38,35.75,2.1,buy,8,751600000,7.613,144422000,2655800064,0.972,1.692,293152992,82.258,2.969,0.0126,-0.03667,0.66757005,0.49265,0.49021998,EUR,
5,Mechelgasse 1,A-1030 Vienna,Vienna,1030,Austria,43 1 535 5907 0,43 1 5325907510,https://www.caimmo.com,Real Estate Services,Real Estate Services,Real Estate,Real Estate,"CA Immo is a real estate Group with its headquarters in Vienna and branch offices in six countries of Central Europe. Its core business involves leasing, managing and developing high-quality office buildings. The Group covers the entire value chain in the field of commercial real estate, based on a high degree of in-house construction expertise. Founded in 1987, the parent group CA Immobilien Anlagen AG controls property assets of around  6.3 bn in Germany, Austria and Eastern Europe.",347,"{'maxAge': 1, 'name': 'Mr. Guido  Schutte', 'age': 50, 'title': 'Head of CA Immo Berlin', 'yearBorn': 1972, 'exercisedValue': 0, 'unexercisedValue': 0}",7,9,2,9,7,1693526400,1640908800,86400,2,30.6,30.7,30.4,30.8,30.6,30.7,30.4,30.8,1.0,0.032899998,1683590400,0.596096,16.370968,170010,170010,116368,83451,83451,33.4,27.35,106500,505400,2997967104,23.2,34.3,10.226629,29.426,27.2715,1.0,0.032679737,EUR,4910492160,-0.44728002,28798206,97972800,0.0,0.73843,98455400,32.702,0.9311357,1672444800,1703980800,1688083200,-123674000,-1.22,1.86,-0.62,16.751,34.001,-0.04992199,0.14113986,1.0,1683590400,VIE,EQUITY,CAI.VI,CAI.VI,CA Immobilien Anlagen AG,CA Immobilien Anlagen AG,946886100,Europe/Amsterdam,CEST,84a26234-03ac-30d3-97dd-b7c76683169b,finmb_882154,7200000,30.45,42.0,30.0,36.38,35.75,2.1,buy,8,751600000,7.613,144422000,2655800064,0.972,1.692,293152992,82.258,2.969,0.0126,-0.03667,0.66757005,0.49265,0.49021998,EUR,
6,Mechelgasse 1,A-1030 Vienna,Vienna,1030,Austria,43 1 535 5907 0,43 1 5325907510,https://www.caimmo.com,Real Estate Services,Real Estate Services,Real Estate,Real Estate,"CA Immo is a real estate Group with its headquarters in Vienna and branch offices in six countries of Central Europe. Its core business involves leasing, managing and developing high-quality office buildings. The Group covers the entire value chain in the field of commercial real estate, based on a high degree of in-house construction expertise. Founded in 1987, the parent group CA Immobilien Anlagen AG controls property assets of around  6.3 bn in Germany, Austria and Eastern Europe.",347,"{'maxAge': 1, 'name': 'Mr. Tobias  Jauch', 'age': 58, 'title': 'Head of CA Immo München', 'yearBorn': 1964, 'exercisedValue': 0, 'unexercisedValue': 0}",7,9,2,9,7,1693526400,1640908800,86400,2,30.6,30.7,30.4,30.8,30.6,30.7,30.4,30.8,1.0,0.032899998,1683590400,0.596096,16.370968,170010,170010,116368,83451,83451,33.4,27.35,106500,505400,2997967104,23.2,34.3,10.226629,29.426,27.2715,1.0,0.032679737,EUR,4910492160,-0.44728002,28798206,97972800,0.0,0.73843,98455400,32.702,0.9311357,1672444800,1703980800,1688083200,-123674000,-1.22,1.86,-0.62,16.751,34.001,-0.04992199,0.14113986,1.0,1683590400,VIE,EQUITY,CAI.VI,CAI.VI,CA Immobilien Anlagen AG,CA Immobilien Anlagen AG,946886100,Europe/Amsterdam,CEST,84a26234-03ac-30d3-97dd-b7c76683169b,finmb_882154,7200000,30.45,42.0,30.0,36.38,35.75,2.1,buy,8,751600000,7.613,144422000,2655800064,0.972,1.692,293152992,82.258,2.969,0.0126,-0.03667,0.66757005,0.49265,0.49021998,EUR,
7,Mechelgasse 1,A-1030 Vienna,Vienna,1030,Austria,43 1 535 5907 0,43 1 5325907510,https://www.caimmo.com,Real Estate Services,Real Estate Services,Real Estate,Real Estate,"CA Immo is a real estate Group with its headquarters in Vienna and branch offices in six countries of Central Europe. Its core business involves leasing, managing and developing high-quality office buildings. The Group covers the entire value chain in the field of commercial real estate, based on a high degree of in-house construction expertise. Founded in 1987, the parent group CA Immobilien Anlagen AG controls property assets of around  6.3 bn in Germany, Austria and Eastern Europe.",347,"{'maxAge': 1, 'name': 'Mr. Matthias  Schmidt', 'title': 'Head of Devel. - Germany', 'exercisedValue': 0, 'unexercisedValue': 0}",7,9,2,9,7,1693526400,1640908800,86400,2,30.6,30.7,30.4,30.8,30.6,30.7,30.4,30.8,1.0,0.032899998,1683590400,0.596096,16.370968,170010,170010,116368,83451,83451,33.4,27.35,106500,505400,2997967104,23.2,34.3,10.226629,29.426,27.2715,1.0,0.032679737,EUR,4910492160,-0.44728002,28798206,97972800,0.0,0.73843,98455400,32.702,0.9311357,1672444800,1703980800,1688083200,-123674000,-1.22,1.86,-0.62,16.751,34.001,-0.04992199,0.14113986,1.0,1683590400,VIE,EQUITY,CAI.VI,CAI.VI,CA Immobilien Anlagen AG,CA Immobilien Anlagen AG,946886100,Europe/Amsterdam,CEST,84a26234-03ac-30d3-97dd-b7c76683169b,finmb_882154,7200000,30.45,42.0,30.0,36.38,35.75,2.1,buy,8,751600000,7.613,144422000,2655800064,0.972,1.692,293152992,82.258,2.969,0.0126,-0.03667,0.66757005,0.49265,0.49021998,EUR,
8,Mechelgasse 1,A-1030 Vienna,Vienna,1030,Austria,43 1 535 5907 0,43 1 5325907510,https://www.caimmo.com,Real Estate Services,Real Estate Services,Real Estate,Real Estate,"CA Immo is a real estate Group with its headquarters in Vienna and branch offices in six countries of Central Europe. Its core business involves leasing, managing and developing high-quality office buildings. The Group covers the entire value chain in the field of commercial real estate, based on a high degree of in-house construction expertise. Founded in 1987, the parent group CA Immobilien Anlagen AG controls property assets of around  6.3 bn in Germany, Austria and Eastern Europe.",347,"{'maxAge': 1, 'name': 'Mr. Markus  Rink', 'title': 'Group Head of Engineering', 'exercisedValue': 0, 'unexercisedValue': 0}",7,9,2,9,7,1693526400,1640908800,86400,2,30.6,30.7,30.4,30.8,30.6,30.7,30.4,30.8,1.0,0.032899998,1683590400,0.596096,16.370968,170010,170010,116368,83451,83451,33.4,27.35,106500,505400,2997967104,23.2,34.3,10.226629,29.426,27.2715,1.0,0.032679737,EUR,4910492160,-0.44728002,28798206,97972800,0.0,0.73843,98455400,32.702,0.9311357,1672444800,1703980800,1688083200,-123674000,-1.22,1.86,-0.62,16.751,34.001,-0.04992199,0.14113986,1.0,1683590400,VIE,EQUITY,CAI.VI,CAI.VI,CA Immobilien Anlagen AG,CA Immobilien Anlagen AG,946886100,Europe/Amsterdam,CEST,84a26234-03ac-30d3-97dd-b7c76683169b,finmb_882154,7200000,30.45,42.0,30.0,36.38,35.75,2.1,buy,8,751600000,7.613,144422000,2655800064,0.972,1.692,293152992,82.258,2.969,0.0126,-0.03667,0.66757005,0.49265,0.49021998,EUR,
9,Mechelgasse 1,A-1030 Vienna,Vienna,1030,Austria,43 1 535 5907 0,43 1 5325907510,https://www.caimmo.com,Real Estate Services,Real Estate Services,Real Estate,Real Estate,"CA Immo is a real estate Group with its headquarters in Vienna and branch offices in six countries of Central Europe. Its core business involves leasing, managing and developing high-quality office buildings. The Group covers the entire value chain in the field of commercial real estate, based on a high degree of in-house construction expertise. Founded in 1987, the parent group CA Immobilien Anlagen AG controls property assets of around  6.3 bn in Germany, Austria and Eastern Europe.",347,"{'maxAge': 1, 'name': 'Ms. Claudia  Höbart', 'title': 'Head of Corp. Office', 'exercisedValue': 0, 'unexercisedValue': 0}",7,9,2,9,7,1693526400,1640908800,86400,2,30.6,30.7,30.4,30.8,30.6,30.7,30.4,30.8,1.0,0.032899998,1683590400,0.596096,16.370968,170010,170010,116368,83451,83451,33.4,27.35,106500,505400,2997967104,23.2,34.3,10.226629,29.426,27.2715,1.0,0.032679737,EUR,4910492160,-0.44728002,28798206,97972800,0.0,0.73843,98455400,32.702,0.9311357,1672444800,1703980800,1688083200,-123674000,-1.22,1.86,-0.62,16.751,34.001,-0.04992199,0.14113986,1.0,1683590400,VIE,EQUITY,CAI.VI,CAI.VI,CA Immobilien Anlagen AG,CA Immobilien Anlagen AG,946886100,Europe/Amsterdam,CEST,84a26234-03ac-30d3-97dd-b7c76683169b,finmb_882154,7200000,30.45,42.0,30.0,36.38,35.75,2.1,buy,8,751600000,7.613,144422000,2655800064,0.972,1.692,293152992,82.258,2.969,0.0126,-0.03667,0.66757005,0.49265,0.49021998,EUR,
