,address1,address2,city,state,zip,country,phone,fax,website,industry,industryDisp,sector,sectorDisp,longBusinessSummary,fullTimeEmployees,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,fiveYearAvgDividendYield,beta,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,shortRatio,impliedSharesOutstanding,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,forwardEps,pegRatio,enterpriseToRevenue,enterpriseToEbitda,52WeekChange,SandP52WeekChange,lastDividendValue,lastDividendDate,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,uuid,messageBoardId,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,625 Howe Street,Suite 1440,Vancouver,BC,V6C 2T6,Canada,604 684 1175,604 684 0147,https://www.panamericansilver.com,Gold,Gold,Basic Materials,Basic Materials,"Pan American Silver Corp. engages in the exploration, mine development, extraction, processing, refining, and reclamation of silver, gold, zinc, lead, and copper mines in Canada, Mexico, Peru, Argentina, and Bolivia. It holds interests in the La Colorada, Dolores, Huaron, Morococha, Shahuindo, La Arena, Timmins West, Bell Creek, Manantial Espejo, San Vicente, Joaquin, and Cap-Oeste Sur Este mines. The company was formerly known as Pan American Minerals Corp. and changed its name to Pan American Silver Corp. in April 1995. Pan American Silver Corp. was incorporated in 1979 and is headquartered in Vancouver, Canada.",6200,"{'maxAge': 1, 'name': 'Mr. Michael  Steinmann P.GEO, P.Geo., Ph.D.', 'age': 56, 'title': 'Pres, CEO & Director', 'yearBorn': 1966, 'fiscalYear': 2022, 'totalPay': 1692311, 'exercisedValue': 0, 'unexercisedValue': 0}",1,5,6,1,3,1693526400,1672444800,86400,2,16.21,16.48,16.39,16.895,16.21,16.48,16.39,16.895,0.4,0.0247,1692316800,1.37,1.104911,17.05102,5339697,5339697,3127046,2739170,2739170,16.6,16.9,1800,1400,6089775616,13.4,19.85,3.490807,15.8072,16.52175,0.4,0.024676127,USD,7335875584,-0.15743,363895986,364439008,19860050,17686984,1690761600,1693440000,0.0545,0.0007,0.44804,6.38,364439008,13.472,1.2403502,1672444800,1703980800,1688083200,-274648000,-1.27,0.98,0.32,4.205,18.777,0.03403461,0.14113986,0.1,1692316800,NYQ,EQUITY,PAAS,PAAS,Pan American Silver Corp.,Pan American Silver Corp.,802963800,America/New_York,EDT,8be2cedf-9c68-3f6f-93ca-83cdd5f84737,finmb_387933,-14400000,16.71,30.0,19.5,25.23,25.1,1.7,buy,7,409200000,1.123,390679008,1156099968,0.936,2.13,1744518016,21.373,6.999,-0.00427,-0.069520004,319275000,12506375,110609000,0.879,0.27181,0.22395,-0.02405,USD,
1,625 Howe Street,Suite 1440,Vancouver,BC,V6C 2T6,Canada,604 684 1175,604 684 0147,https://www.panamericansilver.com,Gold,Gold,Basic Materials,Basic Materials,"Pan American Silver Corp. engages in the exploration, mine development, extraction, processing, refining, and reclamation of silver, gold, zinc, lead, and copper mines in Canada, Mexico, Peru, Argentina, and Bolivia. It holds interests in the La Colorada, Dolores, Huaron, Morococha, Shahuindo, La Arena, Timmins West, Bell Creek, Manantial Espejo, San Vicente, Joaquin, and Cap-Oeste Sur Este mines. The company was formerly known as Pan American Minerals Corp. and changed its name to Pan American Silver Corp. in April 1995. Pan American Silver Corp. was incorporated in 1979 and is headquartered in Vancouver, Canada.",6200,"{'maxAge': 1, 'name': 'Mr. Ignacio  Couturier', 'title': 'Chief Financial Officer', 'fiscalYear': 2022, 'totalPay': 487185, 'exercisedValue': 0, 'unexercisedValue': 0}",1,5,6,1,3,1693526400,1672444800,86400,2,16.21,16.48,16.39,16.895,16.21,16.48,16.39,16.895,0.4,0.0247,1692316800,1.37,1.104911,17.05102,5339697,5339697,3127046,2739170,2739170,16.6,16.9,1800,1400,6089775616,13.4,19.85,3.490807,15.8072,16.52175,0.4,0.024676127,USD,7335875584,-0.15743,363895986,364439008,19860050,17686984,1690761600,1693440000,0.0545,0.0007,0.44804,6.38,364439008,13.472,1.2403502,1672444800,1703980800,1688083200,-274648000,-1.27,0.98,0.32,4.205,18.777,0.03403461,0.14113986,0.1,1692316800,NYQ,EQUITY,PAAS,PAAS,Pan American Silver Corp.,Pan American Silver Corp.,802963800,America/New_York,EDT,8be2cedf-9c68-3f6f-93ca-83cdd5f84737,finmb_387933,-14400000,16.71,30.0,19.5,25.23,25.1,1.7,buy,7,409200000,1.123,390679008,1156099968,0.936,2.13,1744518016,21.373,6.999,-0.00427,-0.069520004,319275000,12506375,110609000,0.879,0.27181,0.22395,-0.02405,USD,
2,625 Howe Street,Suite 1440,Vancouver,BC,V6C 2T6,Canada,604 684 1175,604 684 0147,https://www.panamericansilver.com,Gold,Gold,Basic Materials,Basic Materials,"Pan American Silver Corp. engages in the exploration, mine development, extraction, processing, refining, and reclamation of silver, gold, zinc, lead, and copper mines in Canada, Mexico, Peru, Argentina, and Bolivia. It holds interests in the La Colorada, Dolores, Huaron, Morococha, Shahuindo, La Arena, Timmins West, Bell Creek, Manantial Espejo, San Vicente, Joaquin, and Cap-Oeste Sur Este mines. The company was formerly known as Pan American Minerals Corp. and changed its name to Pan American Silver Corp. in April 1995. Pan American Silver Corp. was incorporated in 1979 and is headquartered in Vancouver, Canada.",6200,"{'maxAge': 1, 'name': 'Mr. Steven Luis Busby', 'age': 62, 'title': 'Chief Operating Officer', 'yearBorn': 1960, 'fiscalYear': 2022, 'totalPay': 764458, 'exercisedValue': 0, 'unexercisedValue': 0}",1,5,6,1,3,1693526400,1672444800,86400,2,16.21,16.48,16.39,16.895,16.21,16.48,16.39,16.895,0.4,0.0247,1692316800,1.37,1.104911,17.05102,5339697,5339697,3127046,2739170,2739170,16.6,16.9,1800,1400,6089775616,13.4,19.85,3.490807,15.8072,16.52175,0.4,0.024676127,USD,7335875584,-0.15743,363895986,364439008,19860050,17686984,1690761600,1693440000,0.0545,0.0007,0.44804,6.38,364439008,13.472,1.2403502,1672444800,1703980800,1688083200,-274648000,-1.27,0.98,0.32,4.205,18.777,0.03403461,0.14113986,0.1,1692316800,NYQ,EQUITY,PAAS,PAAS,Pan American Silver Corp.,Pan American Silver Corp.,802963800,America/New_York,EDT,8be2cedf-9c68-3f6f-93ca-83cdd5f84737,finmb_387933,-14400000,16.71,30.0,19.5,25.23,25.1,1.7,buy,7,409200000,1.123,390679008,1156099968,0.936,2.13,1744518016,21.373,6.999,-0.00427,-0.069520004,319275000,12506375,110609000,0.879,0.27181,0.22395,-0.02405,USD,
3,625 Howe Street,Suite 1440,Vancouver,BC,V6C 2T6,Canada,604 684 1175,604 684 0147,https://www.panamericansilver.com,Gold,Gold,Basic Materials,Basic Materials,"Pan American Silver Corp. engages in the exploration, mine development, extraction, processing, refining, and reclamation of silver, gold, zinc, lead, and copper mines in Canada, Mexico, Peru, Argentina, and Bolivia. It holds interests in the La Colorada, Dolores, Huaron, Morococha, Shahuindo, La Arena, Timmins West, Bell Creek, Manantial Espejo, San Vicente, Joaquin, and Cap-Oeste Sur Este mines. The company was formerly known as Pan American Minerals Corp. and changed its name to Pan American Silver Corp. in April 1995. Pan American Silver Corp. was incorporated in 1979 and is headquartered in Vancouver, Canada.",6200,"{'maxAge': 1, 'name': 'Mr. Christopher  Lemon', 'title': 'Chief Legal and HR Officer & Gen. Counsel', 'fiscalYear': 2022, 'totalPay': 647728, 'exercisedValue': 0, 'unexercisedValue': 0}",1,5,6,1,3,1693526400,1672444800,86400,2,16.21,16.48,16.39,16.895,16.21,16.48,16.39,16.895,0.4,0.0247,1692316800,1.37,1.104911,17.05102,5339697,5339697,3127046,2739170,2739170,16.6,16.9,1800,1400,6089775616,13.4,19.85,3.490807,15.8072,16.52175,0.4,0.024676127,USD,7335875584,-0.15743,363895986,364439008,19860050,17686984,1690761600,1693440000,0.0545,0.0007,0.44804,6.38,364439008,13.472,1.2403502,1672444800,1703980800,1688083200,-274648000,-1.27,0.98,0.32,4.205,18.777,0.03403461,0.14113986,0.1,1692316800,NYQ,EQUITY,PAAS,PAAS,Pan American Silver Corp.,Pan American Silver Corp.,802963800,America/New_York,EDT,8be2cedf-9c68-3f6f-93ca-83cdd5f84737,finmb_387933,-14400000,16.71,30.0,19.5,25.23,25.1,1.7,buy,7,409200000,1.123,390679008,1156099968,0.936,2.13,1744518016,21.373,6.999,-0.00427,-0.069520004,319275000,12506375,110609000,0.879,0.27181,0.22395,-0.02405,USD,
4,625 Howe Street,Suite 1440,Vancouver,BC,V6C 2T6,Canada,604 684 1175,604 684 0147,https://www.panamericansilver.com,Gold,Gold,Basic Materials,Basic Materials,"Pan American Silver Corp. engages in the exploration, mine development, extraction, processing, refining, and reclamation of silver, gold, zinc, lead, and copper mines in Canada, Mexico, Peru, Argentina, and Bolivia. It holds interests in the La Colorada, Dolores, Huaron, Morococha, Shahuindo, La Arena, Timmins West, Bell Creek, Manantial Espejo, San Vicente, Joaquin, and Cap-Oeste Sur Este mines. The company was formerly known as Pan American Minerals Corp. and changed its name to Pan American Silver Corp. in April 1995. Pan American Silver Corp. was incorporated in 1979 and is headquartered in Vancouver, Canada.",6200,"{'maxAge': 1, 'name': 'Mr. Martin G. Wafforn P.Eng.', 'age': 62, 'title': 'Sr. VP of Technical Services & Process Optimization', 'yearBorn': 1960, 'exercisedValue': 0, 'unexercisedValue': 0}",1,5,6,1,3,1693526400,1672444800,86400,2,16.21,16.48,16.39,16.895,16.21,16.48,16.39,16.895,0.4,0.0247,1692316800,1.37,1.104911,17.05102,5339697,5339697,3127046,2739170,2739170,16.6,16.9,1800,1400,6089775616,13.4,19.85,3.490807,15.8072,16.52175,0.4,0.024676127,USD,7335875584,-0.15743,363895986,364439008,19860050,17686984,1690761600,1693440000,0.0545,0.0007,0.44804,6.38,364439008,13.472,1.2403502,1672444800,1703980800,1688083200,-274648000,-1.27,0.98,0.32,4.205,18.777,0.03403461,0.14113986,0.1,1692316800,NYQ,EQUITY,PAAS,PAAS,Pan American Silver Corp.,Pan American Silver Corp.,802963800,America/New_York,EDT,8be2cedf-9c68-3f6f-93ca-83cdd5f84737,finmb_387933,-14400000,16.71,30.0,19.5,25.23,25.1,1.7,buy,7,409200000,1.123,390679008,1156099968,0.936,2.13,1744518016,21.373,6.999,-0.00427,-0.069520004,319275000,12506375,110609000,0.879,0.27181,0.22395,-0.02405,USD,
5,625 Howe Street,Suite 1440,Vancouver,BC,V6C 2T6,Canada,604 684 1175,604 684 0147,https://www.panamericansilver.com,Gold,Gold,Basic Materials,Basic Materials,"Pan American Silver Corp. engages in the exploration, mine development, extraction, processing, refining, and reclamation of silver, gold, zinc, lead, and copper mines in Canada, Mexico, Peru, Argentina, and Bolivia. It holds interests in the La Colorada, Dolores, Huaron, Morococha, Shahuindo, La Arena, Timmins West, Bell Creek, Manantial Espejo, San Vicente, Joaquin, and Cap-Oeste Sur Este mines. The company was formerly known as Pan American Minerals Corp. and changed its name to Pan American Silver Corp. in April 1995. Pan American Silver Corp. was incorporated in 1979 and is headquartered in Vancouver, Canada.",6200,"{'maxAge': 1, 'name': 'Ms. Siren  Fisekci', 'title': 'VP of Investor Relations', 'exercisedValue': 0, 'unexercisedValue': 0}",1,5,6,1,3,1693526400,1672444800,86400,2,16.21,16.48,16.39,16.895,16.21,16.48,16.39,16.895,0.4,0.0247,1692316800,1.37,1.104911,17.05102,5339697,5339697,3127046,2739170,2739170,16.6,16.9,1800,1400,6089775616,13.4,19.85,3.490807,15.8072,16.52175,0.4,0.024676127,USD,7335875584,-0.15743,363895986,364439008,19860050,17686984,1690761600,1693440000,0.0545,0.0007,0.44804,6.38,364439008,13.472,1.2403502,1672444800,1703980800,1688083200,-274648000,-1.27,0.98,0.32,4.205,18.777,0.03403461,0.14113986,0.1,1692316800,NYQ,EQUITY,PAAS,PAAS,Pan American Silver Corp.,Pan American Silver Corp.,802963800,America/New_York,EDT,8be2cedf-9c68-3f6f-93ca-83cdd5f84737,finmb_387933,-14400000,16.71,30.0,19.5,25.23,25.1,1.7,buy,7,409200000,1.123,390679008,1156099968,0.936,2.13,1744518016,21.373,6.999,-0.00427,-0.069520004,319275000,12506375,110609000,0.879,0.27181,0.22395,-0.02405,USD,
6,625 Howe Street,Suite 1440,Vancouver,BC,V6C 2T6,Canada,604 684 1175,604 684 0147,https://www.panamericansilver.com,Gold,Gold,Basic Materials,Basic Materials,"Pan American Silver Corp. engages in the exploration, mine development, extraction, processing, refining, and reclamation of silver, gold, zinc, lead, and copper mines in Canada, Mexico, Peru, Argentina, and Bolivia. It holds interests in the La Colorada, Dolores, Huaron, Morococha, Shahuindo, La Arena, Timmins West, Bell Creek, Manantial Espejo, San Vicente, Joaquin, and Cap-Oeste Sur Este mines. The company was formerly known as Pan American Minerals Corp. and changed its name to Pan American Silver Corp. in April 1995. Pan American Silver Corp. was incorporated in 1979 and is headquartered in Vancouver, Canada.",6200,"{'maxAge': 1, 'name': 'Mr. George  Greer', 'title': 'Sr. VP of Project Devel.', 'exercisedValue': 0, 'unexercisedValue': 0}",1,5,6,1,3,1693526400,1672444800,86400,2,16.21,16.48,16.39,16.895,16.21,16.48,16.39,16.895,0.4,0.0247,1692316800,1.37,1.104911,17.05102,5339697,5339697,3127046,2739170,2739170,16.6,16.9,1800,1400,6089775616,13.4,19.85,3.490807,15.8072,16.52175,0.4,0.024676127,USD,7335875584,-0.15743,363895986,364439008,19860050,17686984,1690761600,1693440000,0.0545,0.0007,0.44804,6.38,364439008,13.472,1.2403502,1672444800,1703980800,1688083200,-274648000,-1.27,0.98,0.32,4.205,18.777,0.03403461,0.14113986,0.1,1692316800,NYQ,EQUITY,PAAS,PAAS,Pan American Silver Corp.,Pan American Silver Corp.,802963800,America/New_York,EDT,8be2cedf-9c68-3f6f-93ca-83cdd5f84737,finmb_387933,-14400000,16.71,30.0,19.5,25.23,25.1,1.7,buy,7,409200000,1.123,390679008,1156099968,0.936,2.13,1744518016,21.373,6.999,-0.00427,-0.069520004,319275000,12506375,110609000,0.879,0.27181,0.22395,-0.02405,USD,
7,625 Howe Street,Suite 1440,Vancouver,BC,V6C 2T6,Canada,604 684 1175,604 684 0147,https://www.panamericansilver.com,Gold,Gold,Basic Materials,Basic Materials,"Pan American Silver Corp. engages in the exploration, mine development, extraction, processing, refining, and reclamation of silver, gold, zinc, lead, and copper mines in Canada, Mexico, Peru, Argentina, and Bolivia. It holds interests in the La Colorada, Dolores, Huaron, Morococha, Shahuindo, La Arena, Timmins West, Bell Creek, Manantial Espejo, San Vicente, Joaquin, and Cap-Oeste Sur Este mines. The company was formerly known as Pan American Minerals Corp. and changed its name to Pan American Silver Corp. in April 1995. Pan American Silver Corp. was incorporated in 1979 and is headquartered in Vancouver, Canada.",6200,"{'maxAge': 1, 'name': 'Mr. Sean  McAleer', 'title': 'Sr. VP of Strategic Initiatives', 'fiscalYear': 2020, 'exercisedValue': 0, 'unexercisedValue': 0}",1,5,6,1,3,1693526400,1672444800,86400,2,16.21,16.48,16.39,16.895,16.21,16.48,16.39,16.895,0.4,0.0247,1692316800,1.37,1.104911,17.05102,5339697,5339697,3127046,2739170,2739170,16.6,16.9,1800,1400,6089775616,13.4,19.85,3.490807,15.8072,16.52175,0.4,0.024676127,USD,7335875584,-0.15743,363895986,364439008,19860050,17686984,1690761600,1693440000,0.0545,0.0007,0.44804,6.38,364439008,13.472,1.2403502,1672444800,1703980800,1688083200,-274648000,-1.27,0.98,0.32,4.205,18.777,0.03403461,0.14113986,0.1,1692316800,NYQ,EQUITY,PAAS,PAAS,Pan American Silver Corp.,Pan American Silver Corp.,802963800,America/New_York,EDT,8be2cedf-9c68-3f6f-93ca-83cdd5f84737,finmb_387933,-14400000,16.71,30.0,19.5,25.23,25.1,1.7,buy,7,409200000,1.123,390679008,1156099968,0.936,2.13,1744518016,21.373,6.999,-0.00427,-0.069520004,319275000,12506375,110609000,0.879,0.27181,0.22395,-0.02405,USD,
8,625 Howe Street,Suite 1440,Vancouver,BC,V6C 2T6,Canada,604 684 1175,604 684 0147,https://www.panamericansilver.com,Gold,Gold,Basic Materials,Basic Materials,"Pan American Silver Corp. engages in the exploration, mine development, extraction, processing, refining, and reclamation of silver, gold, zinc, lead, and copper mines in Canada, Mexico, Peru, Argentina, and Bolivia. It holds interests in the La Colorada, Dolores, Huaron, Morococha, Shahuindo, La Arena, Timmins West, Bell Creek, Manantial Espejo, San Vicente, Joaquin, and Cap-Oeste Sur Este mines. The company was formerly known as Pan American Minerals Corp. and changed its name to Pan American Silver Corp. in April 1995. Pan American Silver Corp. was incorporated in 1979 and is headquartered in Vancouver, Canada.",6200,"{'maxAge': 1, 'name': 'Mr. Cameron  Paterson', 'title': 'Sr. VP of Fin. & IT', 'exercisedValue': 0, 'unexercisedValue': 0}",1,5,6,1,3,1693526400,1672444800,86400,2,16.21,16.48,16.39,16.895,16.21,16.48,16.39,16.895,0.4,0.0247,1692316800,1.37,1.104911,17.05102,5339697,5339697,3127046,2739170,2739170,16.6,16.9,1800,1400,6089775616,13.4,19.85,3.490807,15.8072,16.52175,0.4,0.024676127,USD,7335875584,-0.15743,363895986,364439008,19860050,17686984,1690761600,1693440000,0.0545,0.0007,0.44804,6.38,364439008,13.472,1.2403502,1672444800,1703980800,1688083200,-274648000,-1.27,0.98,0.32,4.205,18.777,0.03403461,0.14113986,0.1,1692316800,NYQ,EQUITY,PAAS,PAAS,Pan American Silver Corp.,Pan American Silver Corp.,802963800,America/New_York,EDT,8be2cedf-9c68-3f6f-93ca-83cdd5f84737,finmb_387933,-14400000,16.71,30.0,19.5,25.23,25.1,1.7,buy,7,409200000,1.123,390679008,1156099968,0.936,2.13,1744518016,21.373,6.999,-0.00427,-0.069520004,319275000,12506375,110609000,0.879,0.27181,0.22395,-0.02405,USD,
9,625 Howe Street,Suite 1440,Vancouver,BC,V6C 2T6,Canada,604 684 1175,604 684 0147,https://www.panamericansilver.com,Gold,Gold,Basic Materials,Basic Materials,"Pan American Silver Corp. engages in the exploration, mine development, extraction, processing, refining, and reclamation of silver, gold, zinc, lead, and copper mines in Canada, Mexico, Peru, Argentina, and Bolivia. It holds interests in the La Colorada, Dolores, Huaron, Morococha, Shahuindo, La Arena, Timmins West, Bell Creek, Manantial Espejo, San Vicente, Joaquin, and Cap-Oeste Sur Este mines. The company was formerly known as Pan American Minerals Corp. and changed its name to Pan American Silver Corp. in April 1995. Pan American Silver Corp. was incorporated in 1979 and is headquartered in Vancouver, Canada.",6200,"{'maxAge': 1, 'name': 'Mr. Brent G. J. Bergeron', 'title': 'Sr. VP of Corp. Affairs & Sustainability', 'exercisedValue': 0, 'unexercisedValue': 0}",1,5,6,1,3,1693526400,1672444800,86400,2,16.21,16.48,16.39,16.895,16.21,16.48,16.39,16.895,0.4,0.0247,1692316800,1.37,1.104911,17.05102,5339697,5339697,3127046,2739170,2739170,16.6,16.9,1800,1400,6089775616,13.4,19.85,3.490807,15.8072,16.52175,0.4,0.024676127,USD,7335875584,-0.15743,363895986,364439008,19860050,17686984,1690761600,1693440000,0.0545,0.0007,0.44804,6.38,364439008,13.472,1.2403502,1672444800,1703980800,1688083200,-274648000,-1.27,0.98,0.32,4.205,18.777,0.03403461,0.14113986,0.1,1692316800,NYQ,EQUITY,PAAS,PAAS,Pan American Silver Corp.,Pan American Silver Corp.,802963800,America/New_York,EDT,8be2cedf-9c68-3f6f-93ca-83cdd5f84737,finmb_387933,-14400000,16.71,30.0,19.5,25.23,25.1,1.7,buy,7,409200000,1.123,390679008,1156099968,0.936,2.13,1744518016,21.373,6.999,-0.00427,-0.069520004,319275000,12506375,110609000,0.879,0.27181,0.22395,-0.02405,USD,
