,address1,city,zip,country,phone,fax,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,forwardEps,pegRatio,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,"5, place General Gouraud",Reims,51100,France,33 3 26 61 62 63,33 3 26 61 63 88,https://www.vrankenpommery.com,Beverages—Wineries & Distilleries,Consumer Defensive,"Vranken-Pommery Monopole Société Anonyme produces and sells wines and champagnes in Europe, North America, and the Asia Pacific. It offers its products under the Champagne Charles Lafitte, Champagne Demoiselle, Champagne Pommery, Champagne Heidsieck & C° Monopole, Champagne Vranken  Diamant, Champagne Germain, Sao Pedro, Rozès, and Grifo brands. Vranken-Pommery Monopole Société Anonyme was founded in 1976 and is headquartered in Reims, France.",523,"{'maxAge': 1, 'name': 'Mr. Paul-François  Vranken', 'age': 75, 'title': 'Chairman & CEO', 'yearBorn': 1947, 'fiscalYear': 2021, 'totalPay': 518500, 'exercisedValue': 0, 'unexercisedValue': 0}",1640908800,86400,2,16.5,16.5,16.35,16.5,16.5,16.5,16.35,16.5,0.8,0.048499998,1689033600,0.7018,14.473684,11.538462,1280,1280,2261,1753,1753,0.0,0.0,0,0,146503008,15.7,19.1,0.43092543,17.502,17.63775,0.8,0.04848485,EUR,854804992,0.03029,2510352,8878970,0.71013,0.0135699995,45.406,0.36338812,1672444800,1703980800,1688083200,10299000,1.14,1.43,1.76,2.514,17.039,PAR,EQUITY,VRAP.PA,VRAP.PA,VRANKEN-POMMERY,Vranken-Pommery Monopole Société Anonyme,946886400,Europe/Paris,CEST,7200000,16.5,19.0,19.0,19.0,19.0,3.0,hold,1,396000,0.045,50168000,704819968,0.148,2.799,339972992,174.079,38.771,0.0197,0.02656,87675000,12328625,52315000,0.049,0.27528998,0.14756,0.11658,EUR,
1,"5, place General Gouraud",Reims,51100,France,33 3 26 61 62 63,33 3 26 61 63 88,https://www.vrankenpommery.com,Beverages—Wineries & Distilleries,Consumer Defensive,"Vranken-Pommery Monopole Société Anonyme produces and sells wines and champagnes in Europe, North America, and the Asia Pacific. It offers its products under the Champagne Charles Lafitte, Champagne Demoiselle, Champagne Pommery, Champagne Heidsieck & C° Monopole, Champagne Vranken  Diamant, Champagne Germain, Sao Pedro, Rozès, and Grifo brands. Vranken-Pommery Monopole Société Anonyme was founded in 1976 and is headquartered in Reims, France.",523,"{'maxAge': 1, 'name': 'Ms. Nathalie  Vranken', 'age': 58, 'title': 'Head of Marketing & Director', 'yearBorn': 1964, 'fiscalYear': 2021, 'totalPay': 157502, 'exercisedValue': 0, 'unexercisedValue': 0}",1640908800,86400,2,16.5,16.5,16.35,16.5,16.5,16.5,16.35,16.5,0.8,0.048499998,1689033600,0.7018,14.473684,11.538462,1280,1280,2261,1753,1753,0.0,0.0,0,0,146503008,15.7,19.1,0.43092543,17.502,17.63775,0.8,0.04848485,EUR,854804992,0.03029,2510352,8878970,0.71013,0.0135699995,45.406,0.36338812,1672444800,1703980800,1688083200,10299000,1.14,1.43,1.76,2.514,17.039,PAR,EQUITY,VRAP.PA,VRAP.PA,VRANKEN-POMMERY,Vranken-Pommery Monopole Société Anonyme,946886400,Europe/Paris,CEST,7200000,16.5,19.0,19.0,19.0,19.0,3.0,hold,1,396000,0.045,50168000,704819968,0.148,2.799,339972992,174.079,38.771,0.0197,0.02656,87675000,12328625,52315000,0.049,0.27528998,0.14756,0.11658,EUR,
2,"5, place General Gouraud",Reims,51100,France,33 3 26 61 62 63,33 3 26 61 63 88,https://www.vrankenpommery.com,Beverages—Wineries & Distilleries,Consumer Defensive,"Vranken-Pommery Monopole Société Anonyme produces and sells wines and champagnes in Europe, North America, and the Asia Pacific. It offers its products under the Champagne Charles Lafitte, Champagne Demoiselle, Champagne Pommery, Champagne Heidsieck & C° Monopole, Champagne Vranken  Diamant, Champagne Germain, Sao Pedro, Rozès, and Grifo brands. Vranken-Pommery Monopole Société Anonyme was founded in 1976 and is headquartered in Reims, France.",523,"{'maxAge': 1, 'name': 'Mr. Franck  Delvel', 'title': 'Financial Director', 'exercisedValue': 0, 'unexercisedValue': 0}",1640908800,86400,2,16.5,16.5,16.35,16.5,16.5,16.5,16.35,16.5,0.8,0.048499998,1689033600,0.7018,14.473684,11.538462,1280,1280,2261,1753,1753,0.0,0.0,0,0,146503008,15.7,19.1,0.43092543,17.502,17.63775,0.8,0.04848485,EUR,854804992,0.03029,2510352,8878970,0.71013,0.0135699995,45.406,0.36338812,1672444800,1703980800,1688083200,10299000,1.14,1.43,1.76,2.514,17.039,PAR,EQUITY,VRAP.PA,VRAP.PA,VRANKEN-POMMERY,Vranken-Pommery Monopole Société Anonyme,946886400,Europe/Paris,CEST,7200000,16.5,19.0,19.0,19.0,19.0,3.0,hold,1,396000,0.045,50168000,704819968,0.148,2.799,339972992,174.079,38.771,0.0197,0.02656,87675000,12328625,52315000,0.049,0.27528998,0.14756,0.11658,EUR,
3,"5, place General Gouraud",Reims,51100,France,33 3 26 61 62 63,33 3 26 61 63 88,https://www.vrankenpommery.com,Beverages—Wineries & Distilleries,Consumer Defensive,"Vranken-Pommery Monopole Société Anonyme produces and sells wines and champagnes in Europe, North America, and the Asia Pacific. It offers its products under the Champagne Charles Lafitte, Champagne Demoiselle, Champagne Pommery, Champagne Heidsieck & C° Monopole, Champagne Vranken  Diamant, Champagne Germain, Sao Pedro, Rozès, and Grifo brands. Vranken-Pommery Monopole Société Anonyme was founded in 1976 and is headquartered in Reims, France.",523,"{'maxAge': 1, 'name': 'Mr. Sébastien  Hélaine', 'title': 'Sales Mang.', 'exercisedValue': 0, 'unexercisedValue': 0}",1640908800,86400,2,16.5,16.5,16.35,16.5,16.5,16.5,16.35,16.5,0.8,0.048499998,1689033600,0.7018,14.473684,11.538462,1280,1280,2261,1753,1753,0.0,0.0,0,0,146503008,15.7,19.1,0.43092543,17.502,17.63775,0.8,0.04848485,EUR,854804992,0.03029,2510352,8878970,0.71013,0.0135699995,45.406,0.36338812,1672444800,1703980800,1688083200,10299000,1.14,1.43,1.76,2.514,17.039,PAR,EQUITY,VRAP.PA,VRAP.PA,VRANKEN-POMMERY,Vranken-Pommery Monopole Société Anonyme,946886400,Europe/Paris,CEST,7200000,16.5,19.0,19.0,19.0,19.0,3.0,hold,1,396000,0.045,50168000,704819968,0.148,2.799,339972992,174.079,38.771,0.0197,0.02656,87675000,12328625,52315000,0.049,0.27528998,0.14756,0.11658,EUR,
4,"5, place General Gouraud",Reims,51100,France,33 3 26 61 62 63,33 3 26 61 63 88,https://www.vrankenpommery.com,Beverages—Wineries & Distilleries,Consumer Defensive,"Vranken-Pommery Monopole Société Anonyme produces and sells wines and champagnes in Europe, North America, and the Asia Pacific. It offers its products under the Champagne Charles Lafitte, Champagne Demoiselle, Champagne Pommery, Champagne Heidsieck & C° Monopole, Champagne Vranken  Diamant, Champagne Germain, Sao Pedro, Rozès, and Grifo brands. Vranken-Pommery Monopole Société Anonyme was founded in 1976 and is headquartered in Reims, France.",523,"{'maxAge': 1, 'name': 'Joëlle  Bresle', 'title': 'Head of HR', 'exercisedValue': 0, 'unexercisedValue': 0}",1640908800,86400,2,16.5,16.5,16.35,16.5,16.5,16.5,16.35,16.5,0.8,0.048499998,1689033600,0.7018,14.473684,11.538462,1280,1280,2261,1753,1753,0.0,0.0,0,0,146503008,15.7,19.1,0.43092543,17.502,17.63775,0.8,0.04848485,EUR,854804992,0.03029,2510352,8878970,0.71013,0.0135699995,45.406,0.36338812,1672444800,1703980800,1688083200,10299000,1.14,1.43,1.76,2.514,17.039,PAR,EQUITY,VRAP.PA,VRAP.PA,VRANKEN-POMMERY,Vranken-Pommery Monopole Société Anonyme,946886400,Europe/Paris,CEST,7200000,16.5,19.0,19.0,19.0,19.0,3.0,hold,1,396000,0.045,50168000,704819968,0.148,2.799,339972992,174.079,38.771,0.0197,0.02656,87675000,12328625,52315000,0.049,0.27528998,0.14756,0.11658,EUR,
