,address1,address2,city,zip,country,phone,fax,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,fiveYearAvgDividendYield,beta,trailingPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationKey,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,Tokiwabashi Tower,"2-6-4, Otemachi Chiyoda-ku",Tokyo,100-0004,Japan,81 3 6701 1000,81 3 6701 1005,https://www.kuraray.co.jp,Chemicals,Basic Materials,"Kuraray Co., Ltd. engages in the production and sale of resins, chemicals, fibers, activated carbon, and high-performance membranes and systems worldwide. The Vinyl Acetate segment manufactures and markets functional resins and films, including PVA, PVB and EVAL. The Isoprene segment engages in the manufacture and marketing of SEPTON thermoplastic elastomer, isoprene-related products, and GENESTAR. The Functional Materials segment manufactures and markets methacrylic resin, medical products, and carbon materials. The Fibers and Textiles segment manufactures and sells synthetic fibers and textiles, CLARINO manmade leather, non-woven fabrics, and other products. The Trading segment mainly processes and sells synthetic fibers and manmade leathers. The company was founded in 1926 and is headquartered in Tokyo, Japan.",4251,"{'maxAge': 1, 'name': 'Mr. Masaaki  Ito', 'age': 65, 'title': 'Exec. Chairman', 'yearBorn': 1957, 'exercisedValue': 0, 'unexercisedValue': 0}",1,8,5,4,7,1693526400,86400,2,10.9,10.9,10.9,11.0,10.9,10.9,10.9,11.0,0.36,0.0323,1703721600,0.3098,3.63,0.484609,11.111111,206,206,178,165,165,10.8,11.0,187700,183200,3686418944,6.7,11.0,0.004730217,9.511,8.4235,48.0,4.40367,EUR,200044855296,0.06665,323550416,334758016,0.06295,0.45193002,2126.783,0.005172131,1672444800,1703980800,1688083200,0.19,51941998592,0.99,0.257,1.242,FRA,EQUITY,KUY.F,KUY.F,KURARAY CO. LTD  YN 50,"Kuraray Co., Ltd.",946882800,Europe/Berlin,CEST,7200000,11.0,none,111303999488,332.491,161004994560,285893984256,1.356,2.652,779333992448,38.963,2328.396,0.04606,0.0758,241663000000,-2552999936,87980998656,0.197,0.029,0.32179,0.20659,0.115509994,JPY,
1,Tokiwabashi Tower,"2-6-4, Otemachi Chiyoda-ku",Tokyo,100-0004,Japan,81 3 6701 1000,81 3 6701 1005,https://www.kuraray.co.jp,Chemicals,Basic Materials,"Kuraray Co., Ltd. engages in the production and sale of resins, chemicals, fibers, activated carbon, and high-performance membranes and systems worldwide. The Vinyl Acetate segment manufactures and markets functional resins and films, including PVA, PVB and EVAL. The Isoprene segment engages in the manufacture and marketing of SEPTON thermoplastic elastomer, isoprene-related products, and GENESTAR. The Functional Materials segment manufactures and markets methacrylic resin, medical products, and carbon materials. The Fibers and Textiles segment manufactures and sells synthetic fibers and textiles, CLARINO manmade leather, non-woven fabrics, and other products. The Trading segment mainly processes and sells synthetic fibers and manmade leathers. The company was founded in 1926 and is headquartered in Tokyo, Japan.",4251,"{'maxAge': 1, 'name': 'Mr. Hitoshi  Kawahara', 'age': 60, 'title': 'Pres & Representative Director', 'yearBorn': 1962, 'exercisedValue': 0, 'unexercisedValue': 0}",1,8,5,4,7,1693526400,86400,2,10.9,10.9,10.9,11.0,10.9,10.9,10.9,11.0,0.36,0.0323,1703721600,0.3098,3.63,0.484609,11.111111,206,206,178,165,165,10.8,11.0,187700,183200,3686418944,6.7,11.0,0.004730217,9.511,8.4235,48.0,4.40367,EUR,200044855296,0.06665,323550416,334758016,0.06295,0.45193002,2126.783,0.005172131,1672444800,1703980800,1688083200,0.19,51941998592,0.99,0.257,1.242,FRA,EQUITY,KUY.F,KUY.F,KURARAY CO. LTD  YN 50,"Kuraray Co., Ltd.",946882800,Europe/Berlin,CEST,7200000,11.0,none,111303999488,332.491,161004994560,285893984256,1.356,2.652,779333992448,38.963,2328.396,0.04606,0.0758,241663000000,-2552999936,87980998656,0.197,0.029,0.32179,0.20659,0.115509994,JPY,
2,Tokiwabashi Tower,"2-6-4, Otemachi Chiyoda-ku",Tokyo,100-0004,Japan,81 3 6701 1000,81 3 6701 1005,https://www.kuraray.co.jp,Chemicals,Basic Materials,"Kuraray Co., Ltd. engages in the production and sale of resins, chemicals, fibers, activated carbon, and high-performance membranes and systems worldwide. The Vinyl Acetate segment manufactures and markets functional resins and films, including PVA, PVB and EVAL. The Isoprene segment engages in the manufacture and marketing of SEPTON thermoplastic elastomer, isoprene-related products, and GENESTAR. The Functional Materials segment manufactures and markets methacrylic resin, medical products, and carbon materials. The Fibers and Textiles segment manufactures and sells synthetic fibers and textiles, CLARINO manmade leather, non-woven fabrics, and other products. The Trading segment mainly processes and sells synthetic fibers and manmade leathers. The company was founded in 1926 and is headquartered in Tokyo, Japan.",4251,"{'maxAge': 1, 'name': 'Akira  Omura', 'title': 'Managing Exec. Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",1,8,5,4,7,1693526400,86400,2,10.9,10.9,10.9,11.0,10.9,10.9,10.9,11.0,0.36,0.0323,1703721600,0.3098,3.63,0.484609,11.111111,206,206,178,165,165,10.8,11.0,187700,183200,3686418944,6.7,11.0,0.004730217,9.511,8.4235,48.0,4.40367,EUR,200044855296,0.06665,323550416,334758016,0.06295,0.45193002,2126.783,0.005172131,1672444800,1703980800,1688083200,0.19,51941998592,0.99,0.257,1.242,FRA,EQUITY,KUY.F,KUY.F,KURARAY CO. LTD  YN 50,"Kuraray Co., Ltd.",946882800,Europe/Berlin,CEST,7200000,11.0,none,111303999488,332.491,161004994560,285893984256,1.356,2.652,779333992448,38.963,2328.396,0.04606,0.0758,241663000000,-2552999936,87980998656,0.197,0.029,0.32179,0.20659,0.115509994,JPY,
3,Tokiwabashi Tower,"2-6-4, Otemachi Chiyoda-ku",Tokyo,100-0004,Japan,81 3 6701 1000,81 3 6701 1005,https://www.kuraray.co.jp,Chemicals,Basic Materials,"Kuraray Co., Ltd. engages in the production and sale of resins, chemicals, fibers, activated carbon, and high-performance membranes and systems worldwide. The Vinyl Acetate segment manufactures and markets functional resins and films, including PVA, PVB and EVAL. The Isoprene segment engages in the manufacture and marketing of SEPTON thermoplastic elastomer, isoprene-related products, and GENESTAR. The Functional Materials segment manufactures and markets methacrylic resin, medical products, and carbon materials. The Fibers and Textiles segment manufactures and sells synthetic fibers and textiles, CLARINO manmade leather, non-woven fabrics, and other products. The Trading segment mainly processes and sells synthetic fibers and manmade leathers. The company was founded in 1926 and is headquartered in Tokyo, Japan.",4251,"{'maxAge': 1, 'name': 'Shinichi  Takizawa', 'title': 'Sr. Mang. of Corp. Communications Department', 'exercisedValue': 0, 'unexercisedValue': 0}",1,8,5,4,7,1693526400,86400,2,10.9,10.9,10.9,11.0,10.9,10.9,10.9,11.0,0.36,0.0323,1703721600,0.3098,3.63,0.484609,11.111111,206,206,178,165,165,10.8,11.0,187700,183200,3686418944,6.7,11.0,0.004730217,9.511,8.4235,48.0,4.40367,EUR,200044855296,0.06665,323550416,334758016,0.06295,0.45193002,2126.783,0.005172131,1672444800,1703980800,1688083200,0.19,51941998592,0.99,0.257,1.242,FRA,EQUITY,KUY.F,KUY.F,KURARAY CO. LTD  YN 50,"Kuraray Co., Ltd.",946882800,Europe/Berlin,CEST,7200000,11.0,none,111303999488,332.491,161004994560,285893984256,1.356,2.652,779333992448,38.963,2328.396,0.04606,0.0758,241663000000,-2552999936,87980998656,0.197,0.029,0.32179,0.20659,0.115509994,JPY,
4,Tokiwabashi Tower,"2-6-4, Otemachi Chiyoda-ku",Tokyo,100-0004,Japan,81 3 6701 1000,81 3 6701 1005,https://www.kuraray.co.jp,Chemicals,Basic Materials,"Kuraray Co., Ltd. engages in the production and sale of resins, chemicals, fibers, activated carbon, and high-performance membranes and systems worldwide. The Vinyl Acetate segment manufactures and markets functional resins and films, including PVA, PVB and EVAL. The Isoprene segment engages in the manufacture and marketing of SEPTON thermoplastic elastomer, isoprene-related products, and GENESTAR. The Functional Materials segment manufactures and markets methacrylic resin, medical products, and carbon materials. The Fibers and Textiles segment manufactures and sells synthetic fibers and textiles, CLARINO manmade leather, non-woven fabrics, and other products. The Trading segment mainly processes and sells synthetic fibers and manmade leathers. The company was founded in 1926 and is headquartered in Tokyo, Japan.",4251,"{'maxAge': 1, 'name': 'Satoru  Fujinami', 'title': 'Managing Exe. Officer and GM of Gen. Affairs & HR Division', 'exercisedValue': 0, 'unexercisedValue': 0}",1,8,5,4,7,1693526400,86400,2,10.9,10.9,10.9,11.0,10.9,10.9,10.9,11.0,0.36,0.0323,1703721600,0.3098,3.63,0.484609,11.111111,206,206,178,165,165,10.8,11.0,187700,183200,3686418944,6.7,11.0,0.004730217,9.511,8.4235,48.0,4.40367,EUR,200044855296,0.06665,323550416,334758016,0.06295,0.45193002,2126.783,0.005172131,1672444800,1703980800,1688083200,0.19,51941998592,0.99,0.257,1.242,FRA,EQUITY,KUY.F,KUY.F,KURARAY CO. LTD  YN 50,"Kuraray Co., Ltd.",946882800,Europe/Berlin,CEST,7200000,11.0,none,111303999488,332.491,161004994560,285893984256,1.356,2.652,779333992448,38.963,2328.396,0.04606,0.0758,241663000000,-2552999936,87980998656,0.197,0.029,0.32179,0.20659,0.115509994,JPY,
5,Tokiwabashi Tower,"2-6-4, Otemachi Chiyoda-ku",Tokyo,100-0004,Japan,81 3 6701 1000,81 3 6701 1005,https://www.kuraray.co.jp,Chemicals,Basic Materials,"Kuraray Co., Ltd. engages in the production and sale of resins, chemicals, fibers, activated carbon, and high-performance membranes and systems worldwide. The Vinyl Acetate segment manufactures and markets functional resins and films, including PVA, PVB and EVAL. The Isoprene segment engages in the manufacture and marketing of SEPTON thermoplastic elastomer, isoprene-related products, and GENESTAR. The Functional Materials segment manufactures and markets methacrylic resin, medical products, and carbon materials. The Fibers and Textiles segment manufactures and sells synthetic fibers and textiles, CLARINO manmade leather, non-woven fabrics, and other products. The Trading segment mainly processes and sells synthetic fibers and manmade leathers. The company was founded in 1926 and is headquartered in Tokyo, Japan.",4251,"{'maxAge': 1, 'name': 'Dr. Matthias  Gutweiler', 'age': 64, 'title': 'Managing Exec. Officer & Director', 'yearBorn': 1958, 'exercisedValue': 0, 'unexercisedValue': 0}",1,8,5,4,7,1693526400,86400,2,10.9,10.9,10.9,11.0,10.9,10.9,10.9,11.0,0.36,0.0323,1703721600,0.3098,3.63,0.484609,11.111111,206,206,178,165,165,10.8,11.0,187700,183200,3686418944,6.7,11.0,0.004730217,9.511,8.4235,48.0,4.40367,EUR,200044855296,0.06665,323550416,334758016,0.06295,0.45193002,2126.783,0.005172131,1672444800,1703980800,1688083200,0.19,51941998592,0.99,0.257,1.242,FRA,EQUITY,KUY.F,KUY.F,KURARAY CO. LTD  YN 50,"Kuraray Co., Ltd.",946882800,Europe/Berlin,CEST,7200000,11.0,none,111303999488,332.491,161004994560,285893984256,1.356,2.652,779333992448,38.963,2328.396,0.04606,0.0758,241663000000,-2552999936,87980998656,0.197,0.029,0.32179,0.20659,0.115509994,JPY,
6,Tokiwabashi Tower,"2-6-4, Otemachi Chiyoda-ku",Tokyo,100-0004,Japan,81 3 6701 1000,81 3 6701 1005,https://www.kuraray.co.jp,Chemicals,Basic Materials,"Kuraray Co., Ltd. engages in the production and sale of resins, chemicals, fibers, activated carbon, and high-performance membranes and systems worldwide. The Vinyl Acetate segment manufactures and markets functional resins and films, including PVA, PVB and EVAL. The Isoprene segment engages in the manufacture and marketing of SEPTON thermoplastic elastomer, isoprene-related products, and GENESTAR. The Functional Materials segment manufactures and markets methacrylic resin, medical products, and carbon materials. The Fibers and Textiles segment manufactures and sells synthetic fibers and textiles, CLARINO manmade leather, non-woven fabrics, and other products. The Trading segment mainly processes and sells synthetic fibers and manmade leathers. The company was founded in 1926 and is headquartered in Tokyo, Japan.",4251,"{'maxAge': 1, 'name': 'Mr. Hiroaya  Hayase', 'age': 66, 'title': 'Sr. Managing Exec. Officer & Representative Director', 'yearBorn': 1956, 'exercisedValue': 0, 'unexercisedValue': 0}",1,8,5,4,7,1693526400,86400,2,10.9,10.9,10.9,11.0,10.9,10.9,10.9,11.0,0.36,0.0323,1703721600,0.3098,3.63,0.484609,11.111111,206,206,178,165,165,10.8,11.0,187700,183200,3686418944,6.7,11.0,0.004730217,9.511,8.4235,48.0,4.40367,EUR,200044855296,0.06665,323550416,334758016,0.06295,0.45193002,2126.783,0.005172131,1672444800,1703980800,1688083200,0.19,51941998592,0.99,0.257,1.242,FRA,EQUITY,KUY.F,KUY.F,KURARAY CO. LTD  YN 50,"Kuraray Co., Ltd.",946882800,Europe/Berlin,CEST,7200000,11.0,none,111303999488,332.491,161004994560,285893984256,1.356,2.652,779333992448,38.963,2328.396,0.04606,0.0758,241663000000,-2552999936,87980998656,0.197,0.029,0.32179,0.20659,0.115509994,JPY,
7,Tokiwabashi Tower,"2-6-4, Otemachi Chiyoda-ku",Tokyo,100-0004,Japan,81 3 6701 1000,81 3 6701 1005,https://www.kuraray.co.jp,Chemicals,Basic Materials,"Kuraray Co., Ltd. engages in the production and sale of resins, chemicals, fibers, activated carbon, and high-performance membranes and systems worldwide. The Vinyl Acetate segment manufactures and markets functional resins and films, including PVA, PVB and EVAL. The Isoprene segment engages in the manufacture and marketing of SEPTON thermoplastic elastomer, isoprene-related products, and GENESTAR. The Functional Materials segment manufactures and markets methacrylic resin, medical products, and carbon materials. The Fibers and Textiles segment manufactures and sells synthetic fibers and textiles, CLARINO manmade leather, non-woven fabrics, and other products. The Trading segment mainly processes and sells synthetic fibers and manmade leathers. The company was founded in 1926 and is headquartered in Tokyo, Japan.",4251,"{'maxAge': 1, 'name': 'Mr. Yoshimasa  Sano', 'age': 66, 'title': 'Sr. Managing Exec. Officer & Director', 'yearBorn': 1956, 'exercisedValue': 0, 'unexercisedValue': 0}",1,8,5,4,7,1693526400,86400,2,10.9,10.9,10.9,11.0,10.9,10.9,10.9,11.0,0.36,0.0323,1703721600,0.3098,3.63,0.484609,11.111111,206,206,178,165,165,10.8,11.0,187700,183200,3686418944,6.7,11.0,0.004730217,9.511,8.4235,48.0,4.40367,EUR,200044855296,0.06665,323550416,334758016,0.06295,0.45193002,2126.783,0.005172131,1672444800,1703980800,1688083200,0.19,51941998592,0.99,0.257,1.242,FRA,EQUITY,KUY.F,KUY.F,KURARAY CO. LTD  YN 50,"Kuraray Co., Ltd.",946882800,Europe/Berlin,CEST,7200000,11.0,none,111303999488,332.491,161004994560,285893984256,1.356,2.652,779333992448,38.963,2328.396,0.04606,0.0758,241663000000,-2552999936,87980998656,0.197,0.029,0.32179,0.20659,0.115509994,JPY,
8,Tokiwabashi Tower,"2-6-4, Otemachi Chiyoda-ku",Tokyo,100-0004,Japan,81 3 6701 1000,81 3 6701 1005,https://www.kuraray.co.jp,Chemicals,Basic Materials,"Kuraray Co., Ltd. engages in the production and sale of resins, chemicals, fibers, activated carbon, and high-performance membranes and systems worldwide. The Vinyl Acetate segment manufactures and markets functional resins and films, including PVA, PVB and EVAL. The Isoprene segment engages in the manufacture and marketing of SEPTON thermoplastic elastomer, isoprene-related products, and GENESTAR. The Functional Materials segment manufactures and markets methacrylic resin, medical products, and carbon materials. The Fibers and Textiles segment manufactures and sells synthetic fibers and textiles, CLARINO manmade leather, non-woven fabrics, and other products. The Trading segment mainly processes and sells synthetic fibers and manmade leathers. The company was founded in 1926 and is headquartered in Tokyo, Japan.",4251,"{'maxAge': 1, 'name': 'Toshinori  Tsugaru', 'title': 'Managing Exec. Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",1,8,5,4,7,1693526400,86400,2,10.9,10.9,10.9,11.0,10.9,10.9,10.9,11.0,0.36,0.0323,1703721600,0.3098,3.63,0.484609,11.111111,206,206,178,165,165,10.8,11.0,187700,183200,3686418944,6.7,11.0,0.004730217,9.511,8.4235,48.0,4.40367,EUR,200044855296,0.06665,323550416,334758016,0.06295,0.45193002,2126.783,0.005172131,1672444800,1703980800,1688083200,0.19,51941998592,0.99,0.257,1.242,FRA,EQUITY,KUY.F,KUY.F,KURARAY CO. LTD  YN 50,"Kuraray Co., Ltd.",946882800,Europe/Berlin,CEST,7200000,11.0,none,111303999488,332.491,161004994560,285893984256,1.356,2.652,779333992448,38.963,2328.396,0.04606,0.0758,241663000000,-2552999936,87980998656,0.197,0.029,0.32179,0.20659,0.115509994,JPY,
9,Tokiwabashi Tower,"2-6-4, Otemachi Chiyoda-ku",Tokyo,100-0004,Japan,81 3 6701 1000,81 3 6701 1005,https://www.kuraray.co.jp,Chemicals,Basic Materials,"Kuraray Co., Ltd. engages in the production and sale of resins, chemicals, fibers, activated carbon, and high-performance membranes and systems worldwide. The Vinyl Acetate segment manufactures and markets functional resins and films, including PVA, PVB and EVAL. The Isoprene segment engages in the manufacture and marketing of SEPTON thermoplastic elastomer, isoprene-related products, and GENESTAR. The Functional Materials segment manufactures and markets methacrylic resin, medical products, and carbon materials. The Fibers and Textiles segment manufactures and sells synthetic fibers and textiles, CLARINO manmade leather, non-woven fabrics, and other products. The Trading segment mainly processes and sells synthetic fibers and manmade leathers. The company was founded in 1926 and is headquartered in Tokyo, Japan.",4251,"{'maxAge': 1, 'name': 'Mr. Nobuhiko  Takai', 'age': 62, 'title': 'Managing Exec. Officer & Director', 'yearBorn': 1960, 'exercisedValue': 0, 'unexercisedValue': 0}",1,8,5,4,7,1693526400,86400,2,10.9,10.9,10.9,11.0,10.9,10.9,10.9,11.0,0.36,0.0323,1703721600,0.3098,3.63,0.484609,11.111111,206,206,178,165,165,10.8,11.0,187700,183200,3686418944,6.7,11.0,0.004730217,9.511,8.4235,48.0,4.40367,EUR,200044855296,0.06665,323550416,334758016,0.06295,0.45193002,2126.783,0.005172131,1672444800,1703980800,1688083200,0.19,51941998592,0.99,0.257,1.242,FRA,EQUITY,KUY.F,KUY.F,KURARAY CO. LTD  YN 50,"Kuraray Co., Ltd.",946882800,Europe/Berlin,CEST,7200000,11.0,none,111303999488,332.491,161004994560,285893984256,1.356,2.652,779333992448,38.963,2328.396,0.04606,0.0758,241663000000,-2552999936,87980998656,0.197,0.029,0.32179,0.20659,0.115509994,JPY,
