,address1,address2,city,state,zip,country,phone,fax,website,industry,sector,longBusinessSummary,companyOfficers,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,fiveYearAvgDividendYield,beta,trailingPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,shortRatio,shortPercentOfFloat,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,enterpriseToRevenue,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationKey,totalCash,totalCashPerShare,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,One Franklin Parkway,"Building 970, 1st Floor",San Mateo,CA,94403,United States,650 312 3000,650 312 5646,https://www.franklintempleton.com/investor/products/mutual-funds/overview?FundID=555,Asset Management,Financial Services,"Templeton Emerging Markets Income Fund is a closed-ended fixed income mutual fund launched by Franklin Resources, Inc. It is managed by Franklin Advisers, Inc. The fund invests in the fixed income markets of emerging market countries across the globe. It primarily invests in bonds issued by sovereign or sovereign-related entities and private sector companies. The fund benchmarks the performance of its portfolio against the J.P. Morgan Emerging Markets Bond Index. Templeton Emerging Markets Income Fund was formed on September 23, 1993 and is domiciled in the United States.","{'maxAge': 1, 'name': 'Mr. Rupert Harris Johnson Jr.', 'age': 82, 'title': 'Chairman and VP', 'yearBorn': 1940, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,4,4.9027,4.91,4.91,4.95,4.9027,4.91,4.91,4.95,0.57,0.115600005,1694736000,1.27,10.06,0.523858,11.159091,76417,76417,138288,127590,127590,4.85,4.95,1300,1100,232627936,4.33,5.98,9.274609,5.0746,5.161,0.561,0.11442675,USD,282401984,0.83245003,47378400,7340,13805,1690761600,1693440000,0.0002,0.0,0.36479,0.05,0.0002,5.733,0.85644513,1672444800,1703980800,1688083200,20879656,0.44,11.259,NYQ,EQUITY,TEI,TEI,Templeton Emerging Markets Inco,Templeton Emerging Markets Income Fund,748791000,America/New_York,EDT,-14400000,4.91,none,226054,0.005,50000000,0.138,0.321,25082238,18.408,0.529,0.04126,0.075729996,25444847,13089470,17716956,-0.028,1.0,0.0,0.88392997,USD,
1,One Franklin Parkway,"Building 970, 1st Floor",San Mateo,CA,94403,United States,650 312 3000,650 312 5646,https://www.franklintempleton.com/investor/products/mutual-funds/overview?FundID=555,Asset Management,Financial Services,"Templeton Emerging Markets Income Fund is a closed-ended fixed income mutual fund launched by Franklin Resources, Inc. It is managed by Franklin Advisers, Inc. The fund invests in the fixed income markets of emerging market countries across the globe. It primarily invests in bonds issued by sovereign or sovereign-related entities and private sector companies. The fund benchmarks the performance of its portfolio against the J.P. Morgan Emerging Markets Bond Index. Templeton Emerging Markets Income Fund was formed on September 23, 1993 and is domiciled in the United States.","{'maxAge': 1, 'name': 'Dr. Michael James Hasenstab Ph.D.', 'title': 'Portfolio Mang.', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,4,4.9027,4.91,4.91,4.95,4.9027,4.91,4.91,4.95,0.57,0.115600005,1694736000,1.27,10.06,0.523858,11.159091,76417,76417,138288,127590,127590,4.85,4.95,1300,1100,232627936,4.33,5.98,9.274609,5.0746,5.161,0.561,0.11442675,USD,282401984,0.83245003,47378400,7340,13805,1690761600,1693440000,0.0002,0.0,0.36479,0.05,0.0002,5.733,0.85644513,1672444800,1703980800,1688083200,20879656,0.44,11.259,NYQ,EQUITY,TEI,TEI,Templeton Emerging Markets Inco,Templeton Emerging Markets Income Fund,748791000,America/New_York,EDT,-14400000,4.91,none,226054,0.005,50000000,0.138,0.321,25082238,18.408,0.529,0.04126,0.075729996,25444847,13089470,17716956,-0.028,1.0,0.0,0.88392997,USD,
