,address1,city,state,zip,country,phone,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,payoutRatio,beta,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,shortRatio,shortPercentOfFloat,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,forwardEps,pegRatio,enterpriseToRevenue,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,totalDebt,totalRevenue,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,409 Silverside Road,Wilmington,DE,19809,United States,302 385 5000,https://www.thebancorp.com,Banks—Regional,Financial Services,"The Bancorp, Inc. operates as the financial holding company for The Bancorp Bank, National Association that provides banking products and services in the United States. It offers a range of deposit products and services, including checking, savings, 	medical savings, money market, individual retirement, and commercial accounts; certificates of deposit; and payroll cards. The company also provides secured loans and lines of credit, such as commercial and residential real estate loans; unsecured loans and lines of credit; construction loans for residential and commercial projects; commercial vehicle and equipment leasing programs; and home equity loans and home equity lines of credit, personal lines of credit, personal installment loans, vehicle leasing, residential mortgage loans to individual customers. It offers private label banking; credit and debit card payment processing services for independent service organizations; and internet banking services. The company was incorporated in 1999 and is headquartered in Wilmington, Delaware.",717,"{'maxAge': 1, 'name': 'Mr. Damian M. Kozlowski', 'age': 57, 'title': 'CEO, Pres & Director', 'yearBorn': 1965, 'fiscalYear': 2022, 'totalPay': 3012721, 'exercisedValue': 0, 'unexercisedValue': 4433033}",8,3,5,1,3,1693526400,1672444800,86400,2,36.71,36.45,35.75,36.52,36.71,36.45,35.75,36.52,0.0,1.485822,12.244067,8.682693,675320,675320,325956,337400,337400,36.02,36.05,1200,900,1960669440,21.59,41.52,4.712491,37.0356,32.4419,0.0,0.0,USD,2072791936,0.40613997,52067349,54282100,2384463,2467507,1690761600,1693440000,0.043899998,0.03695,0.94492996,9.11,0.0542,13.736,2.6295865,1672444800,1703980800,1688083200,0.612,168976000,2.95,4.16,0.84,4.982,NMS,EQUITY,TBBK,TBBK,"The Bancorp, Inc.","The Bancorp, Inc.",1075818600,America/New_York,EDT,-14400000,36.12,47.0,42.0,45.0,46.0,2.0,buy,3,6919000,0.127,119042000,416057984,7.476,0.02305,0.24041,347416000,153640992,0.679,0.383,0.0,0.0,0.56762004,USD,
1,409 Silverside Road,Wilmington,DE,19809,United States,302 385 5000,https://www.thebancorp.com,Banks—Regional,Financial Services,"The Bancorp, Inc. operates as the financial holding company for The Bancorp Bank, National Association that provides banking products and services in the United States. It offers a range of deposit products and services, including checking, savings, 	medical savings, money market, individual retirement, and commercial accounts; certificates of deposit; and payroll cards. The company also provides secured loans and lines of credit, such as commercial and residential real estate loans; unsecured loans and lines of credit; construction loans for residential and commercial projects; commercial vehicle and equipment leasing programs; and home equity loans and home equity lines of credit, personal lines of credit, personal installment loans, vehicle leasing, residential mortgage loans to individual customers. It offers private label banking; credit and debit card payment processing services for independent service organizations; and internet banking services. The company was incorporated in 1999 and is headquartered in Wilmington, Delaware.",717,"{'maxAge': 1, 'name': 'Mr. Paul  Frenkiel CPA', 'age': 70, 'title': 'Exec. VP of Strategy, Sec., CFO & Principal Accounting Officer', 'yearBorn': 1952, 'fiscalYear': 2022, 'totalPay': 783211, 'exercisedValue': 0, 'unexercisedValue': 0}",8,3,5,1,3,1693526400,1672444800,86400,2,36.71,36.45,35.75,36.52,36.71,36.45,35.75,36.52,0.0,1.485822,12.244067,8.682693,675320,675320,325956,337400,337400,36.02,36.05,1200,900,1960669440,21.59,41.52,4.712491,37.0356,32.4419,0.0,0.0,USD,2072791936,0.40613997,52067349,54282100,2384463,2467507,1690761600,1693440000,0.043899998,0.03695,0.94492996,9.11,0.0542,13.736,2.6295865,1672444800,1703980800,1688083200,0.612,168976000,2.95,4.16,0.84,4.982,NMS,EQUITY,TBBK,TBBK,"The Bancorp, Inc.","The Bancorp, Inc.",1075818600,America/New_York,EDT,-14400000,36.12,47.0,42.0,45.0,46.0,2.0,buy,3,6919000,0.127,119042000,416057984,7.476,0.02305,0.24041,347416000,153640992,0.679,0.383,0.0,0.0,0.56762004,USD,
2,409 Silverside Road,Wilmington,DE,19809,United States,302 385 5000,https://www.thebancorp.com,Banks—Regional,Financial Services,"The Bancorp, Inc. operates as the financial holding company for The Bancorp Bank, National Association that provides banking products and services in the United States. It offers a range of deposit products and services, including checking, savings, 	medical savings, money market, individual retirement, and commercial accounts; certificates of deposit; and payroll cards. The company also provides secured loans and lines of credit, such as commercial and residential real estate loans; unsecured loans and lines of credit; construction loans for residential and commercial projects; commercial vehicle and equipment leasing programs; and home equity loans and home equity lines of credit, personal lines of credit, personal installment loans, vehicle leasing, residential mortgage loans to individual customers. It offers private label banking; credit and debit card payment processing services for independent service organizations; and internet banking services. The company was incorporated in 1999 and is headquartered in Wilmington, Delaware.",717,"{'maxAge': 1, 'name': 'Mr. Gregor J. Garry', 'age': 39, 'title': 'Exec. VP & COO', 'yearBorn': 1983, 'fiscalYear': 2022, 'totalPay': 1013205, 'exercisedValue': 0, 'unexercisedValue': 0}",8,3,5,1,3,1693526400,1672444800,86400,2,36.71,36.45,35.75,36.52,36.71,36.45,35.75,36.52,0.0,1.485822,12.244067,8.682693,675320,675320,325956,337400,337400,36.02,36.05,1200,900,1960669440,21.59,41.52,4.712491,37.0356,32.4419,0.0,0.0,USD,2072791936,0.40613997,52067349,54282100,2384463,2467507,1690761600,1693440000,0.043899998,0.03695,0.94492996,9.11,0.0542,13.736,2.6295865,1672444800,1703980800,1688083200,0.612,168976000,2.95,4.16,0.84,4.982,NMS,EQUITY,TBBK,TBBK,"The Bancorp, Inc.","The Bancorp, Inc.",1075818600,America/New_York,EDT,-14400000,36.12,47.0,42.0,45.0,46.0,2.0,buy,3,6919000,0.127,119042000,416057984,7.476,0.02305,0.24041,347416000,153640992,0.679,0.383,0.0,0.0,0.56762004,USD,
3,409 Silverside Road,Wilmington,DE,19809,United States,302 385 5000,https://www.thebancorp.com,Banks—Regional,Financial Services,"The Bancorp, Inc. operates as the financial holding company for The Bancorp Bank, National Association that provides banking products and services in the United States. It offers a range of deposit products and services, including checking, savings, 	medical savings, money market, individual retirement, and commercial accounts; certificates of deposit; and payroll cards. The company also provides secured loans and lines of credit, such as commercial and residential real estate loans; unsecured loans and lines of credit; construction loans for residential and commercial projects; commercial vehicle and equipment leasing programs; and home equity loans and home equity lines of credit, personal lines of credit, personal installment loans, vehicle leasing, residential mortgage loans to individual customers. It offers private label banking; credit and debit card payment processing services for independent service organizations; and internet banking services. The company was incorporated in 1999 and is headquartered in Wilmington, Delaware.",717,"{'maxAge': 1, 'name': 'Dr. John N. Leto', 'age': 58, 'title': 'Exec. VP & Head of Institutional Banking', 'yearBorn': 1964, 'fiscalYear': 2022, 'totalPay': 1163327, 'exercisedValue': 0, 'unexercisedValue': 0}",8,3,5,1,3,1693526400,1672444800,86400,2,36.71,36.45,35.75,36.52,36.71,36.45,35.75,36.52,0.0,1.485822,12.244067,8.682693,675320,675320,325956,337400,337400,36.02,36.05,1200,900,1960669440,21.59,41.52,4.712491,37.0356,32.4419,0.0,0.0,USD,2072791936,0.40613997,52067349,54282100,2384463,2467507,1690761600,1693440000,0.043899998,0.03695,0.94492996,9.11,0.0542,13.736,2.6295865,1672444800,1703980800,1688083200,0.612,168976000,2.95,4.16,0.84,4.982,NMS,EQUITY,TBBK,TBBK,"The Bancorp, Inc.","The Bancorp, Inc.",1075818600,America/New_York,EDT,-14400000,36.12,47.0,42.0,45.0,46.0,2.0,buy,3,6919000,0.127,119042000,416057984,7.476,0.02305,0.24041,347416000,153640992,0.679,0.383,0.0,0.0,0.56762004,USD,
4,409 Silverside Road,Wilmington,DE,19809,United States,302 385 5000,https://www.thebancorp.com,Banks—Regional,Financial Services,"The Bancorp, Inc. operates as the financial holding company for The Bancorp Bank, National Association that provides banking products and services in the United States. It offers a range of deposit products and services, including checking, savings, 	medical savings, money market, individual retirement, and commercial accounts; certificates of deposit; and payroll cards. The company also provides secured loans and lines of credit, such as commercial and residential real estate loans; unsecured loans and lines of credit; construction loans for residential and commercial projects; commercial vehicle and equipment leasing programs; and home equity loans and home equity lines of credit, personal lines of credit, personal installment loans, vehicle leasing, residential mortgage loans to individual customers. It offers private label banking; credit and debit card payment processing services for independent service organizations; and internet banking services. The company was incorporated in 1999 and is headquartered in Wilmington, Delaware.",717,"{'maxAge': 1, 'name': 'Mr. Ryan  Harris', 'age': 44, 'title': 'Exec. VP & Head of Fintech Solutions', 'yearBorn': 1978, 'fiscalYear': 2022, 'totalPay': 1161576, 'exercisedValue': 0, 'unexercisedValue': 0}",8,3,5,1,3,1693526400,1672444800,86400,2,36.71,36.45,35.75,36.52,36.71,36.45,35.75,36.52,0.0,1.485822,12.244067,8.682693,675320,675320,325956,337400,337400,36.02,36.05,1200,900,1960669440,21.59,41.52,4.712491,37.0356,32.4419,0.0,0.0,USD,2072791936,0.40613997,52067349,54282100,2384463,2467507,1690761600,1693440000,0.043899998,0.03695,0.94492996,9.11,0.0542,13.736,2.6295865,1672444800,1703980800,1688083200,0.612,168976000,2.95,4.16,0.84,4.982,NMS,EQUITY,TBBK,TBBK,"The Bancorp, Inc.","The Bancorp, Inc.",1075818600,America/New_York,EDT,-14400000,36.12,47.0,42.0,45.0,46.0,2.0,buy,3,6919000,0.127,119042000,416057984,7.476,0.02305,0.24041,347416000,153640992,0.679,0.383,0.0,0.0,0.56762004,USD,
5,409 Silverside Road,Wilmington,DE,19809,United States,302 385 5000,https://www.thebancorp.com,Banks—Regional,Financial Services,"The Bancorp, Inc. operates as the financial holding company for The Bancorp Bank, National Association that provides banking products and services in the United States. It offers a range of deposit products and services, including checking, savings, 	medical savings, money market, individual retirement, and commercial accounts; certificates of deposit; and payroll cards. The company also provides secured loans and lines of credit, such as commercial and residential real estate loans; unsecured loans and lines of credit; construction loans for residential and commercial projects; commercial vehicle and equipment leasing programs; and home equity loans and home equity lines of credit, personal lines of credit, personal installment loans, vehicle leasing, residential mortgage loans to individual customers. It offers private label banking; credit and debit card payment processing services for independent service organizations; and internet banking services. The company was incorporated in 1999 and is headquartered in Wilmington, Delaware.",717,"{'maxAge': 1, 'name': 'Mr. Matthew J. Wallace', 'title': 'Exec. VP & Chief Information Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",8,3,5,1,3,1693526400,1672444800,86400,2,36.71,36.45,35.75,36.52,36.71,36.45,35.75,36.52,0.0,1.485822,12.244067,8.682693,675320,675320,325956,337400,337400,36.02,36.05,1200,900,1960669440,21.59,41.52,4.712491,37.0356,32.4419,0.0,0.0,USD,2072791936,0.40613997,52067349,54282100,2384463,2467507,1690761600,1693440000,0.043899998,0.03695,0.94492996,9.11,0.0542,13.736,2.6295865,1672444800,1703980800,1688083200,0.612,168976000,2.95,4.16,0.84,4.982,NMS,EQUITY,TBBK,TBBK,"The Bancorp, Inc.","The Bancorp, Inc.",1075818600,America/New_York,EDT,-14400000,36.12,47.0,42.0,45.0,46.0,2.0,buy,3,6919000,0.127,119042000,416057984,7.476,0.02305,0.24041,347416000,153640992,0.679,0.383,0.0,0.0,0.56762004,USD,
6,409 Silverside Road,Wilmington,DE,19809,United States,302 385 5000,https://www.thebancorp.com,Banks—Regional,Financial Services,"The Bancorp, Inc. operates as the financial holding company for The Bancorp Bank, National Association that provides banking products and services in the United States. It offers a range of deposit products and services, including checking, savings, 	medical savings, money market, individual retirement, and commercial accounts; certificates of deposit; and payroll cards. The company also provides secured loans and lines of credit, such as commercial and residential real estate loans; unsecured loans and lines of credit; construction loans for residential and commercial projects; commercial vehicle and equipment leasing programs; and home equity loans and home equity lines of credit, personal lines of credit, personal installment loans, vehicle leasing, residential mortgage loans to individual customers. It offers private label banking; credit and debit card payment processing services for independent service organizations; and internet banking services. The company was incorporated in 1999 and is headquartered in Wilmington, Delaware.",717,"{'maxAge': 1, 'name': 'Mr. Andres  Viroslav', 'title': 'Director of Investor Relations', 'exercisedValue': 0, 'unexercisedValue': 0}",8,3,5,1,3,1693526400,1672444800,86400,2,36.71,36.45,35.75,36.52,36.71,36.45,35.75,36.52,0.0,1.485822,12.244067,8.682693,675320,675320,325956,337400,337400,36.02,36.05,1200,900,1960669440,21.59,41.52,4.712491,37.0356,32.4419,0.0,0.0,USD,2072791936,0.40613997,52067349,54282100,2384463,2467507,1690761600,1693440000,0.043899998,0.03695,0.94492996,9.11,0.0542,13.736,2.6295865,1672444800,1703980800,1688083200,0.612,168976000,2.95,4.16,0.84,4.982,NMS,EQUITY,TBBK,TBBK,"The Bancorp, Inc.","The Bancorp, Inc.",1075818600,America/New_York,EDT,-14400000,36.12,47.0,42.0,45.0,46.0,2.0,buy,3,6919000,0.127,119042000,416057984,7.476,0.02305,0.24041,347416000,153640992,0.679,0.383,0.0,0.0,0.56762004,USD,
7,409 Silverside Road,Wilmington,DE,19809,United States,302 385 5000,https://www.thebancorp.com,Banks—Regional,Financial Services,"The Bancorp, Inc. operates as the financial holding company for The Bancorp Bank, National Association that provides banking products and services in the United States. It offers a range of deposit products and services, including checking, savings, 	medical savings, money market, individual retirement, and commercial accounts; certificates of deposit; and payroll cards. The company also provides secured loans and lines of credit, such as commercial and residential real estate loans; unsecured loans and lines of credit; construction loans for residential and commercial projects; commercial vehicle and equipment leasing programs; and home equity loans and home equity lines of credit, personal lines of credit, personal installment loans, vehicle leasing, residential mortgage loans to individual customers. It offers private label banking; credit and debit card payment processing services for independent service organizations; and internet banking services. The company was incorporated in 1999 and is headquartered in Wilmington, Delaware.",717,"{'maxAge': 1, 'name': 'Mr. Thomas G. Pareigat', 'age': 62, 'title': 'Exec. VP & Gen. Counsel', 'yearBorn': 1960, 'fiscalYear': 2021, 'exercisedValue': 0, 'unexercisedValue': 0}",8,3,5,1,3,1693526400,1672444800,86400,2,36.71,36.45,35.75,36.52,36.71,36.45,35.75,36.52,0.0,1.485822,12.244067,8.682693,675320,675320,325956,337400,337400,36.02,36.05,1200,900,1960669440,21.59,41.52,4.712491,37.0356,32.4419,0.0,0.0,USD,2072791936,0.40613997,52067349,54282100,2384463,2467507,1690761600,1693440000,0.043899998,0.03695,0.94492996,9.11,0.0542,13.736,2.6295865,1672444800,1703980800,1688083200,0.612,168976000,2.95,4.16,0.84,4.982,NMS,EQUITY,TBBK,TBBK,"The Bancorp, Inc.","The Bancorp, Inc.",1075818600,America/New_York,EDT,-14400000,36.12,47.0,42.0,45.0,46.0,2.0,buy,3,6919000,0.127,119042000,416057984,7.476,0.02305,0.24041,347416000,153640992,0.679,0.383,0.0,0.0,0.56762004,USD,
8,409 Silverside Road,Wilmington,DE,19809,United States,302 385 5000,https://www.thebancorp.com,Banks—Regional,Financial Services,"The Bancorp, Inc. operates as the financial holding company for The Bancorp Bank, National Association that provides banking products and services in the United States. It offers a range of deposit products and services, including checking, savings, 	medical savings, money market, individual retirement, and commercial accounts; certificates of deposit; and payroll cards. The company also provides secured loans and lines of credit, such as commercial and residential real estate loans; unsecured loans and lines of credit; construction loans for residential and commercial projects; commercial vehicle and equipment leasing programs; and home equity loans and home equity lines of credit, personal lines of credit, personal installment loans, vehicle leasing, residential mortgage loans to individual customers. It offers private label banking; credit and debit card payment processing services for independent service organizations; and internet banking services. The company was incorporated in 1999 and is headquartered in Wilmington, Delaware.",717,"{'maxAge': 1, 'name': 'Ms. Rachel  Weiss', 'title': 'VP of Communications Mang.', 'exercisedValue': 0, 'unexercisedValue': 0}",8,3,5,1,3,1693526400,1672444800,86400,2,36.71,36.45,35.75,36.52,36.71,36.45,35.75,36.52,0.0,1.485822,12.244067,8.682693,675320,675320,325956,337400,337400,36.02,36.05,1200,900,1960669440,21.59,41.52,4.712491,37.0356,32.4419,0.0,0.0,USD,2072791936,0.40613997,52067349,54282100,2384463,2467507,1690761600,1693440000,0.043899998,0.03695,0.94492996,9.11,0.0542,13.736,2.6295865,1672444800,1703980800,1688083200,0.612,168976000,2.95,4.16,0.84,4.982,NMS,EQUITY,TBBK,TBBK,"The Bancorp, Inc.","The Bancorp, Inc.",1075818600,America/New_York,EDT,-14400000,36.12,47.0,42.0,45.0,46.0,2.0,buy,3,6919000,0.127,119042000,416057984,7.476,0.02305,0.24041,347416000,153640992,0.679,0.383,0.0,0.0,0.56762004,USD,
9,409 Silverside Road,Wilmington,DE,19809,United States,302 385 5000,https://www.thebancorp.com,Banks—Regional,Financial Services,"The Bancorp, Inc. operates as the financial holding company for The Bancorp Bank, National Association that provides banking products and services in the United States. It offers a range of deposit products and services, including checking, savings, 	medical savings, money market, individual retirement, and commercial accounts; certificates of deposit; and payroll cards. The company also provides secured loans and lines of credit, such as commercial and residential real estate loans; unsecured loans and lines of credit; construction loans for residential and commercial projects; commercial vehicle and equipment leasing programs; and home equity loans and home equity lines of credit, personal lines of credit, personal installment loans, vehicle leasing, residential mortgage loans to individual customers. It offers private label banking; credit and debit card payment processing services for independent service organizations; and internet banking services. The company was incorporated in 1999 and is headquartered in Wilmington, Delaware.",717,"{'maxAge': 1, 'name': 'Ms. Maria  Wainwright', 'title': 'Exec. VP & Chief Marketing Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",8,3,5,1,3,1693526400,1672444800,86400,2,36.71,36.45,35.75,36.52,36.71,36.45,35.75,36.52,0.0,1.485822,12.244067,8.682693,675320,675320,325956,337400,337400,36.02,36.05,1200,900,1960669440,21.59,41.52,4.712491,37.0356,32.4419,0.0,0.0,USD,2072791936,0.40613997,52067349,54282100,2384463,2467507,1690761600,1693440000,0.043899998,0.03695,0.94492996,9.11,0.0542,13.736,2.6295865,1672444800,1703980800,1688083200,0.612,168976000,2.95,4.16,0.84,4.982,NMS,EQUITY,TBBK,TBBK,"The Bancorp, Inc.","The Bancorp, Inc.",1075818600,America/New_York,EDT,-14400000,36.12,47.0,42.0,45.0,46.0,2.0,buy,3,6919000,0.127,119042000,416057984,7.476,0.02305,0.24041,347416000,153640992,0.679,0.383,0.0,0.0,0.56762004,USD,
