,address1,address2,city,state,zip,country,phone,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,exDividendDate,payoutRatio,beta,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,shortRatio,shortPercentOfFloat,bookValue,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,forwardEps,pegRatio,lastSplitFactor,lastSplitDate,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,revenuePerShare,returnOnAssets,grossProfits,freeCashflow,operatingCashflow,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,8750 North Central Expressway,Suite 1400,Dallas,TX,75231,United States,214 576 9352,https://www.mtch.com,Internet Content & Information,Communication Services,"Match Group, Inc. provides dating products worldwide. The company's portfolio of brands includes Tinder, Match, The League, Azar, Meetic, OkCupid, Hinge, Pairs, PlentyOfFish, and Hakuna, as well as a various other brands. The company was incorporated in 1986 and is based in Dallas, Texas.",2700,"{'maxAge': 1, 'name': 'Mr. Bernard J. Kim', 'age': 46, 'title': 'CEO & Director', 'yearBorn': 1976, 'fiscalYear': 2022, 'totalPay': 3009292, 'exercisedValue': 0, 'unexercisedValue': 0}",5,3,10,8,9,1693526400,1672444800,86400,2,44.04,44.04,43.6725,44.55,44.04,44.04,43.6725,44.55,1447113600,0.0,1.574583,26.920732,18.020409,6474249,6474249,4369351,4226950,4226950,44.15,44.15,1300,800,12277541888,30.73,55.41,3.8219516,45.1616,41.756973,0.0,0.0,USD,15479024640,0.14675,276515565,278087008,10779948,6388588,1690761600,1693440000,0.0388,0.00719,1.0009999,2.32,0.0509,-0.64,1672444800,1703980800,1688083200,473636000,1.64,2.45,0.74,1:1,1593648000,4.819,16.454,NMS,EQUITY,MTCH,MTCH,"Match Group, Inc.","Match Group, Inc.",727453800,America/New_York,EDT,-14400000,44.15,97.0,44.0,56.68,56.0,2.1,buy,19,740915968,2.664,940736000,3941999104,1.897,2.113,3212375040,11.493,0.07752,2231180000,704846016,835588992,0.044,0.70281,0.29285,0.16472,USD,0.7012
1,8750 North Central Expressway,Suite 1400,Dallas,TX,75231,United States,214 576 9352,https://www.mtch.com,Internet Content & Information,Communication Services,"Match Group, Inc. provides dating products worldwide. The company's portfolio of brands includes Tinder, Match, The League, Azar, Meetic, OkCupid, Hinge, Pairs, PlentyOfFish, and Hakuna, as well as a various other brands. The company was incorporated in 1986 and is based in Dallas, Texas.",2700,"{'maxAge': 1, 'name': 'Mr. Gary  Swidler', 'age': 52, 'title': 'Pres & CFO', 'yearBorn': 1970, 'fiscalYear': 2022, 'totalPay': 2685000, 'exercisedValue': 0, 'unexercisedValue': 4037896}",5,3,10,8,9,1693526400,1672444800,86400,2,44.04,44.04,43.6725,44.55,44.04,44.04,43.6725,44.55,1447113600,0.0,1.574583,26.920732,18.020409,6474249,6474249,4369351,4226950,4226950,44.15,44.15,1300,800,12277541888,30.73,55.41,3.8219516,45.1616,41.756973,0.0,0.0,USD,15479024640,0.14675,276515565,278087008,10779948,6388588,1690761600,1693440000,0.0388,0.00719,1.0009999,2.32,0.0509,-0.64,1672444800,1703980800,1688083200,473636000,1.64,2.45,0.74,1:1,1593648000,4.819,16.454,NMS,EQUITY,MTCH,MTCH,"Match Group, Inc.","Match Group, Inc.",727453800,America/New_York,EDT,-14400000,44.15,97.0,44.0,56.68,56.0,2.1,buy,19,740915968,2.664,940736000,3941999104,1.897,2.113,3212375040,11.493,0.07752,2231180000,704846016,835588992,0.044,0.70281,0.29285,0.16472,USD,0.7012
2,8750 North Central Expressway,Suite 1400,Dallas,TX,75231,United States,214 576 9352,https://www.mtch.com,Internet Content & Information,Communication Services,"Match Group, Inc. provides dating products worldwide. The company's portfolio of brands includes Tinder, Match, The League, Azar, Meetic, OkCupid, Hinge, Pairs, PlentyOfFish, and Hakuna, as well as a various other brands. The company was incorporated in 1986 and is based in Dallas, Texas.",2700,"{'maxAge': 1, 'name': 'Mr. Philip D. Eigenmann CPA', 'age': 52, 'title': 'Chief Accounting Officer', 'yearBorn': 1970, 'fiscalYear': 2022, 'totalPay': 615000, 'exercisedValue': 0, 'unexercisedValue': 460032}",5,3,10,8,9,1693526400,1672444800,86400,2,44.04,44.04,43.6725,44.55,44.04,44.04,43.6725,44.55,1447113600,0.0,1.574583,26.920732,18.020409,6474249,6474249,4369351,4226950,4226950,44.15,44.15,1300,800,12277541888,30.73,55.41,3.8219516,45.1616,41.756973,0.0,0.0,USD,15479024640,0.14675,276515565,278087008,10779948,6388588,1690761600,1693440000,0.0388,0.00719,1.0009999,2.32,0.0509,-0.64,1672444800,1703980800,1688083200,473636000,1.64,2.45,0.74,1:1,1593648000,4.819,16.454,NMS,EQUITY,MTCH,MTCH,"Match Group, Inc.","Match Group, Inc.",727453800,America/New_York,EDT,-14400000,44.15,97.0,44.0,56.68,56.0,2.1,buy,19,740915968,2.664,940736000,3941999104,1.897,2.113,3212375040,11.493,0.07752,2231180000,704846016,835588992,0.044,0.70281,0.29285,0.16472,USD,0.7012
3,8750 North Central Expressway,Suite 1400,Dallas,TX,75231,United States,214 576 9352,https://www.mtch.com,Internet Content & Information,Communication Services,"Match Group, Inc. provides dating products worldwide. The company's portfolio of brands includes Tinder, Match, The League, Azar, Meetic, OkCupid, Hinge, Pairs, PlentyOfFish, and Hakuna, as well as a various other brands. The company was incorporated in 1986 and is based in Dallas, Texas.",2700,"{'maxAge': 1, 'name': 'Mr. Jared F. Sine', 'age': 43, 'title': 'Chief Bus. Affairs & Legal Officer and Sec.', 'yearBorn': 1979, 'fiscalYear': 2022, 'totalPay': 935000, 'exercisedValue': 0, 'unexercisedValue': 679044}",5,3,10,8,9,1693526400,1672444800,86400,2,44.04,44.04,43.6725,44.55,44.04,44.04,43.6725,44.55,1447113600,0.0,1.574583,26.920732,18.020409,6474249,6474249,4369351,4226950,4226950,44.15,44.15,1300,800,12277541888,30.73,55.41,3.8219516,45.1616,41.756973,0.0,0.0,USD,15479024640,0.14675,276515565,278087008,10779948,6388588,1690761600,1693440000,0.0388,0.00719,1.0009999,2.32,0.0509,-0.64,1672444800,1703980800,1688083200,473636000,1.64,2.45,0.74,1:1,1593648000,4.819,16.454,NMS,EQUITY,MTCH,MTCH,"Match Group, Inc.","Match Group, Inc.",727453800,America/New_York,EDT,-14400000,44.15,97.0,44.0,56.68,56.0,2.1,buy,19,740915968,2.664,940736000,3941999104,1.897,2.113,3212375040,11.493,0.07752,2231180000,704846016,835588992,0.044,0.70281,0.29285,0.16472,USD,0.7012
4,8750 North Central Expressway,Suite 1400,Dallas,TX,75231,United States,214 576 9352,https://www.mtch.com,Internet Content & Information,Communication Services,"Match Group, Inc. provides dating products worldwide. The company's portfolio of brands includes Tinder, Match, The League, Azar, Meetic, OkCupid, Hinge, Pairs, PlentyOfFish, and Hakuna, as well as a various other brands. The company was incorporated in 1986 and is based in Dallas, Texas.",2700,"{'maxAge': 1, 'name': 'Mr. Sam  Ahn', 'title': 'Co-Founder & Chief Innovation Officer of Match Group Asia', 'exercisedValue': 0, 'unexercisedValue': 0}",5,3,10,8,9,1693526400,1672444800,86400,2,44.04,44.04,43.6725,44.55,44.04,44.04,43.6725,44.55,1447113600,0.0,1.574583,26.920732,18.020409,6474249,6474249,4369351,4226950,4226950,44.15,44.15,1300,800,12277541888,30.73,55.41,3.8219516,45.1616,41.756973,0.0,0.0,USD,15479024640,0.14675,276515565,278087008,10779948,6388588,1690761600,1693440000,0.0388,0.00719,1.0009999,2.32,0.0509,-0.64,1672444800,1703980800,1688083200,473636000,1.64,2.45,0.74,1:1,1593648000,4.819,16.454,NMS,EQUITY,MTCH,MTCH,"Match Group, Inc.","Match Group, Inc.",727453800,America/New_York,EDT,-14400000,44.15,97.0,44.0,56.68,56.0,2.1,buy,19,740915968,2.664,940736000,3941999104,1.897,2.113,3212375040,11.493,0.07752,2231180000,704846016,835588992,0.044,0.70281,0.29285,0.16472,USD,0.7012
5,8750 North Central Expressway,Suite 1400,Dallas,TX,75231,United States,214 576 9352,https://www.mtch.com,Internet Content & Information,Communication Services,"Match Group, Inc. provides dating products worldwide. The company's portfolio of brands includes Tinder, Match, The League, Azar, Meetic, OkCupid, Hinge, Pairs, PlentyOfFish, and Hakuna, as well as a various other brands. The company was incorporated in 1986 and is based in Dallas, Texas.",2700,"{'maxAge': 1, 'name': 'Mr. Will  Wu', 'title': 'Chief Technology Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",5,3,10,8,9,1693526400,1672444800,86400,2,44.04,44.04,43.6725,44.55,44.04,44.04,43.6725,44.55,1447113600,0.0,1.574583,26.920732,18.020409,6474249,6474249,4369351,4226950,4226950,44.15,44.15,1300,800,12277541888,30.73,55.41,3.8219516,45.1616,41.756973,0.0,0.0,USD,15479024640,0.14675,276515565,278087008,10779948,6388588,1690761600,1693440000,0.0388,0.00719,1.0009999,2.32,0.0509,-0.64,1672444800,1703980800,1688083200,473636000,1.64,2.45,0.74,1:1,1593648000,4.819,16.454,NMS,EQUITY,MTCH,MTCH,"Match Group, Inc.","Match Group, Inc.",727453800,America/New_York,EDT,-14400000,44.15,97.0,44.0,56.68,56.0,2.1,buy,19,740915968,2.664,940736000,3941999104,1.897,2.113,3212375040,11.493,0.07752,2231180000,704846016,835588992,0.044,0.70281,0.29285,0.16472,USD,0.7012
6,8750 North Central Expressway,Suite 1400,Dallas,TX,75231,United States,214 576 9352,https://www.mtch.com,Internet Content & Information,Communication Services,"Match Group, Inc. provides dating products worldwide. The company's portfolio of brands includes Tinder, Match, The League, Azar, Meetic, OkCupid, Hinge, Pairs, PlentyOfFish, and Hakuna, as well as a various other brands. The company was incorporated in 1986 and is based in Dallas, Texas.",2700,"{'maxAge': 1, 'name': 'Mr. William  Archer', 'title': 'Sr. VP and Head of Corp. Devel. & Investor Relations', 'exercisedValue': 0, 'unexercisedValue': 0}",5,3,10,8,9,1693526400,1672444800,86400,2,44.04,44.04,43.6725,44.55,44.04,44.04,43.6725,44.55,1447113600,0.0,1.574583,26.920732,18.020409,6474249,6474249,4369351,4226950,4226950,44.15,44.15,1300,800,12277541888,30.73,55.41,3.8219516,45.1616,41.756973,0.0,0.0,USD,15479024640,0.14675,276515565,278087008,10779948,6388588,1690761600,1693440000,0.0388,0.00719,1.0009999,2.32,0.0509,-0.64,1672444800,1703980800,1688083200,473636000,1.64,2.45,0.74,1:1,1593648000,4.819,16.454,NMS,EQUITY,MTCH,MTCH,"Match Group, Inc.","Match Group, Inc.",727453800,America/New_York,EDT,-14400000,44.15,97.0,44.0,56.68,56.0,2.1,buy,19,740915968,2.664,940736000,3941999104,1.897,2.113,3212375040,11.493,0.07752,2231180000,704846016,835588992,0.044,0.70281,0.29285,0.16472,USD,0.7012
7,8750 North Central Expressway,Suite 1400,Dallas,TX,75231,United States,214 576 9352,https://www.mtch.com,Internet Content & Information,Communication Services,"Match Group, Inc. provides dating products worldwide. The company's portfolio of brands includes Tinder, Match, The League, Azar, Meetic, OkCupid, Hinge, Pairs, PlentyOfFish, and Hakuna, as well as a various other brands. The company was incorporated in 1986 and is based in Dallas, Texas.",2700,"{'maxAge': 1, 'name': 'Ms. Justine  Sacco', 'title': 'Chief Communications Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",5,3,10,8,9,1693526400,1672444800,86400,2,44.04,44.04,43.6725,44.55,44.04,44.04,43.6725,44.55,1447113600,0.0,1.574583,26.920732,18.020409,6474249,6474249,4369351,4226950,4226950,44.15,44.15,1300,800,12277541888,30.73,55.41,3.8219516,45.1616,41.756973,0.0,0.0,USD,15479024640,0.14675,276515565,278087008,10779948,6388588,1690761600,1693440000,0.0388,0.00719,1.0009999,2.32,0.0509,-0.64,1672444800,1703980800,1688083200,473636000,1.64,2.45,0.74,1:1,1593648000,4.819,16.454,NMS,EQUITY,MTCH,MTCH,"Match Group, Inc.","Match Group, Inc.",727453800,America/New_York,EDT,-14400000,44.15,97.0,44.0,56.68,56.0,2.1,buy,19,740915968,2.664,940736000,3941999104,1.897,2.113,3212375040,11.493,0.07752,2231180000,704846016,835588992,0.044,0.70281,0.29285,0.16472,USD,0.7012
8,8750 North Central Expressway,Suite 1400,Dallas,TX,75231,United States,214 576 9352,https://www.mtch.com,Internet Content & Information,Communication Services,"Match Group, Inc. provides dating products worldwide. The company's portfolio of brands includes Tinder, Match, The League, Azar, Meetic, OkCupid, Hinge, Pairs, PlentyOfFish, and Hakuna, as well as a various other brands. The company was incorporated in 1986 and is based in Dallas, Texas.",2700,"{'maxAge': 1, 'name': 'Mr. D.V.  Williams', 'title': 'Chief People Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",5,3,10,8,9,1693526400,1672444800,86400,2,44.04,44.04,43.6725,44.55,44.04,44.04,43.6725,44.55,1447113600,0.0,1.574583,26.920732,18.020409,6474249,6474249,4369351,4226950,4226950,44.15,44.15,1300,800,12277541888,30.73,55.41,3.8219516,45.1616,41.756973,0.0,0.0,USD,15479024640,0.14675,276515565,278087008,10779948,6388588,1690761600,1693440000,0.0388,0.00719,1.0009999,2.32,0.0509,-0.64,1672444800,1703980800,1688083200,473636000,1.64,2.45,0.74,1:1,1593648000,4.819,16.454,NMS,EQUITY,MTCH,MTCH,"Match Group, Inc.","Match Group, Inc.",727453800,America/New_York,EDT,-14400000,44.15,97.0,44.0,56.68,56.0,2.1,buy,19,740915968,2.664,940736000,3941999104,1.897,2.113,3212375040,11.493,0.07752,2231180000,704846016,835588992,0.044,0.70281,0.29285,0.16472,USD,0.7012
9,8750 North Central Expressway,Suite 1400,Dallas,TX,75231,United States,214 576 9352,https://www.mtch.com,Internet Content & Information,Communication Services,"Match Group, Inc. provides dating products worldwide. The company's portfolio of brands includes Tinder, Match, The League, Azar, Meetic, OkCupid, Hinge, Pairs, PlentyOfFish, and Hakuna, as well as a various other brands. The company was incorporated in 1986 and is based in Dallas, Texas.",2700,"{'maxAge': 1, 'name': 'Ms. Joanne  Hawkins', 'age': 61, 'title': 'Sr. VP & Deputy Gen. Counsel', 'yearBorn': 1961, 'exercisedValue': 0, 'unexercisedValue': 0}",5,3,10,8,9,1693526400,1672444800,86400,2,44.04,44.04,43.6725,44.55,44.04,44.04,43.6725,44.55,1447113600,0.0,1.574583,26.920732,18.020409,6474249,6474249,4369351,4226950,4226950,44.15,44.15,1300,800,12277541888,30.73,55.41,3.8219516,45.1616,41.756973,0.0,0.0,USD,15479024640,0.14675,276515565,278087008,10779948,6388588,1690761600,1693440000,0.0388,0.00719,1.0009999,2.32,0.0509,-0.64,1672444800,1703980800,1688083200,473636000,1.64,2.45,0.74,1:1,1593648000,4.819,16.454,NMS,EQUITY,MTCH,MTCH,"Match Group, Inc.","Match Group, Inc.",727453800,America/New_York,EDT,-14400000,44.15,97.0,44.0,56.68,56.0,2.1,buy,19,740915968,2.664,940736000,3941999104,1.897,2.113,3212375040,11.493,0.07752,2231180000,704846016,835588992,0.044,0.70281,0.29285,0.16472,USD,0.7012
