,address1,city,state,zip,country,phone,fax,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,exDividendDate,fiveYearAvgDividendYield,beta,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,shortRatio,shortPercentOfFloat,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,forwardEps,pegRatio,lastSplitFactor,lastSplitDate,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,888 Seventh Avenue,New York,NY,10019-4499,United States,212 894 7000,201 587 0600,https://www.vno.com,REIT—Office,Real Estate,"Vornado is a fully integrated real estate investment trust (REIT) with a portfolio of premier New York City office and retail assets and the developer of the new PENN DISTRICT. While concentrated in New York, Vornado also owns the premier assets in both Chicago and San Francisco. Vornado is a real estate industry leader in sustainability, with over 27 million square feet of LEED-certified buildings and over 23 million square feet at LEED Gold or Platinum.",3146,"{'maxAge': 1, 'name': 'Mr. Steven  Roth', 'age': 80, 'title': 'Chairman & CEO', 'yearBorn': 1942, 'fiscalYear': 2022, 'totalPay': 2643328, 'exercisedValue': 0, 'unexercisedValue': 0}",2,3,9,7,6,1693526400,1672444800,86400,2,25.24,24.76,24.6,25.43,25.24,24.76,24.6,25.43,1674777600,6.09,1.444329,-419.6667,3911029,3911029,3277366,2883570,2883570,25.18,25.25,800,1300,5226562048,12.31,26.94,3.8549485,22.1316,19.1982,1.435,0.0568542,USD,14353364992,-0.27426,174519127,190544000,21732858,20636432,1690761600,1693440000,0.1141,0.08083,0.86407995,8.7,0.1701,23.892,1.0539093,1672444800,1703980800,1688083200,-0.061,-433975008,-2.25,-0.06,6.07,1237:1000,1500336000,10.587,44.559,NYQ,EQUITY,VNO,VNO,Vornado Realty Trust,Vornado Realty Trust,322151400,America/New_York,EDT,-14400000,25.18,25.0,12.0,18.2,17.5,3.5,hold,10,1439171968,7.553,322118016,9072214016,4.402,5.024,1355805952,140.115,7.071,-0.00575,-0.06323,1030760000,115810128,743059968,-0.079,0.063,0.34609002,0.23758,-0.11396,USD,
1,888 Seventh Avenue,New York,NY,10019-4499,United States,212 894 7000,201 587 0600,https://www.vno.com,REIT—Office,Real Estate,"Vornado is a fully integrated real estate investment trust (REIT) with a portfolio of premier New York City office and retail assets and the developer of the new PENN DISTRICT. While concentrated in New York, Vornado also owns the premier assets in both Chicago and San Francisco. Vornado is a real estate industry leader in sustainability, with over 27 million square feet of LEED-certified buildings and over 23 million square feet at LEED Gold or Platinum.",3146,"{'maxAge': 1, 'name': 'Mr. Michael J. Franco', 'age': 53, 'title': 'Pres & CFO', 'yearBorn': 1969, 'fiscalYear': 2022, 'totalPay': 2571790, 'exercisedValue': 0, 'unexercisedValue': 0}",2,3,9,7,6,1693526400,1672444800,86400,2,25.24,24.76,24.6,25.43,25.24,24.76,24.6,25.43,1674777600,6.09,1.444329,-419.6667,3911029,3911029,3277366,2883570,2883570,25.18,25.25,800,1300,5226562048,12.31,26.94,3.8549485,22.1316,19.1982,1.435,0.0568542,USD,14353364992,-0.27426,174519127,190544000,21732858,20636432,1690761600,1693440000,0.1141,0.08083,0.86407995,8.7,0.1701,23.892,1.0539093,1672444800,1703980800,1688083200,-0.061,-433975008,-2.25,-0.06,6.07,1237:1000,1500336000,10.587,44.559,NYQ,EQUITY,VNO,VNO,Vornado Realty Trust,Vornado Realty Trust,322151400,America/New_York,EDT,-14400000,25.18,25.0,12.0,18.2,17.5,3.5,hold,10,1439171968,7.553,322118016,9072214016,4.402,5.024,1355805952,140.115,7.071,-0.00575,-0.06323,1030760000,115810128,743059968,-0.079,0.063,0.34609002,0.23758,-0.11396,USD,
2,888 Seventh Avenue,New York,NY,10019-4499,United States,212 894 7000,201 587 0600,https://www.vno.com,REIT—Office,Real Estate,"Vornado is a fully integrated real estate investment trust (REIT) with a portfolio of premier New York City office and retail assets and the developer of the new PENN DISTRICT. While concentrated in New York, Vornado also owns the premier assets in both Chicago and San Francisco. Vornado is a real estate industry leader in sustainability, with over 27 million square feet of LEED-certified buildings and over 23 million square feet at LEED Gold or Platinum.",3146,"{'maxAge': 1, 'name': 'Mr. Glen J. Weiss', 'age': 51, 'title': 'Exec. VP of Office Leasing & Co-Head of Real Estate', 'yearBorn': 1971, 'fiscalYear': 2022, 'totalPay': 2838531, 'exercisedValue': 0, 'unexercisedValue': 0}",2,3,9,7,6,1693526400,1672444800,86400,2,25.24,24.76,24.6,25.43,25.24,24.76,24.6,25.43,1674777600,6.09,1.444329,-419.6667,3911029,3911029,3277366,2883570,2883570,25.18,25.25,800,1300,5226562048,12.31,26.94,3.8549485,22.1316,19.1982,1.435,0.0568542,USD,14353364992,-0.27426,174519127,190544000,21732858,20636432,1690761600,1693440000,0.1141,0.08083,0.86407995,8.7,0.1701,23.892,1.0539093,1672444800,1703980800,1688083200,-0.061,-433975008,-2.25,-0.06,6.07,1237:1000,1500336000,10.587,44.559,NYQ,EQUITY,VNO,VNO,Vornado Realty Trust,Vornado Realty Trust,322151400,America/New_York,EDT,-14400000,25.18,25.0,12.0,18.2,17.5,3.5,hold,10,1439171968,7.553,322118016,9072214016,4.402,5.024,1355805952,140.115,7.071,-0.00575,-0.06323,1030760000,115810128,743059968,-0.079,0.063,0.34609002,0.23758,-0.11396,USD,
3,888 Seventh Avenue,New York,NY,10019-4499,United States,212 894 7000,201 587 0600,https://www.vno.com,REIT—Office,Real Estate,"Vornado is a fully integrated real estate investment trust (REIT) with a portfolio of premier New York City office and retail assets and the developer of the new PENN DISTRICT. While concentrated in New York, Vornado also owns the premier assets in both Chicago and San Francisco. Vornado is a real estate industry leader in sustainability, with over 27 million square feet of LEED-certified buildings and over 23 million square feet at LEED Gold or Platinum.",3146,"{'maxAge': 1, 'name': 'Mr. Barry S. Langer', 'age': 43, 'title': 'Exec. VP of Devel. & Co-Head of Real Estate', 'yearBorn': 1979, 'fiscalYear': 2022, 'totalPay': 2521254, 'exercisedValue': 0, 'unexercisedValue': 0}",2,3,9,7,6,1693526400,1672444800,86400,2,25.24,24.76,24.6,25.43,25.24,24.76,24.6,25.43,1674777600,6.09,1.444329,-419.6667,3911029,3911029,3277366,2883570,2883570,25.18,25.25,800,1300,5226562048,12.31,26.94,3.8549485,22.1316,19.1982,1.435,0.0568542,USD,14353364992,-0.27426,174519127,190544000,21732858,20636432,1690761600,1693440000,0.1141,0.08083,0.86407995,8.7,0.1701,23.892,1.0539093,1672444800,1703980800,1688083200,-0.061,-433975008,-2.25,-0.06,6.07,1237:1000,1500336000,10.587,44.559,NYQ,EQUITY,VNO,VNO,Vornado Realty Trust,Vornado Realty Trust,322151400,America/New_York,EDT,-14400000,25.18,25.0,12.0,18.2,17.5,3.5,hold,10,1439171968,7.553,322118016,9072214016,4.402,5.024,1355805952,140.115,7.071,-0.00575,-0.06323,1030760000,115810128,743059968,-0.079,0.063,0.34609002,0.23758,-0.11396,USD,
4,888 Seventh Avenue,New York,NY,10019-4499,United States,212 894 7000,201 587 0600,https://www.vno.com,REIT—Office,Real Estate,"Vornado is a fully integrated real estate investment trust (REIT) with a portfolio of premier New York City office and retail assets and the developer of the new PENN DISTRICT. While concentrated in New York, Vornado also owns the premier assets in both Chicago and San Francisco. Vornado is a real estate industry leader in sustainability, with over 27 million square feet of LEED-certified buildings and over 23 million square feet at LEED Gold or Platinum.",3146,"{'maxAge': 1, 'name': 'Mr. Haim H. Chera', 'age': 52, 'title': 'Exec. VP & Head of Retail', 'yearBorn': 1970, 'fiscalYear': 2022, 'totalPay': 2815780, 'exercisedValue': 0, 'unexercisedValue': 0}",2,3,9,7,6,1693526400,1672444800,86400,2,25.24,24.76,24.6,25.43,25.24,24.76,24.6,25.43,1674777600,6.09,1.444329,-419.6667,3911029,3911029,3277366,2883570,2883570,25.18,25.25,800,1300,5226562048,12.31,26.94,3.8549485,22.1316,19.1982,1.435,0.0568542,USD,14353364992,-0.27426,174519127,190544000,21732858,20636432,1690761600,1693440000,0.1141,0.08083,0.86407995,8.7,0.1701,23.892,1.0539093,1672444800,1703980800,1688083200,-0.061,-433975008,-2.25,-0.06,6.07,1237:1000,1500336000,10.587,44.559,NYQ,EQUITY,VNO,VNO,Vornado Realty Trust,Vornado Realty Trust,322151400,America/New_York,EDT,-14400000,25.18,25.0,12.0,18.2,17.5,3.5,hold,10,1439171968,7.553,322118016,9072214016,4.402,5.024,1355805952,140.115,7.071,-0.00575,-0.06323,1030760000,115810128,743059968,-0.079,0.063,0.34609002,0.23758,-0.11396,USD,
5,888 Seventh Avenue,New York,NY,10019-4499,United States,212 894 7000,201 587 0600,https://www.vno.com,REIT—Office,Real Estate,"Vornado is a fully integrated real estate investment trust (REIT) with a portfolio of premier New York City office and retail assets and the developer of the new PENN DISTRICT. While concentrated in New York, Vornado also owns the premier assets in both Chicago and San Francisco. Vornado is a real estate industry leader in sustainability, with over 27 million square feet of LEED-certified buildings and over 23 million square feet at LEED Gold or Platinum.",3146,"{'maxAge': 1, 'name': 'Robert  Larson', 'title': 'Sr. VP of Operations', 'exercisedValue': 0, 'unexercisedValue': 0}",2,3,9,7,6,1693526400,1672444800,86400,2,25.24,24.76,24.6,25.43,25.24,24.76,24.6,25.43,1674777600,6.09,1.444329,-419.6667,3911029,3911029,3277366,2883570,2883570,25.18,25.25,800,1300,5226562048,12.31,26.94,3.8549485,22.1316,19.1982,1.435,0.0568542,USD,14353364992,-0.27426,174519127,190544000,21732858,20636432,1690761600,1693440000,0.1141,0.08083,0.86407995,8.7,0.1701,23.892,1.0539093,1672444800,1703980800,1688083200,-0.061,-433975008,-2.25,-0.06,6.07,1237:1000,1500336000,10.587,44.559,NYQ,EQUITY,VNO,VNO,Vornado Realty Trust,Vornado Realty Trust,322151400,America/New_York,EDT,-14400000,25.18,25.0,12.0,18.2,17.5,3.5,hold,10,1439171968,7.553,322118016,9072214016,4.402,5.024,1355805952,140.115,7.071,-0.00575,-0.06323,1030760000,115810128,743059968,-0.079,0.063,0.34609002,0.23758,-0.11396,USD,
6,888 Seventh Avenue,New York,NY,10019-4499,United States,212 894 7000,201 587 0600,https://www.vno.com,REIT—Office,Real Estate,"Vornado is a fully integrated real estate investment trust (REIT) with a portfolio of premier New York City office and retail assets and the developer of the new PENN DISTRICT. While concentrated in New York, Vornado also owns the premier assets in both Chicago and San Francisco. Vornado is a real estate industry leader in sustainability, with over 27 million square feet of LEED-certified buildings and over 23 million square feet at LEED Gold or Platinum.",3146,"{'maxAge': 1, 'name': 'Ms. Deirdre K. Maddock', 'title': 'Sr. VP & Chief Accounting Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",2,3,9,7,6,1693526400,1672444800,86400,2,25.24,24.76,24.6,25.43,25.24,24.76,24.6,25.43,1674777600,6.09,1.444329,-419.6667,3911029,3911029,3277366,2883570,2883570,25.18,25.25,800,1300,5226562048,12.31,26.94,3.8549485,22.1316,19.1982,1.435,0.0568542,USD,14353364992,-0.27426,174519127,190544000,21732858,20636432,1690761600,1693440000,0.1141,0.08083,0.86407995,8.7,0.1701,23.892,1.0539093,1672444800,1703980800,1688083200,-0.061,-433975008,-2.25,-0.06,6.07,1237:1000,1500336000,10.587,44.559,NYQ,EQUITY,VNO,VNO,Vornado Realty Trust,Vornado Realty Trust,322151400,America/New_York,EDT,-14400000,25.18,25.0,12.0,18.2,17.5,3.5,hold,10,1439171968,7.553,322118016,9072214016,4.402,5.024,1355805952,140.115,7.071,-0.00575,-0.06323,1030760000,115810128,743059968,-0.079,0.063,0.34609002,0.23758,-0.11396,USD,
7,888 Seventh Avenue,New York,NY,10019-4499,United States,212 894 7000,201 587 0600,https://www.vno.com,REIT—Office,Real Estate,"Vornado is a fully integrated real estate investment trust (REIT) with a portfolio of premier New York City office and retail assets and the developer of the new PENN DISTRICT. While concentrated in New York, Vornado also owns the premier assets in both Chicago and San Francisco. Vornado is a real estate industry leader in sustainability, with over 27 million square feet of LEED-certified buildings and over 23 million square feet at LEED Gold or Platinum.",3146,"{'maxAge': 1, 'name': 'Mr. Robert  Entin', 'title': 'Chief Information Officer & Exec. VP', 'exercisedValue': 0, 'unexercisedValue': 0}",2,3,9,7,6,1693526400,1672444800,86400,2,25.24,24.76,24.6,25.43,25.24,24.76,24.6,25.43,1674777600,6.09,1.444329,-419.6667,3911029,3911029,3277366,2883570,2883570,25.18,25.25,800,1300,5226562048,12.31,26.94,3.8549485,22.1316,19.1982,1.435,0.0568542,USD,14353364992,-0.27426,174519127,190544000,21732858,20636432,1690761600,1693440000,0.1141,0.08083,0.86407995,8.7,0.1701,23.892,1.0539093,1672444800,1703980800,1688083200,-0.061,-433975008,-2.25,-0.06,6.07,1237:1000,1500336000,10.587,44.559,NYQ,EQUITY,VNO,VNO,Vornado Realty Trust,Vornado Realty Trust,322151400,America/New_York,EDT,-14400000,25.18,25.0,12.0,18.2,17.5,3.5,hold,10,1439171968,7.553,322118016,9072214016,4.402,5.024,1355805952,140.115,7.071,-0.00575,-0.06323,1030760000,115810128,743059968,-0.079,0.063,0.34609002,0.23758,-0.11396,USD,
8,888 Seventh Avenue,New York,NY,10019-4499,United States,212 894 7000,201 587 0600,https://www.vno.com,REIT—Office,Real Estate,"Vornado is a fully integrated real estate investment trust (REIT) with a portfolio of premier New York City office and retail assets and the developer of the new PENN DISTRICT. While concentrated in New York, Vornado also owns the premier assets in both Chicago and San Francisco. Vornado is a real estate industry leader in sustainability, with over 27 million square feet of LEED-certified buildings and over 23 million square feet at LEED Gold or Platinum.",3146,"{'maxAge': 1, 'name': 'Mr. Thomas  Sanelli', 'age': 49, 'title': 'Exec. VP of Fin. & Chief Admin. Officer', 'yearBorn': 1973, 'exercisedValue': 0, 'unexercisedValue': 0}",2,3,9,7,6,1693526400,1672444800,86400,2,25.24,24.76,24.6,25.43,25.24,24.76,24.6,25.43,1674777600,6.09,1.444329,-419.6667,3911029,3911029,3277366,2883570,2883570,25.18,25.25,800,1300,5226562048,12.31,26.94,3.8549485,22.1316,19.1982,1.435,0.0568542,USD,14353364992,-0.27426,174519127,190544000,21732858,20636432,1690761600,1693440000,0.1141,0.08083,0.86407995,8.7,0.1701,23.892,1.0539093,1672444800,1703980800,1688083200,-0.061,-433975008,-2.25,-0.06,6.07,1237:1000,1500336000,10.587,44.559,NYQ,EQUITY,VNO,VNO,Vornado Realty Trust,Vornado Realty Trust,322151400,America/New_York,EDT,-14400000,25.18,25.0,12.0,18.2,17.5,3.5,hold,10,1439171968,7.553,322118016,9072214016,4.402,5.024,1355805952,140.115,7.071,-0.00575,-0.06323,1030760000,115810128,743059968,-0.079,0.063,0.34609002,0.23758,-0.11396,USD,
9,888 Seventh Avenue,New York,NY,10019-4499,United States,212 894 7000,201 587 0600,https://www.vno.com,REIT—Office,Real Estate,"Vornado is a fully integrated real estate investment trust (REIT) with a portfolio of premier New York City office and retail assets and the developer of the new PENN DISTRICT. While concentrated in New York, Vornado also owns the premier assets in both Chicago and San Francisco. Vornado is a real estate industry leader in sustainability, with over 27 million square feet of LEED-certified buildings and over 23 million square feet at LEED Gold or Platinum.",3146,"{'maxAge': 1, 'name': 'Ms. Catherine C. Creswell', 'title': 'Director of Investor Relations', 'exercisedValue': 0, 'unexercisedValue': 0}",2,3,9,7,6,1693526400,1672444800,86400,2,25.24,24.76,24.6,25.43,25.24,24.76,24.6,25.43,1674777600,6.09,1.444329,-419.6667,3911029,3911029,3277366,2883570,2883570,25.18,25.25,800,1300,5226562048,12.31,26.94,3.8549485,22.1316,19.1982,1.435,0.0568542,USD,14353364992,-0.27426,174519127,190544000,21732858,20636432,1690761600,1693440000,0.1141,0.08083,0.86407995,8.7,0.1701,23.892,1.0539093,1672444800,1703980800,1688083200,-0.061,-433975008,-2.25,-0.06,6.07,1237:1000,1500336000,10.587,44.559,NYQ,EQUITY,VNO,VNO,Vornado Realty Trust,Vornado Realty Trust,322151400,America/New_York,EDT,-14400000,25.18,25.0,12.0,18.2,17.5,3.5,hold,10,1439171968,7.553,322118016,9072214016,4.402,5.024,1355805952,140.115,7.071,-0.00575,-0.06323,1030760000,115810128,743059968,-0.079,0.063,0.34609002,0.23758,-0.11396,USD,
