,address1,address2,city,zip,country,phone,fax,website,industry,sector,longBusinessSummary,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,fiveYearAvgDividendYield,beta,trailingPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,lastSplitFactor,lastSplitDate,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,144 Oxford Road,Centurion gate Rosebank Melrose,Johannesburg,2196,South Africa,27 12 683 7000,27 12 683 7009,https://www.angloamericankumba.com,Steel,Basic Materials,"Kumba Iron Ore Limited, together with its subsidiaries, engages in the exploration, extraction, beneficiation, marketing, sale, and shipping of iron ore primarily in South Africa. It produces iron ore at Sishen and Kolomela mines in the Northern Cape Province. The company also operates a port in Saldanha Bay in the Western Cape Province. It supplies its iron ore to the steel industry, as well as exports to China, rest of Asia, Europe, the Middle East, North Africa, and the Americas. The company was incorporated in 2005 and is based in Johannesburg, South Africa. Kumba Iron Ore Limited operates as a subsidiary of Anglo South Africa Capital (Proprietary) Limited.","{'maxAge': 1, 'name': 'Ms. Nompumelelo D. Zikalala', 'age': 43, 'title': 'CEO & Exec. Director', 'yearBorn': 1979, 'fiscalYear': 2022, 'totalPay': 797957, 'exercisedValue': 0, 'unexercisedValue': 0}",6,3,4,7,3,1693526400,1672444800,86400,2,8.13,8.12,8.12,8.31,8.13,8.12,8.12,8.31,0.69,0.0847,1692230400,1.0888,12.63,1.141622,11.640846,791,791,2108,1100,1100,0.0,0.0,0,0,7960261632,6.3,10.9,0.11481036,7.8292,8.6661,38.9,4.784748,USD,8528291840,0.18831,160524701,963129024,0.0,0.00044,48.089527,0.17186695,1672444800,1703980800,1688083200,-0.165,13056000000,0.71,3:1,1341273600,0.123,0.247,PNK,EQUITY,KIROY,KIROY,KUMBA IRON ORE LTD ADR EACH REP,Kumba Iron Ore Limited,1201703400,America/New_York,EDT,-14400000,8.265,8.1,8.1,8.1,8.1,none,1,14725999616,15.276,34475999232,966000000,1.851,2.794,69333999616,1.589,71.93932,0.20900999,0.28184,64330000000,14716624896,24181999616,-0.165,-0.109,0.85581,0.49723998,0.41195,ZAR,
1,144 Oxford Road,Centurion gate Rosebank Melrose,Johannesburg,2196,South Africa,27 12 683 7000,27 12 683 7009,https://www.angloamericankumba.com,Steel,Basic Materials,"Kumba Iron Ore Limited, together with its subsidiaries, engages in the exploration, extraction, beneficiation, marketing, sale, and shipping of iron ore primarily in South Africa. It produces iron ore at Sishen and Kolomela mines in the Northern Cape Province. The company also operates a port in Saldanha Bay in the Western Cape Province. It supplies its iron ore to the steel industry, as well as exports to China, rest of Asia, Europe, the Middle East, North Africa, and the Americas. The company was incorporated in 2005 and is based in Johannesburg, South Africa. Kumba Iron Ore Limited operates as a subsidiary of Anglo South Africa Capital (Proprietary) Limited.","{'maxAge': 1, 'name': 'Mr. Bothwell Anesu Mazarura (CA)SA', 'age': 49, 'title': 'CFO & Exec. Director', 'yearBorn': 1973, 'fiscalYear': 2022, 'totalPay': 417189, 'exercisedValue': 0, 'unexercisedValue': 0}",6,3,4,7,3,1693526400,1672444800,86400,2,8.13,8.12,8.12,8.31,8.13,8.12,8.12,8.31,0.69,0.0847,1692230400,1.0888,12.63,1.141622,11.640846,791,791,2108,1100,1100,0.0,0.0,0,0,7960261632,6.3,10.9,0.11481036,7.8292,8.6661,38.9,4.784748,USD,8528291840,0.18831,160524701,963129024,0.0,0.00044,48.089527,0.17186695,1672444800,1703980800,1688083200,-0.165,13056000000,0.71,3:1,1341273600,0.123,0.247,PNK,EQUITY,KIROY,KIROY,KUMBA IRON ORE LTD ADR EACH REP,Kumba Iron Ore Limited,1201703400,America/New_York,EDT,-14400000,8.265,8.1,8.1,8.1,8.1,none,1,14725999616,15.276,34475999232,966000000,1.851,2.794,69333999616,1.589,71.93932,0.20900999,0.28184,64330000000,14716624896,24181999616,-0.165,-0.109,0.85581,0.49723998,0.41195,ZAR,
2,144 Oxford Road,Centurion gate Rosebank Melrose,Johannesburg,2196,South Africa,27 12 683 7000,27 12 683 7009,https://www.angloamericankumba.com,Steel,Basic Materials,"Kumba Iron Ore Limited, together with its subsidiaries, engages in the exploration, extraction, beneficiation, marketing, sale, and shipping of iron ore primarily in South Africa. It produces iron ore at Sishen and Kolomela mines in the Northern Cape Province. The company also operates a port in Saldanha Bay in the Western Cape Province. It supplies its iron ore to the steel industry, as well as exports to China, rest of Asia, Europe, the Middle East, North Africa, and the Americas. The company was incorporated in 2005 and is based in Johannesburg, South Africa. Kumba Iron Ore Limited operates as a subsidiary of Anglo South Africa Capital (Proprietary) Limited.","{'maxAge': 1, 'name': 'Mr. Vijay  Kumar', 'title': 'Chief Operating Officer', 'fiscalYear': 2022, 'totalPay': 348223, 'exercisedValue': 0, 'unexercisedValue': 0}",6,3,4,7,3,1693526400,1672444800,86400,2,8.13,8.12,8.12,8.31,8.13,8.12,8.12,8.31,0.69,0.0847,1692230400,1.0888,12.63,1.141622,11.640846,791,791,2108,1100,1100,0.0,0.0,0,0,7960261632,6.3,10.9,0.11481036,7.8292,8.6661,38.9,4.784748,USD,8528291840,0.18831,160524701,963129024,0.0,0.00044,48.089527,0.17186695,1672444800,1703980800,1688083200,-0.165,13056000000,0.71,3:1,1341273600,0.123,0.247,PNK,EQUITY,KIROY,KIROY,KUMBA IRON ORE LTD ADR EACH REP,Kumba Iron Ore Limited,1201703400,America/New_York,EDT,-14400000,8.265,8.1,8.1,8.1,8.1,none,1,14725999616,15.276,34475999232,966000000,1.851,2.794,69333999616,1.589,71.93932,0.20900999,0.28184,64330000000,14716624896,24181999616,-0.165,-0.109,0.85581,0.49723998,0.41195,ZAR,
3,144 Oxford Road,Centurion gate Rosebank Melrose,Johannesburg,2196,South Africa,27 12 683 7000,27 12 683 7009,https://www.angloamericankumba.com,Steel,Basic Materials,"Kumba Iron Ore Limited, together with its subsidiaries, engages in the exploration, extraction, beneficiation, marketing, sale, and shipping of iron ore primarily in South Africa. It produces iron ore at Sishen and Kolomela mines in the Northern Cape Province. The company also operates a port in Saldanha Bay in the Western Cape Province. It supplies its iron ore to the steel industry, as well as exports to China, rest of Asia, Europe, the Middle East, North Africa, and the Americas. The company was incorporated in 2005 and is based in Johannesburg, South Africa. Kumba Iron Ore Limited operates as a subsidiary of Anglo South Africa Capital (Proprietary) Limited.","{'maxAge': 1, 'name': 'Mr. Glen  Mc Gavigan MEng(Mining), PrSciNat, GDE', 'age': 45, 'title': 'Exec. Head of Technical & Projects', 'yearBorn': 1977, 'fiscalYear': 2022, 'totalPay': 294920, 'exercisedValue': 0, 'unexercisedValue': 0}",6,3,4,7,3,1693526400,1672444800,86400,2,8.13,8.12,8.12,8.31,8.13,8.12,8.12,8.31,0.69,0.0847,1692230400,1.0888,12.63,1.141622,11.640846,791,791,2108,1100,1100,0.0,0.0,0,0,7960261632,6.3,10.9,0.11481036,7.8292,8.6661,38.9,4.784748,USD,8528291840,0.18831,160524701,963129024,0.0,0.00044,48.089527,0.17186695,1672444800,1703980800,1688083200,-0.165,13056000000,0.71,3:1,1341273600,0.123,0.247,PNK,EQUITY,KIROY,KIROY,KUMBA IRON ORE LTD ADR EACH REP,Kumba Iron Ore Limited,1201703400,America/New_York,EDT,-14400000,8.265,8.1,8.1,8.1,8.1,none,1,14725999616,15.276,34475999232,966000000,1.851,2.794,69333999616,1.589,71.93932,0.20900999,0.28184,64330000000,14716624896,24181999616,-0.165,-0.109,0.85581,0.49723998,0.41195,ZAR,
4,144 Oxford Road,Centurion gate Rosebank Melrose,Johannesburg,2196,South Africa,27 12 683 7000,27 12 683 7009,https://www.angloamericankumba.com,Steel,Basic Materials,"Kumba Iron Ore Limited, together with its subsidiaries, engages in the exploration, extraction, beneficiation, marketing, sale, and shipping of iron ore primarily in South Africa. It produces iron ore at Sishen and Kolomela mines in the Northern Cape Province. The company also operates a port in Saldanha Bay in the Western Cape Province. It supplies its iron ore to the steel industry, as well as exports to China, rest of Asia, Europe, the Middle East, North Africa, and the Americas. The company was incorporated in 2005 and is based in Johannesburg, South Africa. Kumba Iron Ore Limited operates as a subsidiary of Anglo South Africa Capital (Proprietary) Limited.","{'maxAge': 1, 'name': 'Mr. Timo  Smit', 'age': 53, 'title': 'Exec. Head of Marketing & Seaborne Logistics', 'yearBorn': 1969, 'fiscalYear': 2022, 'totalPay': 1135032, 'exercisedValue': 0, 'unexercisedValue': 0}",6,3,4,7,3,1693526400,1672444800,86400,2,8.13,8.12,8.12,8.31,8.13,8.12,8.12,8.31,0.69,0.0847,1692230400,1.0888,12.63,1.141622,11.640846,791,791,2108,1100,1100,0.0,0.0,0,0,7960261632,6.3,10.9,0.11481036,7.8292,8.6661,38.9,4.784748,USD,8528291840,0.18831,160524701,963129024,0.0,0.00044,48.089527,0.17186695,1672444800,1703980800,1688083200,-0.165,13056000000,0.71,3:1,1341273600,0.123,0.247,PNK,EQUITY,KIROY,KIROY,KUMBA IRON ORE LTD ADR EACH REP,Kumba Iron Ore Limited,1201703400,America/New_York,EDT,-14400000,8.265,8.1,8.1,8.1,8.1,none,1,14725999616,15.276,34475999232,966000000,1.851,2.794,69333999616,1.589,71.93932,0.20900999,0.28184,64330000000,14716624896,24181999616,-0.165,-0.109,0.85581,0.49723998,0.41195,ZAR,
5,144 Oxford Road,Centurion gate Rosebank Melrose,Johannesburg,2196,South Africa,27 12 683 7000,27 12 683 7009,https://www.angloamericankumba.com,Steel,Basic Materials,"Kumba Iron Ore Limited, together with its subsidiaries, engages in the exploration, extraction, beneficiation, marketing, sale, and shipping of iron ore primarily in South Africa. It produces iron ore at Sishen and Kolomela mines in the Northern Cape Province. The company also operates a port in Saldanha Bay in the Western Cape Province. It supplies its iron ore to the steel industry, as well as exports to China, rest of Asia, Europe, the Middle East, North Africa, and the Americas. The company was incorporated in 2005 and is based in Johannesburg, South Africa. Kumba Iron Ore Limited operates as a subsidiary of Anglo South Africa Capital (Proprietary) Limited.","{'maxAge': 1, 'name': 'Ms. Simi  Ramgoolam', 'age': 44, 'title': 'Exec. Head of HR', 'yearBorn': 1978, 'fiscalYear': 2022, 'totalPay': 157574, 'exercisedValue': 0, 'unexercisedValue': 0}",6,3,4,7,3,1693526400,1672444800,86400,2,8.13,8.12,8.12,8.31,8.13,8.12,8.12,8.31,0.69,0.0847,1692230400,1.0888,12.63,1.141622,11.640846,791,791,2108,1100,1100,0.0,0.0,0,0,7960261632,6.3,10.9,0.11481036,7.8292,8.6661,38.9,4.784748,USD,8528291840,0.18831,160524701,963129024,0.0,0.00044,48.089527,0.17186695,1672444800,1703980800,1688083200,-0.165,13056000000,0.71,3:1,1341273600,0.123,0.247,PNK,EQUITY,KIROY,KIROY,KUMBA IRON ORE LTD ADR EACH REP,Kumba Iron Ore Limited,1201703400,America/New_York,EDT,-14400000,8.265,8.1,8.1,8.1,8.1,none,1,14725999616,15.276,34475999232,966000000,1.851,2.794,69333999616,1.589,71.93932,0.20900999,0.28184,64330000000,14716624896,24181999616,-0.165,-0.109,0.85581,0.49723998,0.41195,ZAR,
6,144 Oxford Road,Centurion gate Rosebank Melrose,Johannesburg,2196,South Africa,27 12 683 7000,27 12 683 7009,https://www.angloamericankumba.com,Steel,Basic Materials,"Kumba Iron Ore Limited, together with its subsidiaries, engages in the exploration, extraction, beneficiation, marketing, sale, and shipping of iron ore primarily in South Africa. It produces iron ore at Sishen and Kolomela mines in the Northern Cape Province. The company also operates a port in Saldanha Bay in the Western Cape Province. It supplies its iron ore to the steel industry, as well as exports to China, rest of Asia, Europe, the Middle East, North Africa, and the Americas. The company was incorporated in 2005 and is based in Johannesburg, South Africa. Kumba Iron Ore Limited operates as a subsidiary of Anglo South Africa Capital (Proprietary) Limited.","{'maxAge': 1, 'name': 'Mr. Samuel  Martin B.Com., C.A.', 'age': 49, 'title': 'Exec. Head of Strategy & Bus. Devel.', 'yearBorn': 1973, 'fiscalYear': 2022, 'totalPay': 266092, 'exercisedValue': 0, 'unexercisedValue': 0}",6,3,4,7,3,1693526400,1672444800,86400,2,8.13,8.12,8.12,8.31,8.13,8.12,8.12,8.31,0.69,0.0847,1692230400,1.0888,12.63,1.141622,11.640846,791,791,2108,1100,1100,0.0,0.0,0,0,7960261632,6.3,10.9,0.11481036,7.8292,8.6661,38.9,4.784748,USD,8528291840,0.18831,160524701,963129024,0.0,0.00044,48.089527,0.17186695,1672444800,1703980800,1688083200,-0.165,13056000000,0.71,3:1,1341273600,0.123,0.247,PNK,EQUITY,KIROY,KIROY,KUMBA IRON ORE LTD ADR EACH REP,Kumba Iron Ore Limited,1201703400,America/New_York,EDT,-14400000,8.265,8.1,8.1,8.1,8.1,none,1,14725999616,15.276,34475999232,966000000,1.851,2.794,69333999616,1.589,71.93932,0.20900999,0.28184,64330000000,14716624896,24181999616,-0.165,-0.109,0.85581,0.49723998,0.41195,ZAR,
7,144 Oxford Road,Centurion gate Rosebank Melrose,Johannesburg,2196,South Africa,27 12 683 7000,27 12 683 7009,https://www.angloamericankumba.com,Steel,Basic Materials,"Kumba Iron Ore Limited, together with its subsidiaries, engages in the exploration, extraction, beneficiation, marketing, sale, and shipping of iron ore primarily in South Africa. It produces iron ore at Sishen and Kolomela mines in the Northern Cape Province. The company also operates a port in Saldanha Bay in the Western Cape Province. It supplies its iron ore to the steel industry, as well as exports to China, rest of Asia, Europe, the Middle East, North Africa, and the Americas. The company was incorporated in 2005 and is based in Johannesburg, South Africa. Kumba Iron Ore Limited operates as a subsidiary of Anglo South Africa Capital (Proprietary) Limited.","{'maxAge': 1, 'name': 'Dr. Pranill  Ramchander M.A., M.Sc., Ph.D.', 'age': 52, 'title': 'Exec. Head of Corp. Affairs', 'yearBorn': 1970, 'fiscalYear': 2022, 'totalPay': 249580, 'exercisedValue': 0, 'unexercisedValue': 0}",6,3,4,7,3,1693526400,1672444800,86400,2,8.13,8.12,8.12,8.31,8.13,8.12,8.12,8.31,0.69,0.0847,1692230400,1.0888,12.63,1.141622,11.640846,791,791,2108,1100,1100,0.0,0.0,0,0,7960261632,6.3,10.9,0.11481036,7.8292,8.6661,38.9,4.784748,USD,8528291840,0.18831,160524701,963129024,0.0,0.00044,48.089527,0.17186695,1672444800,1703980800,1688083200,-0.165,13056000000,0.71,3:1,1341273600,0.123,0.247,PNK,EQUITY,KIROY,KIROY,KUMBA IRON ORE LTD ADR EACH REP,Kumba Iron Ore Limited,1201703400,America/New_York,EDT,-14400000,8.265,8.1,8.1,8.1,8.1,none,1,14725999616,15.276,34475999232,966000000,1.851,2.794,69333999616,1.589,71.93932,0.20900999,0.28184,64330000000,14716624896,24181999616,-0.165,-0.109,0.85581,0.49723998,0.41195,ZAR,
8,144 Oxford Road,Centurion gate Rosebank Melrose,Johannesburg,2196,South Africa,27 12 683 7000,27 12 683 7009,https://www.angloamericankumba.com,Steel,Basic Materials,"Kumba Iron Ore Limited, together with its subsidiaries, engages in the exploration, extraction, beneficiation, marketing, sale, and shipping of iron ore primarily in South Africa. It produces iron ore at Sishen and Kolomela mines in the Northern Cape Province. The company also operates a port in Saldanha Bay in the Western Cape Province. It supplies its iron ore to the steel industry, as well as exports to China, rest of Asia, Europe, the Middle East, North Africa, and the Americas. The company was incorporated in 2005 and is based in Johannesburg, South Africa. Kumba Iron Ore Limited operates as a subsidiary of Anglo South Africa Capital (Proprietary) Limited.","{'maxAge': 1, 'name': 'Ms. Nandi  Sibanyoni', 'age': 41, 'title': 'Exec. Head of SHE', 'yearBorn': 1981, 'fiscalYear': 2022, 'totalPay': 210771, 'exercisedValue': 0, 'unexercisedValue': 0}",6,3,4,7,3,1693526400,1672444800,86400,2,8.13,8.12,8.12,8.31,8.13,8.12,8.12,8.31,0.69,0.0847,1692230400,1.0888,12.63,1.141622,11.640846,791,791,2108,1100,1100,0.0,0.0,0,0,7960261632,6.3,10.9,0.11481036,7.8292,8.6661,38.9,4.784748,USD,8528291840,0.18831,160524701,963129024,0.0,0.00044,48.089527,0.17186695,1672444800,1703980800,1688083200,-0.165,13056000000,0.71,3:1,1341273600,0.123,0.247,PNK,EQUITY,KIROY,KIROY,KUMBA IRON ORE LTD ADR EACH REP,Kumba Iron Ore Limited,1201703400,America/New_York,EDT,-14400000,8.265,8.1,8.1,8.1,8.1,none,1,14725999616,15.276,34475999232,966000000,1.851,2.794,69333999616,1.589,71.93932,0.20900999,0.28184,64330000000,14716624896,24181999616,-0.165,-0.109,0.85581,0.49723998,0.41195,ZAR,
9,144 Oxford Road,Centurion gate Rosebank Melrose,Johannesburg,2196,South Africa,27 12 683 7000,27 12 683 7009,https://www.angloamericankumba.com,Steel,Basic Materials,"Kumba Iron Ore Limited, together with its subsidiaries, engages in the exploration, extraction, beneficiation, marketing, sale, and shipping of iron ore primarily in South Africa. It produces iron ore at Sishen and Kolomela mines in the Northern Cape Province. The company also operates a port in Saldanha Bay in the Western Cape Province. It supplies its iron ore to the steel industry, as well as exports to China, rest of Asia, Europe, the Middle East, North Africa, and the Americas. The company was incorporated in 2005 and is based in Johannesburg, South Africa. Kumba Iron Ore Limited operates as a subsidiary of Anglo South Africa Capital (Proprietary) Limited.","{'maxAge': 1, 'name': 'Ms. Fazila  Patel BA, LLB', 'age': 54, 'title': 'Company Sec.', 'yearBorn': 1968, 'fiscalYear': 2022, 'totalPay': 180456, 'exercisedValue': 0, 'unexercisedValue': 0}",6,3,4,7,3,1693526400,1672444800,86400,2,8.13,8.12,8.12,8.31,8.13,8.12,8.12,8.31,0.69,0.0847,1692230400,1.0888,12.63,1.141622,11.640846,791,791,2108,1100,1100,0.0,0.0,0,0,7960261632,6.3,10.9,0.11481036,7.8292,8.6661,38.9,4.784748,USD,8528291840,0.18831,160524701,963129024,0.0,0.00044,48.089527,0.17186695,1672444800,1703980800,1688083200,-0.165,13056000000,0.71,3:1,1341273600,0.123,0.247,PNK,EQUITY,KIROY,KIROY,KUMBA IRON ORE LTD ADR EACH REP,Kumba Iron Ore Limited,1201703400,America/New_York,EDT,-14400000,8.265,8.1,8.1,8.1,8.1,none,1,14725999616,15.276,34475999232,966000000,1.851,2.794,69333999616,1.589,71.93932,0.20900999,0.28184,64330000000,14716624896,24181999616,-0.165,-0.109,0.85581,0.49723998,0.41195,ZAR,
