,address1,address2,city,zip,country,phone,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,fiveYearAvgDividendYield,beta,trailingPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationKey,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,Building B,Fornebuporten Oksenøyveien 10 Lysaker,Fornebu,1366,Norway,47 51 35 30 00,https://akerbp.com,Oil & Gas E&P,Energy,"Aker BP ASA explores for, develops, and produces oil and gas on the Norwegian Continental Shelf. The company was formerly known as Det norske oljeselskap ASA and changed its name to Aker BP ASA in October 2016. Aker BP ASA was founded in 2001 and is headquartered in Fornebu, Norway.",2462,"{'maxAge': 1, 'name': 'Mr. Karl Johnny Hersvik', 'age': 50, 'title': 'Chief Exec. Officer', 'yearBorn': 1972, 'fiscalYear': 2022, 'totalPay': 1574000, 'exercisedValue': 0, 'unexercisedValue': 0}",7,8,7,1,8,1693526400,1672444800,86400,2,26.03,27.06,26.79,27.24,26.03,27.06,26.79,27.24,2.03,0.078200005,1689638400,1.0105001,6.2,1.475225,13.688442,1156,1156,376,322,322,27.1,27.2,150000,150000,17638336512,19.895,35.15,1.1532106,24.8232,24.8145,2.15,0.082597,EUR,20775407616,0.095410004,305876263,630430976,0.51416,0.30209,19.494,1.397353,1672444800,1703980800,1688083200,0.928,1459302016,1.99,1.358,1.491,FRA,EQUITY,ARC.F,ARC.F,AKER BP NK 1,Aker BP ASA,1209621600,Europe/Berlin,CEST,7200000,27.24,none,2688845056,4.256,13938274304,6254212096,0.815,0.888,15294982144,50.781,24.172,0.18996,0.119729996,6128300544,4970958848,0.098,0.624,0.93693,0.91129994,0.73983,USD,
1,Building B,Fornebuporten Oksenøyveien 10 Lysaker,Fornebu,1366,Norway,47 51 35 30 00,https://akerbp.com,Oil & Gas E&P,Energy,"Aker BP ASA explores for, develops, and produces oil and gas on the Norwegian Continental Shelf. The company was formerly known as Det norske oljeselskap ASA and changed its name to Aker BP ASA in October 2016. Aker BP ASA was founded in 2001 and is headquartered in Fornebu, Norway.",2462,"{'maxAge': 1, 'name': 'Mr. David Torvik Tonne', 'age': 37, 'title': 'Chief Financial Officer', 'yearBorn': 1985, 'fiscalYear': 2022, 'totalPay': 599000, 'exercisedValue': 0, 'unexercisedValue': 0}",7,8,7,1,8,1693526400,1672444800,86400,2,26.03,27.06,26.79,27.24,26.03,27.06,26.79,27.24,2.03,0.078200005,1689638400,1.0105001,6.2,1.475225,13.688442,1156,1156,376,322,322,27.1,27.2,150000,150000,17638336512,19.895,35.15,1.1532106,24.8232,24.8145,2.15,0.082597,EUR,20775407616,0.095410004,305876263,630430976,0.51416,0.30209,19.494,1.397353,1672444800,1703980800,1688083200,0.928,1459302016,1.99,1.358,1.491,FRA,EQUITY,ARC.F,ARC.F,AKER BP NK 1,Aker BP ASA,1209621600,Europe/Berlin,CEST,7200000,27.24,none,2688845056,4.256,13938274304,6254212096,0.815,0.888,15294982144,50.781,24.172,0.18996,0.119729996,6128300544,4970958848,0.098,0.624,0.93693,0.91129994,0.73983,USD,
2,Building B,Fornebuporten Oksenøyveien 10 Lysaker,Fornebu,1366,Norway,47 51 35 30 00,https://akerbp.com,Oil & Gas E&P,Energy,"Aker BP ASA explores for, develops, and produces oil and gas on the Norwegian Continental Shelf. The company was formerly known as Det norske oljeselskap ASA and changed its name to Aker BP ASA in October 2016. Aker BP ASA was founded in 2001 and is headquartered in Fornebu, Norway.",2462,"{'maxAge': 1, 'name': 'Mr. Per Harald Kongelf', 'age': 63, 'title': 'Chief Operating Officer', 'yearBorn': 1959, 'fiscalYear': 2022, 'totalPay': 626000, 'exercisedValue': 0, 'unexercisedValue': 0}",7,8,7,1,8,1693526400,1672444800,86400,2,26.03,27.06,26.79,27.24,26.03,27.06,26.79,27.24,2.03,0.078200005,1689638400,1.0105001,6.2,1.475225,13.688442,1156,1156,376,322,322,27.1,27.2,150000,150000,17638336512,19.895,35.15,1.1532106,24.8232,24.8145,2.15,0.082597,EUR,20775407616,0.095410004,305876263,630430976,0.51416,0.30209,19.494,1.397353,1672444800,1703980800,1688083200,0.928,1459302016,1.99,1.358,1.491,FRA,EQUITY,ARC.F,ARC.F,AKER BP NK 1,Aker BP ASA,1209621600,Europe/Berlin,CEST,7200000,27.24,none,2688845056,4.256,13938274304,6254212096,0.815,0.888,15294982144,50.781,24.172,0.18996,0.119729996,6128300544,4970958848,0.098,0.624,0.93693,0.91129994,0.73983,USD,
3,Building B,Fornebuporten Oksenøyveien 10 Lysaker,Fornebu,1366,Norway,47 51 35 30 00,https://akerbp.com,Oil & Gas E&P,Energy,"Aker BP ASA explores for, develops, and produces oil and gas on the Norwegian Continental Shelf. The company was formerly known as Det norske oljeselskap ASA and changed its name to Aker BP ASA in October 2016. Aker BP ASA was founded in 2001 and is headquartered in Fornebu, Norway.",2462,"{'maxAge': 1, 'name': 'Ms. Marit  Blaasmo', 'age': 47, 'title': 'Sr. VP of People and Safety', 'yearBorn': 1975, 'fiscalYear': 2022, 'totalPay': 448000, 'exercisedValue': 0, 'unexercisedValue': 0}",7,8,7,1,8,1693526400,1672444800,86400,2,26.03,27.06,26.79,27.24,26.03,27.06,26.79,27.24,2.03,0.078200005,1689638400,1.0105001,6.2,1.475225,13.688442,1156,1156,376,322,322,27.1,27.2,150000,150000,17638336512,19.895,35.15,1.1532106,24.8232,24.8145,2.15,0.082597,EUR,20775407616,0.095410004,305876263,630430976,0.51416,0.30209,19.494,1.397353,1672444800,1703980800,1688083200,0.928,1459302016,1.99,1.358,1.491,FRA,EQUITY,ARC.F,ARC.F,AKER BP NK 1,Aker BP ASA,1209621600,Europe/Berlin,CEST,7200000,27.24,none,2688845056,4.256,13938274304,6254212096,0.815,0.888,15294982144,50.781,24.172,0.18996,0.119729996,6128300544,4970958848,0.098,0.624,0.93693,0.91129994,0.73983,USD,
4,Building B,Fornebuporten Oksenøyveien 10 Lysaker,Fornebu,1366,Norway,47 51 35 30 00,https://akerbp.com,Oil & Gas E&P,Energy,"Aker BP ASA explores for, develops, and produces oil and gas on the Norwegian Continental Shelf. The company was formerly known as Det norske oljeselskap ASA and changed its name to Aker BP ASA in October 2016. Aker BP ASA was founded in 2001 and is headquartered in Fornebu, Norway.",2462,"{'maxAge': 1, 'name': 'Mr. Terje  Solheim', 'age': 60, 'title': 'GM of Harstad Office & Employee Representative Director', 'yearBorn': 1962, 'fiscalYear': 2022, 'totalPay': 24000, 'exercisedValue': 0, 'unexercisedValue': 0}",7,8,7,1,8,1693526400,1672444800,86400,2,26.03,27.06,26.79,27.24,26.03,27.06,26.79,27.24,2.03,0.078200005,1689638400,1.0105001,6.2,1.475225,13.688442,1156,1156,376,322,322,27.1,27.2,150000,150000,17638336512,19.895,35.15,1.1532106,24.8232,24.8145,2.15,0.082597,EUR,20775407616,0.095410004,305876263,630430976,0.51416,0.30209,19.494,1.397353,1672444800,1703980800,1688083200,0.928,1459302016,1.99,1.358,1.491,FRA,EQUITY,ARC.F,ARC.F,AKER BP NK 1,Aker BP ASA,1209621600,Europe/Berlin,CEST,7200000,27.24,none,2688845056,4.256,13938274304,6254212096,0.815,0.888,15294982144,50.781,24.172,0.18996,0.119729996,6128300544,4970958848,0.098,0.624,0.93693,0.91129994,0.73983,USD,
5,Building B,Fornebuporten Oksenøyveien 10 Lysaker,Fornebu,1366,Norway,47 51 35 30 00,https://akerbp.com,Oil & Gas E&P,Energy,"Aker BP ASA explores for, develops, and produces oil and gas on the Norwegian Continental Shelf. The company was formerly known as Det norske oljeselskap ASA and changed its name to Aker BP ASA in October 2016. Aker BP ASA was founded in 2001 and is headquartered in Fornebu, Norway.",2462,"{'maxAge': 1, 'name': 'Mr. Arne Tommy Sigmundstad', 'age': 52, 'title': 'Sr. VP of Drilling & Wells', 'yearBorn': 1970, 'fiscalYear': 2022, 'totalPay': 554000, 'exercisedValue': 0, 'unexercisedValue': 0}",7,8,7,1,8,1693526400,1672444800,86400,2,26.03,27.06,26.79,27.24,26.03,27.06,26.79,27.24,2.03,0.078200005,1689638400,1.0105001,6.2,1.475225,13.688442,1156,1156,376,322,322,27.1,27.2,150000,150000,17638336512,19.895,35.15,1.1532106,24.8232,24.8145,2.15,0.082597,EUR,20775407616,0.095410004,305876263,630430976,0.51416,0.30209,19.494,1.397353,1672444800,1703980800,1688083200,0.928,1459302016,1.99,1.358,1.491,FRA,EQUITY,ARC.F,ARC.F,AKER BP NK 1,Aker BP ASA,1209621600,Europe/Berlin,CEST,7200000,27.24,none,2688845056,4.256,13938274304,6254212096,0.815,0.888,15294982144,50.781,24.172,0.18996,0.119729996,6128300544,4970958848,0.098,0.624,0.93693,0.91129994,0.73983,USD,
6,Building B,Fornebuporten Oksenøyveien 10 Lysaker,Fornebu,1366,Norway,47 51 35 30 00,https://akerbp.com,Oil & Gas E&P,Energy,"Aker BP ASA explores for, develops, and produces oil and gas on the Norwegian Continental Shelf. The company was formerly known as Det norske oljeselskap ASA and changed its name to Aker BP ASA in October 2016. Aker BP ASA was founded in 2001 and is headquartered in Fornebu, Norway.",2462,"{'maxAge': 1, 'name': 'Mr. Ole-Johan  Molvig', 'age': 50, 'title': 'Sr. VP of Valhall', 'yearBorn': 1972, 'fiscalYear': 2022, 'totalPay': 1560000, 'exercisedValue': 0, 'unexercisedValue': 0}",7,8,7,1,8,1693526400,1672444800,86400,2,26.03,27.06,26.79,27.24,26.03,27.06,26.79,27.24,2.03,0.078200005,1689638400,1.0105001,6.2,1.475225,13.688442,1156,1156,376,322,322,27.1,27.2,150000,150000,17638336512,19.895,35.15,1.1532106,24.8232,24.8145,2.15,0.082597,EUR,20775407616,0.095410004,305876263,630430976,0.51416,0.30209,19.494,1.397353,1672444800,1703980800,1688083200,0.928,1459302016,1.99,1.358,1.491,FRA,EQUITY,ARC.F,ARC.F,AKER BP NK 1,Aker BP ASA,1209621600,Europe/Berlin,CEST,7200000,27.24,none,2688845056,4.256,13938274304,6254212096,0.815,0.888,15294982144,50.781,24.172,0.18996,0.119729996,6128300544,4970958848,0.098,0.624,0.93693,0.91129994,0.73983,USD,
7,Building B,Fornebuporten Oksenøyveien 10 Lysaker,Fornebu,1366,Norway,47 51 35 30 00,https://akerbp.com,Oil & Gas E&P,Energy,"Aker BP ASA explores for, develops, and produces oil and gas on the Norwegian Continental Shelf. The company was formerly known as Det norske oljeselskap ASA and changed its name to Aker BP ASA in October 2016. Aker BP ASA was founded in 2001 and is headquartered in Fornebu, Norway.",2462,"{'maxAge': 1, 'name': 'Mr. Knut Arne Kristian Sandvik', 'age': 60, 'title': 'Sr. VP of Projects', 'yearBorn': 1962, 'fiscalYear': 2022, 'totalPay': 585000, 'exercisedValue': 0, 'unexercisedValue': 0}",7,8,7,1,8,1693526400,1672444800,86400,2,26.03,27.06,26.79,27.24,26.03,27.06,26.79,27.24,2.03,0.078200005,1689638400,1.0105001,6.2,1.475225,13.688442,1156,1156,376,322,322,27.1,27.2,150000,150000,17638336512,19.895,35.15,1.1532106,24.8232,24.8145,2.15,0.082597,EUR,20775407616,0.095410004,305876263,630430976,0.51416,0.30209,19.494,1.397353,1672444800,1703980800,1688083200,0.928,1459302016,1.99,1.358,1.491,FRA,EQUITY,ARC.F,ARC.F,AKER BP NK 1,Aker BP ASA,1209621600,Europe/Berlin,CEST,7200000,27.24,none,2688845056,4.256,13938274304,6254212096,0.815,0.888,15294982144,50.781,24.172,0.18996,0.119729996,6128300544,4970958848,0.098,0.624,0.93693,0.91129994,0.73983,USD,
8,Building B,Fornebuporten Oksenøyveien 10 Lysaker,Fornebu,1366,Norway,47 51 35 30 00,https://akerbp.com,Oil & Gas E&P,Energy,"Aker BP ASA explores for, develops, and produces oil and gas on the Norwegian Continental Shelf. The company was formerly known as Det norske oljeselskap ASA and changed its name to Aker BP ASA in October 2016. Aker BP ASA was founded in 2001 and is headquartered in Fornebu, Norway.",2462,"{'maxAge': 1, 'name': 'Ms. Ine  Dolve', 'age': 47, 'title': 'Sr. VP of Alvheim', 'yearBorn': 1975, 'fiscalYear': 2022, 'totalPay': 562000, 'exercisedValue': 0, 'unexercisedValue': 0}",7,8,7,1,8,1693526400,1672444800,86400,2,26.03,27.06,26.79,27.24,26.03,27.06,26.79,27.24,2.03,0.078200005,1689638400,1.0105001,6.2,1.475225,13.688442,1156,1156,376,322,322,27.1,27.2,150000,150000,17638336512,19.895,35.15,1.1532106,24.8232,24.8145,2.15,0.082597,EUR,20775407616,0.095410004,305876263,630430976,0.51416,0.30209,19.494,1.397353,1672444800,1703980800,1688083200,0.928,1459302016,1.99,1.358,1.491,FRA,EQUITY,ARC.F,ARC.F,AKER BP NK 1,Aker BP ASA,1209621600,Europe/Berlin,CEST,7200000,27.24,none,2688845056,4.256,13938274304,6254212096,0.815,0.888,15294982144,50.781,24.172,0.18996,0.119729996,6128300544,4970958848,0.098,0.624,0.93693,0.91129994,0.73983,USD,
9,Building B,Fornebuporten Oksenøyveien 10 Lysaker,Fornebu,1366,Norway,47 51 35 30 00,https://akerbp.com,Oil & Gas E&P,Energy,"Aker BP ASA explores for, develops, and produces oil and gas on the Norwegian Continental Shelf. The company was formerly known as Det norske oljeselskap ASA and changed its name to Aker BP ASA in October 2016. Aker BP ASA was founded in 2001 and is headquartered in Fornebu, Norway.",2462,"{'maxAge': 1, 'name': 'Mr. Lars  Hoeier', 'age': 55, 'title': 'Sr. VP- NOAKA', 'yearBorn': 1967, 'fiscalYear': 2022, 'totalPay': 553000, 'exercisedValue': 0, 'unexercisedValue': 0}",7,8,7,1,8,1693526400,1672444800,86400,2,26.03,27.06,26.79,27.24,26.03,27.06,26.79,27.24,2.03,0.078200005,1689638400,1.0105001,6.2,1.475225,13.688442,1156,1156,376,322,322,27.1,27.2,150000,150000,17638336512,19.895,35.15,1.1532106,24.8232,24.8145,2.15,0.082597,EUR,20775407616,0.095410004,305876263,630430976,0.51416,0.30209,19.494,1.397353,1672444800,1703980800,1688083200,0.928,1459302016,1.99,1.358,1.491,FRA,EQUITY,ARC.F,ARC.F,AKER BP NK 1,Aker BP ASA,1209621600,Europe/Berlin,CEST,7200000,27.24,none,2688845056,4.256,13938274304,6254212096,0.815,0.888,15294982144,50.781,24.172,0.18996,0.119729996,6128300544,4970958848,0.098,0.624,0.93693,0.91129994,0.73983,USD,
