,address1,city,country,website,industry,sector,longBusinessSummary,companyOfficers,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,exDividendDate,payoutRatio,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,forwardEps,lastSplitFactor,lastSplitDate,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,Worcester Six Business Park,Worcester,United Kingdom,https://www.victoriaplc.com,"Furnishings, Fixtures & Appliances",Consumer Cyclical,"Victoria PLC, together with its subsidiaries, designs, manufactures, and distributes flooring products primarily in the United Kingdom, Spain, Italy, the Netherlands, Belgium, Turkey, the United States, and Australia. The company operates through four segments: UK & Europe Soft Flooring, UK & Europe Ceramic Tiles, Australia, and North America. It offers a range of wool and synthetic broadloom carpets, ceramic and porcelain tiles, flooring underlays, luxury vinyl tiles (LVT), hardwood flooring products, artificial grass, carpet tiles, and flooring accessories, as well as markets and distributes LVT and hardwood flooring products. The company also offers logistics services. It provides its products under various brands. The company was founded in 1895 and is headquartered in Worcester, the United Kingdom.","{'maxAge': 1, 'name': 'Mr. Geoffrey  Wilding', 'title': 'Exec. Chairman', 'fiscalYear': 2022, 'totalPay': 65000, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,2,624.0,638.0,614.0,638.7,624.0,638.0,614.0,638.7,1405468800,0.0,2038.7097,10.2931595,872588,872588,371067,452824,452824,632.0,700.0,0,0,726806272,386.0,729.5,0.49101898,636.02,552.18,0.0,0.0,GBp,1831968896,-0.06202,55630817,115001000,0.3426,0.54669,1.036,610.0386,1680307200,1711929600,1680307200,-91800000,0.31,61.4,5:1,1473638400,1.238,105.286,LSE,EQUITY,VCP.L,VCP.L,VICTORIA PLC ORD 5P,Victoria PLC,583743600,Europe/London,BST,3600000,632.0,880.0,800.0,840.0,840.0,1.5,strong_buy,2,119100000,1.036,17400000,1224800000,0.84,1.558,1480199936,1029.244,12.795,-0.040549997,-0.5709,445600000,-140124992,89100000,0.326,0.29368,0.01175,-0.07742,GBP,
1,Worcester Six Business Park,Worcester,United Kingdom,https://www.victoriaplc.com,"Furnishings, Fixtures & Appliances",Consumer Cyclical,"Victoria PLC, together with its subsidiaries, designs, manufactures, and distributes flooring products primarily in the United Kingdom, Spain, Italy, the Netherlands, Belgium, Turkey, the United States, and Australia. The company operates through four segments: UK & Europe Soft Flooring, UK & Europe Ceramic Tiles, Australia, and North America. It offers a range of wool and synthetic broadloom carpets, ceramic and porcelain tiles, flooring underlays, luxury vinyl tiles (LVT), hardwood flooring products, artificial grass, carpet tiles, and flooring accessories, as well as markets and distributes LVT and hardwood flooring products. The company also offers logistics services. It provides its products under various brands. The company was founded in 1895 and is headquartered in Worcester, the United Kingdom.","{'maxAge': 1, 'name': 'Mr. Philippe  Hamers', 'age': 58, 'title': 'CEO & Exec. Director', 'yearBorn': 1964, 'fiscalYear': 2022, 'totalPay': 1033000, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,2,624.0,638.0,614.0,638.7,624.0,638.0,614.0,638.7,1405468800,0.0,2038.7097,10.2931595,872588,872588,371067,452824,452824,632.0,700.0,0,0,726806272,386.0,729.5,0.49101898,636.02,552.18,0.0,0.0,GBp,1831968896,-0.06202,55630817,115001000,0.3426,0.54669,1.036,610.0386,1680307200,1711929600,1680307200,-91800000,0.31,61.4,5:1,1473638400,1.238,105.286,LSE,EQUITY,VCP.L,VCP.L,VICTORIA PLC ORD 5P,Victoria PLC,583743600,Europe/London,BST,3600000,632.0,880.0,800.0,840.0,840.0,1.5,strong_buy,2,119100000,1.036,17400000,1224800000,0.84,1.558,1480199936,1029.244,12.795,-0.040549997,-0.5709,445600000,-140124992,89100000,0.326,0.29368,0.01175,-0.07742,GBP,
2,Worcester Six Business Park,Worcester,United Kingdom,https://www.victoriaplc.com,"Furnishings, Fixtures & Appliances",Consumer Cyclical,"Victoria PLC, together with its subsidiaries, designs, manufactures, and distributes flooring products primarily in the United Kingdom, Spain, Italy, the Netherlands, Belgium, Turkey, the United States, and Australia. The company operates through four segments: UK & Europe Soft Flooring, UK & Europe Ceramic Tiles, Australia, and North America. It offers a range of wool and synthetic broadloom carpets, ceramic and porcelain tiles, flooring underlays, luxury vinyl tiles (LVT), hardwood flooring products, artificial grass, carpet tiles, and flooring accessories, as well as markets and distributes LVT and hardwood flooring products. The company also offers logistics services. It provides its products under various brands. The company was founded in 1895 and is headquartered in Worcester, the United Kingdom.","{'maxAge': 1, 'name': 'Mr. Brian  Morgan', 'age': 49, 'title': 'CFO & Director', 'yearBorn': 1973, 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,2,624.0,638.0,614.0,638.7,624.0,638.0,614.0,638.7,1405468800,0.0,2038.7097,10.2931595,872588,872588,371067,452824,452824,632.0,700.0,0,0,726806272,386.0,729.5,0.49101898,636.02,552.18,0.0,0.0,GBp,1831968896,-0.06202,55630817,115001000,0.3426,0.54669,1.036,610.0386,1680307200,1711929600,1680307200,-91800000,0.31,61.4,5:1,1473638400,1.238,105.286,LSE,EQUITY,VCP.L,VCP.L,VICTORIA PLC ORD 5P,Victoria PLC,583743600,Europe/London,BST,3600000,632.0,880.0,800.0,840.0,840.0,1.5,strong_buy,2,119100000,1.036,17400000,1224800000,0.84,1.558,1480199936,1029.244,12.795,-0.040549997,-0.5709,445600000,-140124992,89100000,0.326,0.29368,0.01175,-0.07742,GBP,
3,Worcester Six Business Park,Worcester,United Kingdom,https://www.victoriaplc.com,"Furnishings, Fixtures & Appliances",Consumer Cyclical,"Victoria PLC, together with its subsidiaries, designs, manufactures, and distributes flooring products primarily in the United Kingdom, Spain, Italy, the Netherlands, Belgium, Turkey, the United States, and Australia. The company operates through four segments: UK & Europe Soft Flooring, UK & Europe Ceramic Tiles, Australia, and North America. It offers a range of wool and synthetic broadloom carpets, ceramic and porcelain tiles, flooring underlays, luxury vinyl tiles (LVT), hardwood flooring products, artificial grass, carpet tiles, and flooring accessories, as well as markets and distributes LVT and hardwood flooring products. The company also offers logistics services. It provides its products under various brands. The company was founded in 1895 and is headquartered in Worcester, the United Kingdom.","{'maxAge': 1, 'name': 'Mr. John  Shirt', 'title': 'Managing Director of Westex Carpets', 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,2,624.0,638.0,614.0,638.7,624.0,638.0,614.0,638.7,1405468800,0.0,2038.7097,10.2931595,872588,872588,371067,452824,452824,632.0,700.0,0,0,726806272,386.0,729.5,0.49101898,636.02,552.18,0.0,0.0,GBp,1831968896,-0.06202,55630817,115001000,0.3426,0.54669,1.036,610.0386,1680307200,1711929600,1680307200,-91800000,0.31,61.4,5:1,1473638400,1.238,105.286,LSE,EQUITY,VCP.L,VCP.L,VICTORIA PLC ORD 5P,Victoria PLC,583743600,Europe/London,BST,3600000,632.0,880.0,800.0,840.0,840.0,1.5,strong_buy,2,119100000,1.036,17400000,1224800000,0.84,1.558,1480199936,1029.244,12.795,-0.040549997,-0.5709,445600000,-140124992,89100000,0.326,0.29368,0.01175,-0.07742,GBP,
4,Worcester Six Business Park,Worcester,United Kingdom,https://www.victoriaplc.com,"Furnishings, Fixtures & Appliances",Consumer Cyclical,"Victoria PLC, together with its subsidiaries, designs, manufactures, and distributes flooring products primarily in the United Kingdom, Spain, Italy, the Netherlands, Belgium, Turkey, the United States, and Australia. The company operates through four segments: UK & Europe Soft Flooring, UK & Europe Ceramic Tiles, Australia, and North America. It offers a range of wool and synthetic broadloom carpets, ceramic and porcelain tiles, flooring underlays, luxury vinyl tiles (LVT), hardwood flooring products, artificial grass, carpet tiles, and flooring accessories, as well as markets and distributes LVT and hardwood flooring products. The company also offers logistics services. It provides its products under various brands. The company was founded in 1895 and is headquartered in Worcester, the United Kingdom.","{'maxAge': 1, 'name': 'Mr. John  Cooper', 'title': 'Managing Director of Interfloor', 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,2,624.0,638.0,614.0,638.7,624.0,638.0,614.0,638.7,1405468800,0.0,2038.7097,10.2931595,872588,872588,371067,452824,452824,632.0,700.0,0,0,726806272,386.0,729.5,0.49101898,636.02,552.18,0.0,0.0,GBp,1831968896,-0.06202,55630817,115001000,0.3426,0.54669,1.036,610.0386,1680307200,1711929600,1680307200,-91800000,0.31,61.4,5:1,1473638400,1.238,105.286,LSE,EQUITY,VCP.L,VCP.L,VICTORIA PLC ORD 5P,Victoria PLC,583743600,Europe/London,BST,3600000,632.0,880.0,800.0,840.0,840.0,1.5,strong_buy,2,119100000,1.036,17400000,1224800000,0.84,1.558,1480199936,1029.244,12.795,-0.040549997,-0.5709,445600000,-140124992,89100000,0.326,0.29368,0.01175,-0.07742,GBP,
5,Worcester Six Business Park,Worcester,United Kingdom,https://www.victoriaplc.com,"Furnishings, Fixtures & Appliances",Consumer Cyclical,"Victoria PLC, together with its subsidiaries, designs, manufactures, and distributes flooring products primarily in the United Kingdom, Spain, Italy, the Netherlands, Belgium, Turkey, the United States, and Australia. The company operates through four segments: UK & Europe Soft Flooring, UK & Europe Ceramic Tiles, Australia, and North America. It offers a range of wool and synthetic broadloom carpets, ceramic and porcelain tiles, flooring underlays, luxury vinyl tiles (LVT), hardwood flooring products, artificial grass, carpet tiles, and flooring accessories, as well as markets and distributes LVT and hardwood flooring products. The company also offers logistics services. It provides its products under various brands. The company was founded in 1895 and is headquartered in Worcester, the United Kingdom.","{'maxAge': 1, 'name': 'Mr. Phil  Smith', 'title': 'Managing Director of Victoria Carpets - Australia', 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,2,624.0,638.0,614.0,638.7,624.0,638.0,614.0,638.7,1405468800,0.0,2038.7097,10.2931595,872588,872588,371067,452824,452824,632.0,700.0,0,0,726806272,386.0,729.5,0.49101898,636.02,552.18,0.0,0.0,GBp,1831968896,-0.06202,55630817,115001000,0.3426,0.54669,1.036,610.0386,1680307200,1711929600,1680307200,-91800000,0.31,61.4,5:1,1473638400,1.238,105.286,LSE,EQUITY,VCP.L,VCP.L,VICTORIA PLC ORD 5P,Victoria PLC,583743600,Europe/London,BST,3600000,632.0,880.0,800.0,840.0,840.0,1.5,strong_buy,2,119100000,1.036,17400000,1224800000,0.84,1.558,1480199936,1029.244,12.795,-0.040549997,-0.5709,445600000,-140124992,89100000,0.326,0.29368,0.01175,-0.07742,GBP,
6,Worcester Six Business Park,Worcester,United Kingdom,https://www.victoriaplc.com,"Furnishings, Fixtures & Appliances",Consumer Cyclical,"Victoria PLC, together with its subsidiaries, designs, manufactures, and distributes flooring products primarily in the United Kingdom, Spain, Italy, the Netherlands, Belgium, Turkey, the United States, and Australia. The company operates through four segments: UK & Europe Soft Flooring, UK & Europe Ceramic Tiles, Australia, and North America. It offers a range of wool and synthetic broadloom carpets, ceramic and porcelain tiles, flooring underlays, luxury vinyl tiles (LVT), hardwood flooring products, artificial grass, carpet tiles, and flooring accessories, as well as markets and distributes LVT and hardwood flooring products. The company also offers logistics services. It provides its products under various brands. The company was founded in 1895 and is headquartered in Worcester, the United Kingdom.","{'maxAge': 1, 'name': 'Mr. Jan  Debrouwere', 'title': 'Managing Director of Victoria Carpets - UK', 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,2,624.0,638.0,614.0,638.7,624.0,638.0,614.0,638.7,1405468800,0.0,2038.7097,10.2931595,872588,872588,371067,452824,452824,632.0,700.0,0,0,726806272,386.0,729.5,0.49101898,636.02,552.18,0.0,0.0,GBp,1831968896,-0.06202,55630817,115001000,0.3426,0.54669,1.036,610.0386,1680307200,1711929600,1680307200,-91800000,0.31,61.4,5:1,1473638400,1.238,105.286,LSE,EQUITY,VCP.L,VCP.L,VICTORIA PLC ORD 5P,Victoria PLC,583743600,Europe/London,BST,3600000,632.0,880.0,800.0,840.0,840.0,1.5,strong_buy,2,119100000,1.036,17400000,1224800000,0.84,1.558,1480199936,1029.244,12.795,-0.040549997,-0.5709,445600000,-140124992,89100000,0.326,0.29368,0.01175,-0.07742,GBP,
7,Worcester Six Business Park,Worcester,United Kingdom,https://www.victoriaplc.com,"Furnishings, Fixtures & Appliances",Consumer Cyclical,"Victoria PLC, together with its subsidiaries, designs, manufactures, and distributes flooring products primarily in the United Kingdom, Spain, Italy, the Netherlands, Belgium, Turkey, the United States, and Australia. The company operates through four segments: UK & Europe Soft Flooring, UK & Europe Ceramic Tiles, Australia, and North America. It offers a range of wool and synthetic broadloom carpets, ceramic and porcelain tiles, flooring underlays, luxury vinyl tiles (LVT), hardwood flooring products, artificial grass, carpet tiles, and flooring accessories, as well as markets and distributes LVT and hardwood flooring products. The company also offers logistics services. It provides its products under various brands. The company was founded in 1895 and is headquartered in Worcester, the United Kingdom.","{'maxAge': 1, 'name': 'Mr. José Luis Lanuza Quilez', 'title': 'Managing Director of Victoria Ceramics Spain', 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,2,624.0,638.0,614.0,638.7,624.0,638.0,614.0,638.7,1405468800,0.0,2038.7097,10.2931595,872588,872588,371067,452824,452824,632.0,700.0,0,0,726806272,386.0,729.5,0.49101898,636.02,552.18,0.0,0.0,GBp,1831968896,-0.06202,55630817,115001000,0.3426,0.54669,1.036,610.0386,1680307200,1711929600,1680307200,-91800000,0.31,61.4,5:1,1473638400,1.238,105.286,LSE,EQUITY,VCP.L,VCP.L,VICTORIA PLC ORD 5P,Victoria PLC,583743600,Europe/London,BST,3600000,632.0,880.0,800.0,840.0,840.0,1.5,strong_buy,2,119100000,1.036,17400000,1224800000,0.84,1.558,1480199936,1029.244,12.795,-0.040549997,-0.5709,445600000,-140124992,89100000,0.326,0.29368,0.01175,-0.07742,GBP,
8,Worcester Six Business Park,Worcester,United Kingdom,https://www.victoriaplc.com,"Furnishings, Fixtures & Appliances",Consumer Cyclical,"Victoria PLC, together with its subsidiaries, designs, manufactures, and distributes flooring products primarily in the United Kingdom, Spain, Italy, the Netherlands, Belgium, Turkey, the United States, and Australia. The company operates through four segments: UK & Europe Soft Flooring, UK & Europe Ceramic Tiles, Australia, and North America. It offers a range of wool and synthetic broadloom carpets, ceramic and porcelain tiles, flooring underlays, luxury vinyl tiles (LVT), hardwood flooring products, artificial grass, carpet tiles, and flooring accessories, as well as markets and distributes LVT and hardwood flooring products. The company also offers logistics services. It provides its products under various brands. The company was founded in 1895 and is headquartered in Worcester, the United Kingdom.","{'maxAge': 1, 'name': 'Mr. Andrea  Bordignon', 'title': 'Managing Director of Victoria Ceramics Italy', 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,2,624.0,638.0,614.0,638.7,624.0,638.0,614.0,638.7,1405468800,0.0,2038.7097,10.2931595,872588,872588,371067,452824,452824,632.0,700.0,0,0,726806272,386.0,729.5,0.49101898,636.02,552.18,0.0,0.0,GBp,1831968896,-0.06202,55630817,115001000,0.3426,0.54669,1.036,610.0386,1680307200,1711929600,1680307200,-91800000,0.31,61.4,5:1,1473638400,1.238,105.286,LSE,EQUITY,VCP.L,VCP.L,VICTORIA PLC ORD 5P,Victoria PLC,583743600,Europe/London,BST,3600000,632.0,880.0,800.0,840.0,840.0,1.5,strong_buy,2,119100000,1.036,17400000,1224800000,0.84,1.558,1480199936,1029.244,12.795,-0.040549997,-0.5709,445600000,-140124992,89100000,0.326,0.29368,0.01175,-0.07742,GBP,
9,Worcester Six Business Park,Worcester,United Kingdom,https://www.victoriaplc.com,"Furnishings, Fixtures & Appliances",Consumer Cyclical,"Victoria PLC, together with its subsidiaries, designs, manufactures, and distributes flooring products primarily in the United Kingdom, Spain, Italy, the Netherlands, Belgium, Turkey, the United States, and Australia. The company operates through four segments: UK & Europe Soft Flooring, UK & Europe Ceramic Tiles, Australia, and North America. It offers a range of wool and synthetic broadloom carpets, ceramic and porcelain tiles, flooring underlays, luxury vinyl tiles (LVT), hardwood flooring products, artificial grass, carpet tiles, and flooring accessories, as well as markets and distributes LVT and hardwood flooring products. The company also offers logistics services. It provides its products under various brands. The company was founded in 1895 and is headquartered in Worcester, the United Kingdom.","{'maxAge': 1, 'name': 'Mr. Richard  Bosveld', 'title': 'Managing Director of Estillon', 'exercisedValue': 0, 'unexercisedValue': 0}",1672444800,86400,2,624.0,638.0,614.0,638.7,624.0,638.0,614.0,638.7,1405468800,0.0,2038.7097,10.2931595,872588,872588,371067,452824,452824,632.0,700.0,0,0,726806272,386.0,729.5,0.49101898,636.02,552.18,0.0,0.0,GBp,1831968896,-0.06202,55630817,115001000,0.3426,0.54669,1.036,610.0386,1680307200,1711929600,1680307200,-91800000,0.31,61.4,5:1,1473638400,1.238,105.286,LSE,EQUITY,VCP.L,VCP.L,VICTORIA PLC ORD 5P,Victoria PLC,583743600,Europe/London,BST,3600000,632.0,880.0,800.0,840.0,840.0,1.5,strong_buy,2,119100000,1.036,17400000,1224800000,0.84,1.558,1480199936,1029.244,12.795,-0.040549997,-0.5709,445600000,-140124992,89100000,0.326,0.29368,0.01175,-0.07742,GBP,
