,address1,address2,city,zip,country,phone,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,fiveYearAvgDividendYield,beta,trailingPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,lastSplitFactor,lastSplitDate,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationKey,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,Azalea Hills,19th floor 3-4-1 Tsutsujioka Miyagino-ku,Sendai,983-0852,Japan,81 1 2054 5883,https://www.yamaya.jp,Beverages—Brewers,Consumer Defensive,"Yamaya Corporation engages in the import, retail, and wholesale of alcoholic beverages and food products in Japan. It is also involved in the mail order sales and restaurant businesses. The company was founded in 1952 and is based in Sendai, Japan.",1807,"{'maxAge': 1, 'name': 'Mr. Hideharu  Yamauchi', 'age': 60, 'title': 'Chief Exec. Officer, Pres and Representative Director', 'yearBorn': 1962, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,19.1,19.1,19.1,19.1,19.1,19.1,19.1,19.1,0.35,0.0185,1695859200,0.24340001,2.09,0.362237,14.044118,80,80,4,0,0,19.1,20.2,213960112,16.2,19.3,0.0013781029,17.65,17.425,52.0,2.722513,EUR,-925926464,0.01491,3434060,10841500,0.67516,0.06446,2708.193,0.007052673,1680220800,1711843200,1688083200,0.934,2315000064,1.36,1:1,1327622400,-0.006,-0.183,FRA,EQUITY,WY2.F,WY2.F,YAMAYA CORP.,Yamaya Corporation,1078297200,Europe/Berlin,CEST,7200000,19.1,none,12007000064,1107.499,5064000000,10076999680,0.736,1.622,155256995840,33.414,14321.28,0.0385,0.06418,41333000000,0.934,0.068,0.27613002,0.03262,0.02417,JPY,
1,Azalea Hills,19th floor 3-4-1 Tsutsujioka Miyagino-ku,Sendai,983-0852,Japan,81 1 2054 5883,https://www.yamaya.jp,Beverages—Brewers,Consumer Defensive,"Yamaya Corporation engages in the import, retail, and wholesale of alcoholic beverages and food products in Japan. It is also involved in the mail order sales and restaurant businesses. The company was founded in 1952 and is based in Sendai, Japan.",1807,"{'maxAge': 1, 'name': 'Koya  Sato', 'age': 56, 'title': 'Mang. of Marketing Department, Sr. Managing Exec. Officer and Director', 'yearBorn': 1966, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,19.1,19.1,19.1,19.1,19.1,19.1,19.1,19.1,0.35,0.0185,1695859200,0.24340001,2.09,0.362237,14.044118,80,80,4,0,0,19.1,20.2,213960112,16.2,19.3,0.0013781029,17.65,17.425,52.0,2.722513,EUR,-925926464,0.01491,3434060,10841500,0.67516,0.06446,2708.193,0.007052673,1680220800,1711843200,1688083200,0.934,2315000064,1.36,1:1,1327622400,-0.006,-0.183,FRA,EQUITY,WY2.F,WY2.F,YAMAYA CORP.,Yamaya Corporation,1078297200,Europe/Berlin,CEST,7200000,19.1,none,12007000064,1107.499,5064000000,10076999680,0.736,1.622,155256995840,33.414,14321.28,0.0385,0.06418,41333000000,0.934,0.068,0.27613002,0.03262,0.02417,JPY,
