,address1,city,state,zip,country,phone,fax,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,beta,trailingPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,sharesOutstanding,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationKey,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,2801 Glenda Avenue,Fort Worth,TX,76117,United States,817 838 4767,817 838 1871,Real Estate Services,Real Estate,"FFP Partners, L.P. operates as a limited partnership firm. Its sole general partner is FFP Real Estate Trust whose real properties are owned, and its rental activities are conducted, by FFP Properties, its operating subsidiary. The company owns a 60% partnership interest in FFP Properties and serves as its sole general partner. FFP Partners was founded in 1986.",2,"{'maxAge': 1, 'name': 'Mr. John H. Harvison', 'age': 87, 'title': 'Chairman, Pres & CEO', 'yearBorn': 1935, 'fiscalYear': 1996, 'exercisedValue': 0, 'unexercisedValue': 0}",1009756800,86400,4,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,-11.535961,2.5000001e-05,500,500,0,0,0,2,1e-06,0.0001,4.892368e-07,0.0001,0.0001,0.0,0.0,USD,21051002,0.02202,2234260,0.702,1.4245014e-06,1009756800,1041292800,1025395200,-0.377,90000,0.04,5.149,5.702,PNK,EQUITY,XXFPL,XXFPL,FFP PARTNERS,"FFP Partners, L.P.",1288618200,America/New_York,EDT,-14400000,1e-06,none,172000,0.077,3692000,19916000,4.448,5.662,4088000,692.49,1.799,0.06476,0.052399997,4170000,1898875,1332000,-0.377,-0.078,1.0,0.90313005,0.59418,USD,
1,2801 Glenda Avenue,Fort Worth,TX,76117,United States,817 838 4767,817 838 1871,Real Estate Services,Real Estate,"FFP Partners, L.P. operates as a limited partnership firm. Its sole general partner is FFP Real Estate Trust whose real properties are owned, and its rental activities are conducted, by FFP Properties, its operating subsidiary. The company owns a 60% partnership interest in FFP Properties and serves as its sole general partner. FFP Partners was founded in 1986.",2,"{'maxAge': 1, 'name': 'Mr. Craig T. Scott', 'age': 75, 'title': 'CFO, VP of Fin., Sec., Treasurer & Gen. Counsel of FFP Real Estate Trust - GP', 'yearBorn': 1947, 'fiscalYear': 2001, 'totalPay': 0, 'exercisedValue': 0, 'unexercisedValue': 2700}",1009756800,86400,4,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,-11.535961,2.5000001e-05,500,500,0,0,0,2,1e-06,0.0001,4.892368e-07,0.0001,0.0001,0.0,0.0,USD,21051002,0.02202,2234260,0.702,1.4245014e-06,1009756800,1041292800,1025395200,-0.377,90000,0.04,5.149,5.702,PNK,EQUITY,XXFPL,XXFPL,FFP PARTNERS,"FFP Partners, L.P.",1288618200,America/New_York,EDT,-14400000,1e-06,none,172000,0.077,3692000,19916000,4.448,5.662,4088000,692.49,1.799,0.06476,0.052399997,4170000,1898875,1332000,-0.377,-0.078,1.0,0.90313005,0.59418,USD,
