,address1,address2,city,zip,country,website,industry,sector,longBusinessSummary,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,beta,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,forwardEps,pegRatio,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,Building 7,Level 3 Central Park 666 Great South Road,Penrose,1051,New Zealand,https://www.restaurantbrands.co.nz,Restaurants,Consumer Cyclical,"Restaurant Brands New Zealand Limited, together with its subsidiaries, operates quick service and takeaway restaurants in New Zealand, Australia, California, Hawaii, Saipan, and Guam. It operates the KFC, Pizza Hut, Carl's Jr., and Taco Bell brand names. The company was incorporated in 1997 and is based in Penrose, New Zealand.","{'maxAge': 1, 'name': 'Mr. Arif  Khan', 'title': 'Group Chief Exec. Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",7,9,5,10,9,1693526400,86400,4,4.27,4.26,4.26,4.35,4.27,4.26,4.26,4.35,0.16,0.0368,1680652800,1.2442,0.823948,28.999998,19.772726,13356,13356,29580,25668,25668,4.35,4.7,733200,51300,542701632,4.25,8.29,0.3992003,5.3388,6.1574,0.16,0.037470724,NZD,1551449600,0.01396,30970056,124759000,0.75225997,0.058229998,2.259,1.9256307,1672444800,1703980800,1688083200,-0.857,18985000,0.15,0.22,2.76,1.141,11.621,NZE,EQUITY,RBD.NZ,RBD.NZ,Restaurant Brands NZ Limited Or,Restaurant Brands New Zealand Limited,947019600,Pacific/Auckland,NZST,43200000,4.35,8.78,4.25,5.82,5.13,3.2,hold,4,17128000,0.137,133503000,1025878016,0.304,0.427,1359472000,363.948,10.897,0.03434,0.067379996,221143000,18523750,122881000,-0.857,0.1,0.1603,0.09819999,0.05787,NZD,
1,Building 7,Level 3 Central Park 666 Great South Road,Penrose,1051,New Zealand,https://www.restaurantbrands.co.nz,Restaurants,Consumer Cyclical,"Restaurant Brands New Zealand Limited, together with its subsidiaries, operates quick service and takeaway restaurants in New Zealand, Australia, California, Hawaii, Saipan, and Guam. It operates the KFC, Pizza Hut, Carl's Jr., and Taco Bell brand names. The company was incorporated in 1997 and is based in Penrose, New Zealand.","{'maxAge': 1, 'name': 'Mr. Julio  Valdes CPA', 'title': 'Group CFO', 'exercisedValue': 0, 'unexercisedValue': 0}",7,9,5,10,9,1693526400,86400,4,4.27,4.26,4.26,4.35,4.27,4.26,4.26,4.35,0.16,0.0368,1680652800,1.2442,0.823948,28.999998,19.772726,13356,13356,29580,25668,25668,4.35,4.7,733200,51300,542701632,4.25,8.29,0.3992003,5.3388,6.1574,0.16,0.037470724,NZD,1551449600,0.01396,30970056,124759000,0.75225997,0.058229998,2.259,1.9256307,1672444800,1703980800,1688083200,-0.857,18985000,0.15,0.22,2.76,1.141,11.621,NZE,EQUITY,RBD.NZ,RBD.NZ,Restaurant Brands NZ Limited Or,Restaurant Brands New Zealand Limited,947019600,Pacific/Auckland,NZST,43200000,4.35,8.78,4.25,5.82,5.13,3.2,hold,4,17128000,0.137,133503000,1025878016,0.304,0.427,1359472000,363.948,10.897,0.03434,0.067379996,221143000,18523750,122881000,-0.857,0.1,0.1603,0.09819999,0.05787,NZD,
2,Building 7,Level 3 Central Park 666 Great South Road,Penrose,1051,New Zealand,https://www.restaurantbrands.co.nz,Restaurants,Consumer Cyclical,"Restaurant Brands New Zealand Limited, together with its subsidiaries, operates quick service and takeaway restaurants in New Zealand, Australia, California, Hawaii, Saipan, and Guam. It operates the KFC, Pizza Hut, Carl's Jr., and Taco Bell brand names. The company was incorporated in 1997 and is based in Penrose, New Zealand.","{'maxAge': 1, 'name': 'Mr. Kenny  Thein', 'title': 'Chief Information Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",7,9,5,10,9,1693526400,86400,4,4.27,4.26,4.26,4.35,4.27,4.26,4.26,4.35,0.16,0.0368,1680652800,1.2442,0.823948,28.999998,19.772726,13356,13356,29580,25668,25668,4.35,4.7,733200,51300,542701632,4.25,8.29,0.3992003,5.3388,6.1574,0.16,0.037470724,NZD,1551449600,0.01396,30970056,124759000,0.75225997,0.058229998,2.259,1.9256307,1672444800,1703980800,1688083200,-0.857,18985000,0.15,0.22,2.76,1.141,11.621,NZE,EQUITY,RBD.NZ,RBD.NZ,Restaurant Brands NZ Limited Or,Restaurant Brands New Zealand Limited,947019600,Pacific/Auckland,NZST,43200000,4.35,8.78,4.25,5.82,5.13,3.2,hold,4,17128000,0.137,133503000,1025878016,0.304,0.427,1359472000,363.948,10.897,0.03434,0.067379996,221143000,18523750,122881000,-0.857,0.1,0.1603,0.09819999,0.05787,NZD,
3,Building 7,Level 3 Central Park 666 Great South Road,Penrose,1051,New Zealand,https://www.restaurantbrands.co.nz,Restaurants,Consumer Cyclical,"Restaurant Brands New Zealand Limited, together with its subsidiaries, operates quick service and takeaway restaurants in New Zealand, Australia, California, Hawaii, Saipan, and Guam. It operates the KFC, Pizza Hut, Carl's Jr., and Taco Bell brand names. The company was incorporated in 1997 and is based in Penrose, New Zealand.","{'maxAge': 1, 'name': 'Ms. Geraldine  Oldham', 'title': 'Chief Brand & Marketing Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",7,9,5,10,9,1693526400,86400,4,4.27,4.26,4.26,4.35,4.27,4.26,4.26,4.35,0.16,0.0368,1680652800,1.2442,0.823948,28.999998,19.772726,13356,13356,29580,25668,25668,4.35,4.7,733200,51300,542701632,4.25,8.29,0.3992003,5.3388,6.1574,0.16,0.037470724,NZD,1551449600,0.01396,30970056,124759000,0.75225997,0.058229998,2.259,1.9256307,1672444800,1703980800,1688083200,-0.857,18985000,0.15,0.22,2.76,1.141,11.621,NZE,EQUITY,RBD.NZ,RBD.NZ,Restaurant Brands NZ Limited Or,Restaurant Brands New Zealand Limited,947019600,Pacific/Auckland,NZST,43200000,4.35,8.78,4.25,5.82,5.13,3.2,hold,4,17128000,0.137,133503000,1025878016,0.304,0.427,1359472000,363.948,10.897,0.03434,0.067379996,221143000,18523750,122881000,-0.857,0.1,0.1603,0.09819999,0.05787,NZD,
4,Building 7,Level 3 Central Park 666 Great South Road,Penrose,1051,New Zealand,https://www.restaurantbrands.co.nz,Restaurants,Consumer Cyclical,"Restaurant Brands New Zealand Limited, together with its subsidiaries, operates quick service and takeaway restaurants in New Zealand, Australia, California, Hawaii, Saipan, and Guam. It operates the KFC, Pizza Hut, Carl's Jr., and Taco Bell brand names. The company was incorporated in 1997 and is based in Penrose, New Zealand.","{'maxAge': 1, 'name': 'Jennifer  Buddle', 'title': 'Group Chief People Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",7,9,5,10,9,1693526400,86400,4,4.27,4.26,4.26,4.35,4.27,4.26,4.26,4.35,0.16,0.0368,1680652800,1.2442,0.823948,28.999998,19.772726,13356,13356,29580,25668,25668,4.35,4.7,733200,51300,542701632,4.25,8.29,0.3992003,5.3388,6.1574,0.16,0.037470724,NZD,1551449600,0.01396,30970056,124759000,0.75225997,0.058229998,2.259,1.9256307,1672444800,1703980800,1688083200,-0.857,18985000,0.15,0.22,2.76,1.141,11.621,NZE,EQUITY,RBD.NZ,RBD.NZ,Restaurant Brands NZ Limited Or,Restaurant Brands New Zealand Limited,947019600,Pacific/Auckland,NZST,43200000,4.35,8.78,4.25,5.82,5.13,3.2,hold,4,17128000,0.137,133503000,1025878016,0.304,0.427,1359472000,363.948,10.897,0.03434,0.067379996,221143000,18523750,122881000,-0.857,0.1,0.1603,0.09819999,0.05787,NZD,
5,Building 7,Level 3 Central Park 666 Great South Road,Penrose,1051,New Zealand,https://www.restaurantbrands.co.nz,Restaurants,Consumer Cyclical,"Restaurant Brands New Zealand Limited, together with its subsidiaries, operates quick service and takeaway restaurants in New Zealand, Australia, California, Hawaii, Saipan, and Guam. It operates the KFC, Pizza Hut, Carl's Jr., and Taco Bell brand names. The company was incorporated in 1997 and is based in Penrose, New Zealand.","{'maxAge': 1, 'name': 'Brent  Matsumoto', 'title': 'Chief Financial Officer of Hawaiian Operations', 'exercisedValue': 0, 'unexercisedValue': 0}",7,9,5,10,9,1693526400,86400,4,4.27,4.26,4.26,4.35,4.27,4.26,4.26,4.35,0.16,0.0368,1680652800,1.2442,0.823948,28.999998,19.772726,13356,13356,29580,25668,25668,4.35,4.7,733200,51300,542701632,4.25,8.29,0.3992003,5.3388,6.1574,0.16,0.037470724,NZD,1551449600,0.01396,30970056,124759000,0.75225997,0.058229998,2.259,1.9256307,1672444800,1703980800,1688083200,-0.857,18985000,0.15,0.22,2.76,1.141,11.621,NZE,EQUITY,RBD.NZ,RBD.NZ,Restaurant Brands NZ Limited Or,Restaurant Brands New Zealand Limited,947019600,Pacific/Auckland,NZST,43200000,4.35,8.78,4.25,5.82,5.13,3.2,hold,4,17128000,0.137,133503000,1025878016,0.304,0.427,1359472000,363.948,10.897,0.03434,0.067379996,221143000,18523750,122881000,-0.857,0.1,0.1603,0.09819999,0.05787,NZD,
6,Building 7,Level 3 Central Park 666 Great South Road,Penrose,1051,New Zealand,https://www.restaurantbrands.co.nz,Restaurants,Consumer Cyclical,"Restaurant Brands New Zealand Limited, together with its subsidiaries, operates quick service and takeaway restaurants in New Zealand, Australia, California, Hawaii, Saipan, and Guam. It operates the KFC, Pizza Hut, Carl's Jr., and Taco Bell brand names. The company was incorporated in 1997 and is based in Penrose, New Zealand.","{'maxAge': 1, 'name': 'David  Browne', 'title': 'Chief Financial Officer of Australian Division', 'exercisedValue': 0, 'unexercisedValue': 0}",7,9,5,10,9,1693526400,86400,4,4.27,4.26,4.26,4.35,4.27,4.26,4.26,4.35,0.16,0.0368,1680652800,1.2442,0.823948,28.999998,19.772726,13356,13356,29580,25668,25668,4.35,4.7,733200,51300,542701632,4.25,8.29,0.3992003,5.3388,6.1574,0.16,0.037470724,NZD,1551449600,0.01396,30970056,124759000,0.75225997,0.058229998,2.259,1.9256307,1672444800,1703980800,1688083200,-0.857,18985000,0.15,0.22,2.76,1.141,11.621,NZE,EQUITY,RBD.NZ,RBD.NZ,Restaurant Brands NZ Limited Or,Restaurant Brands New Zealand Limited,947019600,Pacific/Auckland,NZST,43200000,4.35,8.78,4.25,5.82,5.13,3.2,hold,4,17128000,0.137,133503000,1025878016,0.304,0.427,1359472000,363.948,10.897,0.03434,0.067379996,221143000,18523750,122881000,-0.857,0.1,0.1603,0.09819999,0.05787,NZD,
7,Building 7,Level 3 Central Park 666 Great South Road,Penrose,1051,New Zealand,https://www.restaurantbrands.co.nz,Restaurants,Consumer Cyclical,"Restaurant Brands New Zealand Limited, together with its subsidiaries, operates quick service and takeaway restaurants in New Zealand, Australia, California, Hawaii, Saipan, and Guam. It operates the KFC, Pizza Hut, Carl's Jr., and Taco Bell brand names. The company was incorporated in 1997 and is based in Penrose, New Zealand.","{'maxAge': 1, 'name': 'Simon  Whitfield', 'title': 'Chief Financial Officer of New Zealand Division', 'exercisedValue': 0, 'unexercisedValue': 0}",7,9,5,10,9,1693526400,86400,4,4.27,4.26,4.26,4.35,4.27,4.26,4.26,4.35,0.16,0.0368,1680652800,1.2442,0.823948,28.999998,19.772726,13356,13356,29580,25668,25668,4.35,4.7,733200,51300,542701632,4.25,8.29,0.3992003,5.3388,6.1574,0.16,0.037470724,NZD,1551449600,0.01396,30970056,124759000,0.75225997,0.058229998,2.259,1.9256307,1672444800,1703980800,1688083200,-0.857,18985000,0.15,0.22,2.76,1.141,11.621,NZE,EQUITY,RBD.NZ,RBD.NZ,Restaurant Brands NZ Limited Or,Restaurant Brands New Zealand Limited,947019600,Pacific/Auckland,NZST,43200000,4.35,8.78,4.25,5.82,5.13,3.2,hold,4,17128000,0.137,133503000,1025878016,0.304,0.427,1359472000,363.948,10.897,0.03434,0.067379996,221143000,18523750,122881000,-0.857,0.1,0.1603,0.09819999,0.05787,NZD,
8,Building 7,Level 3 Central Park 666 Great South Road,Penrose,1051,New Zealand,https://www.restaurantbrands.co.nz,Restaurants,Consumer Cyclical,"Restaurant Brands New Zealand Limited, together with its subsidiaries, operates quick service and takeaway restaurants in New Zealand, Australia, California, Hawaii, Saipan, and Guam. It operates the KFC, Pizza Hut, Carl's Jr., and Taco Bell brand names. The company was incorporated in 1997 and is based in Penrose, New Zealand.","{'maxAge': 1, 'name': 'Mr. Allan Wong Kam', 'title': 'CFO & Exec. VP of Devel. - California Division', 'exercisedValue': 0, 'unexercisedValue': 0}",7,9,5,10,9,1693526400,86400,4,4.27,4.26,4.26,4.35,4.27,4.26,4.26,4.35,0.16,0.0368,1680652800,1.2442,0.823948,28.999998,19.772726,13356,13356,29580,25668,25668,4.35,4.7,733200,51300,542701632,4.25,8.29,0.3992003,5.3388,6.1574,0.16,0.037470724,NZD,1551449600,0.01396,30970056,124759000,0.75225997,0.058229998,2.259,1.9256307,1672444800,1703980800,1688083200,-0.857,18985000,0.15,0.22,2.76,1.141,11.621,NZE,EQUITY,RBD.NZ,RBD.NZ,Restaurant Brands NZ Limited Or,Restaurant Brands New Zealand Limited,947019600,Pacific/Auckland,NZST,43200000,4.35,8.78,4.25,5.82,5.13,3.2,hold,4,17128000,0.137,133503000,1025878016,0.304,0.427,1359472000,363.948,10.897,0.03434,0.067379996,221143000,18523750,122881000,-0.857,0.1,0.1603,0.09819999,0.05787,NZD,
9,Building 7,Level 3 Central Park 666 Great South Road,Penrose,1051,New Zealand,https://www.restaurantbrands.co.nz,Restaurants,Consumer Cyclical,"Restaurant Brands New Zealand Limited, together with its subsidiaries, operates quick service and takeaway restaurants in New Zealand, Australia, California, Hawaii, Saipan, and Guam. It operates the KFC, Pizza Hut, Carl's Jr., and Taco Bell brand names. The company was incorporated in 1997 and is based in Penrose, New Zealand.","{'maxAge': 1, 'name': 'Rodrigo Testas Rodriguez', 'title': 'Chief Exec. Officer of New Zealand', 'exercisedValue': 0, 'unexercisedValue': 0}",7,9,5,10,9,1693526400,86400,4,4.27,4.26,4.26,4.35,4.27,4.26,4.26,4.35,0.16,0.0368,1680652800,1.2442,0.823948,28.999998,19.772726,13356,13356,29580,25668,25668,4.35,4.7,733200,51300,542701632,4.25,8.29,0.3992003,5.3388,6.1574,0.16,0.037470724,NZD,1551449600,0.01396,30970056,124759000,0.75225997,0.058229998,2.259,1.9256307,1672444800,1703980800,1688083200,-0.857,18985000,0.15,0.22,2.76,1.141,11.621,NZE,EQUITY,RBD.NZ,RBD.NZ,Restaurant Brands NZ Limited Or,Restaurant Brands New Zealand Limited,947019600,Pacific/Auckland,NZST,43200000,4.35,8.78,4.25,5.82,5.13,3.2,hold,4,17128000,0.137,133503000,1025878016,0.304,0.427,1359472000,363.948,10.897,0.03434,0.067379996,221143000,18523750,122881000,-0.857,0.1,0.1603,0.09819999,0.05787,NZD,
