,address1,city,state,zip,country,phone,website,industry,sector,longBusinessSummary,companyOfficers,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,fiveYearAvgDividendYield,beta,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,shortRatio,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,enterpriseToRevenue,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationKey,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,grossProfits,operatingCashflow,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,Two International Place,Boston,MA,02110,United States,617-482-8260,https://funds.eatonvance.com/California-Municipal-Bond-Fund-EVM.php,Asset Management,Financial Services,"Eaton Vance California Municipal Bond Fund is a close-ended fixed income mutual fund launched and managed by Eaton Vance Management. The fund invests in the fixed income market of United States. It invests primarily in high grade municipal obligations comprising of various industries, such as general obligations, hospital, electric utilities, transportation, water and sewer, public education, and private education. The fund was formerly known as Eaton Vance Insured California Municipal Bond Fund. Eaton Vance California Municipal Bond Fund was formed in 2002 and is domiciled in United States.","{'maxAge': 1, 'name': 'Mr. Payson F. Swaffield CFA', 'title': 'VP, Chief Income Investment Officer & Portfolio Mang.', 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,8.47,8.47,8.43,8.48,8.47,8.47,8.43,8.48,0.35,0.0414,1695254400,4.46,0.378976,47328,47328,64683,124350,124350,8.47,8.48,1100,1000,208732736,8.04,9.36,12.765144,8.7894,8.87805,0.402,0.04746163,USD,346538688,-0.63951,24672900,57821,32078,1690761600,1693440000,0.0023,0.0,0.40927,0.9,10.422,0.8117444,1664496000,1696032000,1680220800,-10457061,-0.41,21.193,NYQ,EQUITY,EVM,EVM,29200,Eaton Vance California Municipal Bond Fund,1030541400,America/New_York,EDT,-14400000,8.46,none,137805632,2.168,2.168,16351773,53.593,0.663,16466887,73310368,-0.014,1.0,0.0,0.8186,USD,
1,Two International Place,Boston,MA,02110,United States,617-482-8260,https://funds.eatonvance.com/California-Municipal-Bond-Fund-EVM.php,Asset Management,Financial Services,"Eaton Vance California Municipal Bond Fund is a close-ended fixed income mutual fund launched and managed by Eaton Vance Management. The fund invests in the fixed income market of United States. It invests primarily in high grade municipal obligations comprising of various industries, such as general obligations, hospital, electric utilities, transportation, water and sewer, public education, and private education. The fund was formerly known as Eaton Vance Insured California Municipal Bond Fund. Eaton Vance California Municipal Bond Fund was formed in 2002 and is domiciled in United States.","{'maxAge': 1, 'name': 'Mr. Craig Robert Brandon CFA', 'age': 56, 'title': 'Portfolio Mang.', 'yearBorn': 1966, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,8.47,8.47,8.43,8.48,8.47,8.47,8.43,8.48,0.35,0.0414,1695254400,4.46,0.378976,47328,47328,64683,124350,124350,8.47,8.48,1100,1000,208732736,8.04,9.36,12.765144,8.7894,8.87805,0.402,0.04746163,USD,346538688,-0.63951,24672900,57821,32078,1690761600,1693440000,0.0023,0.0,0.40927,0.9,10.422,0.8117444,1664496000,1696032000,1680220800,-10457061,-0.41,21.193,NYQ,EQUITY,EVM,EVM,29200,Eaton Vance California Municipal Bond Fund,1030541400,America/New_York,EDT,-14400000,8.46,none,137805632,2.168,2.168,16351773,53.593,0.663,16466887,73310368,-0.014,1.0,0.0,0.8186,USD,
