,address1,address2,city,zip,country,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,payoutRatio,beta,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationKey,totalCash,totalCashPerShare,ebitda,totalDebt,totalRevenue,revenuePerShare,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,Ogier House,44 The Esplanade,Saint Helier,JE4 9WG,Jersey,https://wizzair.com,Airlines,Industrials,"Wizz Air Holdings Plc, together with its subsidiaries, provides passenger air transportation services on scheduled short-haul and medium-haul point-to-point routes in Europe and the Middle East. As of June 08, 2022, it operated a fleet of 154 aircraft that offered services for approximately 1000 routes from 194 airports in 51 countries. The company provides its services under the Wizz Air brand. Wizz Air Holdings Plc was founded in 2003 and is based in Saint Helier, Jersey.",7389,"{'maxAge': 1, 'name': 'Mr. József  Váradi', 'title': 'CEO & Exec. Director', 'fiscalYear': 2023, 'totalPay': 1256051, 'exercisedValue': 0, 'unexercisedValue': 0}",2,8,5,1,6,1693526400,1703980800,86400,2,23.6,24.0,24.0,24.0,23.6,24.0,24.0,24.0,0.0,2.184309,584,584,73,198,198,23.87,24.17,300000,300000,2479992064,15.395,36.54,0.5736075,27.2878,29.82425,0.0,0.0,EUR,6345989120,-0.00217,76408465,103333000,0.25688,0.43092,-3.205,1680220800,1711843200,1688083200,-9400000,-5.16,1.468,-705.11,FRA,EQUITY,WI2.F,WI2.F,"WIZZ AIR HLDGS  LS -,0001",Wizz Air Holdings Plc,1426748400,Europe/Berlin,CEST,7200000,24.0,none,1408600064,13.632,-9000000,5301499904,4323500032,41.841,0.529,0.17363001,-0.00208,-0.046719998,EUR,
1,Ogier House,44 The Esplanade,Saint Helier,JE4 9WG,Jersey,https://wizzair.com,Airlines,Industrials,"Wizz Air Holdings Plc, together with its subsidiaries, provides passenger air transportation services on scheduled short-haul and medium-haul point-to-point routes in Europe and the Middle East. As of June 08, 2022, it operated a fleet of 154 aircraft that offered services for approximately 1000 routes from 194 airports in 51 countries. The company provides its services under the Wizz Air brand. Wizz Air Holdings Plc was founded in 2003 and is based in Saint Helier, Jersey.",7389,"{'maxAge': 1, 'name': 'Mr. Robert  Carey', 'title': 'Pres', 'exercisedValue': 0, 'unexercisedValue': 0}",2,8,5,1,6,1693526400,1703980800,86400,2,23.6,24.0,24.0,24.0,23.6,24.0,24.0,24.0,0.0,2.184309,584,584,73,198,198,23.87,24.17,300000,300000,2479992064,15.395,36.54,0.5736075,27.2878,29.82425,0.0,0.0,EUR,6345989120,-0.00217,76408465,103333000,0.25688,0.43092,-3.205,1680220800,1711843200,1688083200,-9400000,-5.16,1.468,-705.11,FRA,EQUITY,WI2.F,WI2.F,"WIZZ AIR HLDGS  LS -,0001",Wizz Air Holdings Plc,1426748400,Europe/Berlin,CEST,7200000,24.0,none,1408600064,13.632,-9000000,5301499904,4323500032,41.841,0.529,0.17363001,-0.00208,-0.046719998,EUR,
2,Ogier House,44 The Esplanade,Saint Helier,JE4 9WG,Jersey,https://wizzair.com,Airlines,Industrials,"Wizz Air Holdings Plc, together with its subsidiaries, provides passenger air transportation services on scheduled short-haul and medium-haul point-to-point routes in Europe and the Middle East. As of June 08, 2022, it operated a fleet of 154 aircraft that offered services for approximately 1000 routes from 194 airports in 51 countries. The company provides its services under the Wizz Air brand. Wizz Air Holdings Plc was founded in 2003 and is based in Saint Helier, Jersey.",7389,"{'maxAge': 1, 'name': 'Mr. Ian O. Malin', 'title': 'Exec. VP & Group CFO', 'exercisedValue': 0, 'unexercisedValue': 0}",2,8,5,1,6,1693526400,1703980800,86400,2,23.6,24.0,24.0,24.0,23.6,24.0,24.0,24.0,0.0,2.184309,584,584,73,198,198,23.87,24.17,300000,300000,2479992064,15.395,36.54,0.5736075,27.2878,29.82425,0.0,0.0,EUR,6345989120,-0.00217,76408465,103333000,0.25688,0.43092,-3.205,1680220800,1711843200,1688083200,-9400000,-5.16,1.468,-705.11,FRA,EQUITY,WI2.F,WI2.F,"WIZZ AIR HLDGS  LS -,0001",Wizz Air Holdings Plc,1426748400,Europe/Berlin,CEST,7200000,24.0,none,1408600064,13.632,-9000000,5301499904,4323500032,41.841,0.529,0.17363001,-0.00208,-0.046719998,EUR,
3,Ogier House,44 The Esplanade,Saint Helier,JE4 9WG,Jersey,https://wizzair.com,Airlines,Industrials,"Wizz Air Holdings Plc, together with its subsidiaries, provides passenger air transportation services on scheduled short-haul and medium-haul point-to-point routes in Europe and the Middle East. As of June 08, 2022, it operated a fleet of 154 aircraft that offered services for approximately 1000 routes from 194 airports in 51 countries. The company provides its services under the Wizz Air brand. Wizz Air Holdings Plc was founded in 2003 and is based in Saint Helier, Jersey.",7389,"{'maxAge': 1, 'name': 'Mr. Michael  Delehant', 'title': 'Exec. VP & Group COO', 'exercisedValue': 0, 'unexercisedValue': 0}",2,8,5,1,6,1693526400,1703980800,86400,2,23.6,24.0,24.0,24.0,23.6,24.0,24.0,24.0,0.0,2.184309,584,584,73,198,198,23.87,24.17,300000,300000,2479992064,15.395,36.54,0.5736075,27.2878,29.82425,0.0,0.0,EUR,6345989120,-0.00217,76408465,103333000,0.25688,0.43092,-3.205,1680220800,1711843200,1688083200,-9400000,-5.16,1.468,-705.11,FRA,EQUITY,WI2.F,WI2.F,"WIZZ AIR HLDGS  LS -,0001",Wizz Air Holdings Plc,1426748400,Europe/Berlin,CEST,7200000,24.0,none,1408600064,13.632,-9000000,5301499904,4323500032,41.841,0.529,0.17363001,-0.00208,-0.046719998,EUR,
4,Ogier House,44 The Esplanade,Saint Helier,JE4 9WG,Jersey,https://wizzair.com,Airlines,Industrials,"Wizz Air Holdings Plc, together with its subsidiaries, provides passenger air transportation services on scheduled short-haul and medium-haul point-to-point routes in Europe and the Middle East. As of June 08, 2022, it operated a fleet of 154 aircraft that offered services for approximately 1000 routes from 194 airports in 51 countries. The company provides its services under the Wizz Air brand. Wizz Air Holdings Plc was founded in 2003 and is based in Saint Helier, Jersey.",7389,"{'maxAge': 1, 'name': 'Ms. Zsuzsanna  Poos', 'title': 'Chief Customer & Marketing Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",2,8,5,1,6,1693526400,1703980800,86400,2,23.6,24.0,24.0,24.0,23.6,24.0,24.0,24.0,0.0,2.184309,584,584,73,198,198,23.87,24.17,300000,300000,2479992064,15.395,36.54,0.5736075,27.2878,29.82425,0.0,0.0,EUR,6345989120,-0.00217,76408465,103333000,0.25688,0.43092,-3.205,1680220800,1711843200,1688083200,-9400000,-5.16,1.468,-705.11,FRA,EQUITY,WI2.F,WI2.F,"WIZZ AIR HLDGS  LS -,0001",Wizz Air Holdings Plc,1426748400,Europe/Berlin,CEST,7200000,24.0,none,1408600064,13.632,-9000000,5301499904,4323500032,41.841,0.529,0.17363001,-0.00208,-0.046719998,EUR,
5,Ogier House,44 The Esplanade,Saint Helier,JE4 9WG,Jersey,https://wizzair.com,Airlines,Industrials,"Wizz Air Holdings Plc, together with its subsidiaries, provides passenger air transportation services on scheduled short-haul and medium-haul point-to-point routes in Europe and the Middle East. As of June 08, 2022, it operated a fleet of 154 aircraft that offered services for approximately 1000 routes from 194 airports in 51 countries. The company provides its services under the Wizz Air brand. Wizz Air Holdings Plc was founded in 2003 and is based in Saint Helier, Jersey.",7389,"{'maxAge': 1, 'name': 'Ms. Veronika  Jung', 'title': 'Group People Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",2,8,5,1,6,1693526400,1703980800,86400,2,23.6,24.0,24.0,24.0,23.6,24.0,24.0,24.0,0.0,2.184309,584,584,73,198,198,23.87,24.17,300000,300000,2479992064,15.395,36.54,0.5736075,27.2878,29.82425,0.0,0.0,EUR,6345989120,-0.00217,76408465,103333000,0.25688,0.43092,-3.205,1680220800,1711843200,1688083200,-9400000,-5.16,1.468,-705.11,FRA,EQUITY,WI2.F,WI2.F,"WIZZ AIR HLDGS  LS -,0001",Wizz Air Holdings Plc,1426748400,Europe/Berlin,CEST,7200000,24.0,none,1408600064,13.632,-9000000,5301499904,4323500032,41.841,0.529,0.17363001,-0.00208,-0.046719998,EUR,
6,Ogier House,44 The Esplanade,Saint Helier,JE4 9WG,Jersey,https://wizzair.com,Airlines,Industrials,"Wizz Air Holdings Plc, together with its subsidiaries, provides passenger air transportation services on scheduled short-haul and medium-haul point-to-point routes in Europe and the Middle East. As of June 08, 2022, it operated a fleet of 154 aircraft that offered services for approximately 1000 routes from 194 airports in 51 countries. The company provides its services under the Wizz Air brand. Wizz Air Holdings Plc was founded in 2003 and is based in Saint Helier, Jersey.",7389,"{'maxAge': 1, 'name': 'Mr. Owain  Jones', 'title': 'Exec. VP & Group Chief Corp. Affairs Officer', 'fiscalYear': 2014, 'exercisedValue': 0, 'unexercisedValue': 0}",2,8,5,1,6,1693526400,1703980800,86400,2,23.6,24.0,24.0,24.0,23.6,24.0,24.0,24.0,0.0,2.184309,584,584,73,198,198,23.87,24.17,300000,300000,2479992064,15.395,36.54,0.5736075,27.2878,29.82425,0.0,0.0,EUR,6345989120,-0.00217,76408465,103333000,0.25688,0.43092,-3.205,1680220800,1711843200,1688083200,-9400000,-5.16,1.468,-705.11,FRA,EQUITY,WI2.F,WI2.F,"WIZZ AIR HLDGS  LS -,0001",Wizz Air Holdings Plc,1426748400,Europe/Berlin,CEST,7200000,24.0,none,1408600064,13.632,-9000000,5301499904,4323500032,41.841,0.529,0.17363001,-0.00208,-0.046719998,EUR,
7,Ogier House,44 The Esplanade,Saint Helier,JE4 9WG,Jersey,https://wizzair.com,Airlines,Industrials,"Wizz Air Holdings Plc, together with its subsidiaries, provides passenger air transportation services on scheduled short-haul and medium-haul point-to-point routes in Europe and the Middle East. As of June 08, 2022, it operated a fleet of 154 aircraft that offered services for approximately 1000 routes from 194 airports in 51 countries. The company provides its services under the Wizz Air brand. Wizz Air Holdings Plc was founded in 2003 and is based in Saint Helier, Jersey.",7389,"{'maxAge': 1, 'name': 'Mr. Johan  Eidhagen', 'age': 47, 'title': 'Officer & MD of Wizz Air Abu Dhabi', 'yearBorn': 1975, 'exercisedValue': 0, 'unexercisedValue': 0}",2,8,5,1,6,1693526400,1703980800,86400,2,23.6,24.0,24.0,24.0,23.6,24.0,24.0,24.0,0.0,2.184309,584,584,73,198,198,23.87,24.17,300000,300000,2479992064,15.395,36.54,0.5736075,27.2878,29.82425,0.0,0.0,EUR,6345989120,-0.00217,76408465,103333000,0.25688,0.43092,-3.205,1680220800,1711843200,1688083200,-9400000,-5.16,1.468,-705.11,FRA,EQUITY,WI2.F,WI2.F,"WIZZ AIR HLDGS  LS -,0001",Wizz Air Holdings Plc,1426748400,Europe/Berlin,CEST,7200000,24.0,none,1408600064,13.632,-9000000,5301499904,4323500032,41.841,0.529,0.17363001,-0.00208,-0.046719998,EUR,
8,Ogier House,44 The Esplanade,Saint Helier,JE4 9WG,Jersey,https://wizzair.com,Airlines,Industrials,"Wizz Air Holdings Plc, together with its subsidiaries, provides passenger air transportation services on scheduled short-haul and medium-haul point-to-point routes in Europe and the Middle East. As of June 08, 2022, it operated a fleet of 154 aircraft that offered services for approximately 1000 routes from 194 airports in 51 countries. The company provides its services under the Wizz Air brand. Wizz Air Holdings Plc was founded in 2003 and is based in Saint Helier, Jersey.",7389,"{'maxAge': 1, 'name': 'Mr. Joel  Goldberg', 'title': 'Chief Digital Officer', 'exercisedValue': 0, 'unexercisedValue': 0}",2,8,5,1,6,1693526400,1703980800,86400,2,23.6,24.0,24.0,24.0,23.6,24.0,24.0,24.0,0.0,2.184309,584,584,73,198,198,23.87,24.17,300000,300000,2479992064,15.395,36.54,0.5736075,27.2878,29.82425,0.0,0.0,EUR,6345989120,-0.00217,76408465,103333000,0.25688,0.43092,-3.205,1680220800,1711843200,1688083200,-9400000,-5.16,1.468,-705.11,FRA,EQUITY,WI2.F,WI2.F,"WIZZ AIR HLDGS  LS -,0001",Wizz Air Holdings Plc,1426748400,Europe/Berlin,CEST,7200000,24.0,none,1408600064,13.632,-9000000,5301499904,4323500032,41.841,0.529,0.17363001,-0.00208,-0.046719998,EUR,
9,Ogier House,44 The Esplanade,Saint Helier,JE4 9WG,Jersey,https://wizzair.com,Airlines,Industrials,"Wizz Air Holdings Plc, together with its subsidiaries, provides passenger air transportation services on scheduled short-haul and medium-haul point-to-point routes in Europe and the Middle East. As of June 08, 2022, it operated a fleet of 154 aircraft that offered services for approximately 1000 routes from 194 airports in 51 countries. The company provides its services under the Wizz Air brand. Wizz Air Holdings Plc was founded in 2003 and is based in Saint Helier, Jersey.",7389,"{'maxAge': 1, 'name': 'Ms. Marion  Geoffroy', 'title': 'Managing Director of Wizz Air UK', 'exercisedValue': 0, 'unexercisedValue': 0}",2,8,5,1,6,1693526400,1703980800,86400,2,23.6,24.0,24.0,24.0,23.6,24.0,24.0,24.0,0.0,2.184309,584,584,73,198,198,23.87,24.17,300000,300000,2479992064,15.395,36.54,0.5736075,27.2878,29.82425,0.0,0.0,EUR,6345989120,-0.00217,76408465,103333000,0.25688,0.43092,-3.205,1680220800,1711843200,1688083200,-9400000,-5.16,1.468,-705.11,FRA,EQUITY,WI2.F,WI2.F,"WIZZ AIR HLDGS  LS -,0001",Wizz Air Holdings Plc,1426748400,Europe/Berlin,CEST,7200000,24.0,none,1408600064,13.632,-9000000,5301499904,4323500032,41.841,0.529,0.17363001,-0.00208,-0.046719998,EUR,
