,address1,city,state,zip,country,website,industry,sector,longBusinessSummary,companyOfficers,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,payoutRatio,beta,trailingPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationKey,totalCash,totalCashPerShare,totalDebt,quickRatio,currentRatio,returnOnAssets,freeCashflow,operatingCashflow,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,2500 – 700 West Georgia Street,Vancouver,BC,V7Y 1B3,Canada,https://www.lastmile-holdings.com,Rental & Leasing Services,Industrials,"AZN Capital Corp. operates as a light vehicle mobility solutions company in the United States. It offers various mobility solution, such as bikes, e-bikes, and stand up scooters. The company was formerly known as Last Mile Holdings Ltd. and changed its name to AZN Capital Corp. in February 2021. AZN Capital Corp. is based in Vancouver, Canada.","{'maxAge': 1, 'name': 'Mr. Maxwell  Smith', 'title': 'Chief Exec. Director', 'fiscalYear': 2020, 'totalPay': 324508, 'exercisedValue': 0, 'unexercisedValue': 0}",1609372800,86400,4,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,0.0,1.745595,5.0000002e-05,3000,3000,0,0,0,0.0,0.0,0,0,406107,1e-06,1e-05,1e-05,1e-05,0.0,0.0,USD,419057,0.0,216131836,216606000,0.00219,0.0,-0.036,1609372800,1640908800,1632960000,-1142780,0.02,PNK,EQUITY,AZNVF,AZNVF,AZN CAPITAL CORP,AZN Capital Corp.,842535000,America/New_York,EDT,-14400000,1e-06,none,190049,0.001,608890,0.024,0.024,-0.072459996,5164325,-2573395,0.0,0.0,0.0,USD,
1,2500 – 700 West Georgia Street,Vancouver,BC,V7Y 1B3,Canada,https://www.lastmile-holdings.com,Rental & Leasing Services,Industrials,"AZN Capital Corp. operates as a light vehicle mobility solutions company in the United States. It offers various mobility solution, such as bikes, e-bikes, and stand up scooters. The company was formerly known as Last Mile Holdings Ltd. and changed its name to AZN Capital Corp. in February 2021. AZN Capital Corp. is based in Vancouver, Canada.","{'maxAge': 1, 'name': 'Mr. Bill  Woodward', 'title': 'Co-Founder', 'exercisedValue': 0, 'unexercisedValue': 0}",1609372800,86400,4,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,0.0,1.745595,5.0000002e-05,3000,3000,0,0,0,0.0,0.0,0,0,406107,1e-06,1e-05,1e-05,1e-05,0.0,0.0,USD,419057,0.0,216131836,216606000,0.00219,0.0,-0.036,1609372800,1640908800,1632960000,-1142780,0.02,PNK,EQUITY,AZNVF,AZNVF,AZN CAPITAL CORP,AZN Capital Corp.,842535000,America/New_York,EDT,-14400000,1e-06,none,190049,0.001,608890,0.024,0.024,-0.072459996,5164325,-2573395,0.0,0.0,0.0,USD,
