,address1,address2,city,zip,country,phone,website,industry,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,exDividendDate,payoutRatio,beta,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,forwardEps,pegRatio,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,1 Terrasse Bellini,Tour Initiale La DEfense Cedex,Paris,92919,France,33 1 41 20 40 40,https://www.tarkett.com,Building Products & Equipment,Industrials,"Tarkett S.A., a flooring company, provides flooring and sports surface solutions to business and residential end users worldwide. The company provides heterogeneous and homogeneous vinyl flooring products, parquet and laminate flooring products, rubber flooring and accessories, wood floor products, carpets, linoleum floor products, and synthetic grass and athletic tracks. It offers its products for use in healthcare, aged care, the workplace, education, stores and shops, hospitality and leisure, residential and sports segments. The company was founded in 1886 and is based in Paris, France. Tarkett S.A. is a subsidiary of Societe Investissement Deconinck.",12000,"{'maxAge': 1, 'name': 'Mr. Fabrice  Barthélemy', 'age': 54, 'title': 'Chairman of Management Board & CEO', 'yearBorn': 1968, 'fiscalYear': 2022, 'totalPay': 1078681, 'exercisedValue': 0, 'unexercisedValue': 0}",4,6,10,4,8,1693526400,1672444800,86400,2,10.4,10.3,10.15,10.3,10.4,10.3,10.15,10.3,1560297600,0.0,1.286036,8.782609,744,744,2814,2371,2371,0.0,0.0,0,0,670782464,9.8,13.02,0.19710346,11.149,11.67075,0.0,0.0,EUR,1312054144,-0.01075,6279064,65161000,0.90419,0.05949,13.421,0.75255203,1672444800,1703980800,1688083200,-0.778,-36600000,-0.56,1.15,-11.61,0.386,8.683,PAR,EQUITY,TKTT.PA,TKTT.PA,TARKETT,Tarkett S.A.,1385107200,Europe/Paris,CEST,7200000,10.1,20.0,13.0,16.5,16.5,3.0,hold,2,222800000,3.405,151100000,871600000,0.886,1.483,3403200000,98.978,52.008,0.01715,-0.03818,621000000,300612512,264800000,-0.789,0.028,0.19184999,0.0444,0.0223,EUR,
1,1 Terrasse Bellini,Tour Initiale La DEfense Cedex,Paris,92919,France,33 1 41 20 40 40,https://www.tarkett.com,Building Products & Equipment,Industrials,"Tarkett S.A., a flooring company, provides flooring and sports surface solutions to business and residential end users worldwide. The company provides heterogeneous and homogeneous vinyl flooring products, parquet and laminate flooring products, rubber flooring and accessories, wood floor products, carpets, linoleum floor products, and synthetic grass and athletic tracks. It offers its products for use in healthcare, aged care, the workplace, education, stores and shops, hospitality and leisure, residential and sports segments. The company was founded in 1886 and is based in Paris, France. Tarkett S.A. is a subsidiary of Societe Investissement Deconinck.",12000,"{'maxAge': 1, 'name': 'Mr. Raphaël  Bauer', 'age': 43, 'title': 'Group CFO & Member of the Management Board', 'yearBorn': 1979, 'fiscalYear': 2022, 'totalPay': 339041, 'exercisedValue': 0, 'unexercisedValue': 0}",4,6,10,4,8,1693526400,1672444800,86400,2,10.4,10.3,10.15,10.3,10.4,10.3,10.15,10.3,1560297600,0.0,1.286036,8.782609,744,744,2814,2371,2371,0.0,0.0,0,0,670782464,9.8,13.02,0.19710346,11.149,11.67075,0.0,0.0,EUR,1312054144,-0.01075,6279064,65161000,0.90419,0.05949,13.421,0.75255203,1672444800,1703980800,1688083200,-0.778,-36600000,-0.56,1.15,-11.61,0.386,8.683,PAR,EQUITY,TKTT.PA,TKTT.PA,TARKETT,Tarkett S.A.,1385107200,Europe/Paris,CEST,7200000,10.1,20.0,13.0,16.5,16.5,3.0,hold,2,222800000,3.405,151100000,871600000,0.886,1.483,3403200000,98.978,52.008,0.01715,-0.03818,621000000,300612512,264800000,-0.789,0.028,0.19184999,0.0444,0.0223,EUR,
2,1 Terrasse Bellini,Tour Initiale La DEfense Cedex,Paris,92919,France,33 1 41 20 40 40,https://www.tarkett.com,Building Products & Equipment,Industrials,"Tarkett S.A., a flooring company, provides flooring and sports surface solutions to business and residential end users worldwide. The company provides heterogeneous and homogeneous vinyl flooring products, parquet and laminate flooring products, rubber flooring and accessories, wood floor products, carpets, linoleum floor products, and synthetic grass and athletic tracks. It offers its products for use in healthcare, aged care, the workplace, education, stores and shops, hospitality and leisure, residential and sports segments. The company was founded in 1886 and is based in Paris, France. Tarkett S.A. is a subsidiary of Societe Investissement Deconinck.",12000,"{'maxAge': 1, 'name': 'Ms. Carine  Vinardi', 'age': 49, 'title': 'Exec. VP of Group R&D and Operations', 'yearBorn': 1973, 'exercisedValue': 0, 'unexercisedValue': 0}",4,6,10,4,8,1693526400,1672444800,86400,2,10.4,10.3,10.15,10.3,10.4,10.3,10.15,10.3,1560297600,0.0,1.286036,8.782609,744,744,2814,2371,2371,0.0,0.0,0,0,670782464,9.8,13.02,0.19710346,11.149,11.67075,0.0,0.0,EUR,1312054144,-0.01075,6279064,65161000,0.90419,0.05949,13.421,0.75255203,1672444800,1703980800,1688083200,-0.778,-36600000,-0.56,1.15,-11.61,0.386,8.683,PAR,EQUITY,TKTT.PA,TKTT.PA,TARKETT,Tarkett S.A.,1385107200,Europe/Paris,CEST,7200000,10.1,20.0,13.0,16.5,16.5,3.0,hold,2,222800000,3.405,151100000,871600000,0.886,1.483,3403200000,98.978,52.008,0.01715,-0.03818,621000000,300612512,264800000,-0.789,0.028,0.19184999,0.0444,0.0223,EUR,
3,1 Terrasse Bellini,Tour Initiale La DEfense Cedex,Paris,92919,France,33 1 41 20 40 40,https://www.tarkett.com,Building Products & Equipment,Industrials,"Tarkett S.A., a flooring company, provides flooring and sports surface solutions to business and residential end users worldwide. The company provides heterogeneous and homogeneous vinyl flooring products, parquet and laminate flooring products, rubber flooring and accessories, wood floor products, carpets, linoleum floor products, and synthetic grass and athletic tracks. It offers its products for use in healthcare, aged care, the workplace, education, stores and shops, hospitality and leisure, residential and sports segments. The company was founded in 1886 and is based in Paris, France. Tarkett S.A. is a subsidiary of Societe Investissement Deconinck.",12000,"{'maxAge': 1, 'name': 'Mr. Herve  Legrand', 'age': 54, 'title': 'Group Chief Information Officer', 'yearBorn': 1968, 'exercisedValue': 0, 'unexercisedValue': 0}",4,6,10,4,8,1693526400,1672444800,86400,2,10.4,10.3,10.15,10.3,10.4,10.3,10.15,10.3,1560297600,0.0,1.286036,8.782609,744,744,2814,2371,2371,0.0,0.0,0,0,670782464,9.8,13.02,0.19710346,11.149,11.67075,0.0,0.0,EUR,1312054144,-0.01075,6279064,65161000,0.90419,0.05949,13.421,0.75255203,1672444800,1703980800,1688083200,-0.778,-36600000,-0.56,1.15,-11.61,0.386,8.683,PAR,EQUITY,TKTT.PA,TKTT.PA,TARKETT,Tarkett S.A.,1385107200,Europe/Paris,CEST,7200000,10.1,20.0,13.0,16.5,16.5,3.0,hold,2,222800000,3.405,151100000,871600000,0.886,1.483,3403200000,98.978,52.008,0.01715,-0.03818,621000000,300612512,264800000,-0.789,0.028,0.19184999,0.0444,0.0223,EUR,
4,1 Terrasse Bellini,Tour Initiale La DEfense Cedex,Paris,92919,France,33 1 41 20 40 40,https://www.tarkett.com,Building Products & Equipment,Industrials,"Tarkett S.A., a flooring company, provides flooring and sports surface solutions to business and residential end users worldwide. The company provides heterogeneous and homogeneous vinyl flooring products, parquet and laminate flooring products, rubber flooring and accessories, wood floor products, carpets, linoleum floor products, and synthetic grass and athletic tracks. It offers its products for use in healthcare, aged care, the workplace, education, stores and shops, hospitality and leisure, residential and sports segments. The company was founded in 1886 and is based in Paris, France. Tarkett S.A. is a subsidiary of Societe Investissement Deconinck.",12000,"{'maxAge': 1, 'name': 'Ms. Alexandra Baubigeat Boucheron', 'title': 'Investor Relations Director', 'exercisedValue': 0, 'unexercisedValue': 0}",4,6,10,4,8,1693526400,1672444800,86400,2,10.4,10.3,10.15,10.3,10.4,10.3,10.15,10.3,1560297600,0.0,1.286036,8.782609,744,744,2814,2371,2371,0.0,0.0,0,0,670782464,9.8,13.02,0.19710346,11.149,11.67075,0.0,0.0,EUR,1312054144,-0.01075,6279064,65161000,0.90419,0.05949,13.421,0.75255203,1672444800,1703980800,1688083200,-0.778,-36600000,-0.56,1.15,-11.61,0.386,8.683,PAR,EQUITY,TKTT.PA,TKTT.PA,TARKETT,Tarkett S.A.,1385107200,Europe/Paris,CEST,7200000,10.1,20.0,13.0,16.5,16.5,3.0,hold,2,222800000,3.405,151100000,871600000,0.886,1.483,3403200000,98.978,52.008,0.01715,-0.03818,621000000,300612512,264800000,-0.789,0.028,0.19184999,0.0444,0.0223,EUR,
5,1 Terrasse Bellini,Tour Initiale La DEfense Cedex,Paris,92919,France,33 1 41 20 40 40,https://www.tarkett.com,Building Products & Equipment,Industrials,"Tarkett S.A., a flooring company, provides flooring and sports surface solutions to business and residential end users worldwide. The company provides heterogeneous and homogeneous vinyl flooring products, parquet and laminate flooring products, rubber flooring and accessories, wood floor products, carpets, linoleum floor products, and synthetic grass and athletic tracks. It offers its products for use in healthcare, aged care, the workplace, education, stores and shops, hospitality and leisure, residential and sports segments. The company was founded in 1886 and is based in Paris, France. Tarkett S.A. is a subsidiary of Societe Investissement Deconinck.",12000,"{'maxAge': 1, 'name': 'Ms. Eline  Cormont-Girardey', 'age': 39, 'title': 'Group Gen. Counsel & Sec. of the Supervisory Board', 'yearBorn': 1983, 'exercisedValue': 0, 'unexercisedValue': 0}",4,6,10,4,8,1693526400,1672444800,86400,2,10.4,10.3,10.15,10.3,10.4,10.3,10.15,10.3,1560297600,0.0,1.286036,8.782609,744,744,2814,2371,2371,0.0,0.0,0,0,670782464,9.8,13.02,0.19710346,11.149,11.67075,0.0,0.0,EUR,1312054144,-0.01075,6279064,65161000,0.90419,0.05949,13.421,0.75255203,1672444800,1703980800,1688083200,-0.778,-36600000,-0.56,1.15,-11.61,0.386,8.683,PAR,EQUITY,TKTT.PA,TKTT.PA,TARKETT,Tarkett S.A.,1385107200,Europe/Paris,CEST,7200000,10.1,20.0,13.0,16.5,16.5,3.0,hold,2,222800000,3.405,151100000,871600000,0.886,1.483,3403200000,98.978,52.008,0.01715,-0.03818,621000000,300612512,264800000,-0.789,0.028,0.19184999,0.0444,0.0223,EUR,
6,1 Terrasse Bellini,Tour Initiale La DEfense Cedex,Paris,92919,France,33 1 41 20 40 40,https://www.tarkett.com,Building Products & Equipment,Industrials,"Tarkett S.A., a flooring company, provides flooring and sports surface solutions to business and residential end users worldwide. The company provides heterogeneous and homogeneous vinyl flooring products, parquet and laminate flooring products, rubber flooring and accessories, wood floor products, carpets, linoleum floor products, and synthetic grass and athletic tracks. It offers its products for use in healthcare, aged care, the workplace, education, stores and shops, hospitality and leisure, residential and sports segments. The company was founded in 1886 and is based in Paris, France. Tarkett S.A. is a subsidiary of Societe Investissement Deconinck.",12000,"{'maxAge': 1, 'name': 'Ms. Séverine  Grosjean', 'age': 50, 'title': 'Exec. VP of Group HR & Communications', 'yearBorn': 1972, 'exercisedValue': 0, 'unexercisedValue': 0}",4,6,10,4,8,1693526400,1672444800,86400,2,10.4,10.3,10.15,10.3,10.4,10.3,10.15,10.3,1560297600,0.0,1.286036,8.782609,744,744,2814,2371,2371,0.0,0.0,0,0,670782464,9.8,13.02,0.19710346,11.149,11.67075,0.0,0.0,EUR,1312054144,-0.01075,6279064,65161000,0.90419,0.05949,13.421,0.75255203,1672444800,1703980800,1688083200,-0.778,-36600000,-0.56,1.15,-11.61,0.386,8.683,PAR,EQUITY,TKTT.PA,TKTT.PA,TARKETT,Tarkett S.A.,1385107200,Europe/Paris,CEST,7200000,10.1,20.0,13.0,16.5,16.5,3.0,hold,2,222800000,3.405,151100000,871600000,0.886,1.483,3403200000,98.978,52.008,0.01715,-0.03818,621000000,300612512,264800000,-0.789,0.028,0.19184999,0.0444,0.0223,EUR,
7,1 Terrasse Bellini,Tour Initiale La DEfense Cedex,Paris,92919,France,33 1 41 20 40 40,https://www.tarkett.com,Building Products & Equipment,Industrials,"Tarkett S.A., a flooring company, provides flooring and sports surface solutions to business and residential end users worldwide. The company provides heterogeneous and homogeneous vinyl flooring products, parquet and laminate flooring products, rubber flooring and accessories, wood floor products, carpets, linoleum floor products, and synthetic grass and athletic tracks. It offers its products for use in healthcare, aged care, the workplace, education, stores and shops, hospitality and leisure, residential and sports segments. The company was founded in 1886 and is based in Paris, France. Tarkett S.A. is a subsidiary of Societe Investissement Deconinck.",12000,"{'maxAge': 1, 'name': 'Mr. Arnaud  Marquis M.Sc. (Eng.), MBA', 'age': 51, 'title': 'Chief Sustainability & Innovation Officer', 'yearBorn': 1971, 'exercisedValue': 0, 'unexercisedValue': 0}",4,6,10,4,8,1693526400,1672444800,86400,2,10.4,10.3,10.15,10.3,10.4,10.3,10.15,10.3,1560297600,0.0,1.286036,8.782609,744,744,2814,2371,2371,0.0,0.0,0,0,670782464,9.8,13.02,0.19710346,11.149,11.67075,0.0,0.0,EUR,1312054144,-0.01075,6279064,65161000,0.90419,0.05949,13.421,0.75255203,1672444800,1703980800,1688083200,-0.778,-36600000,-0.56,1.15,-11.61,0.386,8.683,PAR,EQUITY,TKTT.PA,TKTT.PA,TARKETT,Tarkett S.A.,1385107200,Europe/Paris,CEST,7200000,10.1,20.0,13.0,16.5,16.5,3.0,hold,2,222800000,3.405,151100000,871600000,0.886,1.483,3403200000,98.978,52.008,0.01715,-0.03818,621000000,300612512,264800000,-0.789,0.028,0.19184999,0.0444,0.0223,EUR,
8,1 Terrasse Bellini,Tour Initiale La DEfense Cedex,Paris,92919,France,33 1 41 20 40 40,https://www.tarkett.com,Building Products & Equipment,Industrials,"Tarkett S.A., a flooring company, provides flooring and sports surface solutions to business and residential end users worldwide. The company provides heterogeneous and homogeneous vinyl flooring products, parquet and laminate flooring products, rubber flooring and accessories, wood floor products, carpets, linoleum floor products, and synthetic grass and athletic tracks. It offers its products for use in healthcare, aged care, the workplace, education, stores and shops, hospitality and leisure, residential and sports segments. The company was founded in 1886 and is based in Paris, France. Tarkett S.A. is a subsidiary of Societe Investissement Deconinck.",12000,"{'maxAge': 1, 'name': 'Mr. Eric  Daliere', 'age': 55, 'title': 'Pres of Tarkett North America & Tarkett Sports', 'yearBorn': 1967, 'exercisedValue': 0, 'unexercisedValue': 0}",4,6,10,4,8,1693526400,1672444800,86400,2,10.4,10.3,10.15,10.3,10.4,10.3,10.15,10.3,1560297600,0.0,1.286036,8.782609,744,744,2814,2371,2371,0.0,0.0,0,0,670782464,9.8,13.02,0.19710346,11.149,11.67075,0.0,0.0,EUR,1312054144,-0.01075,6279064,65161000,0.90419,0.05949,13.421,0.75255203,1672444800,1703980800,1688083200,-0.778,-36600000,-0.56,1.15,-11.61,0.386,8.683,PAR,EQUITY,TKTT.PA,TKTT.PA,TARKETT,Tarkett S.A.,1385107200,Europe/Paris,CEST,7200000,10.1,20.0,13.0,16.5,16.5,3.0,hold,2,222800000,3.405,151100000,871600000,0.886,1.483,3403200000,98.978,52.008,0.01715,-0.03818,621000000,300612512,264800000,-0.789,0.028,0.19184999,0.0444,0.0223,EUR,
9,1 Terrasse Bellini,Tour Initiale La DEfense Cedex,Paris,92919,France,33 1 41 20 40 40,https://www.tarkett.com,Building Products & Equipment,Industrials,"Tarkett S.A., a flooring company, provides flooring and sports surface solutions to business and residential end users worldwide. The company provides heterogeneous and homogeneous vinyl flooring products, parquet and laminate flooring products, rubber flooring and accessories, wood floor products, carpets, linoleum floor products, and synthetic grass and athletic tracks. It offers its products for use in healthcare, aged care, the workplace, education, stores and shops, hospitality and leisure, residential and sports segments. The company was founded in 1886 and is based in Paris, France. Tarkett S.A. is a subsidiary of Societe Investissement Deconinck.",12000,"{'maxAge': 1, 'name': 'Mr. Slavoljub  Martinovic', 'age': 52, 'title': 'Pres of EMEA, LATAM & ANZ', 'yearBorn': 1970, 'exercisedValue': 0, 'unexercisedValue': 0}",4,6,10,4,8,1693526400,1672444800,86400,2,10.4,10.3,10.15,10.3,10.4,10.3,10.15,10.3,1560297600,0.0,1.286036,8.782609,744,744,2814,2371,2371,0.0,0.0,0,0,670782464,9.8,13.02,0.19710346,11.149,11.67075,0.0,0.0,EUR,1312054144,-0.01075,6279064,65161000,0.90419,0.05949,13.421,0.75255203,1672444800,1703980800,1688083200,-0.778,-36600000,-0.56,1.15,-11.61,0.386,8.683,PAR,EQUITY,TKTT.PA,TKTT.PA,TARKETT,Tarkett S.A.,1385107200,Europe/Paris,CEST,7200000,10.1,20.0,13.0,16.5,16.5,3.0,hold,2,222800000,3.405,151100000,871600000,0.886,1.483,3403200000,98.978,52.008,0.01715,-0.03818,621000000,300612512,264800000,-0.789,0.028,0.19184999,0.0444,0.0223,EUR,
