,address1,address2,city,country,phone,website,longBusinessSummary,fullTimeEmployees,companyOfficers,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,beta,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,lastSplitFactor,lastSplitDate,enterpriseToRevenue,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationKey,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,"36, Namui-ro 21beon-gil",Jinhae-gu,Changwon-Si,South Korea,82 5 5552 7130,https://www.samboind.kr,"Sambo Industrial Co., Ltd. manufactures and supplies aluminum alloy products worldwide. It also offers automobile parts, including engine cases, transmission parts, provision devices, etc. The company serves automobile, electronic parts manufacturing, and steel companies. It distributes its products through its sales departments and sales office in Seoul, South Korea. The company was founded in 1974 and is based in Changwon, South Korea.",369,"{'maxAge': 1, 'name': 'Mr. Tae-Yong  Lee', 'age': 62, 'title': 'Chief Exec. Officer and Representative Director', 'yearBorn': 1960, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,1069.0,1069.0,1062.0,1090.0,1069.0,1069.0,1062.0,1090.0,1.532498,188442,188442,432694,461623,461623,1069.0,1070.0,0,0,21922887680,798.0,1250.0,0.048874855,1020.2,1014.325,KRW,237546602496,-0.02777,35015434,20623600,0.22625,0.0,1672444800,1703980800,1680220800,6.404,-12457305088,1:1,1513209600,0.53,11.498,KOE,EQUITY,009620.KQ,009620.KQ,SAMBO IND,"Sambo Industrial Co., Ltd.",1147305600,Asia/Seoul,KST,32400000,1063.0,none,19672160256,434.704,20659654656,188039872512,0.424,0.795,448551452672,373.747,9911.82,0.01666,-0.20153,26334518100,540436608,23770447872,9.78,-0.055,0.06014,0.04606,0.0207,KRW,
1,"36, Namui-ro 21beon-gil",Jinhae-gu,Changwon-Si,South Korea,82 5 5552 7130,https://www.samboind.kr,"Sambo Industrial Co., Ltd. manufactures and supplies aluminum alloy products worldwide. It also offers automobile parts, including engine cases, transmission parts, provision devices, etc. The company serves automobile, electronic parts manufacturing, and steel companies. It distributes its products through its sales departments and sales office in Seoul, South Korea. The company was founded in 1974 and is based in Changwon, South Korea.",369,"{'maxAge': 1, 'name': 'Mr. Chan-Gyu  Choi', 'age': 61, 'title': 'VP, Director of Sales Division and Director', 'yearBorn': 1961, 'exercisedValue': 0, 'unexercisedValue': 0}",86400,2,1069.0,1069.0,1062.0,1090.0,1069.0,1069.0,1062.0,1090.0,1.532498,188442,188442,432694,461623,461623,1069.0,1070.0,0,0,21922887680,798.0,1250.0,0.048874855,1020.2,1014.325,KRW,237546602496,-0.02777,35015434,20623600,0.22625,0.0,1672444800,1703980800,1680220800,6.404,-12457305088,1:1,1513209600,0.53,11.498,KOE,EQUITY,009620.KQ,009620.KQ,SAMBO IND,"Sambo Industrial Co., Ltd.",1147305600,Asia/Seoul,KST,32400000,1063.0,none,19672160256,434.704,20659654656,188039872512,0.424,0.795,448551452672,373.747,9911.82,0.01666,-0.20153,26334518100,540436608,23770447872,9.78,-0.055,0.06014,0.04606,0.0207,KRW,
