,address1,address2,city,state,zip,country,fax,website,industry,sector,longBusinessSummary,companyOfficers,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,payoutRatio,beta,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,lastSplitFactor,lastSplitDate,enterpriseToEbitda,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,gmtOffSetMilliseconds,currentPrice,recommendationKey,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,returnOnAssets,returnOnEquity,freeCashflow,operatingCashflow,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,15782 Marine Drive,Unit 1,White Rock,BC,V4B 1E6,Canada,604 536 2788,https://www.orsumetals.com,Gold,Basic Materials,"Orsu Metals Corporation engages in the exploration, evaluation, and development of mineral properties in Russia. The company was formerly known as European Minerals Corporation and changed its name to Orsu Metals Corporation in June 2008. Orsu Metals Corporation was incorporated in 1987 and is headquartered in White Rock, Canada.","{'maxAge': 1, 'name': 'Dr. Sergey Vladimirovich Kurzin Ph.D.', 'age': 62, 'title': 'Interim MD', 'yearBorn': 1960, 'fiscalYear': 2021, 'totalPay': 71815, 'exercisedValue': 0, 'unexercisedValue': 0}",1640908800,86400,4,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.0,1.209346,20000,20000,0,0,0,0.0,0.0,0,0,661347,0.01,0.1,0.02,0.0231,0.0,0.0,USD,313606,0.0,44089806,44089800,0.38026002,0.0,0.005,3.0,1640908800,1672444800,1664496000,-4317162,-0.11,1:10,1505433600,0.225,PNK,EQUITY,ORSUF,ORSUF,ORSU METALS CORPORATION.,Orsu Metals Corporation,1115818200,America/New_York,EDT,-14400000,0.015,none,57352,0.001,1393357,28344,0.354,0.534,-1.3247701,-2.09503,785684,-739717,0.0,0.0,0.0,USD,
1,15782 Marine Drive,Unit 1,White Rock,BC,V4B 1E6,Canada,604 536 2788,https://www.orsumetals.com,Gold,Basic Materials,"Orsu Metals Corporation engages in the exploration, evaluation, and development of mineral properties in Russia. The company was formerly known as European Minerals Corporation and changed its name to Orsu Metals Corporation in June 2008. Orsu Metals Corporation was incorporated in 1987 and is headquartered in White Rock, Canada.","{'maxAge': 1, 'name': 'Mr. Graham Anthony Potts', 'age': 70, 'title': 'VP of Admin.', 'yearBorn': 1952, 'fiscalYear': 1999, 'exercisedValue': 0, 'unexercisedValue': 0}",1640908800,86400,4,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.0,1.209346,20000,20000,0,0,0,0.0,0.0,0,0,661347,0.01,0.1,0.02,0.0231,0.0,0.0,USD,313606,0.0,44089806,44089800,0.38026002,0.0,0.005,3.0,1640908800,1672444800,1664496000,-4317162,-0.11,1:10,1505433600,0.225,PNK,EQUITY,ORSUF,ORSUF,ORSU METALS CORPORATION.,Orsu Metals Corporation,1115818200,America/New_York,EDT,-14400000,0.015,none,57352,0.001,1393357,28344,0.354,0.534,-1.3247701,-2.09503,785684,-739717,0.0,0.0,0.0,USD,
